train/loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_rew_mean
8.216194237320451e-05,1000,299.0,22,0.07,10,3000,-20.63901922394337
0.00015137094032979803,2496,299.0,48,0.07,20,6000,-22.068675460156722
0.0002769164766505128,4000,299.0,73,0.07,30,9000,-21.688809052947953
