time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss
1623,161.3,10,-9.427381834229246,1,0.9622652500000001,,
3229,160.45,20,-9.892994445691551,3,0.9249257500000002,,
5122,169.73333333333332,30,-10.261375790015036,6,0.8809134999999999,,
6731,167.275,40,-9.873466138161001,8,0.8435042500000001,,
9069,180.38,50,-10.68931575766312,11,0.7891457500000002,,
9924,164.4,60,-9.600309473435528,13,0.769267,,
11950,169.71428571428572,70,-9.943287274840827,23,0.7221625000000002,968,0.05602257067221217
13277,164.9625,80,-9.466505404133066,29,0.6913097499999998,1632,0.03754269054115866
14135,156.05555555555554,90,-8.849223282237917,34,0.6713612499999999,2064,0.055940680897037964
14919,148.19,100,-8.305629283693005,38,0.6531332500000002,2456,0.028029104330926202
15464,137.41,110,-7.6246129129799805,41,0.6404619999999999,2728,0.04662930937774945
16284,129.55,120,-6.960802596443174,45,0.6213969999999998,3136,0.046636680752271786
17056,118.34,130,-6.197698889546701,49,0.603448,3520,0.019393900511204265
17785,109.54,140,-5.663249371663289,53,0.5864987499999998,3888,0.05558064421347808
18570,94.01,150,-4.640562917309691,57,0.5682475000000001,4280,0.028967606398509815
19188,91.64,160,-4.4763628801477395,60,0.553879,4592,0.03815452080743853
20027,79.77,170,-3.680566905429432,65,0.5343722500000001,5008,0.07305635663215071
20422,70.45,180,-3.2318945273151085,67,0.5251884999999998,5208,0.08208350912900642
21274,70.39,190,-3.2287397879515316,72,0.5053795000000002,5632,0.05521546816453338
22002,69.83,200,-3.199723738174439,76,0.4884535000000003,6000,0.03804926745942794
22608,70.44,210,-3.208060027753947,79,0.4743639999999999,6296,0.05481568825780414
23160,67.76,220,-3.0851131788449426,82,0.46153,6576,0.03740988072240725
23677,65.21,230,-2.9739776340293287,85,0.44950975000000026,6832,0.03754725767066702
24204,63.19,240,-2.8605486978517014,88,0.437257,7096,0.054479004291351885
24780,61.1,250,-2.7531727163168114,91,0.42386500000000005,7384,0.05383693287149072
25336,60.48,260,-2.751504257677106,94,0.410938,7664,0.06205897341715172
25777,56.5,270,-2.5338604213032445,97,0.4006847499999999,7888,0.06981209537480026
26287,57.65,280,-2.613793927231102,100,0.3888272500000003,8136,0.12593149207532406
26690,53.16,290,-2.406886851791915,102,0.3794574999999998,8344,0.12298978818580508
27268,51.66,300,-2.3368578681646275,105,0.3660190000000001,8632,0.061248859215993434
27893,51.85,310,-2.32600833159667,109,0.3514877500000003,8944,0.10628840466961265
28288,50.28,320,-2.2700317351640025,111,0.34230400000000005,9136,0.031046134303323925
28768,49.91,330,-2.242531879089688,114,0.3311440000000003,9376,0.06632965034805238
29124,48.2,340,-2.1677260346345766,116,0.32286700000000024,9560,0.07446401345077902
29672,47.92,350,-2.1422565156596076,119,0.3101259999999999,9832,0.11304710153490305
30061,46.25,360,-2.0737351605493,121,0.30108175000000004,10024,0.08770585263846442
30575,46.98,370,-2.111678308173947,124,0.28913125000000006,10280,0.10949547367636114
31056,46.69,380,-2.060249349738337,127,0.2779480000000002,10520,0.09218960988800973
31512,47.22,390,-2.0647824753480357,129,0.267346,10752,0.07864879351109266
31995,46.27,400,-2.0380804258033884,132,0.25611625000000027,10992,0.09716231725178659
32652,46.59,410,-2.0234341452147877,136,0.2408410000000002,11320,0.11510091985110193
33039,46.51,420,-1.987143153084289,138,0.23184325000000017,11512,0.11102126352488995
33418,45.5,430,-1.9287520075034978,140,0.22303150000000038,11704,0.0953625151887536
33741,45.17,440,-1.901333810654557,142,0.21552175000000007,11864,0.10204282868653536
34175,44.03,450,-1.8335890829855068,145,0.20543125000000007,12080,0.08466627425514162
34681,45.2,460,-1.8616534175714,148,0.19366675,12336,0.09262438456062227
35168,44.93,470,-1.8205300103932098,151,0.18234400000000006,12576,0.11695721978321671
35544,43.88,480,-1.77290580092639,153,0.17360200000000015,12768,0.14448419911786914
36107,44.95,490,-1.802909360309676,156,0.16051225000000013,13048,0.06643192830961198
36845,47.5,500,-1.8540648990964863,161,0.14335375000000028,13416,0.0725320348283276
37676,49.24,510,-1.9042903970285252,165,0.12403300000000017,13832,0.09187758667394519
38077,49.38,520,-1.8940971793450183,168,0.11470974999999994,14032,0.08542484056670219
38959,54.41,530,-2.0479938424507718,175,0.09420324999999996,14472,0.07878414960578084
39989,61.48,540,-2.26785340973297,181,0.07025574999999995,14992,0.0945381592027843
40994,67.19,550,-2.4232819196344684,188,0.07,15496,0.05540763115277514
41775,69.94,560,-2.4558802266397244,193,0.07,15880,0.10046563274227083
42910,76.42,570,-2.604336653814103,200,0.07,16448,0.08362159738317132
43938,82.94,580,-2.7498871336294672,207,0.07,16968,0.0676301761996001
44786,85.79,590,-2.7695699035184838,212,0.07,17392,0.06740192649886012
45248,83.03,600,-2.6517247469673486,215,0.07,17616,0.08803877490572631
45872,80.96,610,-2.5464400570071786,219,0.07,17928,0.0992561822058633
46640,84.63,620,-2.6251391488259435,224,0.07,18312,0.11007190402597189
47116,80.57,630,-2.4712493803067175,227,0.07,18552,0.056095926789566875
47849,77.6,640,-2.3408571267883427,232,0.07,18920,0.07454041065648198
48595,75.01,650,-2.2157992946686162,236,0.07,19296,0.07352600526064634
49140,72.65,660,-2.1402286724455974,240,0.07,19568,0.09395779320038855
49929,69.19,670,-2.0407175567392093,245,0.07,19960,0.08642787323333323
50532,64.94,680,-1.9491522351642356,249,0.07,20264,0.09902932960540056
51047,61.61,690,-1.878831068824878,252,0.07,20520,0.09408718789927661
51399,60.51,700,-1.841514773277911,254,0.07,20696,0.06916590174660087
52154,61.82,710,-1.8746927473022479,259,0.07,21072,0.06044773804023862
52653,59.13,720,-1.7991223046294886,262,0.07,21320,0.07971837092190981
52992,57.76,730,-1.759042136093597,264,0.07,21488,0.08383031468838453
53530,55.81,740,-1.7103993076303745,267,0.07,21760,0.08456080127507448
54004,53.09,750,-1.6587413589462694,270,0.07,22000,0.06673595728352666
54450,52.1,760,-1.6317325407567986,273,0.07,22224,0.04563097399659455
54807,47.78,770,-1.531126833990385,275,0.07,22400,0.09239130502101034
55111,44.79,780,-1.443338197673018,277,0.07,22552,0.052236605901271105
55415,42.68,790,-1.3847672342870674,279,0.07,22704,0.08069376484490931
55791,42.92,800,-1.4043709697008753,282,0.07,22888,0.07689219480380416
56454,42.0,810,-1.4062724910838114,286,0.07,23224,0.059977274388074875
56880,41.27,820,-1.405481810415025,288,0.07,23432,0.08266048924997449
57824,47.32,830,-1.603916800011852,294,0.07,23904,0.05664326227270067
59021,53.91,840,-1.7751943462492343,302,0.07,24504,0.09837917471304536
60279,61.75,850,-1.9893984508407496,310,0.07,25136,0.07089959143195301
61478,69.28,860,-2.189689313774382,318,0.07,25736,0.09550638357177377
62248,73.41,870,-2.2782488429724723,323,0.07,26120,0.06257572723552585
62636,74.25,880,-2.2978885643897415,325,0.07,26312,0.09158734523225576
62898,73.83,890,-2.2801045051414635,327,0.07,26448,0.06743715004995465
63548,76.57,900,-2.3935171019128454,331,0.07,26768,0.03944228065665811
64128,75.74,910,-2.3318558957256106,335,0.07,27056,0.06732220109552145
64381,74.01,920,-2.2720386398579935,336,0.07,27184,0.07970828132238239
64704,67.8,930,-2.083274115801487,338,0.07,27344,0.06227677536662668
65027,59.06,940,-1.856297117506814,340,0.07,27512,0.09745283890515566
65379,50.0,950,-1.610840692749298,343,0.07,27688,0.051424521720036864
65619,40.41,960,-1.356742635528382,344,0.07,27808,0.06378882343415171
65930,35.82,970,-1.2374931902961448,346,0.07,27960,0.06112129392568022
66203,34.67,980,-1.2204204504909852,348,0.07,28096,0.07255058118607849
66436,34.38,990,-1.2170466933025854,349,0.07,28216,0.0674691298045218
66791,31.43,1000,-1.100167716564622,352,0.07,28392,0.08260458055883646
67078,28.5,1010,-1.0480779221956087,354,0.07,28536,0.10609970754012465
67469,29.88,1020,-1.0841864363791713,356,0.07,28728,0.050886514130979776
67738,29.34,1030,-1.0711219334974107,358,0.07,28864,0.0740398121997714
67972,28.45,1040,-1.0586712406573884,360,0.07,28984,0.08805903699249029
68194,27.15,1050,-1.0316536489786081,361,0.07,29096,0.10325590788852423
68553,28.34,1060,-1.0737985804275603,363,0.07,29272,0.08153343247249722
68980,29.5,1070,-1.0988317707301731,366,0.07,29488,0.04490946757141501
69292,29.89,1080,-1.093082140221663,368,0.07,29640,0.09303113864734769
69530,29.94,1090,-1.0871538095074602,370,0.07,29760,0.0745595587650314
69844,29.53,1100,-1.0619178887178595,372,0.07,29920,0.07708272500894964
70047,28.69,1110,-1.020840049838943,373,0.07,30016,0.05480364290997386
70319,27.5,1120,-1.0067328945725866,375,0.07,30152,0.049605832551606
70635,27.97,1130,-1.0113201562446543,377,0.07,30312,0.0675991689786315
70943,28.71,1140,-1.0252802370466416,379,0.07,30464,0.09366030851379037
71365,30.71,1150,-1.0877816340945123,382,0.07,30680,0.03741540387272835
71714,30.61,1160,-1.0931365023509652,384,0.07,30856,0.03878459881525487
71993,29.13,1170,-1.066273951125487,386,0.07,30992,0.08033416792750359
72459,30.67,1180,-1.0919686333393688,389,0.07,31224,0.09208035841584206
72841,32.11,1190,-1.1433950044332208,392,0.07,31416,0.09209088981151581
73192,32.48,1200,-1.160830193840856,394,0.07,31592,0.08237035828642547
73548,34.01,1210,-1.2073612893945624,396,0.07,31768,0.08511597337201238
73844,34.25,1220,-1.202718710421099,398,0.07,31920,0.0779939586063847
74429,36.94,1230,-1.2858295385206142,402,0.07,32208,0.077976691769436
74848,38.05,1240,-1.3333515006346062,405,0.07,32416,0.06253550201654434
75443,39.78,1250,-1.366078213145753,408,0.07,32720,0.07993958843871951
76064,42.5,1260,-1.4343007483919161,412,0.07,33024,0.07333234569523484
76609,45.16,1270,-1.508877428073142,416,0.07,33304,0.09560740599408746
77436,48.77,1280,-1.629029657703762,421,0.07,33712,0.07131045951973647
78087,51.46,1290,-1.7086267721588282,426,0.07,34040,0.0638274741359055
78420,51.28,1300,-1.6967246330161918,428,0.07,34208,0.0784395057708025
79061,54.13,1310,-1.7904973980204624,432,0.07,34528,0.06607092986814678
79846,59.02,1320,-1.9385262750324521,437,0.07,34920,0.07864842470735312
80288,57.59,1330,-1.9148864669904098,440,0.07,35136,0.08137599448673427
80834,58.86,1340,-1.9318173292607463,443,0.07,35416,0.06933484738692641
81189,56.46,1350,-1.8709403896677939,446,0.07,35592,0.08149964595213532
81606,54.42,1360,-1.8035647180035292,448,0.07,35800,0.054154989775270224
81978,52.69,1370,-1.7482927805452453,450,0.07,35984,0.08309405390173197
82463,49.27,1380,-1.6510744055857018,453,0.07,36224,0.04925224767066538
82700,45.13,1390,-1.5408877538089853,455,0.07,36344,0.0628066339995712
82994,44.74,1400,-1.554669539743292,456,0.07,36496,0.07394813932478428
83594,44.33,1410,-1.5359746743456952,460,0.07,36792,0.07932857563719153
84095,41.49,1420,-1.444454775266654,462,0.07,37040,0.06529159704223275
84512,41.24,1430,-1.4275284212793125,465,0.07,37248,0.054805857595056295
85003,40.69,1440,-1.399859246869516,467,0.07,37496,0.06877330364659429
85380,40.91,1450,-1.3864280009592351,470,0.07,37688,0.06976990588009357
85798,40.92,1460,-1.3951962898104142,472,0.07,37896,0.08568828972056508
86240,41.62,1470,-1.424347300731656,475,0.07,38112,0.07340025575831532
86750,41.87,1480,-1.4238274084293716,479,0.07,38368,0.06800838280469179
87225,44.25,1490,-1.494312726850605,482,0.07,38608,0.06694678706116974
87773,46.79,1500,-1.558410888921551,485,0.07,38880,0.06742897443473339
88287,45.93,1510,-1.5116855878285549,488,0.07,39136,0.06532083544880152
89071,48.76,1520,-1.591977314074722,493,0.07,39528,0.06894798716530204
89744,51.32,1530,-1.6720703959924788,497,0.07,39864,0.10440209554508328
90789,56.86,1540,-1.8292676431986086,504,0.07,40392,0.06914466805756092
91788,63.08,1550,-1.991815624357959,511,0.07,40888,0.06675012339837849
92567,66.69,1560,-2.080989391022869,516,0.07,41280,0.06346868071705103
93240,69.0,1570,-2.132831756011397,521,0.07,41616,0.05269004590809345
93781,69.31,1580,-2.140933335436532,524,0.07,41888,0.06145093706436455
94211,68.86,1590,-2.104496881511805,527,0.07,42104,0.05991150776389986
94705,68.32,1600,-2.073926916241948,530,0.07,42352,0.07169945584610105
95406,70.19,1610,-2.2198820473256675,535,0.07,42696,0.05029116105288267
95858,66.87,1620,-2.1278640274830285,538,0.07,42928,0.07812185864895582
96216,63.72,1630,-2.017797294898335,540,0.07,43104,0.08482454624027014
96474,55.85,1640,-1.8103016784487633,542,0.07,43232,0.08524052379652858
96834,49.46,1650,-1.6393232524194226,544,0.07,43416,0.06947310455143452
97147,44.8,1660,-1.5026373410046652,546,0.07,43568,0.05823436565697193
97431,40.91,1670,-1.4064062152318115,548,0.07,43712,0.06414865306578577
97785,39.04,1680,-1.3539592159277192,550,0.07,43888,0.05805989331565797
98433,41.22,1690,-1.6421310061067178,554,0.07,44216,0.09767072554677725
98733,39.28,1700,-1.5936733023019136,556,0.07,44360,0.07535394234582782
99075,35.69,1710,-1.4382904157551648,558,0.07,44536,0.059210800216533244
99335,33.77,1720,-1.3881192586837472,560,0.07,44664,0.08671650942414999
99674,33.58,1730,-1.3934996984517047,562,0.07,44832,0.06433358928188682
99921,33.47,1740,-1.3831396461123362,563,0.07,44960,0.06012318469583988
100294,33.6,1750,-1.3927923253257806,566,0.07,45144,0.06632177531719208
100563,33.16,1760,-1.412895239742285,567,0.07,45280,0.06786205433309078
100794,32.63,1770,-1.3940968380880658,569,0.07,45392,0.05510903964750469
101118,32.33,1780,-1.3781557228658452,571,0.07,45552,0.04915865301154554
101394,28.61,1790,-1.061652058087162,573,0.07,45696,0.07961514359340072
101708,28.75,1800,-1.0983769441000164,575,0.07,45848,0.053780211601406336
101998,28.23,1810,-1.0632768191081863,576,0.07,45992,0.06476147356443107
102394,29.59,1820,-1.115015098700696,579,0.07,46192,0.06051461724564433
102692,29.18,1830,-1.1069927723548556,581,0.07,46344,0.07570969732478261
102969,29.48,1840,-1.105846794695094,583,0.07,46480,0.06641724612563848
103262,28.68,1850,-1.099621746531071,584,0.07,46624,0.06392886221874505
103547,28.84,1860,-1.0828651012127797,586,0.07,46768,0.06829265365377069
103786,28.92,1870,-1.0890292121375456,588,0.07,46888,0.06990618468262255
104227,30.09,1880,-1.1431502155533615,591,0.07,47112,0.07248144620098174
104556,30.62,1890,-1.1539569913957615,593,0.07,47272,0.055166407488286495
104814,30.06,1900,-1.1104763900076329,594,0.07,47400,0.06426467606797814
105170,30.72,1910,-1.1244967270091255,596,0.07,47584,0.06479914009105414
105440,29.46,1920,-1.062471672162175,598,0.07,47712,0.05364786088466644
105735,29.43,1930,-1.0580393554804275,600,0.07,47864,0.05885696713812649
106039,29.7,1940,-1.0733044617306857,602,0.07,48016,0.07795598427765071
106414,30.52,1950,-1.1012683688193243,604,0.07,48200,0.06119935656897724
106693,30.46,1960,-1.1031633750044565,606,0.07,48344,0.0524022588506341
107022,31.36,1970,-1.133115468229095,608,0.07,48504,0.07574584055691957
107391,30.64,1980,-1.1049094470379068,611,0.07,48688,0.08244002936407924
107650,29.94,1990,-1.0837729298360492,612,0.07,48824,0.06208429345861077
107937,30.23,2000,-1.0866220137739089,614,0.07,48968,0.08040698582772166
108297,30.27,2010,-1.111270890940122,617,0.07,49144,0.0645236128475517
108644,31.04,2020,-1.1367750675177954,619,0.07,49320,0.07227622391656041
109133,32.98,2030,-1.2133919197928065,622,0.07,49560,0.08872798644006252
109466,33.27,2040,-1.2333306339952563,624,0.07,49728,0.05342096975073218
109794,32.8,2050,-1.2209173137406575,627,0.07,49896,0.06678172491956502
110344,35.51,2060,-1.314745731225512,630,0.07,50168,0.07016209606081247
110971,38.49,2070,-1.4019433602462952,634,0.07,50480,0.05570678529329598
111599,41.08,2080,-1.4883348691875438,638,0.07,50792,0.06645841710269451
112144,43.94,2090,-1.5806593289165993,642,0.07,51064,0.07299320073798299
112993,49.56,2100,-1.7546669691775885,647,0.07,51496,0.06524408585391939
113462,50.65,2110,-1.794837573333235,650,0.07,51728,0.08204968366771936
114042,52.98,2120,-1.8838576769599817,654,0.07,52016,0.06808307953178883
114454,52.21,2130,-1.8458216571971737,656,0.07,52224,0.06117758899927139
114774,52.08,2140,-1.8474695211490628,658,0.07,52384,0.07095519499853253
115203,53.09,2150,-1.8825663006848126,661,0.07,52600,0.05107795796357095
115664,52.2,2160,-1.8443493922925733,664,0.07,52824,0.0654771220870316
116061,49.9,2170,-1.7836020520712714,667,0.07,53024,0.0637124115601182
116581,48.82,2180,-1.7430949967110598,670,0.07,53288,0.07693729014135897
117084,48.4,2190,-1.720094846146642,673,0.07,53536,0.0685783913359046
117509,44.16,2200,-1.5903069612755283,676,0.07,53752,0.07341790199279785
118606,50.44,2210,-1.7165199731391994,683,0.07,54296,0.06062136171385646
119292,51.5,2220,-1.7208635800135748,687,0.07,54640,0.04681829293258488
119789,52.35,2230,-1.7529892689854163,690,0.07,54888,0.06135297194123268
120170,52.96,2240,-1.7552996613679985,693,0.07,55080,0.07216865196824074
120659,53.56,2250,-1.754041297496023,696,0.07,55328,0.059140019584447145
120968,52.04,2260,-1.7174956942167112,698,0.07,55480,0.05168554501142353
121244,50.83,2270,-1.672631699067452,700,0.07,55616,0.0582888915669173
121609,49.28,2280,-1.6343944449714762,702,0.07,55800,0.07216562610119581
122065,48.81,2290,-1.597602637640025,705,0.07,56032,0.061445220839232206
122379,47.7,2300,-1.545710983972227,707,0.07,56184,0.07359407446347177
122917,42.11,2310,-1.4092709547153042,711,0.07,56456,0.06032223394140601
123485,40.93,2320,-1.364959882102309,715,0.07,56736,0.06050425488501787
124256,43.67,2330,-1.4600627828000736,720,0.07,57120,0.0613634348846972
124708,44.38,2340,-1.465459132612536,723,0.07,57352,0.07599965948611498
125296,45.37,2350,-1.5022151012260334,727,0.07,57640,0.06551806395873427
125843,47.75,2360,-1.5639625094322096,730,0.07,57920,0.0720448091160506
126544,52.0,2370,-1.6628212609438362,735,0.07,58264,0.07172668213024735
126986,52.77,2380,-1.6735312725088958,737,0.07,58488,0.05614173552021384
127405,52.4,2390,-1.6847872114188736,740,0.07,58696,0.06165016978047788
128100,56.21,2400,-1.8233610614104467,744,0.07,59048,0.08554225554689765
128596,55.79,2410,-1.8412788712538626,746,0.07,59296,0.05360719561576843
129190,56.05,2420,-1.9040196951760626,750,0.07,59592,0.06725871795788407
129577,52.21,2430,-1.7736098773742495,752,0.07,59784,0.08208234468474984
129910,51.02,2440,-1.7565697038307477,754,0.07,59952,0.06807130435481668
130321,49.25,2450,-1.697270611512573,756,0.07,60160,0.061350420117378235
130791,48.48,2460,-1.6802779604993154,759,0.07,60392,0.06321244570426643
131227,45.83,2470,-1.6186880032535904,762,0.07,60608,0.06432132516056299
131682,45.96,2480,-1.6574457292173275,764,0.07,60840,0.0626490949653089
132079,45.74,2490,-1.6546865089994003,767,0.07,61032,0.05827635480090976
132448,42.48,2500,-1.5343169626235988,769,0.07,61216,0.0578693188726902
133145,44.49,2510,-1.621803519772265,773,0.07,61568,0.06390449171885848
133597,43.07,2520,-1.5829782523530616,775,0.07,61792,0.05214804923161864
134007,43.3,2530,-1.5939022178567068,777,0.07,62000,0.06627149134874344
134604,45.94,2540,-1.6861357199458147,781,0.07,62296,0.04958627047017217
135109,46.88,2550,-1.7213230508536401,783,0.07,62552,0.05811297008767724
135565,46.74,2560,-1.713348410591294,786,0.07,62776,0.04643926164135337
135980,46.53,2570,-1.7211500081091027,788,0.07,62984,0.06307443347759545
136583,48.01,2580,-1.733233833016511,792,0.07,63288,0.06530791521072388
137105,49.26,2590,-1.741502153726609,794,0.07,63552,0.05892659560777247
137697,51.49,2600,-1.7997495263198626,798,0.07,63848,0.06370914122089744
138206,49.61,2610,-1.6898788544654442,800,0.07,64096,0.06429347465746105
138848,51.51,2620,-1.6876775980057088,804,0.07,64416,0.0489731403067708
139401,52.94,2630,-1.7106959583941446,807,0.07,64696,0.0751861585304141
140075,53.71,2640,-1.7217985777998042,811,0.07,65032,0.05100065632723272
140603,53.94,2650,-1.722349547624964,814,0.07,65296,0.06895544845610857
141244,55.79,2660,-1.759591254522113,818,0.07,65616,0.06617627060040832
141827,57.47,2670,-1.80302903794937,822,0.07,65912,0.048881215043365955
142531,58.48,2680,-1.8302204693645638,826,0.07,66264,0.05538028688170016
142896,56.91,2690,-1.8021930048686232,828,0.07,66440,0.06659498810768127
143323,55.26,2700,-1.7749758347054885,831,0.07,66656,0.04595878208056092
143730,54.24,2710,-1.7555725548979213,833,0.07,66864,0.0609394870698452
144336,53.88,2720,-1.7416339444497353,836,0.07,67160,0.054771516006439924
145011,55.1,2730,-1.7723634210371435,840,0.07,67504,0.05360025097616017
145433,52.58,2740,-1.699797156374448,843,0.07,67712,0.04644904611632228
145881,51.78,2750,-1.6815769155554647,845,0.07,67936,0.04477667738683522
146791,54.47,2760,-1.7605779793141787,850,0.07,68392,0.03769894735887647
147167,52.4,2770,-1.6948841560308308,852,0.07,68576,0.0602528911549598
147623,49.92,2780,-1.6224700294026955,854,0.07,68808,0.07510356628336012
147951,49.55,2790,-1.605912875244767,856,0.07,68968,0.05663103191182017
148322,48.99,2800,-1.5999037691919262,858,0.07,69160,0.060776835307478905
148692,48.62,2810,-1.583381723060375,860,0.07,69344,0.06706888182088733
149084,46.48,2820,-1.5441025419819518,863,0.07,69536,0.052477085730060935
149636,45.25,2830,-1.5255595676004523,866,0.07,69816,0.04521266627125442
150119,45.86,2840,-1.5457030406407495,869,0.07,70056,0.050997392274439335
150507,45.26,2850,-1.5149508776334872,872,0.07,70248,0.062336182687431574
150937,40.46,2860,-1.3866398410551921,874,0.07,70464,0.051327858585864305
151395,41.28,2870,-1.4074783467238305,877,0.07,70696,0.04993285774253309
151829,41.06,2880,-1.409787270763824,880,0.07,70912,0.04135264037176967
152304,42.53,2890,-1.46025175605136,882,0.07,71144,0.064751329831779
152584,41.62,2900,-1.4262333289605125,884,0.07,71288,0.051555304788053036
152927,41.35,2910,-1.4155009256741318,886,0.07,71456,0.04787846840918064
153335,41.51,2920,-1.43964447100242,888,0.07,71664,0.045876774936914444
153665,39.29,2930,-1.3697094612125214,890,0.07,71832,0.04910983727313578
154078,38.59,2940,-1.3402904635742017,892,0.07,72032,0.05825486034154892
154451,38.44,2950,-1.3650112256083082,894,0.07,72224,0.056312145199626684
154712,36.75,2960,-1.3253441590219717,896,0.07,72352,0.05279834195971489
155121,36.26,2970,-1.3334128970634151,898,0.07,72560,0.045776997692883015
155503,35.74,2980,-1.3155467390461137,900,0.07,72744,0.04057509754784405
155799,33.95,2990,-1.264816531897019,902,0.07,72896,0.05049111950211227
156141,34.57,3000,-1.2870940929836348,904,0.07,73064,0.05371987447142601
156582,35.55,3010,-1.358412783994657,907,0.07,73288,0.05773821612820029
156921,34.86,3020,-1.3294910286268597,909,0.07,73456,0.052557289600372314
157328,35.63,3030,-1.3645275344931918,912,0.07,73656,0.05091625754721463
157697,35.19,3040,-1.3592867700694808,914,0.07,73848,0.041409918339923024
158013,34.62,3050,-1.3355494542314,916,0.07,74000,0.046261271461844444
158349,35.37,3060,-1.343633165986674,918,0.07,74168,0.049028835259377956
158742,35.21,3070,-1.3291554012034104,920,0.07,74368,0.04959054198116064
159005,34.02,3080,-1.278264922451639,922,0.07,74496,0.053304275032132864
159410,35.11,3090,-1.3486235417982888,924,0.07,74704,0.043007538886740804
159887,36.46,3100,-1.3738553231937676,927,0.07,74936,0.05930300476029515
160292,36.1,3110,-1.3256943723659085,929,0.07,75144,0.04973485181108117
160572,35.51,3120,-1.2935925197459484,931,0.07,75280,0.058711076620966196
160927,34.99,3130,-1.2866620483739224,933,0.07,75456,0.048788082669489086
161434,36.37,3140,-1.3146721353966155,936,0.07,75712,0.05647152243182063
161843,37.3,3150,-1.34050355537558,939,0.07,75920,0.06112938513979316
162293,38.44,3160,-1.388713660901337,942,0.07,76144,0.05461362982168794
162623,37.81,3170,-1.343265848654776,944,0.07,76304,0.04637569282203913
163191,40.86,3180,-1.4289687589047206,947,0.07,76592,0.05410120962187648
163719,42.09,3190,-1.4373472136193874,950,0.07,76856,0.0460308650508523
164163,41.76,3200,-1.4406463464873036,953,0.07,77080,0.051667990861460567
164672,42.8,3210,-1.5318357482262053,956,0.07,77328,0.039260951802134514
165097,44.25,3220,-1.5815342204655973,958,0.07,77544,0.05277649313211441
165466,44.39,3230,-1.5657873565267721,960,0.07,77728,0.057456742506474257
165987,44.53,3240,-1.5737946132993614,963,0.07,77992,0.053029378643259406
166509,45.66,3250,-1.6037451545432568,966,0.07,78248,0.05371303320862353
167229,48.36,3260,-1.6735846201125535,970,0.07,78608,0.041884210892021656
167826,51.03,3270,-1.7746453121868908,973,0.07,78912,0.04629692854359746
168263,49.72,3280,-1.7684433322010207,976,0.07,79128,0.041553252376616
168620,48.01,3290,-1.7001461240668951,978,0.07,79304,0.0368705855216831
169154,48.91,3300,-1.7030754964820347,981,0.07,79576,0.04188651801086962
169616,48.44,3310,-1.6317668075088663,984,0.07,79800,0.04741035425104201
170479,52.82,3320,-2.0095868195653277,989,0.07,80232,0.049593253061175346
171105,55.39,3330,-2.068616164514016,993,0.07,80552,0.03733986779116094
171614,55.27,3340,-2.081282414301808,995,0.07,80800,0.05124943796545267
172142,55.33,3350,-2.0596100218679823,998,0.07,81064,0.04351290175691247
173033,57.04,3360,-2.087224918245995,1003,0.07,81512,0.04076771717518568
173668,57.42,3370,-2.094242520069803,1007,0.07,81832,0.04293267847970128
174239,58.76,3380,-2.1246575248403055,1010,0.07,82112,0.05954967997968197
174754,60.34,3390,-2.1577105823208536,1012,0.07,82376,0.04544174554757774
175243,59.89,3400,-2.1808429791167363,1015,0.07,82616,0.032728980062529445
175577,58.61,3410,-2.1415031991657894,1017,0.07,82784,0.05487260781228542
175977,53.98,3420,-1.7513965110785188,1019,0.07,82984,0.03609048295766115
176381,51.76,3430,-1.7114373863477708,1022,0.07,83184,0.033697444247081876
176856,51.42,3440,-1.7019910159347211,1024,0.07,83424,0.0347993285395205
177223,49.81,3450,-1.676338637533425,1027,0.07,83608,0.05126196169294417
177723,45.9,3460,-1.568490527049448,1029,0.07,83856,0.05222259974107146
178190,44.22,3470,-1.5310436256313937,1032,0.07,84088,0.04647458577528596
178632,42.93,3480,-1.482877503810126,1035,0.07,84312,0.04547412134706974
179060,42.06,3490,-1.4880656546710034,1037,0.07,84528,0.050380978267639875
179460,41.17,3500,-1.4451704511160017,1039,0.07,84728,0.03946124389767647
179826,41.49,3510,-1.4569544396491279,1041,0.07,84912,0.041208406211808324
180129,40.52,3520,-1.4285755554645234,1043,0.07,85064,0.03879124345257878
180490,40.09,3530,-1.4209184496487957,1045,0.07,85240,0.03124306444078684
181048,40.92,3540,-1.4289718061721022,1048,0.07,85520,0.03075138689018786
181512,41.89,3550,-1.4382825682123002,1050,0.07,85752,0.029328451259061694
181947,41.24,3560,-1.4310801970388547,1053,0.07,85968,0.03638787497766316
182488,41.98,3570,-1.4415978199069572,1056,0.07,86240,0.03493229439482093
182794,40.62,3580,-1.4241404666268542,1058,0.07,86392,0.04366721073165536
183353,41.93,3590,-1.4773047854975412,1061,0.07,86672,0.03287546802312136
