rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.07,760,124959,137.38,3.6262494413248083,604,57472,0.025184575089951977
0.07,770,126906,150.42,3.953348908803244,614,58448,0.059812172199599445
0.07,780,128846,156.12,4.090246679594025,624,59416,0.036211748723872006
0.07,790,130421,159.4,4.1549651325169625,632,60208,0.0940486746840179
0.07,800,132338,166.01,4.35045633342137,642,61168,0.07122481829719618
0.07,810,134236,168.35,4.33396431301617,652,62112,0.037290195425157435
0.07,820,135757,173.0,4.461914604572362,660,62872,0.02341597892518621
0.07,830,137576,175.12,4.507633293277385,669,63784,0.037513620816753246
0.07,840,138997,175.67,4.5989721595679605,676,64496,0.07129509092192166
0.07,850,140720,179.47,4.690951196406772,685,65352,0.09298052373924293
0.07,860,142849,177.9,4.623670869760337,696,66424,0.06942903510935139
0.07,870,144575,175.69,4.575421008307169,705,67280,0.047589148074621335
0.07,880,146924,179.78,4.827046578586781,717,68456,0.059755347174359486
0.07,890,148579,180.58,4.967117806381575,725,69288,0.047204299436998554
0.07,900,150167,177.29,4.890352586581081,733,70080,0.0805712414876325
0.07,910,152653,183.17,5.128363856834526,746,71320,0.03633403786807321
0.07,920,154377,185.2,5.302608401583886,755,72184,0.058162073750281706
0.07,930,157052,193.76,5.534356279340905,769,73520,0.03794568293960765
0.07,940,159074,199.77,5.616904615165928,779,74536,0.05899985280120745
0.07,950,161372,205.52,5.773567339753112,791,75680,0.048731674964074045
0.07,960,163125,201.76,5.683419060317662,800,76560,0.04925580494455062
0.07,970,165440,207.65,5.859804266048782,812,77712,0.08276764047332108
0.07,980,167450,204.26,5.631145092892152,822,78720,0.09045371200772934
0.07,990,169571,208.92,5.618641297464035,833,79784,0.04764786746818572
0.07,1000,171225,209.58,5.583864918577201,841,80608,0.014892831968609244
0.07,1010,173051,202.98,5.3570651615974985,851,81520,0.08144500998605508
0.07,1020,174506,200.29,5.174326492402396,860,82248,0.03744175714382436
0.07,1030,176033,188.81,4.8801861783897875,869,83016,0.08221704658353701
0.07,1040,177842,186.68,4.8179796749623875,878,83920,0.05995914069353603
0.07,1050,179394,179.22,4.62796319215792,886,84696,0.02591836135252379
0.07,1060,180662,174.37,4.533236133858588,892,85328,0.04901186235656496
0.07,1070,182664,171.24,4.425038762235761,903,86328,0.04883107906789519
0.07,1080,184669,171.19,4.409244515560714,913,87328,0.0373808584845392
0.07,1090,186627,169.56,4.388886975335695,923,88312,0.047456826781854033
0.07,1100,188612,172.87,4.498863778895135,934,89304,0.07819073781138286
0.07,1110,190889,177.38,4.606367747773254,945,90440,0.11367926999810152
0.07,1120,192540,179.34,4.614375932006492,954,91264,0.07977529418712948
0.07,1130,193891,177.58,4.564608885639473,961,91944,0.023809249061741866
0.07,1140,195681,177.39,4.5409243085009985,970,92840,0.05633326823590323
0.07,1150,196860,173.66,4.4341702287240405,976,93424,0.05774449364980683
0.07,1160,198302,175.4,4.496753301127081,983,94144,0.04778982140123844
0.07,1170,199503,167.39,4.281911504685534,990,94744,0.01348307948501315
