time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates
20,10,0.965125,3000,-277.3310044043899,299.0,,
40,20,0.9302499999999999,6000,-279.7592670426539,299.0,,
62,30,0.8953749999999999,9000,-280.7192056834262,299.0,,
83,40,0.8604999999999999,12000,-280.0646191294889,299.0,,
105,50,0.8256250000000002,15000,-278.35006724509395,299.0,,
126,60,0.7907500000000001,18000,-279.0032771081982,299.0,,
150,70,0.7558750000000001,21000,-279.3085805406744,299.0,0.01657137821894139,496
176,80,0.7210000000000001,24000,-273.8022195548143,299.0,0.06743066036142409,1992
203,90,0.6861250000000001,27000,-268.92134449471024,299.0,0.19239108450710773,3496
229,100,0.65125,30000,-264.5321573926799,299.0,0.30510958284139633,4992
256,110,0.6163749999999999,33000,-258.7167014183303,299.0,0.5040501579642296,6496
283,120,0.5815000000000001,36000,-252.88283217997545,299.0,0.6080390401184559,7992
310,130,0.5466249999999999,39000,-246.37348731545617,299.0,0.7018211521208286,9496
337,140,0.5117500000000001,42000,-240.56702297751863,299.0,0.6763605922460556,10992
365,150,0.47687500000000016,45000,-232.3213599620353,299.0,0.9478857293725014,12496
392,160,0.44200000000000006,48000,-224.83813112177558,299.0,1.0175812616944313,13992
417,170,0.4110193750000001,50665,-207.72580504109746,295.65,1.1746817156672478,15328
430,180,0.3936981250000001,52155,-191.5911880502373,280.55,1.0592096634209156,16072
436,190,0.386351125,52787,-172.18401298077998,256.87,1.3437954187393188,16392
445,200,0.3758305000000003,53692,-154.22395671784386,235.92,1.63013556599617,16840
455,210,0.3637870000000001,54728,-137.383449898336,216.28,1.8622914403676987,17360
460,220,0.35637025,55366,-118.81670746397184,192.66,1.303328350186348,17680
467,230,0.3478723750000001,56097,-101.72439312905063,169.97,1.3083558678627014,18048
473,240,0.34067650000000016,56716,-83.18232233219773,146.16,1.6885426044464111,18352
481,250,0.33038837499999996,57601,-69.03880636264199,125.01,1.924100935459137,18800
490,260,0.31950737500000015,58537,-53.04515248377415,104.37,1.7039466053247452,19264
496,270,0.31209062500000007,59175,-45.13467974257809,84.1,2.2329604029655457,19584
505,280,0.301442125,60091,-42.90499231940589,78.36,2.079435296356678,20040
512,290,0.29227000000000003,60880,-43.92592110826175,79.93,1.6205161735415459,20432
518,300,0.2849695000000003,61508,-43.20792083801422,77.16,1.5887979418039322,20752
524,310,0.2779363750000001,62113,-41.23234535349051,72.85,1.939591333270073,21056
530,320,0.2703801250000003,62763,-40.87961823732653,72.97,2.6041666865348816,21376
537,330,0.2617892500000002,63502,-40.13785878775267,73.05,1.758435606956482,21744
542,340,0.25522112499999994,64067,-39.85506457798266,72.51,1.7642588764429092,22032
548,350,0.24821125,64670,-38.13067273977344,69.69,2.0687312334775925,22328
554,360,0.24014350000000018,65364,-36.757099716622825,67.27,2.20744389295578,22680
562,370,0.23055287499999988,66189,-38.31886184758698,69.14,2.5447795391082764,23088
567,380,0.2241591249999999,66739,-35.95888879510441,65.48,2.2075037211179733,23368
572,390,0.2179746250000002,67271,-33.63491415549948,62.91,2.1964883655309677,23632
580,400,0.20826775000000008,68106,-34.483141161582346,64.98,2.4683200418949127,24048
588,410,0.1987468750000001,68925,-36.207990158696376,67.12,2.250840574502945,24456
598,420,0.18625000000000014,70000,-39.01438104392624,71.37,2.8040325939655304,24992
615,430,0.1648948750000001,71837,-45.774728968520904,82.35,2.491555854678154,25912
629,440,0.14828275000000002,73266,-50.329054033887495,90.99,2.534016117453575,26632
642,450,0.13284475000000007,74594,-53.48635994704399,98.24,2.722366154193878,27296
654,460,0.1171858750000001,75941,-55.8078392535066,104.77,3.151876449584961,27968
669,470,0.09872537500000012,77529,-57.100855501597124,112.4,3.3341908752918243,28760
680,480,0.08533337500000016,78681,-58.60501652774941,118.42,2.452324792742729,29336
700,490,0.07,80778,-62.24695877001409,134.07,2.7914450466632843,30384
714,500,0.07,82210,-63.26471444106612,140.04,3.1860814094543457,31104
728,510,0.07,83668,-61.722978009016806,146.43,2.48908831179142,31832
751,520,0.07,86156,-60.78125543331089,160.56,2.8772877156734467,33072
776,530,0.07,88687,-56.98174628905206,167.5,3.1403143107891083,34336
803,540,0.07,91605,-57.29010206044386,182.39,2.7150930762290955,35800
825,550,0.07,93909,-56.48849521762209,192.15,3.0074827075004578,36952
846,560,0.07,96120,-56.71898926621676,200.79,2.5858296751976013,38056
870,570,0.07,98609,-60.546220242150085,209.8,3.342830389738083,39304
892,580,0.07,100890,-64.22482493638526,221.09,3.877552419900894,40440
904,590,0.07,102155,-61.56178585174141,212.77,3.247807264328003,41072
918,600,0.07,103608,-61.15598356589201,212.98,3.680433928966522,41800
936,610,0.07,105521,-64.70891648705081,217.53,4.063569188117981,42760
951,620,0.07,107126,-63.42124717538191,208.7,3.443963646888733,43560
963,630,0.07,108358,-59.79836480194822,195.71,3.811560422182083,44176
981,640,0.07,110147,-57.72181359648095,184.42,3.814991533756256,45072
998,650,0.07,111955,-57.52695570359261,179.46,3.6923376321792603,45976
1020,660,0.07,114298,-59.31329526487106,180.78,3.70538392663002,47144
1046,670,0.07,116919,-66.57362293024502,182.1,3.70053518563509,48456
1070,680,0.07,119405,-71.14267601831014,184.15,3.908460557460785,49696
1092,690,0.07,121599,-79.53013786804344,193.44,3.9789856672286987,50792
1112,700,0.07,123738,-78.54532413208292,200.3,4.086440563201904,51864
1135,710,0.07,126197,-77.3884456026874,205.76,4.900669693946838,53096
1163,720,0.07,129150,-76.83945389940486,219.24,4.754011154174805,54568
1185,730,0.07,131530,-77.44920899490812,230.72,4.695700466632843,55760
1205,740,0.07,133597,-76.6832382934113,233.5,4.444475054740906,56792
1226,750,0.07,135774,-76.35566265988064,237.19,4.516281843185425,57880
1246,760,0.07,137818,-73.64402554680466,234.2,4.135494887828827,58904
1265,770,0.07,139828,-60.36110696518133,228.09,5.252075701951981,59912
1280,780,0.07,141417,-51.13903950294786,219.12,4.497157841920853,60704
1300,790,0.07,143472,-44.34243470992442,217.73,4.614727258682251,61728
1315,800,0.07,145051,-43.27196720689424,212.13,4.074786186218262,62520
1335,810,0.07,147228,-42.957402002034904,209.31,3.8563293516635895,63608
1357,820,0.07,149476,-43.66337846917583,202.26,5.087135970592499,64736
1376,830,0.07,151464,-43.57826660310144,198.34,3.7922735512256622,65728
1401,840,0.07,154093,-44.159526085870596,203.96,3.7382982671260834,67040
1423,850,0.07,156472,-43.483638091546254,205.98,3.101196050643921,68232
1447,860,0.07,159039,-43.05046797237284,211.21,3.2731281220912933,69512
1470,870,0.07,161485,-45.13286595209537,215.57,3.182494640350342,70736
1492,880,0.07,163793,-46.92903024878419,222.76,3.4643426686525345,71896
1514,890,0.07,166136,-48.46000770887072,225.64,2.696711003780365,73064
1531,900,0.07,168007,-51.32758758505932,228.56,2.3890568763017654,74000
1548,910,0.07,169759,-51.724935158386145,224.31,2.550922065973282,74872
1562,920,0.07,171265,-51.125115258676615,216.89,2.453916296362877,75632
1581,930,0.07,173365,-55.1738374806249,218.01,3.0696488320827484,76680
1601,940,0.07,175357,-58.11044881968029,211.64,2.432955250144005,77672
1617,950,0.07,177093,-61.50248653854274,205.21,2.575637474656105,78544
1641,960,0.07,179621,-68.71624797776241,204.82,2.2905486077070236,79808
1666,970,0.07,182244,-76.10943383254394,206.59,1.503648966550827,81120
1693,980,0.07,184878,-78.33098008949543,209.85,1.3449452817440033,82432
1709,990,0.07,186511,-77.34830764767423,202.75,1.4871397018432617,83248
1731,1000,0.07,188811,-78.60190177348126,207.04,1.4280990362167358,84400
1744,1010,0.07,190151,-78.20735812559664,202.92,1.3901413306593895,85072
1763,1020,0.07,192143,-80.37282869411813,207.78,1.0142942890524864,86064
1783,1030,0.07,194204,-81.85877000046764,207.39,1.2866342440247536,87096
1799,1040,0.07,195801,-77.69377666259602,203.44,1.0036700293421745,87896
1818,1050,0.07,197832,-79.1728273685912,206.39,1.3336933106184006,88912
1838,1060,0.07,199898,-71.34863927384592,201.77,1.430947907269001,89944
