rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates
95.3,9.530000000000006,490,358,54218,0.07,0.06332976566045545,22104
95.93,9.593000000000005,500,367,55258,0.07,0.0938378405990079,22624
99.31,9.931000000000006,510,375,56327,0.07,0.14245704893255606,23160
97.61,9.761000000000005,520,382,57190,0.07,0.15722448064479977,23592
92.46,9.246000000000006,530,386,57560,0.07,0.23591022321488708,23776
94.46,9.446000000000002,540,394,58600,0.07,0.14436579984612763,24296
91.01,9.101,550,398,59136,0.07,0.14292377780657262,24560
87.63,8.762999999999998,560,404,59944,0.07,0.07863956422079355,24968
84.12,8.411999999999995,570,410,60605,0.07,0.19344338463270105,25296
85.18,8.517999999999995,580,419,61673,0.07,0.19136155303567648,25832
84.92,8.491999999999994,590,428,62810,0.07,0.22640145177138038,26400
85.32,8.531999999999993,600,437,63890,0.07,0.09991677984362468,26944
82.78,8.277999999999993,610,444,64705,0.07,0.1148029172909446,27352
84.08,8.40799999999999,620,452,65698,0.07,0.1635766769759357,27848
89.8,8.979999999999992,630,459,66640,0.07,0.2135368540766649,28312
87.86,8.785999999999992,640,466,67486,0.07,0.16439576802076772,28736
97.37,9.736999999999997,650,478,68973,0.07,0.16561888743308373,29480
102.3,10.229999999999997,660,488,70274,0.07,0.18226847908226773,30136
102.94,10.293999999999997,670,494,70999,0.07,0.1175924630369991,30496
100.56,10.055999999999997,680,501,71829,0.07,0.1169451329333242,30912
98.75,9.875,690,509,72785,0.07,0.11909251433098689,31392
94.98,9.498000000000001,700,515,73488,0.07,0.13834555458743125,31736
95.15,9.515,710,522,74320,0.07,0.16927172351279296,32152
94.32,9.432000000000004,720,529,75230,0.07,0.23648657801095396,32608
93.51,9.351000000000004,730,536,76091,0.07,0.1544555849104654,33040
91.14,9.114000000000003,740,541,76700,0.07,0.20399425842333585,33344
82.81,8.280999999999999,750,547,77354,0.07,0.18400641123298556,33672
77.32,7.731999999999998,760,553,78106,0.07,0.18779841274954379,34048
77.73,7.772999999999999,770,559,78872,0.07,0.13690049012075178,34432
81.65,8.165,780,569,80094,0.07,0.17100949585437775,35040
81.5,8.149999999999999,790,577,81035,0.07,0.17358410847373307,35512
81.2,8.119999999999997,800,582,81708,0.07,0.13852983963442966,35848
82.31,8.230999999999998,810,590,82651,0.07,0.07330582378199324,36320
81.81,8.180999999999997,820,597,83511,0.07,0.22539160508313216,36752
79.97,7.996999999999998,830,603,84188,0.07,0.17720414669020101,37088
85.1,8.509999999999998,840,612,85310,0.07,0.1539709303760901,37648
86.22,8.621999999999998,850,618,86076,0.07,0.06978648283984512,38032
91.75,9.175,860,629,87381,0.07,0.21423771796980873,38688
95.04,9.504000000000005,870,637,88476,0.07,0.16191566869383678,39232
93.53,9.353000000000005,880,645,89547,0.07,0.21599098294973373,39768
97.14,9.714000000000006,890,656,90849,0.07,0.14469439664389938,40424
97.56,9.756000000000007,900,661,91564,0.07,0.14285976631799713,40776
94.18,9.418000000000006,910,666,92169,0.07,0.11104464533855207,41080
100.62,10.06200000000001,920,678,93673,0.07,0.2523156178649515,41832
103.79,10.379000000000012,930,686,94667,0.07,0.11126215948024765,42328
106.77,10.677000000000014,940,698,96087,0.07,0.18108439864590764,43040
108.11,10.811000000000018,950,705,96987,0.07,0.1299527377996128,43488
102.06,10.206000000000014,960,710,97687,0.07,0.18120586429722607,43840
98.8,9.88000000000001,970,716,98456,0.07,0.0585553718265146,44224
95.51,9.551000000000009,980,723,99198,0.07,0.15016943775117397,44592
90.95,9.095000000000008,990,730,100044,0.07,0.17000962610472925,45016
90.67,9.067000000000009,1000,735,100731,0.07,0.33168924041092396,45360
96.67,9.667000000000009,1010,745,101936,0.07,0.09532468963880092,45960
91.14,9.114000000000006,1020,752,102887,0.07,0.18568968269391917,46440
86.29,8.629000000000003,1030,756,103396,0.07,0.2375370190711692,46696
81.53,8.153000000000006,1040,764,104340,0.07,0.24191489070653915,47168
78.23,7.823000000000002,1050,768,104910,0.07,0.34683554130606353,47448
79.49,7.949000000000002,1060,775,105736,0.07,0.11170080225565471,47864
77.4,7.740000000000001,1070,779,106296,0.07,0.23897061788011342,48144
75.45,7.545000000000003,1080,784,106843,0.07,0.11482994124526158,48416
72.26,7.226000000000003,1090,788,107370,0.07,0.20386515039717779,48680
70.08,7.008000000000001,1100,792,107839,0.07,0.24149211833719164,48912
67.12,6.712000000000001,1110,800,108748,0.07,0.17303602007450536,49368
68.42,6.842000000000001,1120,809,109829,0.07,0.171442209451925,49912
68.87,6.887000000000001,1130,814,110383,0.07,0.20699308009352535,50184
70.28,7.028,1140,823,111468,0.07,0.22345345665235072,50728
70.45,7.045000000000001,1150,827,112055,0.07,0.09687717983615585,51024
76.71,7.671000000000006,1160,839,113507,0.07,0.24869706539902836,51752
81.01,8.101000000000004,1170,846,114497,0.07,0.09662370089790784,52248
83.29,8.329,1180,853,115272,0.07,0.22745723015395924,52632
84.96,8.496000000000002,1190,858,115966,0.07,0.22564875887474045,52976
90.24,9.024000000000003,1200,866,116963,0.07,0.15079724029055797,53480
85.73,8.573000000000002,1210,870,117421,0.07,0.17085602460429072,53704
83.79,8.379000000000001,1220,877,118308,0.07,0.17011516203638166,54152
88.81,8.881,1230,886,119364,0.07,0.24269585136789829,54680
86.96,8.696,1240,893,120264,0.07,0.17153498576954007,55128
91.38,9.137999999999998,1250,902,121293,0.07,0.1515515529899858,55640
81.77,8.176999999999998,1260,906,121784,0.07,0.20875361404614523,55888
79.14,7.913999999999999,1270,912,122511,0.07,0.24001852731453255,56248
81.93,8.193,1280,921,123565,0.07,0.17214742582291365,56776
80.34,8.033999999999999,1290,925,124100,0.07,0.16789520281599835,57048
77.03,7.702999999999996,1300,931,124766,0.07,0.2640432324260473,57376
81.34,8.133999999999997,1310,938,125655,0.07,0.17221917578717694,57824
87.61,8.761000000000001,1320,950,127169,0.07,0.07756580985733308,58584
84.12,8.411999999999999,1330,955,127876,0.07,0.2873658128082752,58936
84.86,8.485999999999999,1340,963,128850,0.07,0.24651400311267935,59424
88.0,8.799999999999997,1350,976,130193,0.07,0.061612957157194614,60096
91.83,9.182999999999996,1360,983,131067,0.07,0.17131766123929992,60528
100.28,10.027999999999997,1370,994,132639,0.07,0.2297367086284794,61312
105.83,10.583000000000004,1380,1006,134248,0.07,0.22858116670977324,62120
108.44,10.844,1390,1013,135044,0.07,0.20749857684131712,62520
111.61,11.161,1400,1020,136027,0.07,0.27686358900973573,63008
113.68,11.368000000000006,1410,1029,137123,0.07,0.1744365502090659,63560
108.23,10.823000000000002,1420,1037,138092,0.07,0.15244504174916074,64040
107.74,10.774000000000001,1430,1042,138750,0.07,0.27621705681667663,64368
111.57,11.157000000000004,1440,1054,140107,0.07,0.2098095856490545,65048
111.94,11.194000000000006,1450,1065,141487,0.07,0.15690043539507315,65736
117.05,11.70500000000001,1460,1076,142872,0.07,0.2678995726746507,66432
112.33,11.233000000000011,1470,1084,143972,0.07,0.24859294810448773,66984
107.12,10.712000000000007,1480,1093,145060,0.07,0.19556228231522255,67528
107.25,10.725000000000007,1490,1100,145869,0.07,0.19807647273410112,67928
111.79,11.17900000000001,1500,1112,147306,0.07,0.09987722759251483,68648
116.04,11.604000000000012,1510,1124,148827,0.07,0.19390198402106762,69408
113.28,11.328000000000008,1520,1130,149520,0.07,0.155005643988261,69752
119.15,11.915000000000013,1530,1140,150765,0.07,0.2319815827650018,70376
112.9,11.290000000000012,1540,1146,151497,0.07,0.15659757281537168,70744
111.79,11.17900000000001,1550,1157,152766,0.07,0.21729352229158394,71376
107.71,10.771000000000006,1560,1165,153743,0.07,0.1544561623595655,71864
104.57,10.457000000000008,1570,1171,154529,0.07,0.1195160651113838,72264
110.47,11.047000000000011,1580,1184,156207,0.07,0.15881327528040856,73096
109.91,10.991000000000016,1590,1191,156960,0.07,0.2893261926365085,73472
109.2,10.920000000000014,1600,1202,158326,0.07,0.21291761568863876,74160
105.2,10.520000000000014,1610,1211,159447,0.07,0.13700070802588016,74720
104.08,10.408000000000015,1620,1216,160028,0.07,0.13837765605421737,75008
100.1,10.010000000000012,1630,1222,160875,0.07,0.19079094665357843,75432
100.32,10.03200000000001,1640,1228,161629,0.07,0.311626512586372,75808
96.72,9.672000000000004,1650,1236,162538,0.07,0.23282157990615815,76264
93.74,9.374000000000004,1660,1241,163217,0.07,0.23594900470925495,76608
94.94,9.494000000000005,1670,1249,164123,0.07,0.25189206178765744,77056
89.23,8.923,1680,1257,165230,0.07,0.20883926827809773,77608
87.31,8.731,1690,1262,165791,0.07,0.21685062639880925,77888
85.2,8.519999999999994,1700,1271,166946,0.07,0.21508629285381176,78472
81.87,8.186999999999994,1710,1277,167734,0.07,0.1746842303837184,78864
81.45,8.144999999999996,1720,1282,168273,0.07,0.23228214937262237,79136
81.08,8.107999999999993,1730,1288,169083,0.07,0.23859321896452457,79536
80.35,8.034999999999993,1740,1294,169764,0.07,0.17457673186436296,79880
76.23,7.622999999999994,1750,1298,170261,0.07,0.3341601693537086,80128
77.59,7.758999999999994,1760,1305,171076,0.07,0.15612226276425645,80536
74.01,7.4009999999999945,1770,1309,171624,0.07,0.19729327486129478,80808
69.35,6.934999999999995,1780,1314,172265,0.07,0.15713208372471854,81128
70.45,7.044999999999995,1790,1320,172936,0.07,0.17587280366569757,81464
65.71,6.570999999999991,1800,1325,173617,0.07,0.2296663400484249,81808
67.69,6.768999999999995,1810,1333,174603,0.07,0.16209370404249057,82296
71.89,7.188999999999996,1820,1341,175562,0.07,0.19829745509196073,82776
73.53,7.352999999999997,1830,1349,176536,0.07,0.195890487433644,83264
74.4,7.440000000000002,1840,1356,177304,0.07,0.19508040242362767,83648
75.98,7.598000000000001,1850,1361,177959,0.07,0.19945370967616327,83976
78.64,7.864,1860,1370,179040,0.07,0.23655253610922955,84512
82.52,8.252,1870,1378,179976,0.07,0.27681568561820313,84984
83.62,8.362000000000002,1880,1384,180727,0.07,0.19601132156094536,85360
85.2,8.520000000000003,1890,1391,181556,0.07,0.17858503165189177,85776
89.57,8.957000000000006,1900,1400,182674,0.07,0.27106786012882367,86336
91.5,9.150000000000004,1910,1410,183853,0.07,0.38940101861953735,86920
86.17,8.617000000000003,1920,1413,184279,0.07,0.23836936888983473,87136
85.63,8.563000000000002,1930,1421,185199,0.07,0.15931914775865152,87592
86.2,8.62,1940,1427,186024,0.07,0.11789547570515424,88008
89.33,8.933000000000002,1950,1436,186992,0.07,0.2302041523216758,88488
92.04,9.204000000000004,1960,1447,188344,0.07,0.39237960427999496,89168
92.82,9.282000000000005,1970,1455,189358,0.07,0.09956162684829906,89672
103.29,10.329000000000006,1980,1470,191156,0.07,0.17334895679960027,90576
110.27,11.027000000000012,1990,1483,192683,0.07,0.15660372670390643,91336
111.83,11.183000000000014,2000,1494,193957,0.07,0.15931267954874784,91976
110.55,11.055000000000016,2010,1502,195008,0.07,0.34080435597570613,92496
112.18,11.218000000000018,2020,1507,195597,0.07,0.23264488903805614,92792
114.72,11.472000000000016,2030,1516,196771,0.07,0.23852676304522902,93384
113.61,11.361000000000017,2040,1522,197485,0.07,0.14987988211214542,93736
114.61,11.461000000000018,2050,1531,198553,0.07,0.2661270031821914,94272
113.43,11.343000000000018,2060,1541,199787,0.07,0.1592598264105618,94888
