time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
528,35.01,1200,65385,0.07,-1.8141548137457144,27688,0.14337738370522857
533,36.43,1210,65858,0.07,-1.8870746346917682,27928,0.1169356934260577
538,38.75,1220,66391,0.07,-2.040739235129053,28192,0.13504351722076535
540,37.1,1230,66648,0.07,-1.9369965101312112,28320,0.12210397887974977
543,36.18,1240,66937,0.07,-1.9055765197951227,28464,0.14472075831145048
545,35.34,1250,67224,0.07,-1.8399817761051096,28608,0.18498864001594484
549,36.41,1260,67638,0.07,-1.8731861625783797,28816,0.12839253526180983
552,35.4,1270,67952,0.07,-1.8006147394051917,28968,0.13474749913439155
554,33.28,1280,68163,0.07,-1.6475691133077552,29080,0.18403884675353765
557,32.42,1290,68433,0.07,-1.5710394498793772,29216,0.16267665894702077
560,32.58,1300,68743,0.07,-1.5970212912306874,29368,0.20225837407633662
564,32.38,1310,69196,0.07,-1.5421624766063613,29592,0.12179925199598074
567,30.26,1320,69517,0.07,-1.399623427337595,29752,0.16878329729661345
570,30.74,1330,69822,0.07,-1.420337835640927,29904,0.18106256378814578
574,31.99,1340,70236,0.07,-1.449449275226216,30112,0.1688614112790674
579,34.2,1350,70744,0.07,-1.5332081832971727,30368,0.17624754644930363
582,33.26,1360,71064,0.07,-1.501603907117438,30528,0.2047974441666156
584,33.4,1370,71392,0.07,-1.5268452046954264,30688,0.17782853916287422
587,34.23,1380,71686,0.07,-1.5880228313946079,30840,0.2153379525989294
591,35.4,1390,72073,0.07,-1.7050453557588972,31032,0.21159710502251983
594,35.48,1400,72391,0.07,-1.7239395939943092,31192,0.14109247946180403
597,33.86,1410,72682,0.07,-1.659151176542008,31336,0.15831425972282887
600,34.4,1420,73057,0.07,-1.6919009258344702,31528,0.1828262358903885
604,35.41,1430,73463,0.07,-1.7619520781486981,31728,0.1628392725251615
607,35.14,1440,73850,0.07,-1.8008206380475866,31920,0.16572991712018847
611,33.48,1450,74192,0.07,-1.764009274276695,32088,0.23293791338801384
613,33.18,1460,74482,0.07,-1.7427470534920264,32240,0.15008629905059934
618,34.45,1470,74937,0.07,-1.8377037144874913,32464,0.14657359360717237
620,34.4,1480,75226,0.07,-1.8288494923900072,32608,0.15636106976307929
623,33.3,1490,75503,0.07,-1.7226984231451745,32744,0.1529045905917883
627,34.7,1500,75961,0.07,-1.75761548330354,32976,0.14773381035774946
630,35.04,1510,76286,0.07,-1.7632462474496524,33136,0.15466968528926373
633,34.08,1520,76565,0.07,-1.7410346739219429,33280,0.16409813333302736
636,32.83,1530,76846,0.07,-1.6663549275752028,33416,0.17628363519906998
639,31.79,1540,77129,0.07,-1.5917078176014785,33560,0.17359354346990585
643,32.29,1550,77521,0.07,-1.5813750182865476,33760,0.1811746684834361
646,32.84,1560,77866,0.07,-1.6323658117589046,33928,0.18208059389144182
650,31.91,1570,78228,0.07,-1.5452734749923145,34112,0.19257813692092896
653,32.6,1580,78586,0.07,-1.5443397226568434,34288,0.18071385379880667
656,33.1,1590,78913,0.07,-1.572526840554836,34456,0.17163679283112288
660,32.03,1600,79264,0.07,-1.5386901537739102,34624,0.13970337994396687
662,31.4,1610,79526,0.07,-1.5209955302780083,34760,0.15266329515725374
666,32.12,1620,79877,0.07,-1.5483991405378874,34936,0.17105418350547552
670,33.44,1630,80290,0.07,-1.6595781903996076,35144,0.15017667319625616
672,33.36,1640,80565,0.07,-1.6599672597836908,35280,0.18976875045336783
676,32.64,1650,80885,0.07,-1.6369376449836666,35440,0.09596829488873482
678,31.71,1660,81137,0.07,-1.579892012044901,35568,0.18211511988192797
683,32.76,1670,81604,0.07,-1.706509247604821,35800,0.12707624793983996
686,32.02,1680,81888,0.07,-1.6996702658056844,35936,0.20056358678266406
689,31.87,1690,82200,0.07,-1.7153547167322727,36096,0.19410077575594187
692,31.8,1700,82544,0.07,-1.6897555376476794,36264,0.13193731755018234
696,33.45,1710,82971,0.07,-1.8376472498075536,36480,0.2274366868659854
700,33.46,1720,83323,0.07,-1.83849479672713,36656,0.14202531892806292
703,32.7,1730,83660,0.07,-1.7696707777373835,36824,0.21353841293603182
707,34.06,1740,84071,0.07,-1.808415649908989,37032,0.1380416597239673
710,34.09,1750,84394,0.07,-1.8028455432705188,37192,0.18223333172500134
714,35.52,1760,84789,0.07,-1.8751696045915933,37392,0.13317894889041781
718,34.86,1770,85190,0.07,-1.8000448943563037,37592,0.1677892478182912
722,36.07,1780,85595,0.07,-1.896623845401763,37792,0.19191618636250496
724,35.37,1790,85837,0.07,-1.8444304200178103,37912,0.17718693986535072
728,35.35,1800,86179,0.07,-1.8928642998169247,38088,0.15353870391845703
732,34.99,1810,86570,0.07,-1.8102764171019863,38280,0.1854936215095222
736,35.36,1820,86959,0.07,-1.8226549215323145,38472,0.16743907611817122
738,34.68,1830,87228,0.07,-1.7545777634516546,38608,0.15211330680176616
742,34.47,1840,87618,0.07,-1.8115933522749375,38808,0.17456589918583632
745,34.58,1850,87952,0.07,-1.8173413209414309,38968,0.20010340865701437
748,33.35,1860,88224,0.07,-1.7595539158861038,39104,0.1481380732730031
751,32.72,1870,88562,0.07,-1.6896906097233386,39280,0.12014071689918637
755,32.54,1880,88949,0.07,-1.6440198069157044,39472,0.15753059182316065
760,34.83,1890,89420,0.07,-1.7339904009929052,39704,0.16492879576981068
764,35.48,1900,89827,0.07,-1.7940440789811678,39912,0.1805210243910551
767,34.63,1910,90133,0.07,-1.7336539318344821,40064,0.1490924209356308
770,33.6,1920,90419,0.07,-1.6974556776526477,40208,0.14667660323902965
774,35.26,1930,90854,0.07,-1.818510008625407,40424,0.17749384604394436
778,35.36,1940,91254,0.07,-1.7894033974987078,40624,0.19666189886629581
781,35.38,1950,91590,0.07,-1.7544608562346071,40792,0.17162814177572727
785,36.48,1960,91972,0.07,-1.7828685297030182,40984,0.1817694939672947
789,37.02,1970,92364,0.07,-1.837057844671867,41176,0.183557553216815
792,36.17,1980,92666,0.07,-1.782985414202384,41328,0.1381646147929132
796,35.74,1990,93094,0.07,-1.798558876112539,41544,0.14222906064242125
800,36.04,2000,93531,0.07,-1.7536158060543763,41760,0.1833580620586872
805,37.26,2010,93959,0.07,-1.8608846929839873,41976,0.14534970093518496
808,37.96,2020,94315,0.07,-1.8456388383372908,42152,0.16218783520162106
812,37.08,2030,94662,0.07,-1.8090780424001052,42328,0.1531701786443591
815,36.34,2040,94988,0.07,-1.7649649751160095,42488,0.17692306078970432
818,36.3,2050,95320,0.07,-1.8199573819990877,42656,0.223229655995965
821,35.8,2060,95652,0.07,-1.8689387144037335,42824,0.10864504193887115
825,35.86,2070,96050,0.07,-1.8610692669572477,43024,0.15142164379358292
828,35.81,2080,96347,0.07,-1.9047478696492885,43168,0.18139492813497782
831,34.51,2090,96645,0.07,-1.828263461577962,43320,0.1452781679108739
835,34.26,2100,97057,0.07,-1.847614756591112,43528,0.2087232805788517
837,32.13,2110,97272,0.07,-1.705648000111908,43632,0.1962997391819954
841,32.68,2120,97683,0.07,-1.8373696882500483,43840,0.13469139486551285
844,32.99,2130,98061,0.07,-1.831252113770551,44024,0.13762253057211637
849,34.65,2140,98553,0.07,-1.9204516698579785,44272,0.14915471244603395
851,33.76,2150,98796,0.07,-1.8407821207139168,44392,0.16342196334153414
855,34.39,2160,99191,0.07,-1.8507171021710738,44592,0.15853043645620346
858,33.5,2170,99500,0.07,-1.8334877287654887,44744,0.15494663082063198
862,34.43,2180,99890,0.07,-1.8459525446311176,44944,0.15159272029995918
866,34.93,2190,100238,0.07,-1.8662711249023527,45112,0.1820437964051962
868,33.83,2200,100540,0.07,-1.794668008517799,45264,0.15685855131596327
872,35.59,2210,100931,0.07,-1.9080713169870613,45464,0.14966453332453966
876,35.15,2220,101298,0.07,-1.8028156254925503,45648,0.1434631827287376
878,34.51,2230,101612,0.07,-1.7608359836698386,45800,0.1416716263629496
882,33.93,2240,102046,0.07,-1.716703334110212,46016,0.1334912981837988
886,35.17,2250,102413,0.07,-1.787208078443574,46200,0.1660232162103057
891,36.85,2260,102976,0.07,-1.9109398043614043,46480,0.13299769815057516
894,37.59,2270,103359,0.07,-1.9122699698957266,46672,0.1301596537232399
897,36.61,2280,103651,0.07,-1.8588082846237515,46824,0.15403715800493956
900,36.57,2290,103995,0.07,-1.8571693316035038,46992,0.15463847760111094
903,36.43,2300,104283,0.07,-1.813767751894113,47136,0.13898324221372604
907,36.49,2310,104680,0.07,-1.7771492685833885,47336,0.14243206148967147
909,35.7,2320,104968,0.07,-1.7748506772458787,47480,0.17872770875692368
912,34.98,2330,105210,0.07,-1.7387180554770532,47600,0.13873470667749643
915,33.89,2340,105535,0.07,-1.691160661849395,47760,0.16219120379537344
919,33.72,2350,105885,0.07,-1.7101050122857862,47936,0.150942656211555
922,31.53,2360,106229,0.07,-1.512132354048123,48112,0.13946434389799833
925,31.21,2370,106580,0.07,-1.5299318453514428,48288,0.14539272896945477
928,31.3,2380,106881,0.07,-1.5432648867253462,48440,0.1262813936918974
931,30.79,2390,107174,0.07,-1.5170039126841488,48584,0.15295914001762867
934,30.66,2400,107449,0.07,-1.5448842446003315,48720,0.1562505392357707
937,29.66,2410,107746,0.07,-1.498455222481773,48872,0.16235771402716637
941,30.65,2420,108133,0.07,-1.5051758109620468,49064,0.12082880456000566
945,32.28,2430,108538,0.07,-1.5985023587052654,49264,0.13605117052793503
