rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates
83.78,-8.378000000000004,690,535,74834,0.07,0.07978830847423524,32416
83.63,-8.363000000000001,700,541,75523,0.07,0.06883192935492843,32760
81.76,-8.176,710,548,76339,0.07,0.14750762656331062,33168
78.47,-7.847000000000001,720,551,76739,0.07,0.08266134496079758,33368
81.26,-8.126000000000005,730,560,77852,0.07,0.10934930533403531,33920
78.06,-7.806000000000003,740,567,78641,0.07,0.18203374417498708,34320
83.13,-8.313000000000004,750,576,79698,0.07,0.07323535002069548,34848
85.55,-8.555000000000005,760,585,80761,0.07,0.14978167618392035,35376
88.14,-8.814000000000002,770,593,81642,0.07,0.09674224012997001,35816
90.86,-9.086000000000002,780,602,82814,0.07,0.10836381430272013,36400
87.14,-8.714,790,609,83648,0.07,0.08140158536843956,36816
86.97,-8.697000000000005,800,615,84320,0.07,0.13308031111955643,37152
85.61,-8.561000000000002,810,620,85000,0.07,0.10033140110317618,37496
91.98,-9.198,820,629,86037,0.07,0.12184789113234729,38016
92.83,-9.283000000000001,830,639,87235,0.07,0.08411248296033591,38616
90.98,-9.097999999999999,840,644,87839,0.07,0.1548749953508377,38912
86.33,-8.632999999999997,850,649,88431,0.07,0.12723772251047194,39208
83.33,-8.332999999999997,860,656,89194,0.07,0.15508879342814907,39592
82.87,-8.286999999999995,870,663,90029,0.07,0.09326228790450841,40008
78.53,-7.852999999999996,880,669,90767,0.07,0.17063951585441828,40376
78.87,-7.886999999999997,890,676,91635,0.07,0.08315754571231082,40816
79.12,-7.9119999999999955,900,682,92332,0.07,0.14483709482010454,41160
80.45,-8.044999999999995,910,689,93145,0.07,0.12059488357044756,41568
78.97,-7.8969999999999985,920,696,94034,0.07,0.10207963234279305,42016
76.6,-7.659999999999996,930,705,94995,0.07,0.1059229074162431,42496
79.53,-7.952999999999996,940,712,95892,0.07,0.10778859409037977,42944
81.63,-8.162999999999997,950,719,96694,0.07,0.16681653528939933,43344
81.22,-8.121999999999996,960,725,97416,0.07,0.08633935585385188,43704
79.69,-7.968999999999995,970,731,98098,0.07,0.15583760384470224,44048
77.87,-7.786999999999995,980,735,98654,0.07,0.05827960430178791,44320
