time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates
1100,135.05,739,101552,0.07,-5.484905594729785,0.14686041080858558,45768
1110,133.71,748,102658,0.07,-5.546471273489054,0.0867810885538347,46328
1120,139.75,757,103848,0.07,-5.7713654314703,0.08514026808552444,46920
1130,136.44,765,104918,0.07,-5.731222417797783,0.08828090358292684,47456
1140,129.7,771,105687,0.07,-5.558022792529934,0.15748586622066796,47840
1150,123.49,779,106626,0.07,-5.415538603445125,0.1680181184783578,48312
1160,124.73,790,107956,0.07,-5.542491174651042,0.12477805561502464,48976
1170,120.1,798,108982,0.07,-5.4029818423008305,0.15157865127548575,49488
1180,107.73,804,109727,0.07,-4.931848639328685,0.06656540551921353,49856
1190,106.64,815,111090,0.07,-5.011942520300948,0.14120076701510698,50544
1200,101.59,820,111811,0.07,-4.736532328931531,0.055901752319186926,50904
1210,96.9,825,112448,0.07,-4.531593358323681,0.07417466503102332,51216
1220,90.75,830,113023,0.07,-4.315233108815249,0.11009036283940077,51504
1230,87.12,836,113730,0.07,-4.1729287491518905,0.1193425809033215,51864
1240,85.76,840,114363,0.07,-4.041722195491591,0.09757627750514075,52176
1250,81.38,844,114864,0.07,-3.8367736175108185,0.11770999582950026,52424
1260,74.85,849,115541,0.07,-3.544491634822405,0.14284595276694745,52768
1270,67.5,852,115832,0.07,-3.24255875543013,0.1151597912539728,52912
1280,67.55,858,116582,0.07,-3.1869311181515916,0.08118596550775692,53288
1290,59.37,862,117127,0.07,-2.779646319198221,0.11337954516056925,53560
1300,57.68,867,117679,0.07,-2.6986849931091483,0.05491882795467973,53832
1310,59.78,873,118526,0.07,-2.7947453219741396,0.12741534505039454,54256
1320,59.13,878,119036,0.07,-2.7986200635566387,0.13015289511531591,54512
1330,60.21,884,119851,0.07,-2.845359470664053,0.12280266173183918,54920
1340,61.37,890,120600,0.07,-2.960106140633058,0.07630449149291962,55296
1350,68.72,900,121836,0.07,-3.3326346401190996,0.061219666386023164,55912
1360,67.17,905,122358,0.07,-3.2574340400571367,0.08822635060641915,56176
1370,73.79,912,123311,0.07,-3.5783418470036277,0.1189091969281435,56648
1380,80.29,924,124711,0.07,-3.9022109906885585,0.12528620561352,57352
1390,84.45,931,125672,0.07,-4.081053344075347,0.11423810414271429,57832
1400,93.54,943,127133,0.07,-4.523461051675786,0.10551781812682748,58560
1410,98.86,954,128512,0.07,-4.6710169961196435,0.12326099304482341,59248
1420,111.65,968,130301,0.07,-5.121409140229023,0.058990448829717934,60144
1430,116.89,978,131640,0.07,-5.354965469209265,0.10286435950547457,60816
1440,122.74,988,132974,0.07,-5.512684458562443,0.07271230942569673,61480
1450,127.15,1001,134651,0.07,-5.60419810747132,0.11496809404343367,62320
1460,140.9,1015,136548,0.07,-6.182974704123371,0.13052404765039682,63272
1470,146.12,1026,138023,0.07,-6.493210527876388,0.07661177800036967,64008
1480,144.84,1036,139295,0.07,-6.438287865931635,0.07393014221452177,64640
1490,149.44,1046,140716,0.07,-6.628026149961458,0.08029789896681905,65352
1500,158.15,1065,143048,0.07,-7.038418646221673,0.0955438450910151,66520
1510,159.92,1077,144604,0.07,-7.238574387481848,0.09105139039456844,67296
1520,159.55,1090,146356,0.07,-7.315864920452814,0.07629166939295828,68176
1530,164.48,1104,148188,0.07,-7.672640103171769,0.10343566723167896,69088
1540,168.25,1117,149899,0.07,-7.9218114575600795,0.15401824278524145,69944
1550,172.92,1134,152043,0.07,-8.267219066700926,0.0935868218075484,71016
1560,174.33,1149,154081,0.07,-8.332642288196068,0.05646420770790428,72040
1570,174.58,1160,155581,0.07,-8.244393232204878,0.10512521184864454,72784
1580,183.1,1177,157705,0.07,-8.617718701641108,0.11059257807210088,73848
1590,186.89,1191,159505,0.07,-8.882142577424652,0.10156760911922902,74752
1600,188.18,1209,161966,0.07,-8.760296815302445,0.08683807938359678,75976
1610,189.67,1223,163671,0.07,-8.651107784491272,0.11628862901125103,76832
1620,193.72,1240,165828,0.07,-8.583533943321743,0.05916400728165172,77912
1630,199.35,1258,168223,0.07,-8.541642982683616,0.06307293940335512,79104
1640,199.2,1272,169919,0.07,-8.289125010743822,0.09502924658590928,79952
1650,194.99,1286,171642,0.07,-7.834115327131116,0.10451867879601195,80816
