rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.21010450000000025,270,136,33974,97.02,3.338479961589186,11984,0.08317726553650573
0.18520375000000033,280,142,35045,96.87,3.267337621885668,12520,0.05482536630006507
0.15174699999999997,290,150,36484,98.89,3.2605336298871546,13240,0.05657283146865666
0.13877350000000022,300,152,37042,94.59,3.092938333850439,13520,0.027167337073478848
0.11580249999999981,310,157,38030,93.29,2.9837370169317996,14008,0.05627760890638456
0.08474049999999977,320,164,39366,96.08,3.0042776599394085,14680,0.06771143351215869
0.07,330,172,40771,97.57,3.0188291100737388,15384,0.08824809233192354
0.07,340,176,41628,99.74,3.0995148549324254,15808,0.09903314418625087
0.07,350,187,43696,110.97,3.3559052575547206,16840,0.0908507788553834
0.07,360,195,45317,120.76,3.6060355720032975,17656,0.11213526432402432
0.07,370,203,46897,128.23,3.885192261796918,18448,0.07340768881840631
0.07,380,214,48881,137.36,4.1894313810035815,19440,0.10675805388018489
0.07,390,219,49904,133.2,4.087741133956931,19944,0.07552061427850276
0.07,400,227,51539,143.97,4.426891611853182,20768,0.09657375514507294
0.07,410,237,53479,153.49,4.760479435728279,21736,0.10363761289045215
0.07,420,247,55391,159.25,4.941396406890156,22688,0.07353719498496503
0.07,430,257,57356,164.85,5.166652316385495,23672,0.13554804399609566
0.07,440,266,58967,172.39,5.365209126723403,24480,0.06286297144833952
0.07,450,270,59917,161.21,5.073089342472988,24952,0.0625219753710553
0.07,460,277,61273,158.56,5.064348710172233,25632,0.0536385957384482
0.07,470,282,62103,151.06,4.782614290474466,26048,0.04325199406594038
0.07,480,289,63552,145.71,4.56760218228838,26768,0.0437851621536538
0.07,490,294,64422,144.18,4.493643174146078,27208,0.07684672623872757
0.07,500,298,65204,135.65,4.217850127225972,27600,0.08623691857792437
0.07,510,300,65717,121.38,3.7717204176570402,27856,0.10338283213786781
0.07,520,304,66353,108.62,3.3884958889740635,28176,0.07696202455554157
0.07,530,307,67018,95.62,2.956499544007767,28504,0.0228949177544564
0.07,540,311,67859,87.92,2.7088758387765837,28928,0.05558378447312862
0.07,550,315,68502,84.85,2.6213256844388093,29248,0.11674651317298412
0.07,560,320,69619,82.46,2.5063776127774733,29808,0.053457312867976725
0.07,570,327,70840,86.37,2.605876925250458,30416,0.1206306975800544
0.07,580,337,72960,93.08,2.8025539354869595,31472,0.06919105432461947
0.07,590,348,74924,104.02,3.0852272891977788,32456,0.14471062901429832
0.07,600,358,76804,115.0,3.3820777439628262,33400,0.05806637741625309
0.07,610,369,78992,131.75,3.7855507741684082,34488,0.08063651202246547
0.07,620,380,81172,147.19,4.197379284315463,35584,0.12559179891832173
0.07,630,390,83152,160.34,4.541003621959178,36568,0.07817385974340141
0.07,640,404,85916,179.57,4.998943129432274,37952,0.07733103493228555
0.07,650,414,87764,191.62,5.290220805369225,38880,0.08124160231091082
0.07,660,423,89686,199.67,5.482088697396511,39840,0.0910384432063438
0.07,670,432,91383,204.43,5.598834536773474,40688,0.08746374916518107
0.07,680,440,92847,197.87,5.369744881553959,41416,0.10462853324133903
0.07,690,450,94771,197.47,5.275211041161043,42384,0.08786562876775861
0.07,700,454,95574,186.7,4.958557861182605,42784,0.10137715807650238
0.07,710,466,97964,188.72,4.967018944290556,43976,0.07654473959701136
0.07,720,472,99148,178.76,4.685532813883186,44568,0.03144175239140168
0.07,730,481,100902,176.5,4.590506379242367,45448,0.05556041875388473
0.07,740,490,102553,165.37,4.281516432929748,46272,0.07508959685219452
0.07,750,498,104169,163.05,4.173848590359615,47080,0.06568115606205538
0.07,760,503,105184,153.98,3.925457002669686,47584,0.0985129393520765
0.07,770,507,105996,145.13,3.7000331667918096,47992,0.05271994072245434
0.07,780,511,106795,138.48,3.5311091806993624,48392,0.13024114683503285
0.07,790,515,107566,126.95,3.291318190251813,48776,0.06344009196618572
0.07,800,521,108695,130.21,3.34991493220738,49344,0.08804155397228897
0.07,810,525,109528,114.64,2.958692549677399,49760,0.07463952497346327
0.07,820,532,110727,114.79,2.9624304779350945,50360,0.07247596312663518
0.07,830,536,111607,106.05,2.7421622934636303,50800,0.17869324519415386
0.07,840,540,112214,95.61,2.498842006956903,51104,0.0831988854915835
0.07,850,543,112830,85.61,2.2829445387612655,51408,0.11061952088493854
0.07,860,547,113654,83.7,2.23556084512355,51824,0.12014614121289924
0.07,870,552,114510,84.14,2.2562720391006756,52248,0.08632279303856194
0.07,880,556,115415,85.2,2.303788919107416,52704,0.06264858704525977
