rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.07,370,69477,148.63,-4.804092845847794,320,29736,0.03625762171577662
0.07,380,71142,139.99,-4.456551199566475,328,30568,0.022789705893956125
0.07,390,72295,128.2,-4.075150199917519,334,31144,0.028898534597828984
0.07,400,74372,132.39,-4.1772298564940895,345,32184,0.016009134938940406
0.07,410,76170,136.65,-4.2901892446276655,354,33080,0.03514378471300006
0.07,420,77608,137.97,-4.29340727178628,362,33800,0.029449485708028078
0.07,430,79594,143.89,-4.436137192317056,372,34792,0.04347726027481258
0.07,440,80982,146.14,-4.468146905712214,379,35488,0.019896166981197894
0.07,450,82587,149.56,-4.551946126316365,388,36288,0.04305738757830113
0.07,460,84187,158.46,-4.780577741269124,396,37088,0.01888784335460514
0.07,470,85672,160.95,-4.893583587250887,404,37832,0.038519902154803276
0.07,480,87516,162.74,-4.921890414831496,413,38752,0.019496825407259166
0.07,490,89549,171.54,-5.15571501481544,424,39768,0.034344742773100734
0.07,500,91529,170.57,-5.1336959298524345,434,40760,0.02902669459581375
0.07,510,93637,173.67,-5.166971846753704,445,41816,0.05016649165190756
0.07,520,95560,178.52,-5.265616189684587,455,42776,0.03307942720130086
0.07,530,97762,180.68,-5.299278653228876,466,43880,0.04892663471400738
0.07,540,99804,187.22,-5.445639775266859,477,44896,0.021192102693021297
0.07,550,101567,188.8,-5.443447026535823,486,45776,0.028713233768939972
0.07,560,103482,191.95,-5.487864282889064,496,46736,0.036193545209243894
0.07,570,105407,196.35,-5.554853023704809,506,47696,0.02309042913839221
0.07,580,107025,194.09,-5.451581990301991,514,48512,0.04667296749539673
0.07,590,109127,194.78,-5.4126416903271055,525,49560,0.039940160349942744
0.07,600,111216,195.87,-5.375045456161125,536,50600,0.0347740410361439
0.07,610,113778,200.41,-5.481949272390284,549,51888,0.029119167593307793
0.07,620,115749,200.89,-5.4588484174511915,559,52872,0.053871353273279965
0.07,630,118260,203.98,-5.452935588705802,572,54128,0.021933465846814215
0.07,640,119580,196.76,-5.263830695630393,579,54784,0.04216510581318289
0.07,650,120907,192.4,-5.112618681996405,586,55448,0.015548386669252068
0.07,660,122693,191.11,-5.07338318311045,595,56344,0.05341611208859831
0.07,670,124084,185.77,-4.897955507410277,603,57040,0.021518639696296304
0.07,680,125710,185.85,-5.025190502957881,611,57848,0.028036315576173365
0.07,690,126989,177.62,-4.807279522861468,617,58488,0.02479698054958135
0.07,700,128180,168.64,-4.663888503454773,624,59088,0.017721066309604794
0.07,710,129922,160.44,-4.51541902283578,632,59960,0.043616763316094875
0.07,720,131124,152.75,-4.381289426130539,639,60560,0.028086895414162427
0.07,730,132232,138.72,-4.078244484935404,644,61112,0.03839099223841913
0.07,740,133758,140.78,-4.135894938608857,652,61872,0.022934043721761554
0.07,750,135080,140.73,-4.164309921462798,659,62536,0.034545160306151956
0.07,760,136657,138.64,-4.120769889145944,667,63328,0.024236450321041048
0.07,770,138316,141.32,-4.282963662258203,676,64152,0.030265504319686443
0.07,780,140162,143.52,-4.280557594459376,685,65080,0.0336091861827299
0.07,790,142382,152.93,-4.796203227917176,697,66184,0.015827725816052407
0.07,800,144209,159.29,-4.871116941267143,706,67104,0.020217205223161727
0.07,810,146381,163.59,-4.953872475304577,717,68184,0.03285564843099564
0.07,820,148097,168.73,-5.157649865738721,726,69048,0.02399775676894933
0.07,830,149649,173.17,-5.324736027669445,734,69824,0.00952683575451374
0.07,840,151353,174.95,-5.427040380842467,743,70672,0.04133005195762962
0.07,850,153285,181.05,-5.649360419070398,753,71640,0.0131145398481749
0.07,860,155116,183.59,-5.8102197051120195,763,72552,0.026674173132050782
0.07,870,157628,192.12,-6.27058005595591,776,73808,0.022001237026415765
0.07,880,160007,197.45,-6.700732742422407,788,75000,0.026822654122952372
0.07,890,162147,196.65,-6.502136734203062,799,76072,0.028925248829182237
0.07,900,164559,202.5,-6.819090604149729,811,77272,0.022944661264773458
