rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9751457499999998,105.9,10,1,1069,-5.8250869026523375,,
0.9627767499999998,79.05,20,1,1601,-4.518070366569386,,
0.9425259999999999,81.4,30,3,2472,-4.578542010404166,,
0.916858,88.4,40,4,3576,-5.017006504013926,,
0.9010014999999999,84.16,50,5,4258,-4.768266925956006,,
0.8742872499999998,89.11666666666666,60,7,5407,-5.162902011478793,,
0.8484100000000002,92.14285714285714,70,9,6520,-5.505345604014795,,
0.8357155000000002,87.325,80,10,7066,-5.262115478857995,,
0.8184174999999999,85.77777777777777,90,11,7810,-5.132066140335538,,
0.7952604999999999,87.06,100,13,8806,-5.24312601601836,,
0.77587,84.71,110,15,9640,-5.099908825501198,,
0.7588045000000001,86.73,120,18,10374,-5.307283437807053,0.09322798789071385,184
0.7259057499999999,92.17,130,29,11789,-5.710991496894267,0.05585927135689417,888
0.6950995,94.38,140,39,13114,-6.050049979102004,0.04714505816082237,1552
0.6682457500000001,99.11,150,47,14269,-6.4187108633008645,0.14014686898735818,2128
0.62221075,107.42,160,62,16249,-7.0284501990641886,0.12253577506635338,3120
0.6011694999999999,105.34,170,69,17154,-6.743577600274278,0.05896038064383902,3576
0.5755945000000002,110.88,180,78,18254,-7.016751101792664,0.10773490270366892,4120
0.5455322499999999,116.37,190,88,19547,-7.468037349145901,0.07774971757316962,4768
0.5060072500000002,123.41,200,101,21247,-7.876594104402292,0.09821736277081072,5616
0.4924525000000002,120.9,210,106,21830,-7.762812650912057,0.06949159211944789,5912
0.4738757499999998,121.55,220,113,22629,-7.783321866495989,0.080494542082306,6312
0.4395122499999998,122.18,230,124,24107,-7.741972490134811,0.04473877022974193,7048
0.4247019999999998,115.3,240,130,24744,-7.084960536833961,0.0831992263556458,7368
0.40128925000000026,113.82,250,138,25751,-6.916933053511749,0.11791753035504371,7872
0.3668095,108.85,260,150,27234,-6.432809426038177,0.09237906435737386,8616
0.33623575000000006,112.95,270,161,28549,-6.66317019525734,0.06398907024413347,9272
0.30447625,115.61,280,172,29915,-6.832831728752517,0.07638737349770963,9952
0.2707172499999998,117.2,290,184,31367,-6.710366542791098,0.09429912711493671,10680
0.2376324999999998,114.43,300,196,32790,-6.444082338766102,0.07515652326401323,11392
0.21180175000000012,119.71,310,206,33901,-6.7284170381684865,0.10464992746710777,11944
0.18241375000000004,124.36,320,216,35165,-6.871194471852266,0.09295064397156239,12576
0.1463530000000003,125.09,330,229,36716,-6.7759251081136265,0.10256434208713472,13352
0.12091750000000034,129.66,340,238,37810,-6.967198286098904,0.06285660073626786,13904
0.08778625000000007,133.84,350,250,39235,-7.087846900399669,0.08092183631379157,14616
0.07,128.78,360,258,40212,-6.668138462076752,0.07737127458676696,15104
0.07,124.78,370,265,41127,-6.421609966809183,0.07508973393123597,15560
0.07,127.18,380,279,42733,-6.380255732740053,0.050901024718768895,16360
0.07,132.75,390,296,44742,-6.586088595336001,0.12995353154838085,17368
0.07,140.26,400,315,46916,-6.84130462195163,0.10938920173794031,18456
0.07,150.52,410,332,49053,-7.249940927214344,0.085928515647538,19520
0.07,160.37,420,352,51302,-7.623532725306986,0.07893926609540358,20648
0.07,153.71,430,359,52187,-7.3306505084929,0.06892873952165246,21088
0.07,153.06,440,369,53216,-7.262343033927782,0.09880109934601933,21600
0.07,161.91,450,389,55526,-7.612606026157336,0.047617217525839806,22760
0.07,173.3,460,407,57642,-8.199598378106064,0.08027788170147687,23816
0.07,184.07,470,424,59634,-8.725236451277029,0.07475328538566828,24816
0.07,185.78,480,439,61411,-8.900965645813628,0.06393478100653738,25704
0.07,177.57,490,449,62599,-8.558295568395057,0.10525639622937888,26296
0.07,169.42,500,460,63958,-8.369265712939356,0.05582538200542331,26976
0.07,167.28,510,476,65881,-8.327178960752711,0.04534144134959206,27936
0.07,154.45,520,484,66847,-7.747955990298833,0.044612501573283225,28416
0.07,153.23,530,491,67610,-7.7116151056693125,0.06462589924922213,28800
0.07,150.48,540,497,68364,-7.657297065132509,0.08208585664397106,29176
0.07,135.03,550,504,69129,-7.009805257674845,0.038073644042015076,29560
0.07,126.59,560,515,70401,-6.7051532646757925,0.033507059793919325,30200
0.07,115.57,570,522,71291,-6.150201411848403,0.08504230831749737,30640
0.07,108.5,580,531,72361,-5.711037907425484,0.077145840623416,31176
0.07,110.07,590,543,73706,-5.705228925501863,0.03544580133166164,31848
0.07,107.4,600,551,74798,-5.37803463969276,0.05027320154476911,32392
0.07,97.5,610,559,75731,-4.806379795356183,0.07400223682634532,32864
0.07,96.4,620,566,76587,-4.713478508403393,0.06250876799458638,33288
0.07,105.32,630,580,78242,-4.856510830208435,0.028404948767274618,34120
0.07,110.88,640,591,79552,-4.939037782911036,0.08316495374310762,34768
0.07,114.68,650,600,80697,-5.021245090278006,0.05544663651380688,35344
0.07,108.61,660,606,81362,-4.641438433910974,0.05296630220254883,35680
0.07,114.79,670,619,82870,-4.76020956786132,0.055532662314362824,36432
0.07,116.74,680,630,84135,-4.754174431272508,0.03600210649892688,37064
0.07,121.76,690,645,85982,-4.846343389738082,0.09558449586620554,37984
0.07,134.27,700,666,88325,-5.202498045393152,0.06388474418781698,39160
0.07,139.56,710,678,89787,-5.4212957273754885,0.09214551362674683,39888
0.07,143.13,720,688,91000,-5.538610196299962,0.04452491371193901,40496
0.07,138.14,730,698,92156,-5.466376456751273,0.046713265241123736,41072
0.07,134.09,740,705,93061,-5.440686036172731,0.07159555121324956,41528
0.07,137.17,750,717,94514,-5.5962049731822745,0.08511922368779778,42256
0.07,142.23,760,727,95685,-5.830588807219224,0.06144735182169825,42840
0.07,143.31,770,742,97301,-6.0100598207840665,0.06415308453142643,43648
0.07,146.43,780,755,98878,-6.127821398942805,0.06166076712543145,44432
0.07,144.42,790,769,100524,-6.071890509744696,0.052551815868355334,45256
0.07,128.25,800,775,101250,-5.519680356427673,0.10657312953844666,45624
0.07,128.07,810,788,102694,-5.508054990796602,0.043964888842310756,46344
0.07,128.83,820,799,103983,-5.544076003330603,0.06735827890224755,46984
0.07,126.71,830,807,104927,-5.528752437445068,0.05530323047423735,47456
0.07,129.72,840,817,106133,-5.644373085972515,0.05639864597469568,48064
0.07,128.18,850,828,107432,-5.54624544321897,0.08125375991221517,48712
0.07,123.59,860,834,108144,-5.288746908226683,0.09232879534829408,49064
0.07,116.86,870,842,109087,-5.0421037430267885,0.032732930209022015,49536
0.07,115.45,880,855,110523,-4.99074548657077,0.06308059539878741,50256
0.07,108.35,890,863,111459,-4.811728721190721,0.10150993574643508,50728
0.07,109.49,900,870,112299,-4.83274569934154,0.05203249285113998,51144
0.07,106.11,910,879,113405,-4.636287448843554,0.09576378017663956,51696
0.07,105.77,920,889,114660,-4.683748384152744,0.09574456512928009,52328
0.07,110.73,930,901,116100,-4.792748991029886,0.08544712042203173,53048
0.07,105.5,940,907,116783,-4.5363456284835095,0.08070063582272269,53384
0.07,101.24,950,915,117656,-4.341283597401747,0.07568796561099589,53824
0.07,109.34,960,927,119178,-4.675759318158466,0.0719271098205354,54584
0.07,120.65,970,944,121252,-5.187262954908416,0.08616990089649335,55624
0.07,117.93,980,954,122416,-5.088605370616886,0.07780625810846686,56200
0.07,116.57,990,961,123216,-4.997869434989444,0.05146292771678418,56600
0.07,126.81,1000,976,125080,-5.471655054689023,0.07557176647242159,57536
0.07,129.58,1010,988,126463,-5.599948811576623,0.024825745378620923,58224
0.07,133.79,1020,1003,128139,-5.634161754870755,0.04432954837102443,59064
0.07,135.91,1030,1017,129791,-5.820059640080177,0.062351984495762736,59888
0.07,143.78,1040,1030,131261,-6.052869911987572,0.042310455930419266,60624
0.07,149.87,1050,1042,132743,-6.264649916055078,0.01651436823885888,61368
0.07,147.81,1060,1053,134059,-6.19341707109449,0.024727755197091028,62024
0.07,147.46,1070,1071,136098,-6.026240126721692,0.042581990477629006,63048
0.07,153.56,1080,1086,137872,-6.279074162052378,0.061052699165884405,63928
0.07,165.25,1090,1102,139841,-6.6478807700021525,0.052005082194227725,64920
0.07,161.55,1100,1114,141335,-6.419750735809249,0.05920646048616618,65664
0.07,162.12,1110,1127,142775,-6.4124806628490285,0.08894979255273938,66384
0.07,162.62,1120,1141,144501,-6.431263350457098,0.09964148711878806,67248
0.07,165.63,1130,1158,146454,-6.433028393727078,0.031837510206969455,68224
0.07,167.23,1140,1172,148084,-6.560166796614253,0.050613543280633166,69040
0.07,163.47,1150,1182,149190,-6.51505112369233,0.024821102735586464,69592
0.07,159.97,1160,1190,150156,-6.362422579968191,0.09675100247841328,70072
0.07,154.9,1170,1202,151688,-6.265082513249747,0.04998504841933027,70840
0.07,158.33,1180,1221,153805,-6.599534155172546,0.03325879233307205,71896
0.07,158.54,1190,1239,155795,-6.8208087448767705,0.07557324555818923,72896
0.07,153.65,1200,1247,156800,-6.715304113422463,0.05850193038349971,73392
0.07,155.4,1210,1261,158415,-7.004959124329957,0.04104916442884132,74200
0.07,149.95,1220,1271,159596,-6.909761364880011,0.05053688265616074,74792
0.07,143.23,1230,1282,160877,-6.793773214705758,0.08925107045797631,75432
0.07,135.44,1240,1290,161728,-6.544259263244133,0.05663661693688482,75856
0.07,134.72,1250,1298,162762,-6.476716028458785,0.06181649205973372,76376
0.07,139.77,1260,1311,164233,-6.770207364748481,0.09888474160106853,77112
0.07,139.79,1270,1324,165767,-6.851585125024303,0.04960511130047962,77880
0.07,130.01,1280,1334,166906,-6.366623329496556,0.05961399053921923,78448
0.07,120.28,1290,1343,167923,-5.931254714046942,0.06784960994264111,78960
0.07,128.75,1300,1359,169775,-6.407174395498929,0.0831340704462491,79880
0.07,120.8,1310,1366,170595,-5.95775131101254,0.06772293266840279,80296
0.07,121.26,1320,1377,171822,-6.036778527435905,0.03471893590176478,80904
0.07,121.9,1330,1389,173167,-6.075641654430598,0.04702816309873015,81576
0.07,124.79,1340,1399,174307,-6.210504643507271,0.07986873271875083,82152
0.07,126.69,1350,1410,175531,-6.357908853361356,0.09786464239005,82760
0.07,122.04,1360,1419,176537,-6.104689040380242,0.033511722227558494,83264
0.07,118.66,1370,1429,177733,-5.858793470638461,0.08793791383504868,83864
0.07,123.1,1380,1443,179316,-6.009307932882743,0.042963414860423654,84656
0.07,124.71,1390,1453,180494,-6.073649565335744,0.059687181492336094,85240
0.07,119.78,1400,1464,181853,-5.720125469581275,0.033515974471811205,85920
0.07,128.77,1410,1478,183572,-6.125018790765123,0.07535814662696794,86784
0.07,138.88,1420,1496,185810,-6.612047427901014,0.08608840114902705,87904
0.07,138.35,1430,1507,187102,-6.539406988598496,0.06919278582790866,88544
