time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,train/loss
257,330,42050,123.29,-5.83919780904959,0.07,16024,0.060985966003499925
264,340,42984,119.85,-5.693409483982299,0.07,16488,0.022580747754545882
270,350,43739,111.0,-5.221687416321519,0.07,16864,0.06185252117575146
278,360,44742,109.98,-5.163971045766715,0.07,17368,0.033121337997727096
284,370,45497,107.73,-5.042420335352782,0.07,17744,0.06969095362001099
289,380,46033,100.03,-4.671537108322076,0.07,18016,0.04234028310747817
296,390,46979,97.97,-4.58127833943094,0.07,18488,0.06304986690520309
305,400,48129,95.61,-4.527259250702539,0.07,19064,0.10750709794228896
311,410,48943,97.82,-4.610681421721486,0.07,19464,0.08892372850095853
318,420,49737,94.74,-4.456651523398407,0.07,19864,0.09870168432826176
326,430,50749,85.99,-4.002380552454557,0.07,20368,0.08080699513084255
335,440,51946,88.62,-4.040556662022252,0.07,20968,0.07090119938948192
344,450,53043,92.04,-4.162814316470266,0.07,21520,0.08231420273659751
349,460,53693,88.51,-3.926970971211463,0.07,21840,0.07789078771020286
355,470,54566,89.69,-3.942439090555691,0.07,22280,0.07742795400554314
362,480,55471,93.38,-4.025753936334717,0.07,22728,0.10894906421890482
371,490,56702,96.23,-4.152235151987433,0.07,23344,0.06133692912408151
381,500,57813,95.84,-4.04317062852815,0.07,23904,0.04216399660799652
388,510,58721,96.78,-4.048307445375039,0.07,24360,0.10032140329713002
399,520,60058,102.21,-4.121855172376459,0.07,25024,0.13730564212892205
405,530,60815,99.66,-3.994246309926902,0.07,25400,0.090465387533186
410,540,61525,94.79,-3.787816836608065,0.07,25760,0.05152901352266781
416,550,62181,90.38,-3.606308834509006,0.07,26088,0.08240346919046715
425,560,63286,94.93,-3.7924885810990885,0.07,26640,0.06035186065128073
436,570,64630,99.64,-3.936987318439214,0.07,27312,0.07944250392029062
443,580,65476,99.05,-3.8908344588269896,0.07,27736,0.08932466298574582
449,590,66221,94.19,-3.60895700474881,0.07,28104,0.06091231189202517
456,600,67104,91.91,-3.5229213836859703,0.07,28544,0.09006371977739036
462,610,67787,89.66,-3.379204249947515,0.07,28888,0.04084409144707024
476,620,69578,94.2,-3.6314734634800128,0.07,29784,0.11103685421403497
490,630,71328,104.13,-3.975432603894618,0.07,30656,0.051316428842255846
505,640,73102,114.77,-4.336350119884665,0.07,31544,0.061696726974332705
515,650,74282,120.01,-4.473930210306264,0.07,32136,0.0810745355556719
525,660,75547,121.61,-4.476435582474653,0.07,32768,0.03905075950024184
532,670,76503,117.73,-4.313616941279247,0.07,33248,0.10847167522297241
542,680,77730,121.54,-4.501828506042268,0.07,33864,0.13508066345821135
551,690,78812,124.91,-4.615723462793646,0.07,34400,0.0685873196052853
561,700,80032,128.28,-4.76068121735678,0.07,35008,0.050124317029258236
568,710,80924,130.37,-4.865370701694004,0.07,35456,0.12347783241420984
579,720,82404,127.26,-4.739522222823333,0.07,36200,0.07852045525214635
585,730,83157,117.29,-4.3394060172669455,0.07,36576,0.08664166039670818
588,740,83621,104.19,-3.8764996274240553,0.07,36808,0.10856598589452915
599,750,84970,105.88,-4.028203809523321,0.07,37480,0.09913752102875151
607,760,86015,103.68,-3.990128254363681,0.07,38000,0.021616153477225453
613,770,86730,101.27,-3.9339048720889833,0.07,38360,0.05853024637326598
622,780,87899,100.69,-3.902971802466284,0.07,38944,0.06857555732131004
632,790,89272,103.6,-4.060585652645378,0.07,39632,0.0876447218033718
638,800,90048,99.16,-3.8352111791312167,0.07,40016,0.04038346621382516
645,810,90912,98.88,-3.8179466729478655,0.07,40448,0.09881205615238287
651,820,91581,90.77,-3.517305577961021,0.07,40784,0.0590804573148489
656,830,92219,89.62,-3.5059084065403106,0.07,41104,0.08605984260793775
667,840,93653,99.32,-3.813818516405444,0.07,41824,0.11546452884795144
677,850,94954,98.84,-3.70380693143146,0.07,42472,0.09633848810335621
688,860,96394,102.79,-3.8970740731177522,0.07,43192,0.057975116156740114
698,870,97681,108.51,-4.108429165981047,0.07,43840,0.09822612479911186
710,880,99407,114.08,-4.262399475432568,0.07,44696,0.04189512746233959
722,890,100817,114.45,-4.287194128880293,0.07,45408,0.08593212519190274
734,900,102356,122.08,-4.618497024767737,0.07,46176,0.03957976945093833
741,910,103294,122.82,-4.683016866036412,0.07,46640,0.10549930480192415
753,920,104953,132.72,-5.174542333121239,0.07,47472,0.038273429658147506
766,930,106514,141.95,-5.557687801621064,0.07,48256,0.0847614110680297
780,940,108404,146.51,-5.728924888744469,0.07,49200,0.08669791040301789
788,950,109419,143.65,-5.671659580885285,0.07,49704,0.1260918490588665
796,960,110367,138.73,-5.398746995042979,0.07,50176,0.039142037378042005
804,970,111334,135.53,-5.269355969830087,0.07,50664,0.047966359270503744
809,980,112045,125.38,-4.92374511723133,0.07,51016,0.08575680731155444
819,990,113281,123.64,-4.694790010417623,0.07,51640,0.048822540033143014
828,1000,114428,119.72,-4.43331956025505,0.07,52208,0.040803920972393826
834,1010,115147,117.53,-4.28883435416543,0.07,52568,0.07798552038730122
839,1020,115771,107.18,-3.806527194093379,0.07,52880,0.14676693684305064
850,1030,117110,104.96,-3.618380336687845,0.07,53552,0.12603062167181633
858,1040,118131,96.27,-3.3416871953591056,0.07,54064,0.07838057020853739
869,1050,119508,99.89,-3.366309262901678,0.07,54752,0.10548606292286422
875,1060,120291,98.24,-3.2672034748280185,0.07,55144,0.07631339484942146
882,1070,121136,97.02,-3.177953795333354,0.07,55560,0.0573628953716252
887,1080,121844,96.99,-3.1886316128432197,0.07,55920,0.12603581356233917
895,1090,122854,94.73,-3.151875012339918,0.07,56424,0.10740868409629911
904,1100,123943,94.15,-3.155195126119585,0.07,56968,0.06899003524449654
909,1110,124585,93.38,-3.1246464329132073,0.07,57288,0.0388718691538088
913,1120,124994,91.23,-3.0139068099446304,0.07,57496,0.08286520245019346
921,1130,125992,87.82,-2.9165590060657025,0.07,57992,0.08867468961398117
928,1140,126929,86.98,-2.7994734835327026,0.07,58464,0.08671498218609486
934,1150,127734,81.26,-2.649095063380793,0.07,58864,0.09657924144994467
942,1160,128685,82.94,-2.7801526621880384,0.07,59336,0.0581130270002177
949,1170,129500,82.64,-2.84227743023521,0.07,59744,0.08461886800068896
954,1180,130153,82.09,-2.8288713981065188,0.07,60072,0.048037888220278546
959,1190,130803,78.49,-2.759853840934866,0.07,60400,0.028950561085366644
967,1200,131790,77.47,-2.7013240035057176,0.07,60888,0.07802240233286284
974,1210,132665,79.8,-2.8080611684463497,0.07,61328,0.09651044802740216
982,1220,133581,84.87,-2.9776246061745995,0.07,61784,0.11309177294606343
987,1230,134219,81.27,-2.8504555317908906,0.07,62104,0.08426104002865031
994,1240,135014,79.85,-2.8544918914503397,0.07,62504,0.07544970196613576
1002,1250,136012,81.78,-3.0768351175563797,0.07,63000,0.09481619932921603
1008,1260,136807,80.22,-3.005298164694105,0.07,63400,0.06774058520386461
1016,1270,137839,82.39,-3.0140957773898034,0.07,63912,0.05900744938844582
1024,1280,138825,85.72,-3.087853974569745,0.07,64408,0.04831141985778231
1030,1290,139618,87.15,-3.1173300099671315,0.07,64808,0.04609714575053658
1036,1300,140315,84.25,-3.01134742992665,0.07,65152,0.1481399761105422
1043,1310,141260,84.95,-3.0719512187297364,0.07,65624,0.07383390549512114
1055,1320,142700,90.19,-3.2392720882999395,0.07,66344,0.10076742331148125
1060,1330,143274,89.55,-3.259411613813552,0.07,66632,0.06628769979579374
1066,1340,144026,89.12,-3.246030841532082,0.07,67008,0.11065346920804586
1072,1350,144762,86.5,-2.9785671595713152,0.07,67376,0.08496868149086367
1076,1360,145310,84.03,-2.915602275417034,0.07,67648,0.12860748308594339
1084,1370,146275,83.36,-2.8823473980238905,0.07,68136,0.04792748537147418
1089,1380,146938,80.13,-2.815229634078294,0.07,68464,0.0934854701772565
1095,1390,147718,80.0,-2.784358052483782,0.07,68856,0.11110937831108458
1100,1400,148253,78.38,-2.748499123820437,0.07,69120,0.08256340102525428
1106,1410,148979,76.19,-2.6138770888946707,0.07,69488,0.1041649941180367
1113,1420,149876,70.76,-2.455971797454008,0.07,69936,0.16266720183193684
1119,1430,150731,73.57,-2.538687851840384,0.07,70360,0.07306677490123548
1128,1440,151812,76.86,-2.737131506618031,0.07,70904,0.14452747348695993
1133,1450,152380,75.18,-2.7486010476457845,0.07,71184,0.08402221454889514
1139,1460,153152,77.42,-2.8002598988541423,0.07,71568,0.0748868841183139
1145,1470,153874,74.99,-2.7513679571711354,0.07,71936,0.11018564732512459
1152,1480,154754,77.16,-2.8636035927430807,0.07,72376,0.06709433789364994
1159,1490,155690,78.72,-2.9327803660547307,0.07,72840,0.09257631847867742
1166,1500,156500,81.47,-2.98770300464062,0.07,73248,0.08243788022082299
1174,1510,157474,83.95,-3.079209121479512,0.07,73736,0.10786455078050494
1179,1520,158130,81.54,-3.0471670499399464,0.07,74064,0.06488146689662244
1183,1530,158630,77.99,-2.9381543125719385,0.07,74312,0.0723257010395173
1188,1540,159223,73.11,-2.7094154803597785,0.07,74608,0.07313446328043938
1194,1550,160042,75.62,-2.7683622907876586,0.07,75016,0.1602426152676344
