time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
620,-11.593278323655989,1317,164228,237.25,0.07,77112,0.03732417779247044
630,-11.19131179412124,1331,165972,229.44,0.07,77984,0.015113168599782512
640,-11.46840676349437,1350,168339,227.21,0.07,79168,0.017274139769142494
650,-11.384624560803264,1363,170046,219.08,0.07,80016,0.018437996302964166
660,-11.490770224157187,1380,172139,213.72,0.07,81064,0.04900646807800513
670,-11.645676879480886,1401,174829,215.67,0.07,82408,0.04494678892660886
680,-12.36205389999086,1422,177434,220.43,0.07,83712,0.04827835422474891
690,-12.491731016877555,1438,179526,218.29,0.07,84760,0.038510254853463266
700,-12.307747612754321,1454,181469,211.11,0.07,85728,0.02215934877312975
710,-12.682486733360205,1470,183618,214.65,0.07,86808,0.06273584401060361
720,-12.743426492348881,1487,185736,214.08,0.07,87864,0.021481421375938226
730,-12.748198221498733,1500,187294,212.22,0.07,88640,0.049598970799706876
740,-12.769565258853843,1522,190117,216.78,0.07,90056,0.0609309354913421
750,-12.920544517968516,1539,192391,222.45,0.07,91192,0.048461342783411965
760,-12.739146236756874,1559,194865,226.26,0.07,92432,0.02706901275087148
770,-12.589767540640993,1579,197530,226.01,0.07,93760,0.044352169628837146
780,-11.943549304541527,1598,199977,224.43,0.07,94984,0.05229260498890653
