rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,430,236,53362,113.24,-3.0809280765288363,21680,0.04469482321292162
0.07,440,241,54318,106.2,-2.868838548653171,22152,0.045767308271024376
0.07,450,246,55329,106.12,-2.8356735368002153,22664,0.06070667546009645
0.07,460,250,56026,97.68,-2.6294439111032624,23008,0.024415125779341906
0.07,470,257,57507,104.06,-2.758851634666028,23752,0.05070672044530511
0.07,480,261,58184,102.09,-2.718904190230976,24088,0.044484195415861905
0.07,490,266,59075,100.23,-2.64736970154992,24536,0.024950756574980915
0.07,500,272,60079,96.23,-2.5483978470561772,25032,0.05131630238611251
0.07,510,276,60940,95.78,-2.501949400405966,25464,0.04249876900576055
0.07,520,280,61649,92.32,-2.424477351853403,25824,0.07637295743916184
0.07,530,284,62448,89.86,-2.3705194081142547,26216,0.0933378824556712
0.07,540,290,63693,92.75,-2.4508856261143066,26840,0.07608027709648013
0.07,550,294,64456,90.27,-2.3763901868827815,27224,0.02979890606366098
0.07,560,298,65316,91.9,-2.40554844575895,27656,0.07481844059657305
0.07,570,302,65983,83.76,-2.2396361209039246,27984,0.07931287528481334
0.07,580,307,66879,85.95,-2.318438574676913,28432,0.074796574015636
0.07,590,310,67626,84.51,-2.296257486250499,28808,0.04962638707365841
0.07,600,313,68120,79.41,-2.2222531447349128,29056,0.029553325148299336
0.07,610,316,68767,77.27,-2.184934471117944,29376,0.08239957696059719
0.07,620,321,69583,78.34,-2.2084228179146512,29784,0.03581555210985243
0.07,630,323,70139,75.91,-2.1515064671090514,30064,0.07855839573312551
0.07,640,326,70590,67.97,-1.969261921987982,30288,0.06733409635489807
0.07,650,329,71205,66.49,-1.9454263346373073,30600,0.02352996589615941
0.07,660,333,71973,65.57,-1.9232672737034124,30984,0.06728269846644253
0.07,670,336,72640,65.57,-1.912608515577284,31312,0.07183228264329955
0.07,680,339,73210,62.31,-1.8066378179017066,31600,0.055149044608697295
0.07,690,341,73585,58.59,-1.6994377474645317,31792,0.058591711276676506
0.07,700,344,74098,58.78,-1.701910201372956,32048,0.076069591101259
0.07,710,347,74808,59.41,-1.7120693813845593,32400,0.06199055351316929
0.07,720,352,75604,59.21,-1.6988745634134232,32800,0.058399987407028675
0.07,730,355,76287,60.48,-1.7237248246085426,33136,0.0900535648688674
0.07,740,359,76973,62.83,-1.7911282524887198,33480,0.051064819446764886
0.07,750,362,77559,62.54,-1.795155465848373,33776,0.0523406183347106
0.07,760,368,78800,67.27,-1.921783988771451,34392,0.0461954977363348
0.07,770,376,80299,75.59,-2.1013906989027746,35144,0.05191429238766432
0.07,780,381,81413,81.03,-2.229081943885599,35704,0.0618887881282717
0.07,790,389,82834,91.49,-2.4531043529680794,36416,0.049076485622208565
0.07,800,393,83536,93.38,-2.454631710550986,36760,0.05738590518012643
0.07,810,396,84232,93.24,-2.4216888325835906,37112,0.03243646235205233
0.07,820,401,85185,94.81,-2.462118293166835,37592,0.012936621438711882
0.07,830,405,85990,96.03,-2.4698652588307444,37992,0.03560229402501136
0.07,840,410,86942,98.69,-2.502868879277956,38464,0.06146660662489012
0.07,850,413,87608,99.49,-2.5138851052778266,38800,0.051975842157844454
0.07,860,416,88188,92.88,-2.3325024073761726,39088,0.050916942360345274
0.07,870,419,88778,83.79,-2.1200891499330625,39384,0.05907766550080851
0.07,880,423,89511,79.98,-2.0171660189384104,39752,0.07564875250682235
0.07,890,426,90157,72.23,-1.842056542509067,40072,0.08237736078444868
0.07,900,429,90734,70.98,-1.8174011821613576,40360,0.0898468941450119
0.07,910,433,91440,71.08,-1.8334669317014032,40712,0.0301258466206491
0.07,920,437,92275,69.9,-1.784775831951727,41136,0.039945516153238714
0.07,930,440,92795,67.05,-1.7267182291420935,41392,0.03860724327387288
0.07,940,443,93470,64.28,-1.665217711860056,41728,0.056401969224680215
0.07,950,447,94273,65.65,-1.6821006387968689,42136,0.06218040455132723
0.07,960,449,94660,63.72,-1.6412704694475766,42328,0.057511730294208974
0.07,970,452,95175,62.97,-1.615588296906031,42584,0.07097140804398805
0.07,980,456,95938,63.27,-1.6179113905818807,42968,0.061278577079065144
0.07,990,459,96574,63.17,-1.6419026992714338,43280,0.03734353662002832
0.07,1000,462,97061,62.27,-1.626758631449771,43528,0.04612180555704981
0.07,1010,465,97699,61.59,-1.6288070352322268,43848,0.04640910855960101
0.07,1020,468,98373,59.98,-1.5963416885690136,44184,0.06211345474002883
0.07,1030,473,99206,63.11,-1.6516882460835072,44600,0.07107278727926314
0.07,1040,476,99852,62.82,-1.6720173353895778,44920,0.045453578466549516
0.07,1050,479,100469,60.96,-1.656864624965213,45232,0.06975169782526791
0.07,1060,482,101014,62.54,-1.7201043924334452,45504,0.024744207330513746
0.07,1070,486,101748,64.73,-1.76638604983431,45872,0.06983381987083703
0.07,1080,489,102369,63.31,-1.732512711536795,46184,0.041972555103711784
0.07,1090,492,102998,63.24,-1.7206942382651973,46496,0.031176512129604816
0.07,1100,495,103453,62.92,-1.7110696775693723,46720,0.06078580184839666
0.07,1110,497,103879,60.8,-1.6551434222628116,46936,0.052806938416324556
0.07,1120,500,104480,60.07,-1.6658563552780155,47232,0.06150887650437653
0.07,1130,504,105209,59.03,-1.647239514808021,47600,0.05859893397428095
0.07,1140,507,105698,57.46,-1.5790895414535207,47848,0.04656307143159211
0.07,1150,510,106313,57.44,-1.5671014968004935,48152,0.0732376454398036
0.07,1160,513,106973,58.59,-1.5813325221274661,48480,0.0443882558029145
0.07,1170,515,107393,55.45,-1.5558383682452654,48696,0.0632595174247399
0.07,1180,518,107823,53.54,-1.5108977538221902,48904,0.05777297110762447
0.07,1190,520,108198,51.0,-1.4565158900167754,49096,0.0737400590442121
0.07,1200,522,108747,51.94,-1.4848564758811917,49368,0.06012090388685465
0.07,1210,525,109325,53.46,-1.5018171528970023,49656,0.08106445288285613
0.07,1220,528,109814,52.34,-1.4642783822782226,49904,0.0503027718514204
0.07,1230,530,110156,48.47,-1.3746205882876545,50072,0.07322783512063324
0.07,1240,533,110851,50.53,-1.4178787130414545,50424,0.06318708183243871
0.07,1250,537,111537,51.24,-1.4333352792827123,50768,0.08427588315680623
0.07,1260,540,112127,50.54,-1.4088597302309143,51056,0.08405631966888905
0.07,1270,542,112617,51.24,-1.3916657609115004,51304,0.048381781904026866
0.07,1280,545,113076,51.53,-1.4032620835465164,51536,0.043129948840942234
0.07,1290,547,113533,52.35,-1.4339915475383094,51760,0.05232022039126605
0.07,1300,550,114197,53.5,-1.4550141152142888,52096,0.06785457581281662
0.07,1310,553,114662,52.37,-1.4437905494936902,52328,0.07151046022772789
0.07,1320,555,115061,51.47,-1.4142102949823312,52528,0.05714323348365724
0.07,1330,557,115516,52.6,-1.455937920195685,52752,0.06522370083257556
0.07,1340,560,115949,49.98,-1.4000095307660314,52968,0.07178283855319023
0.07,1350,561,116306,46.69,-1.3273970318840969,53152,0.056847124826163054
0.07,1360,563,116632,44.05,-1.2698179988104248,53312,0.06468186667189002
0.07,1370,566,117134,44.17,-1.261014700160098,53560,0.06632224330678582
0.07,1380,568,117533,43.57,-1.2512899828538933,53760,0.06776448944583535
0.07,1390,570,117975,43.42,-1.2260452709933305,53984,0.037956791813485324
0.07,1400,573,118484,41.87,-1.2053510493476205,54240,0.07682953868061304
0.07,1410,575,118998,42.36,-1.2001857741151227,54496,0.07546390732750297
0.07,1420,578,119476,43.15,-1.244180160927005,54736,0.07588417828083038
0.07,1430,580,119905,42.89,-1.2458330611318558,54952,0.06274549104273319
0.07,1440,582,120241,41.92,-1.220657699306433,55120,0.05846531700808555
0.07,1450,583,120574,41.68,-1.2056736706891138,55280,0.05855604074895382
0.07,1460,586,120967,42.35,-1.213996688358175,55480,0.0866492479108274
0.07,1470,588,121380,41.46,-1.2102212030360089,55688,0.06581257632933557
0.07,1480,590,121857,42.24,-1.2319030231218777,55928,0.043555510230362415
0.07,1490,592,122223,41.48,-1.219644389756652,56104,0.04724702064413577
0.07,1500,595,122682,40.98,-1.1959810616599376,56336,0.04507851833477616
0.07,1510,597,123091,39.93,-1.1912388560548672,56544,0.058097784873098135
0.07,1520,599,123497,39.21,-1.1560450140367204,56744,0.08174756355583668
0.07,1530,602,124030,40.25,-1.1696081500995943,57008,0.046678085811436176
0.07,1540,604,124436,40.95,-1.2126399369478695,57216,0.048008959740400314
0.07,1550,606,124892,42.18,-1.257109400218977,57440,0.0674541057087481
0.07,1560,608,125341,42.74,-1.2774384864415056,57664,0.05221885396167636
0.07,1570,611,125907,44.27,-1.3110420218131242,57952,0.04382873501162976
0.07,1580,613,126243,42.86,-1.2737486072989994,58120,0.06818729650694877
0.07,1590,616,126720,43.97,-1.2839968571062244,58352,0.066237089689821
0.07,1600,618,127204,44.22,-1.2973119130146296,58600,0.04539245180785656
0.07,1610,620,127646,44.55,-1.3083333857960358,58816,0.08123764675110579
0.07,1620,622,128028,44.31,-1.290392765780128,59008,0.07894462766125798
0.07,1630,625,128500,43.7,-1.2810608308405478,59248,0.0775233986787498
0.07,1640,627,128903,43.67,-1.2821329898314633,59448,0.052774229319766164
0.07,1650,629,129276,42.84,-1.2627110431605693,59632,0.05048415600322187
0.07,1660,631,129612,41.71,-1.2366597863069746,59800,0.05970718077151105
0.07,1670,633,130069,40.62,-1.233079986101104,60032,0.05267836665734649
0.07,1680,635,130438,40.95,-1.2573925455080224,60216,0.07906714966520667
0.07,1690,638,130944,41.24,-1.2844174671353752,60464,0.07253418187610805
0.07,1700,640,131443,41.39,-1.2731536037949112,60720,0.052534040180034935
0.07,1710,642,131762,40.16,-1.2478400884223781,60880,0.04504522122442722
0.07,1720,644,132159,40.31,-1.257265506379077,61072,0.05209157895296812
0.07,1730,646,132517,39.17,-1.2401606263834366,61256,0.06044239364564419
0.07,1740,648,132844,38.41,-1.2314570341767983,61416,0.05444278125651181
0.07,1750,650,133384,40.08,-1.2476140481487645,61688,0.060486854054033756
0.07,1760,653,133816,41.04,-1.2768760539191542,61904,0.04822189430706203
0.07,1770,655,134321,41.52,-1.2734341045721629,62160,0.05121653224341571
0.07,1780,657,134672,41.34,-1.2674900285281732,62328,0.05674272868782282
0.07,1790,659,135097,40.53,-1.240196803912892,62544,0.061456363764591515
0.07,1800,661,135495,39.52,-1.220772051601596,62744,0.06361632375046611
0.07,1810,663,135892,40.3,-1.2131068862966115,62944,0.0678759696893394
0.07,1820,666,136466,42.07,-1.2573411783139519,63232,0.05476356158033013
0.07,1830,669,136930,43.13,-1.271832978649514,63464,0.060236597433686256
0.07,1840,672,137626,46.82,-1.3283793087945992,63808,0.03958471678197384
0.07,1850,674,138053,45.69,-1.3361704748563992,64024,0.04541309643536806
0.07,1860,677,138617,47.01,-1.3528279930821643,64304,0.056205534376204014
0.07,1870,679,139039,46.18,-1.3557326855889398,64512,0.05159629229456186
0.07,1880,682,139624,48.52,-1.403108062891669,64808,0.05991681385785341
0.07,1890,685,140049,48.52,-1.403787112179765,65024,0.058586360886693
0.07,1900,687,140510,49.15,-1.4391015426157705,65248,0.0641478355973959
0.07,1910,690,141050,50.58,-1.4638322999030402,65520,0.0704346732236445
0.07,1920,692,141513,49.47,-1.435628102467883,65752,0.047763205133378506
0.07,1930,694,141969,49.39,-1.426257984032755,65984,0.0548960140440613
0.07,1940,697,142528,48.02,-1.3969919411089973,66256,0.047300576232373714
0.07,1950,700,142988,48.35,-1.407443206321857,66488,0.04421801515854895
0.07,1960,702,143317,46.0,-1.3661218518226468,66656,0.04437145357951522
0.07,1970,703,143677,45.38,-1.3230325573683601,66832,0.059356564190238714
0.07,1980,706,144184,44.6,-1.3053936598207758,67088,0.05012204358354211
0.07,1990,710,144858,47.09,-1.3683501720148528,67424,0.04019317124038935
0.07,2000,712,145370,47.6,-1.39891572873548,67680,0.035847597289830446
0.07,2010,715,145908,47.58,-1.4457290098070985,67952,0.051787399454042315
0.07,2020,717,146371,47.58,-1.4633397425759727,68184,0.04504340421408415
0.07,2030,720,146825,47.56,-1.4582812864405068,68408,0.035054882522672415
0.07,2040,722,147292,46.64,-1.4376763653850264,68640,0.04996093828231096
0.07,2050,724,147610,45.22,-1.373810272120003,68800,0.04786096164025366
0.07,2060,726,147989,45.72,-1.3771126342910602,68992,0.04630278190597892
0.07,2070,728,148377,46.0,-1.3825977567298002,69184,0.03290796955116093
0.07,2080,730,148832,45.48,-1.382734394497491,69408,0.0451152166351676
0.07,2090,732,149288,43.3,-1.339603372659145,69640,0.04757723235525191
0.07,2100,734,149685,42.15,-1.2747501466473263,69840,0.03724637487903237
0.07,2110,737,150158,41.5,-1.2413541886111725,70072,0.055960773257538676
0.07,2120,739,150600,41.29,-1.224877487571685,70296,0.04358949325978756
0.07,2130,742,151160,42.35,-1.268943035508595,70576,0.03996709734201431
0.07,2140,744,151621,42.29,-1.2531933555174586,70808,0.047532858327031136
0.07,2150,746,151999,42.89,-1.2726442943150744,70992,0.04234516341239214
0.07,2160,748,152385,42.96,-1.2933131303479093,71192,0.034771419828757644
0.07,2170,751,152832,43.55,-1.30073744515708,71408,0.03999347798526287
0.07,2180,753,153367,44.35,-1.3034499795234473,71680,0.036795193096622825
0.07,2190,756,153783,43.95,-1.2776050342270657,71888,0.0453099652659148
0.07,2200,759,154459,46.74,-1.3436601957680236,72224,0.04762983322143555
0.07,2210,761,154887,46.29,-1.334081373286466,72440,0.04218097438570112
0.07,2220,765,155581,48.81,-1.4262994351287461,72784,0.03364180983044207
0.07,2230,767,156003,47.43,-1.3822214283121923,73000,0.04052369715645909
0.07,2240,770,156529,48.08,-1.4175142622015557,73264,0.03675121511332691
0.07,2250,772,156830,47.31,-1.3980049899349436,73408,0.039914190070703626
0.07,2260,774,157286,48.01,-1.3974084928430819,73640,0.03581211483106017
0.07,2270,776,157754,48.22,-1.3988224292652283,73872,0.04508180054835975
0.07,2280,779,158306,48.39,-1.4103931253155937,74152,0.0341879865154624
0.07,2290,782,158793,49.1,-1.439623373368616,74392,0.032304294290952384
0.07,2300,784,159266,47.07,-1.3737431210549675,74632,0.037208195542916656
0.07,2310,787,159769,47.82,-1.4033452212159816,74880,0.03946738364174962
0.07,2320,788,160126,44.45,-1.2958973550246529,75056,0.033683155197650194
0.07,2330,791,160676,45.73,-1.3147205867932192,75336,0.036874250043183565
0.07,2340,794,161146,45.17,-1.2993638415716964,75568,0.03595012263394892
0.07,2350,796,161538,46.08,-1.3210613470493764,75768,0.03331526927649975
0.07,2360,797,161892,45.06,-1.3101717010687701,75944,0.03660609317012131
0.07,2370,800,162401,45.47,-1.3371901477674004,76200,0.03606554470025003
0.07,2380,802,162795,43.89,-1.2938199157302863,76392,0.035775593016296625
0.07,2390,804,163178,42.85,-1.261754032947196,76584,0.033443263499066234
0.07,2400,806,163534,41.68,-1.2473700534903143,76760,0.04006502334959805
0.07,2410,808,164025,41.56,-1.2194410590909837,77008,0.0300921481102705
0.07,2420,811,164481,42.55,-1.2387270470430403,77240,0.04200357524678111
0.07,2430,813,164945,41.69,-1.224948178077785,77472,0.03245699964463711
0.07,2440,815,165391,41.45,-1.2331602925251832,77688,0.028529204661026597
0.07,2450,817,165802,41.64,-1.244346242603795,77896,0.04006307094823569
0.07,2460,819,166187,41.95,-1.2605608837127793,78088,0.02280052611604333
0.07,2470,822,166623,41.22,-1.2615665208197846,78304,0.023497879155911505
0.07,2480,824,167003,41.08,-1.2579359817290778,78496,0.032373660011217
0.07,2490,826,167457,41.79,-1.2810934771548261,78728,0.026288236724212766
0.07,2500,829,167959,43.25,-1.3187902687696715,78976,0.026204280322417617
0.07,2510,831,168392,42.67,-1.308482803990485,79192,0.03032057371456176
0.07,2520,833,168685,41.04,-1.274034643008969,79336,0.02744353038724512
0.07,2530,835,169136,40.91,-1.2920941355217133,79560,0.02521958516445011
0.07,2540,837,169522,40.31,-1.271427631479461,79760,0.024645971949212253
0.07,2550,839,169957,40.55,-1.288915230145933,79976,0.022541826940141618
0.07,2560,841,170350,40.63,-1.290169847593655,80168,0.01996079017408192
0.07,2570,843,170673,39.5,-1.2529303873848763,80336,0.02526491100434214
0.07,2580,845,171067,39.64,-1.2731542629544323,80528,0.022842873353511095
0.07,2590,847,171455,38.98,-1.2639698204010446,80720,0.022408581105992198
0.07,2600,848,171746,36.87,-1.2277874794995953,80872,0.024527592584490776
0.07,2610,850,172101,36.09,-1.201731282151375,81048,0.02749261900316924
0.07,2620,852,172444,36.59,-1.2205351459702292,81216,0.01963523926679045
0.07,2630,854,172876,36.4,-1.1954559022291242,81432,0.017440707073546946
0.07,2640,856,173194,35.72,-1.178952940264957,81592,0.02298242226243019
0.07,2650,858,173668,36.11,-1.1855656604615206,81832,0.02949841204099357
0.07,2660,860,173999,35.49,-1.1566615643252114,81992,0.025693095522001386
0.07,2670,862,174418,36.45,-1.1670882151000421,82208,0.03305036621168256
0.07,2680,865,174912,37.45,-1.2274709526344203,82448,0.02349453908391297
0.07,2690,868,175450,38.95,-1.3035966309306766,82720,0.026566210202872753
0.07,2700,870,175895,40.49,-1.3360533769587548,82944,0.02206090441904962
0.07,2710,872,176279,40.78,-1.3762567359614286,83136,0.02203185553662479
0.07,2720,874,176680,41.36,-1.4077624213259086,83336,0.018567588413134217
0.07,2730,877,177179,42.03,-1.4950104837049707,83584,0.021330370451323688
0.07,2740,879,177527,42.33,-1.495454112082023,83760,0.01837207900825888
0.07,2750,881,177853,40.85,-1.4399104770294417,83920,0.022042716038413346
0.07,2760,882,178161,40.62,-1.428599867595693,84080,0.020590894855558872
0.07,2770,884,178535,40.17,-1.4305690925216354,84264,0.01810246193781495
0.07,2780,887,179028,40.16,-1.388514016167603,84512,0.014242936042137444
0.07,2790,889,179390,38.4,-1.3146921095667041,84688,0.016622748342342675
0.07,2800,890,179710,37.15,-1.2882755806865744,84848,0.02760472020599991
0.07,2810,892,180091,37.12,-1.251666854954301,85040,0.021553065394982696
0.07,2820,894,180500,37.2,-1.2285732078076057,85248,0.020742488210089505
0.07,2830,896,180837,35.58,-1.1263992788177744,85416,0.024274372961372137
0.07,2840,898,181215,35.88,-1.1340432451879325,85600,0.01957635348662734
0.07,2850,900,181600,36.47,-1.1528887784095456,85792,0.01802876644069329
0.07,2860,901,181900,36.39,-1.1620914223223584,85944,0.0186389097943902
0.07,2870,903,182258,36.23,-1.1698859057040953,86128,0.021587922237813473
0.07,2880,905,182653,35.25,-1.137201118619649,86320,0.019280806824099272
0.07,2890,907,182968,34.78,-1.0996873219502035,86480,0.017113477108068764
0.07,2900,909,183420,36.1,-1.1251342888488411,86704,0.01694052026141435
0.07,2910,911,183758,35.67,-1.142511906894867,86872,0.01599158998578787
0.07,2920,913,184115,35.15,-1.1287558278549827,87056,0.022150584612973034
0.07,2930,915,184498,35.61,-1.1353629719100937,87248,0.0193947684019804
0.07,2940,917,184896,35.81,-1.1644986794446963,87440,0.024171091965399683
0.07,2950,919,185192,34.92,-1.1291600065371363,87592,0.01901472033932805
0.07,2960,921,185544,35.44,-1.1350681314207178,87768,0.016819544369354844
0.07,2970,923,185983,36.25,-1.1404270865906012,87984,0.026399838970974088
