time/total_timesteps,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
58822,-0.5698757332703268,930,0.31619425000000023,30.7,488,0.10411443095654249,19408
59277,-0.6162975961364746,940,0.3109048750000001,33.11,492,0.09161130338907242,19632
60019,-0.745050214678452,950,0.3022791250000001,38.3,499,0.10104141663759947,20008
60361,-0.7499498392488891,960,0.29830337500000015,39.07,502,0.09616277646273375,20176
60918,-0.8818293553179215,970,0.2918282500000001,42.32,507,0.08983897510915995,20456
61362,-0.914400155169262,980,0.28666674999999997,44.64,511,0.0988815426826477,20680
61632,-0.886136982613951,990,0.2835280000000001,43.94,514,0.07816110411658883,20808
62038,-0.9007915813756036,1000,0.2788082500000001,45.44,518,0.08133020298555493,21016
62444,-0.9059297909477187,1010,0.2740885000000003,45.45,522,0.07890905346721411,21216
63241,-0.9168320433172221,1020,0.26482337499999997,47.27,529,0.07145513780415058,21616
63855,-0.9338624542445347,1030,0.25768562500000025,49.33,535,0.07227742485702038,21920
64595,-0.9520630886518934,1040,0.24908312499999996,52.18,542,0.06643247464671731,22296
65215,-0.8585227942223628,1050,0.24187562500000004,50.96,548,0.06456824019551277,22600
66024,-0.89942116082797,1060,0.2324710000000002,55.63,555,0.055243901908397675,23008
66705,-0.8171365298048575,1070,0.22455437499999997,56.87,562,0.05940338457003236,23352
67986,-0.9561420769691105,1080,0.2096627499999999,65.24,573,0.05352426343597472,23992
69466,-1.096461796560634,1090,0.1924577500000001,77.34,587,0.04778332635760307,24728
70940,-1.2469374460960738,1100,0.17532250000000016,88.02,601,0.03284047916531563,25464
72868,-1.4399872848552024,1110,0.15290950000000014,103.24,619,0.053073471179232,26432
75868,-2.498817347861758,1120,0.11803450000000004,125.27,648,0.04764547944068909,27928
78860,-3.778961071658995,1130,0.08325250000000017,149.05,677,0.0437408615835011,29424
81860,-4.8246260004252495,1140,0.07,171.65,707,0.04691034555435181,30928
84860,-6.043340765267925,1150,0.07,195.45,736,0.042791359359398484,32424
87670,-7.039523668378094,1160,0.07,215.46,764,0.04024769738316536,33832
89825,-7.742084596779621,1170,0.07,230.2,785,0.037903656251728535,34912
92481,-8.19339331853035,1180,0.07,243.95,811,0.04202004545368254,36240
95008,-8.954857986195202,1190,0.07,254.42,835,0.04237229377031326,37496
97765,-9.847937474958604,1200,0.07,267.25,861,0.04488420742563903,38880
100360,-10.674884289936285,1210,0.07,273.92,886,0.036073666997253895,40176
102584,-10.44169374341818,1220,0.07,266.16,907,0.04927749000489712,41288
105509,-10.222918374436109,1230,0.07,265.49,935,0.053119026124477386,42752
108217,-10.010563443147543,1240,0.07,262.57,962,0.04961977037601173,44104
110970,-9.52014143753585,1250,0.07,260.1,988,0.058307873317971826,45480
113970,-9.601264312832075,1260,0.07,262.0,1017,0.0423336336389184,46984
116767,-9.79937654418709,1270,0.07,268.42,1044,0.04784264229238033,48376
119767,-10.179864512239039,1280,0.07,271.86,1073,0.040761475916951895,49880
122767,-10.401350232264297,1290,0.07,276.59,1101,0.041126405354589224,51376
125554,-10.751019645629265,1300,0.07,276.89,1128,0.0494766840711236,52776
128554,-10.818337489763685,1310,0.07,280.94,1157,0.052175610326230526,54272
130723,-10.734397003698096,1320,0.07,280.39,1178,0.04969736421480775,55360
132719,-10.322141234022874,1330,0.07,271.1,1197,0.04642217047512531,56352
134922,-9.819719557337361,1340,0.07,266.05,1218,0.05135991773568094,57456
137062,-9.72717179359255,1350,0.07,259.92,1238,0.060179205145686865,58528
138647,-9.14543091871329,1360,0.07,245.77,1254,0.057786109391599894,59320
140620,-8.70896159134239,1370,0.07,237.53,1273,0.052845390513539314,60304
141947,-8.070157743160353,1380,0.07,220.8,1285,0.05042825918644667,60968
143183,-7.2989992844257845,1390,0.07,203.16,1297,0.06461524916812778,61584
144323,-6.266817582641818,1400,0.07,186.69,1308,0.058191871270537376,62160
145659,-5.632326276458551,1410,0.07,170.05,1321,0.055228822864592075,62824
146725,-5.152561111724518,1420,0.07,159.02,1332,0.05227502528578043,63360
147555,-4.716895226676756,1430,0.07,147.36,1340,0.04922764468938112,63776
148508,-4.593538990146932,1440,0.07,134.86,1349,0.060585706029087305,64248
149336,-4.073331164950575,1450,0.07,121.74,1357,0.0529923802241683,64664
149916,-3.657510395560523,1460,0.07,111.69,1363,0.06024855887517333,64952
150634,-3.28579433796052,1470,0.07,99.14,1370,0.05789688741788268,65312
151733,-3.230711166179708,1480,0.07,96.86,1381,0.05583074036985636,65864
152325,-2.990700954585696,1490,0.07,90.42,1386,0.04871739214286208,66160
153238,-2.9097153517556484,1500,0.07,88.15,1395,0.0596397714689374,66616
154061,-2.6341468281930025,1510,0.07,83.02,1403,0.051625960040837526,67024
155206,-2.7168671520462677,1520,0.07,83.81,1414,0.05421074340119958,67600
156350,-2.8463907242404853,1530,0.07,86.95,1426,0.05058065429329872,68168
157033,-2.7092192091211844,1540,0.07,84.25,1432,0.05325008789077401,68512
157715,-2.7556624917444243,1550,0.07,82.79,1439,0.04229932092130184,68856
158795,-3.034030823181201,1560,0.07,87.79,1450,0.058008241932839155,69392
159984,-3.3028058176647157,1570,0.07,92.5,1461,0.05300162499770522,69984
160923,-3.2559078196104765,1580,0.07,90.9,1471,0.0543003031052649,70456
161564,-3.2828531167024533,1590,0.07,91.39,1477,0.04955933056771755,70776
162512,-3.308142307489882,1600,0.07,91.74,1486,0.044440452475100756,71248
163191,-3.277126805695112,1610,0.07,90.3,1493,0.048861995339393616,71592
163787,-3.000301225168083,1620,0.07,84.81,1498,0.049790939781814814,71888
164491,-2.802605315629716,1630,0.07,80.41,1505,0.05654779449105263,72240
165117,-2.825786673111434,1640,0.07,79.84,1511,0.05435061361640692,72552
165945,-2.8337212383803934,1650,0.07,81.3,1519,0.049246256705373526,72968
166733,-2.6803490592540635,1660,0.07,78.38,1527,0.05729067791253328,73360
167322,-2.3899013422122035,1670,0.07,72.38,1533,0.05007258988916874,73656
168019,-2.337938717082782,1680,0.07,69.96,1540,0.05630908673629165,74008
168565,-2.33505718364068,1690,0.07,69.01,1545,0.05000445106998086,74280
169234,-2.2117848056372442,1700,0.07,66.22,1551,0.05747988447546959,74616
169709,-2.150183588644176,1710,0.07,64.18,1556,0.04705391591414809,74848
170259,-2.149323796312313,1720,0.07,63.72,1561,0.060754718258976936,75128
170813,-2.088366245593057,1730,0.07,62.22,1567,0.048130305018275976,75400
171535,-2.1559908494546995,1740,0.07,63.18,1574,0.05254457937553525,75760
172056,-2.0642545138956256,1750,0.07,60.11,1579,0.05054914252832532,76024
172637,-1.9247598172437623,1760,0.07,58.04,1584,0.05479106213897467,76312
173408,-2.0288742593428983,1770,0.07,59.86,1592,0.05995895015075803,76696
174126,-2.040757242768305,1780,0.07,60.07,1599,0.06350443419069052,77056
174754,-2.0607203678821273,1790,0.07,60.89,1605,0.049519474152475595,77376
175630,-2.1036090387220683,1800,0.07,62.96,1613,0.054629542864859104,77808
177836,-3.16576665119733,1810,0.07,80.27,1634,0.04687273781746626,78912
179389,-3.218958404883921,1820,0.07,90.3,1649,0.04874926898628473,79688
180527,-3.3598596755751817,1830,0.07,96.14,1660,0.05124093545600772,80256
181527,-3.4453151097607337,1840,0.07,98.92,1670,0.04395138705149293,80760
182588,-3.6860388387974994,1850,0.07,104.32,1680,0.045748783042654395,81288
183210,-3.690209557954161,1860,0.07,104.73,1686,0.04723669774830341,81600
184016,-3.6357893108438977,1870,0.07,105.08,1694,0.04234169842675328,82000
185333,-3.740611081311237,1880,0.07,111.07,1707,0.04055648879148066,82664
185945,-3.7324772755150986,1890,0.07,110.91,1713,0.04182422999292612,82968
186880,-3.7297760024575615,1900,0.07,111.5,1722,0.04504444496706128,83432
187886,-2.81645515198292,1910,0.07,99.5,1731,0.04380312142893672,83936
188685,-2.7731050984743773,1920,0.07,91.96,1739,0.04001237056218088,84336
189336,-2.650283777922177,1930,0.07,87.09,1745,0.03824164951220155,84664
190254,-2.564648990091898,1940,0.07,86.27,1754,0.03042057459242642,85120
191053,-2.422054749880083,1950,0.07,83.65,1762,0.04025079729035497,85520
191980,-2.5101052567919986,1960,0.07,86.7,1770,0.04076873790472746,85984
192630,-2.5073005474678287,1970,0.07,85.14,1777,0.04046702780760825,86312
193215,-2.344977246216655,1980,0.07,77.82,1782,0.03394242702051997,86600
194111,-2.4660243416792493,1990,0.07,80.66,1791,0.04129438474774361,87048
194701,-2.3369056985104555,2000,0.07,77.21,1797,0.03666170337237418,87344
195614,-2.2689769438273912,2010,0.07,76.28,1805,0.03794793668203056,87800
196267,-2.3054750852158814,2020,0.07,74.82,1812,0.03352760151028633,88128
196893,-2.2880584571222453,2030,0.07,74.57,1818,0.03618074278347194,88440
197400,-2.177626044729292,2040,0.07,70.46,1823,0.03201655251905322,88696
198014,-2.110425756038101,2050,0.07,68.61,1829,0.03326837532222271,89000
198589,-2.0598806053186816,2060,0.07,65.09,1835,0.0271800656337291,89288
199316,-2.027301849278424,2070,0.07,65.86,1842,0.03381979768164456,89656
199927,-2.018575477812949,2080,0.07,66.12,1848,0.030444582225754857,89960
