time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss
33837,0.21328974999999994,24.15,137,-0.853692292407917,630,11912,0.13223230745643377
34017,0.20910474999999995,23.83,138,-0.8369630958663313,640,12008,0.0849029675591737
34209,0.20464075000000015,22.71,139,-0.798077756294754,650,12104,0.11564052535686642
34367,0.20096725000000026,21.12,140,-0.7438917463067753,660,12176,0.1373022727202624
34580,0.19601499999999983,20.78,141,-0.7355196958620609,670,12288,0.08519567485200241
34856,0.18959800000000016,20.86,142,-0.7372042207405751,680,12424,0.08527663862332702
35060,0.184855,20.92,144,-0.7434921350429726,690,12528,0.12939020339399576
35201,0.1815767500000003,19.71,144,-0.6841492824370544,700,12600,0.12544651178177446
35419,0.17650825000000003,19.43,146,-0.6845809017899995,710,12704,0.11868890793994069
35666,0.17076550000000013,19.68,147,-0.6800423457112472,720,12832,0.12339647859334946
35850,0.1664875,19.13,148,-0.656824297052646,730,12920,0.0871199055109173
36018,0.16258150000000027,19.01,149,-0.6589719186564352,740,13008,0.11472035106271505
36216,0.15797799999999995,19.07,150,-0.6621449584080453,750,13104,0.1221875580959022
36425,0.1531187500000002,19.58,151,-0.6848575062279558,760,13208,0.1013145805336535
36687,0.14702724999999994,20.07,153,-0.6965857025718201,770,13336,0.08489406108856201
36897,0.14214475000000004,19.41,154,-0.6847513887407644,780,13448,0.11110209906473756
37060,0.138355,19.0,155,-0.6819257294941725,790,13528,0.09645697078667581
37216,0.13472800000000007,19.15,156,-0.6996462872630278,800,13600,0.1340339072048664
37423,0.12991524999999993,19.04,157,-0.690284556528582,810,13704,0.11285950662568212
37682,0.12389350000000021,19.16,159,-0.6883997982737937,820,13840,0.1076108799315989
37937,0.11796475000000017,19.87,160,-0.7120065455239574,830,13968,0.08024364581797272
38110,0.11394250000000006,19.92,161,-0.712956186176132,840,14048,0.12358250271063298
38277,0.11005975000000001,19.61,162,-0.6949861167819285,850,14136,0.10695316642522812
38474,0.10547949999999984,19.49,163,-0.6834385730812886,860,14232,0.09153134934604168
38721,0.09973675000000004,19.34,165,-0.6731621440911522,870,14360,0.08289543574210256
38865,0.09638875000000013,18.68,165,-0.6406344320628662,880,14432,0.09869222156703472
39049,0.09211075000000013,18.89,166,-0.650526350226334,890,14520,0.11794807389378548
39222,0.08808850000000001,19.06,167,-0.6468160016871818,900,14608,0.11814925621729344
39419,0.08350825000000006,18.96,169,-0.6465063234468137,910,14704,0.07258809311315417
39645,0.07825375000000023,18.63,170,-0.6437605000381663,920,14816,0.10082438727840781
39804,0.0745570000000002,17.67,171,-0.619135766392342,930,14896,0.11151304375380278
39970,0.0706975000000003,17.6,172,-0.6155332378329229,940,14984,0.1035678768530488
40190,0.07,18.13,173,-0.6369305300570008,950,15088,0.07429646467790008
40368,0.07,17.94,174,-0.6364859886864122,960,15176,0.08845517330337316
40531,0.07,17.1,175,-0.6052342261154725,970,15264,0.08101997105404735
40712,0.07,17.47,176,-0.6205489850896323,980,15352,0.06962659931741655
40919,0.07,17.7,177,-0.6286752198881335,990,15456,0.09083563415333629
41119,0.07,17.97,178,-0.6486873484928026,1000,15552,0.08369303541257977
41257,0.07,17.38,179,-0.6219238432222988,1010,15624,0.07513834990095347
41410,0.07,16.65,180,-0.5999433546615691,1020,15704,0.0690014511346817
41598,0.07,16.94,181,-0.6126349940372996,1030,15792,0.10513572068884969
41785,0.07,17.15,182,-0.6151384386896475,1040,15888,0.07930672005750239
41963,0.07,16.73,183,-0.5994111834998788,1050,15976,0.07989819254726171
42157,0.07,16.89,184,-0.5954539570568533,1060,16072,0.06749520776793361
42333,0.07,17.02,185,-0.6157694634832012,1070,16160,0.10152220819145441
42504,0.07,16.92,186,-0.6067496975819555,1080,16248,0.07712280098348856
42699,0.07,16.8,187,-0.600284058050473,1090,16344,0.06459192698821425
42909,0.07,16.9,188,-0.59629827736053,1100,16448,0.07411932421382517
43072,0.07,17.15,189,-0.6105339826757001,1110,16528,0.09381095226854086
43222,0.07,17.12,190,-0.6060546093393139,1120,16608,0.08376673515886068
43402,0.07,17.04,191,-0.6002385488550864,1130,16696,0.06594694056548178
43570,0.07,16.85,192,-0.6064851645463926,1140,16784,0.0723816363606602
43765,0.07,17.02,193,-0.6029078453726846,1150,16880,0.06249314290471375
43934,0.07,16.77,194,-0.5820930893053012,1160,16960,0.06832615891471505
44126,0.07,16.93,195,-0.5791589801598134,1170,17056,0.08064366923645139
44309,0.07,17.05,196,-0.5826919185469551,1180,17152,0.05369850667193532
44511,0.07,17.12,197,-0.5918583599603217,1190,17248,0.06415991857647896
44687,0.07,16.78,198,-0.5755837458406713,1200,17336,0.04369046655483544
44871,0.07,16.99,200,-0.5725269105178489,1210,17432,0.07678515370935202
45051,0.07,17.29,201,-0.5779565220593661,1220,17520,0.05624612281098962
45241,0.07,17.39,202,-0.5735255452259461,1230,17616,0.06784904981032014
45433,0.07,17.63,203,-0.5709200756071495,1240,17712,0.07077395590022206
45594,0.07,17.29,204,-0.5700190998467937,1250,17792,0.047563716769218445
45787,0.07,17.53,205,-0.593808026563828,1260,17888,0.04808785137720406
45913,0.07,16.87,205,-0.5796379896401214,1270,17952,0.058565412648022175
46069,0.07,16.6,206,-0.5724353433225808,1280,18032,0.05254765646532178
46268,0.07,16.57,208,-0.5734509337010477,1290,18128,0.04953379509970546
46488,0.07,17.01,209,-0.5942208495584906,1300,18240,0.0512365298345685
46668,0.07,16.97,210,-0.5956546639304063,1310,18328,0.047217650804668665
46830,0.07,16.79,211,-0.5934124572729097,1320,18408,0.04669042769819498
46964,0.07,16.23,211,-0.5788250190278764,1330,18480,0.04193603154271841
47129,0.07,15.96,212,-0.5831092083466761,1340,18560,0.05579608725383878
47327,0.07,16.33,214,-0.5934582698563793,1350,18656,0.04388789180666208
47522,0.07,16.35,215,-0.5953645622894063,1360,18760,0.03890911478083581
47723,0.07,17.1,216,-0.6139644184630217,1370,18856,0.03836465429048985
47902,0.07,17.33,217,-0.632741008563591,1380,18944,0.040774698136374354
48071,0.07,17.03,218,-0.6077274484935593,1390,19032,0.02745590079575777
48244,0.07,16.56,219,-0.6000416904574594,1400,19120,0.03461907617747784
48407,0.07,16.39,220,-0.5991887480409805,1410,19200,0.029581897775642574
48597,0.07,16.67,221,-0.600863403341343,1420,19296,0.030822362285107374
48767,0.07,17.03,222,-0.60541263687302,1430,19376,0.026350836036726832
48963,0.07,17.34,223,-0.6122506604065484,1440,19480,0.02997113112360239
49128,0.07,17.01,224,-0.6033644783110889,1450,19560,0.03516601969022304
49318,0.07,16.96,225,-0.609396712647645,1460,19656,0.029504432808607817
49491,0.07,16.68,226,-0.5951857716451783,1470,19744,0.02767504786606878
49641,0.07,16.39,227,-0.587439227409281,1480,19816,0.027058251202106476
49844,0.07,16.73,228,-0.6038022355404045,1490,19920,0.021206728648394346
50040,0.07,16.96,229,-0.6026302652421791,1500,20016,0.0223165862262249
50194,0.07,16.87,230,-0.5965525601063287,1510,20096,0.022300517885014415
50417,0.07,17.2,232,-0.630266760753802,1520,20208,0.024702965514734387
50612,0.07,17.45,233,-0.6388284494163966,1530,20304,0.01891509850975126
50813,0.07,17.5,234,-0.6472641453337618,1540,20400,0.01928429550025612
51017,0.07,17.89,235,-0.6601359746775509,1550,20504,0.023394052172079682
51162,0.07,17.44,236,-0.6428920305273834,1560,20576,0.016971428995020688
51336,0.07,17.45,237,-0.6455908420123615,1570,20664,0.01614041964057833
51512,0.07,17.71,238,-0.6500364348230058,1580,20752,0.01871444098651409
51688,0.07,17.44,239,-0.640263647662522,1590,20840,0.01552907656878233
51900,0.07,17.6,240,-0.6493078090882188,1600,20944,0.016059527872130275
52054,0.07,17.6,241,-0.644084833278314,1610,21024,0.015259486273862422
52263,0.07,17.46,242,-0.6330655985554744,1620,21128,0.014826900442130864
52458,0.07,17.46,243,-0.6428748337272516,1630,21224,0.013615574222058058
52607,0.07,16.94,244,-0.6126101487709419,1640,21296,0.013964720303192735
52720,0.07,16.03,245,-0.5758831226745039,1650,21352,0.015006307745352387
52916,0.07,16.54,246,-0.5861686079710485,1660,21456,0.013075464288704097
53062,0.07,16.26,247,-0.5842265811337832,1670,21528,0.01360137783922255
53309,0.07,16.97,248,-0.6057489975678877,1680,21648,0.011412118561565876
53478,0.07,16.9,249,-0.6054123175807085,1690,21736,0.012008230318315327
53648,0.07,16.48,250,-0.5758893016672831,1700,21816,0.011482791975140572
53826,0.07,16.72,251,-0.5935375817695258,1710,21912,0.012298872927203774
54000,0.07,16.37,252,-0.576133679234035,1720,21992,0.010397757054306567
54177,0.07,16.19,253,-0.5577532986307412,1730,22088,0.011165859294123948
54394,0.07,16.87,254,-0.5681833175824859,1740,22192,0.011197377578355372
54565,0.07,17.45,255,-0.5858330569502834,1750,22280,0.010312872123904526
54941,0.07,19.25,257,-0.6060348686334648,1760,22464,0.010130774462595582
55109,0.07,19.47,258,-0.607653972270916,1770,22552,0.010851236525923014
55305,0.07,18.96,259,-0.5933688416874883,1780,22648,0.009553832584060729
