time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss
1080,107.0,10,-5.327913772709524,1,0.9748900000000001,,
2812,139.6,20,-7.652288300114601,3,0.9346210000000001,,
4349,143.96666666666667,30,-8.179357046403105,5,0.8988857499999999,,
6294,156.35,40,-8.849520637219362,7,0.8536645,,
7953,158.06,50,-8.737993153449413,10,0.8150927499999998,,
9484,157.06666666666666,60,-8.655802103039985,12,0.779497,,
10830,153.71428571428572,70,-8.445264037723547,17,0.7482024999999999,408,0.04722351564123528
12254,152.175,80,-8.410710882004688,24,0.7150944999999997,1120,0.06515931503236061
13008,143.53333333333333,90,-7.8629306074270175,28,0.6975640000000001,1496,0.03735474839777453
13599,134.99,100,-7.3773555645338025,31,0.6838232499999999,1792,0.07399341516429558
14176,129.96,110,-7.078757391470077,34,0.6704079999999998,2080,0.04659005076973699
14741,118.29,120,-6.355561231075703,36,0.6572717499999999,2368,0.10111764803878032
15310,108.61,130,-5.671637564514815,39,0.6440425000000001,2648,0.07310952765692491
15978,95.84,140,-4.851064636798789,43,0.6285115,2984,0.04632387508172542
16398,83.45,150,-4.209992319219037,45,0.6187465,3192,0.019205974065698683
16951,73.67,160,-3.6285918029191278,48,0.6058892499999999,3472,0.10794440205791034
17619,66.89,170,-3.247779260882568,51,0.59035825,3808,0.09020137408515438
18082,57.28,180,-2.6364034925635904,54,0.5795935000000001,4040,0.05499030792270787
18565,54.57,190,-2.4691903165690046,56,0.5683637499999998,4280,0.0975269072514493
19132,54.33,200,-2.4081546100256612,59,0.5551810000000001,4560,0.07072278100531548
19734,54.58,210,-2.4630829934217284,62,0.5411845,4864,0.08771854970837012
20321,54.8,220,-2.4624817970673987,65,0.5275367500000003,5160,0.07787996550905518
20911,55.01,230,-2.4912660907750435,69,0.5138192500000003,5448,0.062426650372799486
21395,53.17,240,-2.4397345841714198,71,0.5025662499999999,5696,0.17168446071445942
21953,54.55,250,-2.513705557484458,74,0.48959275000000013,5976,0.11475209705531597
22625,55.74,260,-2.556476340093571,78,0.47396874999999994,6312,0.12311580625828356
23124,54.05,270,-2.461679592608179,80,0.46236699999999986,6560,0.059270736295729876
23475,52.93,280,-2.408184050337427,82,0.45420625000000003,6736,0.13840392138808966
23855,51.9,290,-2.3921736344503075,84,0.44537125,6920,0.1247248585568741
24202,49.7,300,-2.302187418957154,86,0.43730349999999973,7096,0.11734881170559675
24627,47.93,310,-2.192689774942963,89,0.4274222500000001,7312,0.11062092217616737
25258,48.37,320,-2.212544670719189,92,0.41275150000000005,7624,0.08489209692925215
25795,47.84,330,-2.1699144815348363,95,0.4002662499999998,7896,0.10349006066098809
26123,46.28,340,-2.084981824828241,97,0.3926402499999999,8056,0.12420088285580277
26501,44.48,350,-1.984618124466203,99,0.38385175000000016,8248,0.07318063569255173
27006,42.81,360,-1.9153471515539535,101,0.37211050000000023,8496,0.06538901245221496
27479,42.55,370,-1.8861953579800557,104,0.3611132500000004,8736,0.1029655784368515
27841,42.66,380,-1.8802034312108031,106,0.35269675,8920,0.10476959403604269
28334,43.79,390,-1.9206917985705823,109,0.3412345000000002,9160,0.11405060347169638
28826,45.24,400,-1.976675449441922,111,0.32979550000000024,9408,0.12167050922289491
29355,46.28,410,-2.0190846118150447,114,0.31749625000000015,9672,0.13116053119301796
29869,45.11,420,-1.968264007208393,117,0.30554574999999984,9928,0.11282310169190168
30661,47.66,430,-2.046682716700318,122,0.2871317499999999,10328,0.10513812163844705
31250,50.27,440,-2.148318166639356,125,0.2734375000000001,10624,0.08638335531577468
32167,55.66,450,-2.344844271680237,130,0.25211724999999974,11080,0.0765137446578592
32803,56.97,460,-2.385641274511372,134,0.23733025000000008,11400,0.11355777247808874
33536,59.57,470,-2.4645737786172863,138,0.22028799999999982,11760,0.07720558252185583
34021,60.8,480,-2.500116644707226,141,0.20901175000000038,12008,0.07890677289105952
34902,64.68,490,-2.63855002768917,145,0.18852850000000032,12448,0.07876004744321108
35580,66.54,500,-2.71430076789719,149,0.1727650000000004,12784,0.10308854840695858
36664,72.09,510,-2.895438988198348,155,0.14756199999999997,13328,0.0899227224290371
37483,75.14,520,-2.949319994514452,159,0.1285202500000001,13736,0.06998360552825034
38334,75.73,530,-2.944182860556258,164,0.10873450000000007,14160,0.08619579020887613
39709,83.59,540,-3.183657731280112,171,0.07676575000000019,14848,0.06739029753953218
40708,84.41,550,-3.14250715254969,177,0.07,15352,0.07659616181626916
41625,87.22,560,-3.1810237223933497,182,0.07,15808,0.06369204982183874
42083,84.47,570,-3.0218625601710847,184,0.07,16040,0.05919559020549059
42557,84.36,580,-2.982668192952855,187,0.07,16272,0.042618986684829
43089,80.87,590,-2.8227509270015276,190,0.07,16544,0.04439532780088484
43750,80.7,600,-2.770342984026015,193,0.07,16872,0.06609916873276234
44536,77.72,610,-2.6094435924224926,197,0.07,17264,0.07127307867631316
45201,76.18,620,-2.497102318700803,201,0.07,17600,0.06681894091889262
45740,73.06,630,-2.3817463291003085,203,0.07,17864,0.05834147706627846
46420,66.11,640,-2.118905382417955,207,0.07,18208,0.053106712410226464
47778,69.7,650,-2.1898426027933198,214,0.07,18888,0.05801743594929576
49043,73.18,660,-2.2527470853080547,221,0.07,19520,0.050306070828810334
50563,83.8,670,-2.5588882209636226,229,0.07,20280,0.05389055935665965
52270,96.13,680,-2.8714962815207365,238,0.07,21128,0.04678802075795829
53858,106.69,690,-3.133382619970915,246,0.07,21928,0.0402108661364764
54804,109.54,700,-3.154267556874393,251,0.07,22400,0.04787456151098013
55415,107.79,710,-3.0739993929332785,254,0.07,22704,0.056375395972281694
56046,107.45,720,-3.0566957992613526,258,0.07,23016,0.04218443715944886
56621,107.81,730,-3.0307004376721283,261,0.07,23304,0.032654269598424435
57011,104.91,740,-2.9434933500936697,263,0.07,23504,0.0347556626657024
57425,95.47,750,-2.6785461417757075,265,0.07,23712,0.036463282303884625
57816,86.73,760,-2.4665951264582544,267,0.07,23904,0.03890825237613171
58087,74.24,770,-2.105837083347187,269,0.07,24040,0.04348062409553677
58440,60.7,780,-1.7599240653326398,271,0.07,24216,0.03336177673190832
58798,48.4,790,-1.4303936374470092,273,0.07,24392,0.04991633351892233
59086,41.82,800,-1.2776138745861,274,0.07,24536,0.047752680256962776
