rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-4.700944464010403,100.9,1,1019,0.9763082500000002,10,,
-4.463668680898596,92.65,2,1873,0.9564527500000002,20,,
-5.114000543641667,101.3,4,3069,0.9286457499999997,30,,
-5.376952043967479,104.725,6,4229,0.9016757500000001,40,,
-5.3557743193932374,103.9,7,5245,0.8780537500000003,50,,
-5.5544443274737505,107.73333333333333,10,6524,0.8483170000000001,60,,
-6.525330320029284,121.98571428571428,14,8609,0.79984075,70,,
-7.075800621236081,132.925,21,10714,0.7508994999999999,80,352,0.06517935412011866
-7.428390201126281,135.05555555555554,32,12245,0.7153037500000001,90,1120,0.04700975499508786
-7.194572253712681,130.74,38,13174,0.6937045000000002,100,1584,0.07518566560065665
-8.02803759866553,143.98,55,15517,0.6392297499999999,110,2752,0.03807668893568916
-8.081044799610709,146.32,63,16605,0.61393375,120,3296,0.057233719526266214
-7.973416574343201,145.11,70,17680,0.5889399999999999,130,3832,0.05731660455057863
-8.165003735189465,151.01,83,19430,0.5482525000000003,140,4712,0.029359952779486775
-8.435077618600163,157.04,95,21049,0.5106107499999999,150,5520,0.05802652571583167
-8.65133927222827,161.26,108,22750,0.47106250000000005,160,6368,0.06843807283439673
-8.069546042893114,153.61,118,24070,0.4403725000000003,170,7032,0.06836447198293172
-7.6819829861801425,146.85,128,25499,0.40714825,180,7744,0.002794701576931402
-7.11733158943419,142.36,137,26581,0.38199174999999985,190,8288,0.04098557197721675
-7.173688653238911,145.69,147,27843,0.35265025000000016,200,8920,0.0981729757040739
-6.477144940728846,136.04,157,29221,0.32061175,210,9608,0.05914138560183346
-6.552532794688327,138.56,168,30561,0.28945675000000026,220,10280,0.0517396095674485
-6.695751459257727,143.86,180,32166,0.2521405,230,11080,0.05148481827927753
-6.312705746834512,136.1,188,33140,0.22949500000000023,240,11568,0.023318462044699118
-5.810851447472251,126.06,193,33755,0.21519624999999998,250,11872,0.042019022890599445
-5.357121017421069,119.1,201,34760,0.19183000000000028,260,12376,0.10823510959744453
-5.289710406450233,119.57,212,36127,0.16004725000000009,270,13056,0.05251058383146301
-5.13688304217364,117.84,222,37383,0.13084525000000036,280,13688,0.042833446292206645
-4.905768017394638,112.54,227,37935,0.1180112499999999,290,13960,0.1006097990903072
-4.730654624902504,109.36,234,38879,0.09606325000000016,300,14432,0.05339483032003045
-4.685111737920102,106.45,245,39966,0.07079050000000031,310,14976,0.07155476469779387
-4.602306439426091,103.55,254,41016,0.07,320,15504,0.11986135959159583
-4.418332455139799,98.21,263,42087,0.07,330,16040,0.0523657260928303
-4.24177998805257,93.92,268,42632,0.07,340,16312,0.0818081532488577
-4.289326175532781,95.01,274,43356,0.07,350,16672,0.04474172682967037
-4.144568432268848,91.41,280,44001,0.07,360,17000,0.07244495779741555
-3.751822175288627,83.11,284,44538,0.07,370,17264,0.09074580587912351
-3.5597623334030475,78.82,291,45365,0.07,380,17680,0.05218415992567316
-3.5402375496787744,80.01,297,46036,0.07,390,18016,0.02476487384410575
-3.3538428936356324,75.53,301,46532,0.07,400,18264,0.05202912067761645
-3.0092116283390413,70.03,306,47069,0.07,410,18528,0.06302459817379713
-2.801691392222529,65.67,311,47683,0.07,420,18840,0.10071368305943906
-2.5092352179222144,59.68,315,48155,0.07,430,19072,0.11972644017077982
-2.692458132010655,64.28,323,49160,0.07,440,19576,0.08000279153930023
-2.500589019293132,60.91,327,49547,0.07,450,19768,0.10931944189360365
-2.4642532588972537,60.09,331,50110,0.07,460,20048,0.024167401192244142
-2.549212340599014,61.36,337,50774,0.07,470,20384,0.05174997478025034
-2.473083131313189,59.33,342,51398,0.07,480,20696,0.10009769489988685
-2.540672658255098,58.83,348,52019,0.07,490,21008,0.10916857095435262
-2.8021455819183676,65.11,357,53143,0.07,500,21568,0.08053531928453594
-3.0307407381413456,69.79,365,54148,0.07,510,22072,0.1466723008779809
-2.9511944075084284,68.02,369,54585,0.07,520,22288,0.07078394165728241
-2.998596184256436,68.64,373,55119,0.07,530,22552,0.10032661200966686
-2.9794169755635536,68.12,381,56072,0.07,540,23032,0.06135363323846832
-3.243829355638868,73.35,389,56982,0.07,550,23488,0.03304763440974057
-3.143029432654747,70.86,392,57296,0.07,560,23640,0.10884343506768346
-3.343854148086708,74.97,401,58371,0.07,570,24184,0.11728182912338525
-3.5627789542608483,80.49,411,59547,0.07,580,24768,0.0813028299016878
-4.023979274258258,90.2,424,61139,0.07,590,25568,0.08846955216722563
-4.510961950184317,100.32,442,63275,0.07,600,26632,0.11778638977557421
-4.381801953180541,98.05,449,64053,0.07,610,27024,0.08930956531548873
-4.894237617596201,108.55,461,65540,0.07,620,27768,0.10870823368895799
-4.94683281261523,110.04,467,66223,0.07,630,28104,0.0699525018571876
-4.96128814571397,110.33,475,67205,0.07,640,28600,0.08751881821081042
-5.1481823616311795,114.63,486,68545,0.07,650,29272,0.06155781674897298
-5.808614577861906,129.68,502,70364,0.07,660,30176,0.09835679031675681
-6.475923694557989,146.35,525,73106,0.07,670,31552,0.13524358347058296
-7.029149709272636,159.15,546,75562,0.07,680,32776,0.05929498648038134
-7.098241763086921,162.29,563,77468,0.07,690,33728,0.10883619749802165
-7.1278602150040316,165.01,583,79876,0.07,700,34936,0.0690493721049279
-7.568173193966027,178.49,601,82002,0.07,710,36000,0.09557269839569926
-7.649119342042243,183.46,617,83986,0.07,720,36992,0.05998853739583865
-8.018046549288918,193.31,631,85654,0.07,730,37824,0.03203019025386311
-8.11714524036088,197.79,642,87084,0.07,740,38536,0.07079619454452768
-8.019222869325176,199.67,655,88612,0.07,750,39304,0.022145007562357932
-7.892854887904243,198.6,669,90324,0.07,760,40160,0.0697228582284879
-7.703433511537973,193.69,687,92575,0.07,770,41280,0.03175054176244885
-7.057567831162909,182.3,698,93892,0.07,780,41944,0.09452211906318553
-6.752431375940709,179.27,711,95495,0.07,790,42744,0.06187623113510199
-6.49310710988224,175.69,728,97545,0.07,800,43768,0.050485658866818994
-6.6460878178151335,176.96,747,99798,0.07,810,44896,0.07025140384212136
-6.752166584133919,180.09,766,102095,0.07,820,46040,0.041453248530160636
-6.718739934833933,184.16,783,104170,0.07,830,47080,0.040272730751894414
-6.673330300202081,185.61,796,105745,0.07,840,47872,0.029602999362396076
-6.620275007145461,184.65,807,107177,0.07,850,48584,0.05014757256140001
-6.185437495260402,175.13,813,107937,0.07,860,48968,0.058913446962833405
-5.647915526488111,166.08,825,109283,0.07,870,49640,0.031452843541046605
-5.670506502140468,165.06,835,110498,0.07,880,50248,0.07675866494537331
-5.644357314480569,162.9,846,111885,0.07,890,50936,0.04195174446795136
-5.3559222922915115,155.96,857,113241,0.07,900,51616,0.07947027817135677
-4.73428298824427,141.74,864,114072,0.07,910,52032,0.052074183156946674
-4.4434383727307205,133.55,876,115550,0.07,920,52768,0.070053277653642
-4.005222311072389,118.29,881,116099,0.07,930,53048,0.05019482973148115
