rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
9.604169089349444,0.2811100000000002,272,153.6,0.04744102305267006,1546,10,4
11.04376375583595,0.07,1200,169.05,0.01907779598968773,3401,20,16
9.323845276941107,0.07,1984,164.46666666666667,0.04780218836822314,4964,30,25
7.623117954391648,0.07,2464,147.275,0.02881223106305697,5931,40,30
6.356008496814434,0.07,2648,124.9,0.04795308631946682,6295,50,32
5.4838981273957605,0.07,2824,109.88333333333334,0.07692266294907313,6653,60,34
5.000396995618242,0.07,3208,105.05714285714286,0.11517590668518096,7424,70,38
4.5364117469252765,0.07,3408,96.6625,0.13535386066359933,7813,80,40
4.14186682455921,0.07,3584,89.74444444444444,0.11499018423637608,8167,90,42
3.8270694579595714,0.07,3720,83.38,0.1061380143801216,8438,100,43
3.0875763128089146,0.07,3944,72.47,0.0767884927772684,8893,110,46
1.9225080991780699,0.07,4064,56.32,0.16251608528546058,9133,120,48
1.4066121785873031,0.07,4168,42.74,0.15307448242674582,9338,130,49
1.218709389368497,0.07,4256,34.84,0.11517995930626057,9515,140,50
1.1731864927516011,0.07,4400,33.99,0.12453781883232296,9794,150,51
1.1484894455755128,0.07,4504,32.51,0.19031648337841034,10004,160,53
