time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/loss,train/n_updates
310,-43.52019576457272,213.54,74043,665,0.1392501250000001,0.14813037682324648,27016
320,-42.1015753505524,210.38,76028,685,0.11617450000000029,0.09754123818129301,28008
330,-40.40189871827951,205.06,77336,697,0.10096900000000009,0.15187418833374977,28664
340,-38.6174436334001,198.46,79037,714,0.08119487500000011,0.09447433985769749,29512
350,-38.11326212011707,196.34,81012,733,0.07,0.14234760403633118,30504
360,-36.649525617531665,189.37,82302,746,0.07,0.11511820089071989,31144
370,-37.025566367014996,189.52,84232,766,0.07,0.11386302020400763,32112
380,-37.42052312329977,190.46,86409,787,0.07,0.19512413814663887,33200
390,-34.789652185696696,178.7,87725,800,0.07,0.1248363945633173,33856
400,-32.03686171886205,164.46,88927,812,0.07,0.19231691304594278,34456
410,-31.41093017165999,156.74,89817,821,0.07,0.1538277892395854,34904
420,-29.09267442828184,143.79,90507,827,0.07,0.17670515924692154,35248
430,-29.15105290523288,141.69,91605,838,0.07,0.13209525030106306,35800
440,-27.63447416550896,137.05,92842,850,0.07,0.1087947515770793,36416
450,-28.290926645733972,137.37,94849,870,0.07,0.12488723546266556,37424
460,-27.988259902813407,135.05,95907,880,0.07,0.19014947768300772,37952
470,-27.210700773886092,133.32,97664,897,0.07,0.11924404371529818,38824
480,-23.33522143622809,117.25,98234,903,0.07,0.15392404794692993,39112
490,-21.63618085803807,110.28,98853,909,0.07,0.21505061071366072,39424
500,-20.282394639674752,102.33,99260,913,0.07,0.140215708874166,39624
510,-20.449588817902733,106.85,100602,927,0.07,0.14266001246869564,40296
520,-20.520975940000145,108.0,101407,935,0.07,0.1754518561065197,40696
530,-19.267256933171783,102.4,101945,940,0.07,0.1409996310248971,40968
540,-18.21007111299986,96.47,102589,947,0.07,0.2338042352348566,41288
550,-15.298712076224138,81.82,103131,952,0.07,0.26735643297433853,41560
560,-14.079703709168607,75.05,103512,956,0.07,0.18855376914143562,41752
570,-12.113078379849702,64.47,104211,963,0.07,0.3140147849917412,42104
580,-11.62310735687098,62.98,104632,967,0.07,0.2171269664540887,42312
590,-11.896973104917848,66.03,105556,976,0.07,0.24362629652023315,42776
600,-12.369495406587726,68.18,106178,982,0.07,0.1825152412056923,43088
610,-12.822927113716478,70.24,107726,998,0.07,0.2346093412488699,43856
620,-13.850959624846984,75.35,109042,1011,0.07,0.22305146139115095,44520
630,-14.289639906923663,77.22,109767,1018,0.07,0.2791115427389741,44880
640,-13.883973158350063,75.44,110233,1023,0.07,0.3095347583293915,45112
650,-13.621779510594878,73.7,110601,1026,0.07,0.21678065322339535,45296
660,-14.12890917498241,76.67,111279,1033,0.07,0.23182655312120914,45632
670,-13.698286984744614,73.97,111708,1037,0.07,0.17596080992370844,45848
680,-14.646137375730275,78.95,112627,1047,0.07,0.37273445073515177,46312
690,-13.91966146519386,72.39,112895,1049,0.07,0.21038498170673847,46440
700,-13.849302135856306,71.49,113427,1055,0.07,0.3695099260658026,46712
710,-12.208275531254248,62.8,114106,1062,0.07,0.26499083638191223,47048
720,-11.013305710554427,56.38,114780,1068,0.07,0.2410922460258007,47384
730,-10.818966733177549,54.4,115307,1073,0.07,0.22202980890870094,47648
740,-12.732081128707414,66.1,116943,1089,0.07,0.273890420794487,48464
750,-12.780263377035926,65.95,117296,1093,0.07,0.18369167763739824,48640
760,-13.206092212043162,66.86,118065,1100,0.07,0.3390228319913149,49032
770,-13.125305087363458,65.98,118406,1104,0.07,0.3288988210260868,49200
780,-13.452235779239437,68.59,119586,1115,0.07,0.34563799388706684,49792
790,-13.52622740580995,68.7,119865,1118,0.07,0.3276426699012518,49928
800,-13.578907425626447,70.05,120532,1125,0.07,0.35578005015850067,50264
810,-14.784757284252983,74.42,121648,1136,0.07,0.29863029159605503,50816
820,-15.659763992689438,79.35,122815,1147,0.07,0.3084918111562729,51400
830,-18.350477833542204,89.25,124332,1162,0.07,0.41454110853374004,52160
840,-22.483783477820904,96.65,126708,1186,0.07,0.24648996908217669,53352
850,-22.399818080469053,96.24,127020,1189,0.07,0.45210025645792484,53504
860,-21.79478946575209,93.9,127555,1194,0.07,0.4417297802865505,53776
870,-23.195533468256343,104.37,128943,1208,0.07,0.18366387113928795,54464
880,-22.138677965536214,96.03,129289,1211,0.07,0.24896088615059853,54640
890,-22.750877783847717,99.17,129882,1217,0.07,0.23186266422271729,54936
900,-22.888290081888307,98.61,130493,1223,0.07,0.336264755576849,55240
910,-21.786065338573284,93.92,131140,1230,0.07,0.41281257569789886,55568
920,-20.49871989512133,85.77,131492,1233,0.07,0.33236358128488064,55744
930,-17.92505574246538,77.65,132197,1240,0.07,0.34183180145919323,56096
940,-12.792549147686998,63.47,133155,1250,0.07,0.32094007916748524,56576
950,-12.88865849839244,63.78,133498,1253,0.07,0.3303339621052146,56744
960,-12.590036466448113,61.67,133822,1256,0.07,0.3243020810186863,56904
970,-12.089746847955977,56.33,134676,1265,0.07,0.27928866259753704,57336
980,-12.634223216307694,60.2,135409,1272,0.07,0.30176568031311035,57704
990,-13.860733945590715,66.47,136629,1284,0.07,0.3643449926748872,58312
1000,-14.329207325287095,69.94,137587,1294,0.07,0.5150008127093315,58792
1010,-14.543554306906977,71.8,138420,1302,0.07,0.29602285102009773,59208
1020,-14.99957466565307,74.23,139015,1308,0.07,0.39440886676311493,59504
1030,-14.912558582436624,73.1,139607,1314,0.07,0.4140912853181362,59800
1040,-14.074325847744655,69.2,140175,1319,0.07,0.346797201782465,60080
1050,-14.863132554557685,74.03,141001,1328,0.07,0.2564280219376087,60496
1060,-16.661472710360933,81.04,142026,1338,0.07,0.3155399467796087,61008
1070,-16.33820027731139,78.74,142650,1344,0.07,0.43519335240125656,61320
1080,-17.948450685935253,85.99,144108,1358,0.07,0.5112600643187761,62048
1090,-18.455947452431463,87.06,145435,1371,0.07,0.3249061703681946,62712
1100,-24.60043199977352,104.55,148142,1398,0.07,0.35857953503727913,64064
1110,-25.30001363255971,107.25,149245,1409,0.07,0.5464196093380451,64616
1120,-33.49901478660735,131.3,152245,1438,0.07,0.29476309940218925,66120
1130,-39.492705799834326,149.75,154682,1462,0.07,0.36157106328755617,67336
1140,-40.20848860469064,152.76,155551,1470,0.07,0.31242899037897587,67768
1150,-41.15591334735813,155.91,156692,1482,0.07,0.2387924250215292,68344
1160,-40.24637907386992,153.79,157505,1490,0.07,0.3148608673363924,68752
1170,-39.66146831736656,150.96,157846,1493,0.07,0.41086578369140625,68920
1180,-38.87010463117469,147.83,158991,1505,0.07,0.4382086209952831,69488
1190,-37.16102155725458,140.35,159570,1510,0.07,0.36841557919979095,69784
1200,-31.05255340960941,122.17,160459,1520,0.07,0.46051585860550404,70224
1210,-30.51422746440492,118.94,161239,1528,0.07,0.26586289145052433,70616
1220,-23.081427575212683,99.02,162247,1537,0.07,0.3956051506102085,71120
1230,-17.33372555971619,80.74,162856,1543,0.07,0.3437874764204025,71424
1240,-16.86569329484166,77.91,163442,1549,0.07,0.40307312458753586,71720
1250,-15.590304584937794,72.79,164071,1555,0.07,0.24789656698703766,72032
1260,-14.92174174798668,69.28,164533,1560,0.07,0.481526754796505,72264
1270,-16.001607967285004,74.44,165390,1568,0.07,0.5798166245222092,72688
1280,-15.589892072480795,71.8,166271,1577,0.07,0.4950547646731138,73128
1290,-15.928086061936401,73.89,167059,1585,0.07,0.44530070200562477,73528
1300,-16.614686313419142,76.5,168209,1596,0.07,0.4753824155777693,74104
1310,-15.926313805210613,72.12,168551,1599,0.07,0.5205097533762455,74272
1320,-15.88548465145793,72.62,169609,1610,0.07,0.5222328137606382,74800
1330,-15.173261201948105,69.58,169914,1613,0.07,0.3991685276851058,74952
1340,-15.636347226856383,72.03,170745,1621,0.07,0.4263434913009405,75368
1350,-15.110642741569066,69.52,171123,1625,0.07,0.5155802331864834,75560
1360,-14.902095728600148,68.78,171511,1629,0.07,0.6302739754319191,75752
1370,-13.694026357833794,63.09,171799,1632,0.07,0.3265850655734539,75896
1380,-13.030124158238095,58.25,172196,1636,0.07,0.47849509306252,76096
1390,-13.021866362903454,58.5,173009,1644,0.07,0.4994769301265478,76504
1400,-11.183474149593517,49.89,173298,1647,0.07,0.47152834199368954,76648
1410,-12.471286615233799,56.47,174298,1657,0.07,0.585038909688592,77144
1420,-12.11355708100209,53.46,175055,1664,0.07,0.38938410580158234,77520
1430,-12.2951372438863,54.2,175434,1668,0.07,0.48269365541636944,77712
1440,-11.823436929172033,52.06,176051,1674,0.07,0.49687041342258453,78024
