rollout/exploration_rate,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/loss
0.9436885000000003,2422,2,10,-11.690000811326648,241.2,,
0.8962584999999997,4462,4,20,-11.125549436619464,222.1,,
0.8460617499999998,6621,7,30,-11.23846399021514,219.7,,
0.8076527500000001,8273,9,40,-11.017635917543835,205.825,,
0.7545265,10558,15,50,-11.531874000149333,210.16,272,0.009328731735877227
0.69582025,13083,27,60,-11.636250827126503,217.05,1536,6.822285286034457e-05
0.6469720000000001,15184,37,70,-11.436965171505548,215.9142857142857,2584,0.009286926699132891
0.5772220000000001,18184,52,80,-11.793664795655408,226.3,4088,0.027423554904089542
0.5081694999999999,21154,67,90,-11.93397923802553,234.04444444444445,5576,0.009488179759500781
0.43841949999999985,24154,83,100,-12.040072495879418,240.54,7072,0.01848099102062406
0.37555150000000004,26858,97,110,-12.074333732763291,243.36,8424,0.00967033440247178
0.30580149999999995,29858,114,120,-12.384749878597564,252.96,9928,0.0012309770245337859
0.23605149999999986,32858,129,130,-12.563873425490547,261.37,11424,0.0013690105552086607
0.17985625000000027,35275,143,140,-12.587330962835876,269.02,12632,0.0016551907174289227
0.1238237499999999,37685,155,150,-12.23981677941922,270.27,13840,0.018921832102932967
0.07,40685,170,160,-12.245585519215457,275.02,15336,0.01023582462221384
0.07,43388,184,170,-12.314373857102776,281.04,16688,0.0024833837378537282
0.07,45792,196,180,-11.90706662106694,275.08,17888,0.002988545107655227
0.07,48792,212,190,-11.833072780734106,275.38,19392,0.002232755854493007
0.07,51792,227,200,-11.731463166918331,275.38,20888,0.010628721327520907
0.07,54792,242,210,-11.758872351921356,278.34,22392,0.0032522021792829037
0.07,57792,258,220,-11.63482645469927,278.34,23888,0.00320588520844467
0.07,60792,273,230,-11.577954369902066,278.34,25392,0.0033966505579883233
0.07,63792,289,240,-11.710504450125493,284.17,26888,0.004291211982490495
0.07,66592,303,250,-11.833168104633362,288.07,28288,0.010674683406250551
0.07,69592,319,260,-11.829100179194466,288.07,29792,0.003639714210294187
0.07,72592,334,270,-12.021128321848265,291.04,31288,0.026694297412177548
0.07,75294,348,280,-12.193869200432687,294.02,32640,0.011077209492214024
0.07,78294,363,290,-12.16094689044333,294.02,34144,0.0041936417983379215
0.07,81294,379,300,-12.19652804033146,294.02,35640,0.01951750842272304
0.07,83995,392,310,-12.067897329252595,291.03,36992,0.0038348925299942493
0.07,86995,408,320,-12.026524643868541,291.03,38496,0.011666492966469377
0.07,89995,423,330,-12.04796277592644,291.03,39992,0.012388691713567823
0.07,92863,438,340,-12.093860225223176,289.71,41424,0.018822392041329294
0.07,95863,453,350,-12.227466597301593,291.71,42928,0.012834680819651112
0.07,98736,468,360,-12.293014962773354,290.44,44360,0.00541114152292721
0.07,101398,482,370,-12.157790354053262,287.06,45696,0.0056199608952738345
0.07,104398,498,380,-12.200674964891848,290.04,47192,0.004912132979370654
0.07,107398,513,390,-12.133716806299335,290.04,48696,0.0033304316457360983
0.07,110398,529,400,-12.331655913302702,290.04,50192,0.0037453876284416765
0.07,113398,544,410,-12.438233422052313,293.03,51696,0.002990239707287401
0.07,116398,559,420,-12.537495632741877,293.03,53192,0.019098970980849117
0.07,119398,575,430,-12.717657719594659,293.03,54696,0.002540489804232493
0.07,122398,590,440,-12.650025981754176,294.35,56192,0.0021973601687932387
0.07,124931,603,450,-12.459401059806964,289.68,57464,0.0017787154502002522
0.07,127931,619,460,-12.658234270199076,290.95,58960,0.001841580800828524
0.07,130334,631,470,-12.579223225908613,288.36,60160,0.0015843207656871527
0.07,133334,647,480,-12.51062545256952,288.36,61664,0.0013471710844896734
0.07,136334,662,490,-12.51969064340168,288.36,63160,0.001518973003840074
0.07,139334,677,500,-12.318224211570037,288.36,64664,0.0011314009097986855
0.07,142334,693,510,-12.33060074550373,288.36,66160,0.0012790351756848395
0.07,145334,708,520,-12.134414441152328,288.36,67664,0.001377748980303295
0.07,148334,724,530,-11.755676646164405,288.36,69160,0.0012668668568949215
0.07,151085,738,540,-11.639195228425184,285.87,70536,0.001170850489870645
0.07,154085,753,550,-11.652347613225729,290.54,72040,0.0010452904316480272
0.07,157085,769,560,-11.264638105448586,290.54,73536,0.0009935848647728562
0.07,160085,784,570,-11.288021063797753,296.51,75040,0.0009992006162065081
0.07,163085,799,580,-11.253854999943986,296.51,76536,0.0008173011810868047
0.07,166085,815,590,-11.174360875999161,296.51,78040,0.0007008578031673096
0.07,168504,827,600,-10.821600688278181,290.7,79248,0.0008919414212869015
0.07,171504,843,610,-10.630061725935636,290.7,80744,0.0008854168409015983
0.07,173928,855,620,-10.256898152144645,284.94,81960,0.0007991186867002398
0.07,176576,868,630,-10.039789435389576,281.42,83280,0.0008909662647056393
0.07,179178,882,640,-9.859850289377999,279.93,84584,0.0008803236560197547
0.07,182009,897,650,-9.745134183845211,278.24,86000,0.010472936315636616
0.07,184533,909,660,-9.533229727066395,273.48,87264,0.000823058420792222
0.07,187371,924,670,-9.40768193223728,271.86,88680,0.0008108656838885508
0.07,190371,939,680,-9.445074114802875,271.86,90184,0.000678084648825461
0.07,193371,955,690,-9.413187851338265,271.86,91680,0.0007857084638089873
0.07,196371,970,700,-9.641181073691369,277.67,93184,0.022515784068673383
0.07,199371,986,710,-9.64387324147198,277.67,94680,0.0008415591946686618
