rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/loss
0.9302499999999999,3000,10,299.0,22,-17.327582189446108,,
0.8604999999999999,6000,20,299.0,44,-18.191379855066312,,
0.7907499999999998,9000,30,299.0,64,-17.534902828684455,,
0.7230925000000001,11910,40,296.75,87,-17.99063696717739,952,0.000177964795511798
0.6533424999999999,14910,50,297.2,112,-18.56437192909595,2448,0.0002748635633906815
0.5835925,17910,60,297.5,136,-19.069272113239744,3952,0.0005229865128058009
0.5138424999999999,20910,70,297.7142857142857,161,-19.0473689772937,5448,0.0005273360657156445
0.4440924999999999,23910,80,297.875,186,-19.174700109491063,6952,0.0007869650944485329
0.37434250000000024,26910,90,298.0,211,-18.92821182177283,8448,0.0008314048827742226
0.3045925000000004,29910,100,298.1,235,-18.968188681789417,9952,0.0013444129072013311
0.2348425000000003,32910,110,298.1,260,-19.172780473926192,11448,0.0006840449495939538
0.1650925000000002,35910,120,298.1,287,-19.197261954231596,12952,0.001040774179273285
0.09534250000000011,38910,130,298.1,318,-19.970715633438218,14448,0.0009605700906831771
0.07,41910,140,299.0,350,-20.025381604688572,15952,0.0008704713873157743
0.07,44865,150,298.55,379,-19.860972697119063,17432,0.0012437652330845594
0.07,47865,160,298.55,408,-19.747604695530125,18928,0.001273124958970584
0.07,50865,170,298.55,437,-19.914436391865213,20432,0.0008643136570753995
0.07,53865,180,298.55,466,-20.117160039951813,21928,0.0012700006336672232
0.07,56823,190,298.13,494,-20.380847580165433,23408,0.0007738800923107192
0.07,59823,200,298.13,522,-20.385123810985764,24904,0.0007781316380714998
0.07,62823,210,298.13,550,-20.443043958542344,26408,0.0013071119974483736
0.07,65823,220,298.13,578,-20.554361320329445,27904,0.0009152378188446164
0.07,68823,230,298.13,606,-20.311020025262035,29408,0.0011844929613289423
0.07,71823,240,298.13,635,-20.23775942302132,30904,0.001103512360714376
0.07,74823,250,298.58,660,-20.188760197006978,32408,0.0007803104526828974
0.07,77823,260,298.58,684,-19.95595142008077,33904,0.0007966268385644071
0.07,80823,270,298.58,708,-19.998422284462734,35408,0.0013201948895584792
0.07,83823,280,298.58,733,-19.89414507867109,36904,0.0007324919679376762
0.07,86823,290,299.0,757,-19.84501516847082,38408,0.0005461816763272509
0.07,89823,300,299.0,782,-19.975897232855633,39904,0.000912994692043867
0.07,92823,310,299.0,806,-20.073149443188235,41408,0.0005777297028544126
0.07,95823,320,299.0,831,-20.223913414179663,42904,0.0006285945091804024
0.07,98823,330,299.0,855,-19.88281319602108,44408,0.0004708300475613214
0.07,101823,340,299.0,879,-19.904318789299246,45904,0.000852577832120005
0.07,104700,350,297.77,903,-20.12175741967598,47344,0.012882636474387255
0.07,107700,360,297.77,927,-20.169725913410524,48848,0.0006147791682451498
0.07,110646,370,297.23,951,-20.15142658961349,50320,0.0006935860656085424
0.07,113646,380,297.23,975,-20.02305320791632,51816,0.0007848048553569242
0.07,116646,390,297.23,1000,-20.166336918065454,53320,0.0007485554597224109
0.07,119646,400,297.23,1024,-20.19744425658602,54816,0.0007125625052140094
0.07,122646,410,297.23,1048,-19.88244740583766,56320,0.000521694528288208
0.07,125646,420,297.23,1073,-19.629344866825868,57816,0.0008290506957564503
0.07,128646,430,297.23,1097,-20.09793551605752,59320,0.0008475807262584567
0.07,131646,440,297.23,1122,-20.16261705473344,60816,0.0006151743600639747
0.07,134646,450,298.46,1146,-20.00783153689425,62320,0.0010366818933107425
0.07,137646,460,298.46,1170,-19.958733158266494,63816,0.0013250859410618432
0.07,140533,470,297.87,1193,-19.449740827295447,65264,0.001555202095914865
0.07,143533,480,297.87,1218,-19.68651103902616,66760,0.001188120681035798
0.07,146533,490,297.87,1242,-19.78677361108107,68264,0.0006434806418837979
0.07,149533,500,297.87,1268,-19.596435472645712,69760,0.001035866363963578
0.07,152533,510,297.87,1294,-19.804975615126693,71264,0.0011041501129511744
0.07,155533,520,297.87,1319,-20.064705543350698,72760,0.0011950773550779559
0.07,158533,530,297.87,1344,-19.847338886346094,74264,0.0009456894040340558
0.07,161533,540,297.87,1369,-19.92873938939036,75760,0.0008838828871375881
0.07,164399,550,296.53,1393,-20.02669692564052,77192,0.0005813110547023825
0.07,167399,560,296.53,1418,-19.94076764215263,78696,0.0005146928633621428
0.07,170399,570,297.66,1442,-20.840451257188384,80192,0.0010519834177102894
0.07,173399,580,297.66,1467,-20.468505790682475,81696,0.0008779553791100625
0.07,176399,590,297.66,1491,-20.151974046396564,83192,0.0016173782641999424
0.07,179399,600,297.66,1515,-20.06879042312954,84696,0.002538359749451047
0.07,182399,610,297.66,1539,-20.152323743686498,86192,0.001455568602978019
0.07,185399,620,297.66,1563,-19.845228195879347,87696,0.0010232266831735615
0.07,188399,630,297.66,1587,-19.874889287961867,89192,0.0013009988106205128
0.07,191332,640,296.99,1611,-19.71983572480617,90664,0.0008086012276180554
0.07,194332,650,298.33,1635,-19.501269097527015,92160,0.001269954151212005
0.07,197332,660,298.33,1660,-19.73747607499442,93664,0.0011209481017431244
