rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
2.879179550070938,641,86.1,740,0.07,86780,38384,0.12440379688632675
2.9491559629396136,649,87.94,750,0.07,87722,38856,0.12233310518786311
2.8280561166033045,653,82.88,760,0.07,88202,39096,0.09821546421153471
2.832946831641946,659,82.7,770,0.07,88950,39472,0.16576701862504706
2.7450858322604303,666,79.75,780,0.07,89728,39856,0.13631932830321603
2.799701367959396,672,82.11,790,0.07,90460,40224,0.10795146654709242
2.7916499662892296,678,81.93,800,0.07,91200,40592,0.12573118996806443
2.728263740524304,683,80.33,810,0.07,91808,40896,0.10927867802092806
2.7979953251331016,689,81.0,820,0.07,92525,41256,0.1435404182993807
2.7274608903660185,697,76.44,830,0.07,93334,41664,0.17012424825225025
2.6853969060857836,704,74.43,840,0.07,94323,42160,0.0935836638091132
2.656259159657075,710,72.53,850,0.07,95075,42536,0.0807331662508659
2.678605047278043,715,73.92,860,0.07,95694,42840,0.18090079876128584
2.796163200588401,724,76.46,870,0.07,96696,43344,0.07351200302946381
2.735122036927684,728,73.0,880,0.07,97128,43560,0.1364403978222981
2.9337687969015582,736,75.51,890,0.07,98111,44048,0.0850246527697891
3.2095642641751794,746,80.62,900,0.07,99362,44680,0.17625144310295582
3.602821767276385,757,88.71,910,0.07,100779,45384,0.14817473775474355
3.765255496941507,766,92.63,920,0.07,101888,45936,0.057030495430808514
3.8341560184965124,775,95.83,930,0.07,103017,46504,0.08255416480824351
4.024080203067049,784,97.47,940,0.07,104170,47080,0.09736205142689869
4.044192106915438,791,98.84,950,0.07,105059,47528,0.1107927814591676
4.578516668020364,806,110.54,960,0.07,106848,48416,0.1419306773750577
4.700266027107706,817,114.39,970,0.07,108235,49112,0.08173158811405301
4.882391384079413,824,118.34,980,0.07,109062,49528,0.10064970061648637
5.080061655277417,838,125.7,990,0.07,110781,50384,0.055258796171983704
4.940179784276562,849,124.71,1000,0.07,111933,50960,0.0598016127187293
4.714778473025498,857,121.53,1010,0.07,113032,51512,0.11174099193885922
4.488540178402634,862,116.54,1020,0.07,113642,51816,0.1244630400906317
4.247883767686169,865,109.13,1030,0.07,114030,52008,0.07219632674241439
4.184164962304376,875,109.83,1040,0.07,115253,52624,0.08406590347294696
4.20518160251263,883,110.34,1050,0.07,116193,53096,0.15098335483344272
4.079802030535535,897,109.93,1060,0.07,117941,53968,0.09585488113225438
3.828034095843423,902,103.06,1070,0.07,118641,54320,0.18501439603278413
3.6976221639175457,908,101.54,1080,0.07,119316,54656,0.10075560273253359
3.3062428620984043,914,91.56,1090,0.07,120037,55016,0.1337688888888806
3.2534990659651672,922,90.37,1100,0.07,121070,55528,0.06776519873528741
3.385452227145712,934,93.42,1110,0.07,122474,56232,0.13592471613083035
3.764487509256382,948,104.46,1120,0.07,124188,57088,0.0973195577680599
4.048906313618841,958,112.16,1130,0.07,125346,57672,0.11924404118326493
3.8792824357582356,966,109.45,1140,0.07,126298,58144,0.07232456018391531
3.9744213178280132,975,112.11,1150,0.07,127504,58744,0.08058231670293026
3.5273771475312903,980,100.23,1160,0.07,128064,59024,0.06873189489124343
3.616468769881968,988,103.05,1170,0.07,129046,59520,0.08240280242171139
3.8706298091984808,1000,110.86,1180,0.07,130502,60248,0.05779814624111168
3.9034542946738213,1008,112.82,1190,0.07,131419,60704,0.15346563758794218
3.818410926593099,1014,109.56,1200,0.07,132126,61056,0.13444853937835433
3.5710201469127565,1022,104.3,1210,0.07,133004,61496,0.13664160916232504
3.2068830903833225,1028,94.54,1220,0.07,133742,61864,0.05586651596240699
3.028483190062736,1033,89.33,1230,0.07,134379,62184,0.13786059981794097
3.14671832584861,1042,89.92,1240,0.07,135390,62688,0.11867794021964073
3.1233216527006227,1050,88.06,1250,0.07,136410,63200,0.0994043254177086
3.168998895142562,1055,88.31,1260,0.07,136995,63496,0.16149381716968492
2.978525243566093,1058,82.55,1270,0.07,137401,63696,0.10818962487974204
2.8334764478348125,1066,77.33,1280,0.07,138335,64160,0.12034126001526602
3.1569785445289686,1080,83.99,1290,0.07,139918,64952,0.0934510695078643
3.2286283525950847,1087,85.33,1300,0.07,140759,65376,0.1092847109248396
3.26853433221979,1093,83.83,1310,0.07,141487,65736,0.13534958640229888
3.578428291789874,1106,91.1,1320,0.07,142952,66472,0.17402506637154147
3.7617744629775625,1116,96.48,1330,0.07,144127,67056,0.056412376899970695
3.6999540357393994,1125,96.77,1340,0.07,145167,67576,0.16223041713237762
3.5365214276175236,1130,93.08,1350,0.07,145818,67904,0.08405430673155934
3.4890433401881813,1135,92.71,1360,0.07,146366,68176,0.120558388880454
3.5732036161891987,1140,94.72,1370,0.07,146973,68480,0.13230159739032388
3.523649262032196,1148,93.85,1380,0.07,147820,68904,0.17482522502541542
3.1815266897345498,1153,84.36,1390,0.07,148454,69224,0.17354177264496684
3.062225403017374,1159,82.48,1400,0.07,149107,69552,0.11828145265462808
3.0550569128644427,1166,83.52,1410,0.07,149939,69968,0.10513335972791538
2.764100338848524,1171,75.53,1420,0.07,150605,70296,0.10630050208419561
2.558608450584537,1178,71.38,1430,0.07,151365,70680,0.18868953827768564
2.4577959429326426,1183,66.73,1440,0.07,151940,70968,0.1684584873728454
2.4298065090484524,1187,65.52,1450,0.07,152470,71232,0.1696337380562909
2.5076430115332764,1193,66.45,1460,0.07,153111,71552,0.1594382005278021
2.425069665151651,1196,64.55,1470,0.07,153528,71760,0.09590687265153974
2.3200661554922646,1202,61.98,1480,0.07,154118,72056,0.10421754667186178
2.3344341588532376,1206,61.37,1490,0.07,154691,72344,0.12927646981552243
2.342144547415193,1212,62.14,1500,0.07,155421,72704,0.15768912102794275
2.330604771040426,1219,61.89,1510,0.07,156228,73112,0.14393715104961302
2.274228755901091,1224,60.75,1520,0.07,156780,73384,0.09431469565606676
2.2833851068057687,1231,61.09,1530,0.07,157574,73784,0.10277672787196934
2.2633924515482375,1236,60.72,1540,0.07,158112,74048,0.15091867092996836
2.491456347385327,1247,68.16,1550,0.07,159386,74688,0.15566777825006284
2.4569415016371465,1251,67.17,1560,0.07,159928,74960,0.1440536491572857
2.551497635132673,1256,68.81,1570,0.07,160509,75248,0.1120599526911974
2.606769066856449,1260,69.02,1580,0.07,161120,75552,0.10484286095015705
2.586058861317918,1265,69.28,1590,0.07,161719,75856,0.18113210884621367
2.638827897614104,1272,70.3,1600,0.07,162551,76272,0.11822113930247724
2.687579634017811,1279,70.88,1610,0.07,163416,76704,0.13239045959198847
2.656989704207332,1284,70.02,1620,0.07,163882,76936,0.05343850766075775
