rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9810977500000001,80.3,10,0,813,-5.184711380081149,,
0.9598472500000003,85.35,20,2,1727,-5.299510229203166,,
0.94468825,78.3,30,2,2379,-4.913213166030502,,
0.9279715,76.45,40,3,3098,-4.9037426249178235,,
0.9092552500000003,77.06,50,4,3903,-4.8440571720116985,,
0.8915852500000001,76.71666666666667,60,6,4663,-4.86167808847374,,
0.8662195000000001,81.2,70,7,5754,-5.161682453643663,,
0.8361339999999998,87.1,80,10,7048,-5.254575435712082,,
0.8132792499999998,88.23333333333333,90,11,8031,-5.189274403621447,,
0.8002127499999999,84.93,100,12,8593,-4.938757108430121,,
0.7886342499999999,81.78,110,13,9091,-4.656778701452502,,
0.7446685,91.55,120,21,10982,-5.239496459938551,0.10190068405790953,488
0.7016327499999999,103.54,130,34,12833,-5.828098889940988,0.05599847675694036,1416
0.6620845,113.36,140,47,14534,-6.306870793923443,0.05658318901259918,2264
0.6253727500000001,121.1,150,58,16113,-6.637558950581949,0.05723223355016671,3056
0.5959150000000002,126.17,160,67,17380,-6.799502974121136,0.058508033805992454,3688
0.5717814999999999,125.64,170,75,18418,-6.630820945276348,0.09445427046739496,4208
0.5460437500000002,123.77,180,84,19525,-6.772240312225246,0.09589477488771081,4760
0.5107270000000002,129.13,190,95,21044,-7.30447193036211,0.116663622262422,5520
0.4896625,132.57,200,102,21950,-7.504856833565856,0.0688543391879648,5968
0.4589957499999999,140.78,210,112,23269,-7.906647002108408,0.06963072862708941,6632
0.4395122499999998,130.25,220,119,24107,-7.23018123554445,0.09931888326536864,7048
0.4149369999999999,122.31,230,127,25164,-6.811972271494984,0.07158852531574667,7576
0.3875485000000001,117.08,240,136,26342,-6.425248598122815,0.0701553649851121,8168
0.3628569999999999,111.91,250,144,27404,-6.170552412832515,0.08075405680574477,8696
0.34595425000000024,106.51,260,150,28131,-5.901060408707591,0.10881429456640035,9064
0.3280982499999998,103.81,270,156,28899,-5.798374894088329,0.0816616450319998,9448
0.30261625000000025,103.7,280,164,29995,-5.674835035641727,0.06294452358270064,9992
0.2778550000000002,99.16,290,173,31060,-5.250321420636015,0.08399067516438663,10528
0.2626727499999998,96.63,300,178,31713,-5.135076401958345,0.10221650695893914,10856
0.2305877500000002,97.24,310,189,33093,-5.172422907369022,0.09149795735720545,11544
0.20466400000000018,100.01,320,198,34208,-5.339027957104833,0.14572403149213642,12096
0.18234400000000006,99.04,330,206,35168,-5.288256925436849,0.07199800666421652,12576
0.15197950000000005,100.32,340,217,36474,-5.3772593304475995,0.0908399021718651,13232
0.10947849999999981,107.98,350,231,38302,-5.7876497762920796,0.06589207809884101,14144
0.07,122.51,360,248,40482,-6.476232723557957,0.11291255569085479,15240
0.07,138.92,370,268,42891,-7.241571771488194,0.09661924070678651,16440
0.07,142.07,380,279,44302,-7.29517572162087,0.04104350623674691,17144
0.07,141.32,390,286,45292,-7.190214310836523,0.11168253398500383,17640
0.07,146.62,400,295,46475,-7.370814270863325,0.09032606822438538,18232
0.07,146.35,410,306,47828,-7.303867484682394,0.05566291662398726,18912
0.07,147.75,420,315,49083,-7.2692429696347425,0.08267975703347474,19536
0.07,145.63,430,321,49831,-7.073268680394412,0.07508217729628086,19912
0.07,145.27,440,331,51101,-6.998576897392964,0.061075229779817164,20544
0.07,137.32,450,340,52134,-6.524385110098809,0.0852095497539267,21064
0.07,124.78,460,347,53060,-5.913992106861567,0.056079598725773394,21528
0.07,114.4,470,358,54431,-5.329027480561569,0.06377770088147372,22208
0.07,107.17,480,364,55119,-4.966847635780838,0.07680637564044446,22552
0.07,106.69,490,371,56061,-4.879165751070459,0.0708882607286796,23024
0.07,106.52,500,380,57227,-4.883102638743528,0.06633885495830327,23608
0.07,100.28,510,385,57956,-4.630121230935404,0.04568194434978068,23976
0.07,94.68,520,391,58651,-4.3374501039272255,0.05817407020367682,24320
0.07,91.44,530,394,59075,-4.179866872749887,0.06378898397088051,24536
0.07,85.06,540,399,59707,-3.899337080321917,0.08513364032842219,24848
0.07,83.34,550,406,60568,-3.8727656599018676,0.08764112362405285,25280
0.07,79.09,560,410,61069,-3.6543686273832514,0.08838032034691423,25528
0.07,69.64,570,413,61495,-3.237163141956975,0.09918052970897406,25744
0.07,70.19,580,419,62238,-3.3108797278941733,0.09687760460656136,26112
0.07,70.04,590,426,63165,-3.3832302594548462,0.13286600017454475,26576
0.07,67.08,600,433,64035,-3.289893170486404,0.057829307042993605,27016
0.07,68.47,610,440,64903,-3.4360974698162012,0.08766222395934165,27448
0.07,68.89,620,447,65640,-3.5094534904252237,0.0643512635724619,27816
0.07,72.56,630,453,66431,-3.6399046168775913,0.0694195250980556,28208
0.07,77.79,640,463,67586,-3.840506287525891,0.09096850268542767,28792
0.07,77.02,650,469,68370,-3.7968554767775515,0.08692641864763573,29184
0.07,76.57,660,472,68826,-3.8101087781998952,0.09855501365382224,29408
0.07,80.91,670,479,69686,-4.045226914123882,0.11494270991533995,29840
0.07,80.57,680,484,70395,-4.021112775745273,0.057997951516881585,30192
0.07,86.47,690,496,71912,-4.132366826490534,0.10205672564916313,30952
0.07,94.4,700,510,73575,-4.303723228878519,0.09617479622829705,31784
0.07,98.86,710,520,74889,-4.27724963525244,0.07246767188189551,32440
0.07,102.87,720,529,76027,-4.318473499258715,0.07042736327275634,33008
0.07,99.53,730,533,76484,-4.222589355729448,0.0692347313161008,33240
0.07,96.56,740,540,77342,-4.022667543198912,0.11656653974205256,33664
0.07,95.72,750,546,78042,-3.907412070058242,0.05119257286423817,34016
0.07,97.05,760,551,78631,-3.887639080006109,0.12424738146364689,34312
0.07,91.96,770,554,78982,-3.6018332184751283,0.1999323796480894,34488
0.07,94.51,780,562,79946,-3.5932354879249635,0.09383149718632922,34968
0.07,85.69,790,567,80581,-3.3036996189016787,0.10017974313814193,35288
0.07,72.66,800,570,80941,-2.851364207796846,0.11751497117802501,35464
0.07,64.86,810,574,81475,-2.5819212575739567,0.05329038912896067,35736
0.07,63.67,820,582,82494,-2.541144984999776,0.07598633121233433,36240
0.07,72.35,830,592,83819,-2.8119817701861503,0.07175922591704875,36904
0.07,76.64,840,602,85106,-2.965353823523165,0.07222261891001835,37552
0.07,78.45,850,609,85987,-3.0391399368204732,0.0675986671121791,37992
0.07,84.36,860,618,87167,-3.229814970862205,0.08543699438450858,38576
0.07,91.42,870,627,88224,-3.5173592404611673,0.057227247569244355,39104
0.07,87.91,880,632,88837,-3.408984046595587,0.05668922234326601,39416
0.07,92.41,890,641,89922,-3.4842327600203373,0.11478349845856428,39960
0.07,97.63,900,649,90804,-3.675071979688634,0.07771661120932549,40400
0.07,101.8,910,657,91755,-3.8354446403416658,0.06589628476649523,40872
0.07,101.0,920,664,92694,-3.895443476359962,0.13034681743010879,41344
0.07,93.21,930,669,93240,-3.6163439854135038,0.0873945108614862,41616
0.07,90.31,940,677,94237,-3.5547267491258947,0.09382593363989145,42112
0.07,92.27,950,685,95314,-3.715070708089884,0.05776565719861537,42656
0.07,87.97,960,691,96064,-3.600237842044421,0.1167586948722601,43024
0.07,86.44,970,698,96968,-3.6341867772937415,0.11726101243402809,43480
0.07,91.65,980,708,98102,-3.8611888034471455,0.11378651461564004,44048
0.07,92.68,990,717,99290,-3.942612049699453,0.05510850122664124,44640
0.07,90.95,1000,722,99999,-3.931338685428983,0.08309099625330418,44992
0.07,90.59,1010,729,100914,-3.9347019101072567,0.061505235033109784,45456
0.07,92.33,1020,738,102027,-4.064758565064565,0.07044920895714313,46008
0.07,98.21,1030,747,103161,-4.355671227497016,0.06891736877150834,46576
0.07,98.73,1040,755,104210,-4.418936570739115,0.13795939972624183,47104
0.07,108.72,1050,772,106286,-4.868139524202643,0.0738659628550522,48136
0.07,120.18,1060,787,108182,-5.445182615736969,0.09355478052748367,49088
0.07,120.98,1070,795,109166,-5.447226775714808,0.10409340122714639,49576
0.07,120.48,1080,805,110250,-5.530424112816455,0.08052694681100547,50120
0.07,121.0,1090,815,111490,-5.656061331191431,0.09920252161100507,50744
0.07,124.56,1100,824,112555,-5.823712716074559,0.10617433779407293,51272
0.07,125.33,1110,831,113547,-5.873816046979062,0.09643873875029385,51768
