rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,train/n_updates,train/loss
-0.5821930448412648,16.45,212,44622,0.07,1850,17304,0.0002647375349624781
-0.5743080891143401,16.1,213,44780,0.07,1860,17384,0.00030489278287859634
-0.5691521064294774,15.94,214,44950,0.07,1870,17472,0.00027362864602764603
-0.5706624605112954,16.29,215,45146,0.07,1880,17568,0.0003503273219394032
-0.5695237087535154,16.49,216,45356,0.07,1890,17672,0.00039904309232952073
-0.5609603784225349,16.23,217,45516,0.07,1900,17752,0.00027182847952644806
-0.5473347594959889,15.82,218,45669,0.07,1910,17832,0.0002621723760967143
-0.5427861602824744,15.69,218,45810,0.07,1920,17904,0.000272296088951407
-0.5405884472754338,16.01,219,46006,0.07,1930,18000,0.00030292931478470564
-0.5590918194396045,16.58,221,46194,0.07,1940,18096,0.0002840637207555119
-0.5370572212973699,16.15,221,46337,0.07,1950,18168,0.00031850760569795966
-0.5513975157879322,16.55,222,46535,0.07,1960,18264,0.000323365988151636
-0.5611332452704912,16.88,223,46738,0.07,1970,18368,0.0002760131028480828
-0.543169462837366,16.33,224,46879,0.07,1980,18432,0.0002991162928083213
-0.5461482341560128,15.89,225,47045,0.07,1990,18520,0.0002809688667184673
-0.5344135940747377,15.79,226,47195,0.07,2000,18592,0.0002581856879260158
-0.5592893917080543,16.16,227,47385,0.07,2010,18688,0.00027342063367541414
-0.5743400238942944,16.44,228,47554,0.07,2020,18776,0.00026586604872136377
-0.5704681692331364,16.22,229,47728,0.07,2030,18856,0.0002836838539224118
-0.5639816706831686,16.03,230,47897,0.07,2040,18944,0.0002475390210747719
-0.5561398297356379,15.89,231,48026,0.07,2050,19008,0.0003100361536780838
-0.5419185693041109,15.45,231,48180,0.07,2060,19088,0.00025011846264533233
-0.5348840268584629,15.3,232,48368,0.07,2070,19176,0.00034716302616288885
-0.5436505500174103,15.79,233,48558,0.07,2080,19272,0.0002449481653457042
-0.5500655817278163,15.9,234,48735,0.07,2090,19360,0.0002805725307553075
-0.553568096210323,15.98,235,48893,0.07,2100,19440,0.0002761167415883392
-0.5190028489473889,15.32,236,49017,0.07,2110,19504,0.000266454970187624
-0.519940534049481,15.45,237,49199,0.07,2120,19592,0.0002894709905376658
-0.5369383659323859,15.84,238,49412,0.07,2130,19704,0.0003063285857933806
-0.5495348997785475,15.93,239,49590,0.07,2140,19792,0.0002782999272312736
-0.5646286411937915,16.33,240,49759,0.07,2150,19872,0.000264156673438265
-0.5657693417437448,16.39,241,49919,0.07,2160,19952,0.0002733570017880993
