rollout/exploration_rate,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.07,79.17,110017,1040,3.510755030623583,578,50008,0.0654145869484637
0.07,66.2,110367,1050,2.921423810127261,580,50176,0.12912513728952035
0.07,52.76,110654,1060,2.367200545483023,582,50320,0.11309192463522777
0.07,42.83,110898,1070,1.9353864382294517,583,50448,0.1435640264826361
0.07,39.86,111213,1080,1.8157420461340195,585,50600,0.0970590548531618
0.07,38.09,111722,1090,1.7428044335558652,588,50856,0.20608080714009702
0.07,36.31,112058,1100,1.6716703764337664,590,51024,0.12824098416604102
0.07,35.32,112419,1110,1.6157101561615286,592,51208,0.1279170583584346
0.07,35.93,112988,1120,1.6344479029027192,595,51488,0.1122224206046667
0.07,39.34,113642,1130,1.764853089450883,599,51816,0.22172075416892767
0.07,40.01,114118,1140,1.7880952355855524,602,52056,0.17459631129167974
0.07,42.21,114688,1150,1.8786429413538237,605,52336,0.09679143485845998
0.07,45.43,115297,1160,1.994092547177474,609,52648,0.14107744180364534
0.07,53.81,116379,1170,2.3417702741847255,615,53184,0.24939557909965515
0.07,55.62,116875,1180,2.4108950120846404,618,53432,0.18792392089380883
0.07,57.39,117561,1190,2.501291498627663,622,53776,0.2654089647694491
0.07,66.75,118833,1200,2.8872795213758855,629,54416,0.12618640053551644
0.07,77.42,120261,1210,3.319553907708973,637,55128,0.12566429559956305
0.07,81.5,121238,1220,3.4495392607929434,642,55616,0.15577011680579744
0.07,84.07,122149,1230,3.504347236313281,647,56072,0.09544487731182016
0.07,88.95,123113,1240,3.661682528924144,653,56552,0.24942628925782628
0.07,100.95,124883,1250,4.079523641788184,663,57440,0.17231004929635674
0.07,117.07,127104,1260,4.64466341104654,675,58544,0.15848615553113632
0.07,120.57,128536,1270,4.720633362014634,683,59264,0.20471214188728482
0.07,134.46,130421,1280,5.232677213591648,694,60208,0.1890228028933052
0.07,147.17,132378,1290,5.730782629583595,705,61184,0.15726255509071052
0.07,153.53,134286,1300,6.01234429686953,715,62136,0.14149895927403122
0.07,153.77,135738,1310,6.052201572210684,724,62864,0.14238276198739186
0.07,158.74,137212,1320,6.300583984574963,732,63600,0.21571096274419688
0.07,158.39,138088,1330,6.364649911207915,737,64040,0.109075070155086
0.07,155.16,138729,1340,6.289098679714295,741,64360,0.125110113149276
0.07,146.58,139641,1350,6.04523185881923,746,64816,0.1996493085171096
0.07,133.6,140564,1360,5.626405031328678,751,65280,0.07918894549948163
0.07,141.5,142786,1370,6.045627640147069,764,66392,0.10932750796200708
0.07,143.29,144850,1380,6.183194026914926,776,67424,0.10937654215376824
0.07,150.67,147545,1390,6.478904095050093,791,68768,0.12441016107914038
0.07,142.55,148641,1400,6.144702107080054,797,69320,0.1551720200222917
0.07,137.82,149620,1410,5.904481096415566,802,69808,0.10825494975142647
0.07,129.18,150230,1420,5.537257617492446,806,70112,0.1553025655739475
0.07,124.98,150686,1430,5.332629993967568,808,70336,0.1552881402312778
0.07,124.49,151278,1440,5.299663784571134,812,70632,0.07804905893863179
0.07,127.43,152484,1450,5.3829060072857144,818,71240,0.09453794566798024
0.07,126.99,153363,1460,5.3250917121570716,823,71680,0.15518834211979993
0.07,123.37,155223,1470,5.186523744755327,834,72608,0.12468634475953877
0.07,128.45,157795,1480,5.450547105402538,849,73896,0.2122247100342065
0.07,124.03,160048,1490,5.328279428756875,861,75016,0.1517092692956794
0.07,138.27,162568,1500,5.908382474234424,875,76280,0.10783412310411222
0.07,152.16,164936,1510,6.513687522953108,889,77464,0.09263223150628619
0.07,169.84,167314,1520,7.221377239922964,902,78656,0.13489874766673893
0.07,187.45,169531,1530,7.906667500486585,914,79760,0.16509145178133622
0.07,205.4,171918,1540,8.623640000250319,927,80952,0.18893065996235237
0.07,216.0,174184,1550,9.042245674330857,940,82088,0.1769773946289206
0.07,232.55,176718,1560,9.752149232405845,954,83352,0.20641627680743113
0.07,241.17,179440,1570,10.12723529606433,969,84712,0.16134082525968552
0.07,237.73,181668,1580,9.983442582000318,982,85832,0.06201810669153929
0.07,243.43,184491,1590,10.289664125860414,998,87240,0.14202725466748234
0.07,246.4,187308,1600,10.557733808929243,1014,88648,0.131391227725544
0.07,249.78,190014,1610,11.172836635523652,1029,90000,0.12839292504941113
0.07,249.19,192333,1620,11.54570209003414,1043,91160,0.12989583698799834
0.07,257.02,195333,1630,12.982649309639783,1059,92664,0.10183259463519789
0.07,258.98,197916,1640,13.37589318163841,1075,93952,0.08942215269780718
