rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.07,79841,730,545,112.09,4.579532573058659,34920,0.15884162159636617
0.07,81895,740,560,125.12,5.117691480047762,35944,0.09990290238056332
0.07,83306,750,571,133.07,5.422895191668844,36648,0.09644893545191735
0.07,85059,760,584,137.28,5.56536890874552,37528,0.17578039201907814
0.07,87871,770,605,155.64,6.096795918561171,38928,0.1590127662057057
0.07,89710,780,619,165.08,6.585100058452912,39848,0.11343290633521974
0.07,91470,790,632,173.95,6.920328281739996,40728,0.21840886492282152
0.07,92615,800,641,169.43,6.574443601651808,41304,0.09824497357476503
0.07,94483,810,655,171.35,6.518263363021256,42240,0.14671811019070446
0.07,96152,820,667,176.31,6.616084881941521,43072,0.17690753261558712
0.07,97901,830,681,179.6,6.581036808497448,43944,0.06705217441776767
0.07,99461,840,692,174.66,6.267532804617255,44728,0.11311770975589752
0.07,101114,850,704,177.08,6.317482719609952,45552,0.14307445666054264
0.07,102415,860,714,172.56,6.084809987021342,46200,0.1720409457338974
0.07,104166,870,727,161.95,5.813916541398011,47080,0.08386725728632882
0.07,105774,880,740,159.64,5.57053801582213,47880,0.08237113954965025
0.07,107422,890,752,158.52,5.48445296297159,48704,0.15919040382141247
0.07,108806,900,763,160.91,5.5377361443921185,49400,0.08247809245949611
0.07,110655,910,777,160.72,5.5059816751623485,50320,0.11335162725299597
0.07,112419,920,790,161.67,5.526915612330181,51208,0.14418164442759007
0.07,114013,930,802,160.12,5.576834421339998,52000,0.14248802681686357
0.07,115312,940,811,157.51,5.508575122702263,52648,0.1552467861911282
0.07,116555,950,821,153.41,5.333796789104727,53272,0.1730122668086551
0.07,118078,960,833,155.63,5.45234031479235,54032,0.1108636015560478
0.07,119088,970,840,148.22,5.200934789606228,54536,0.14414440898690373
0.07,120073,980,848,141.99,5.00197030556941,55032,0.051304122898727655
0.07,121292,990,857,137.7,4.872194094265859,55640,0.1104742672177963
