time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
10,-22.27652809850649,19,3000,299.0,0.9302499999999999,,
20,-21.47200587206263,38,6000,299.0,0.8604999999999999,,
30,-22.154830012362467,57,9000,299.0,0.7907499999999998,,
40,-22.09332884810898,79,12000,299.0,0.7209999999999999,992,0.00018782740335154813
50,-21.678474339412638,103,15000,299.0,0.6512500000000003,2496,0.00031700890576757956
60,-21.07339624818344,126,17924,297.73333333333335,0.583267,3960,0.00040098682438838296
70,-20.414171596978495,149,20924,297.9142857142857,0.5135169999999998,5456,0.0004440041557245422
80,-20.111548223479936,172,23924,298.05,0.4437669999999998,6960,0.0009725558702484705
90,-19.530858617736666,193,26745,296.1666666666667,0.3781787500000001,8368,0.0006150118133518845
100,-19.29806790792307,212,29182,290.82,0.32151850000000026,9584,0.0006568661556229927
110,-18.95216156397898,234,32040,289.4,0.25507,11016,0.0003905249868694227
120,-18.07760652648458,254,34655,285.55,0.19427124999999978,12320,0.0009558110759826377
130,-17.19118338654574,274,37453,283.53,0.12921775000000013,13720,0.0007014625552983489
140,-16.231459844980815,294,40068,279.68,0.07,15032,0.0010982238964061253
150,-15.71901012900958,315,42917,278.17,0.07,16456,0.0010697199904825538
160,-15.434425612322784,336,45707,276.83,0.07,17848,0.011999556252703769
170,-15.232960434319338,356,48487,274.63,0.07,19240,0.0014616112312069163
180,-14.82480973212432,376,51142,271.18,0.07,20568,0.001076673150237184
190,-14.510979085590009,394,53574,267.29,0.07,21784,0.0013386214995989576
200,-14.161774024368281,415,56329,270.47,0.07,23160,0.0010165881685679778
210,-13.672881480167748,437,59329,271.89,0.07,24664,0.012122303043724969
220,-14.054739651861595,457,62126,273.71,0.07,26056,0.0011949829568038695
230,-13.774166989293292,475,64481,269.28,0.07,27240,0.011652808701910544
240,-14.219894166371292,497,67481,273.13,0.07,28736,0.012047841344610788
250,-14.0661494840793,516,70021,270.04,0.07,30008,0.013828717077558395
260,-13.539530273306664,534,72452,266.45,0.07,31224,0.0012206663595861755
270,-13.451773410256504,553,75096,265.09,0.07,32544,0.0037849633081350476
280,-13.818584571044415,575,78096,268.54,0.07,34040,0.0032601396669633687
290,-14.06847117020911,594,80622,269.48,0.07,35304,0.0024937679118011147
300,-14.110882498915382,613,83229,268.0,0.07,36608,0.003252979640819831
310,-13.933905736642254,631,85568,261.39,0.07,37776,0.0017710311149130575
320,-13.93829134928054,649,88110,258.84,0.07,39048,0.01752371565089561
330,-14.548674866061823,672,91110,265.29,0.07,40552,0.014687732327729464
340,-14.236864865944792,690,93554,259.73,0.07,41776,0.004030563999549486
350,-14.285501370276625,707,95930,258.09,0.07,42960,0.004717880474345293
360,-14.73454599646614,727,98660,261.08,0.07,44328,0.003316302190796705
370,-14.4643426308129,743,100713,255.17,0.07,45352,0.009208963776472956
380,-14.183263315119438,762,103307,251.11,0.07,46648,0.004285743678337894
390,-14.134314285400915,782,105968,252.46,0.07,47976,0.004213100921333535
400,-14.319235187616114,802,108782,254.53,0.07,49384,0.008118924022710416
410,-14.49046989121835,821,111346,256.78,0.07,50672,0.005936557565291878
420,-14.205060091998476,840,113926,257.16,0.07,51960,0.026938176968542393
430,-13.74984763503704,861,116765,255.55,0.07,53376,0.011618821456067963
440,-13.81923243377713,880,119452,257.98,0.07,54720,0.005670526101312134
450,-13.8221110133448,901,122245,262.15,0.07,56120,0.010474011673068162
460,-13.681076068164682,923,125245,264.85,0.07,57616,0.013258515522466041
470,-14.052987368099505,945,128239,274.26,0.07,59112,0.028813401229854207
480,-13.928649173285624,965,131032,276.25,0.07,60512,0.014570708306564484
490,-14.180218785183426,986,133784,277.16,0.07,61888,0.03461740408965852
500,-13.772637845166944,1005,136466,275.84,0.07,63232,0.02206190062861424
510,-13.870805471843257,1026,139240,277.94,0.07,64616,0.01976035025290912
520,-13.832723396538338,1044,141662,276.36,0.07,65824,0.022073146334150806
530,-14.221264451272939,1064,144458,275.93,0.07,67224,0.05582269477599766
540,-14.242985488073577,1085,147236,276.84,0.07,68616,0.00711393393430626
550,-14.679291042589282,1107,150236,278.91,0.07,70112,0.02648591074103024
560,-14.775301272287242,1127,152885,275.4,0.07,71440,0.006601649249205366
570,-14.866304319202895,1148,155786,274.47,0.07,72888,0.016943946728133596
580,-14.932384020532156,1167,158414,272.82,0.07,74200,0.015667007566662505
590,-14.683496620837618,1188,161147,272.63,0.07,75568,0.014894158761308063
600,-14.961850108741189,1210,164147,275.81,0.07,77072,0.003693320439197123
610,-14.54574348456974,1227,166452,271.12,0.07,78224,0.0031891539474599995
620,-14.424991531959074,1243,168683,269.21,0.07,79336,0.01724126770568546
630,-14.095389793319702,1264,171510,269.52,0.07,80752,0.005267602376989089
640,-13.825296778251586,1285,174268,269.32,0.07,82128,0.027951641677645966
650,-13.890003216728392,1307,177268,269.32,0.07,83632,0.053960235993145034
660,-14.057141993745637,1328,180026,270.41,0.07,85008,0.03792346059344709
670,-13.842892074033022,1346,182382,264.96,0.07,86184,0.010813368906383403
680,-13.726310414228381,1363,184720,262.06,0.07,87352,0.011429529331508093
690,-13.719104580647194,1383,187409,261.62,0.07,88704,0.03524557153286878
700,-13.316677420920469,1401,189775,255.28,0.07,89880,0.01807859865948558
710,-13.54623567743798,1421,192431,258.79,0.07,91208,0.007497834609239362
720,-13.72895420312291,1440,195050,262.67,0.07,92520,0.02685347782971803
730,-13.611587232369873,1459,197650,260.4,0.07,93824,0.0033315690816380084
