time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,train/loss,train/n_updates
3000,299.0,20,0.965125,10,-14.65286766230729,,
6000,299.0,40,0.9302499999999999,20,-18.205622216503237,,
9000,299.0,61,0.8953749999999999,30,-18.120463255343918,,
12000,299.0,81,0.8604999999999999,40,-20.955305387433725,,
15000,299.0,102,0.8256250000000002,50,-22.744244309947007,,
18000,299.0,124,0.7907500000000001,60,-23.82499090939488,,
21000,299.0,146,0.7558750000000001,70,-23.07076386482653,0.005840116122271866,496
24000,299.0,172,0.7210000000000001,80,-12.858882825502826,0.03308654714783188,1992
27000,299.0,199,0.6861250000000001,90,-7.213487391949857,0.10912818321958184,3496
30000,299.0,225,0.65125,100,2.8812390074572387,0.11054114496801049,4992
32180,290.8,245,0.6259075,110,13.916545230857686,0.25861441250890493,6088
34481,283.81,265,0.599158375,120,26.547374018277598,0.46198255382478237,7240
36452,273.52,282,0.5762455000000001,130,38.42246042933767,0.5457008872181177,8224
38154,260.54,297,0.55645975,140,50.43365166156017,0.6596604846417904,9072
39790,246.9,311,0.5374412500000001,150,62.80341918188824,0.8641278594732285,9888
41361,232.61,325,0.5191783750000001,160,75.7278961132171,0.8342816419899464,10680
42842,217.42,338,0.50196175,170,85.78580257659505,1.0673698410391808,11416
44153,200.53,350,0.4867213750000001,180,85.92029893702998,1.1652198731899261,12072
45872,187.72,365,0.4667380000000001,190,91.97717729087297,1.1982678771018982,12928
47220,171.2,377,0.4510675000000002,200,90.82332077919231,1.2281644344329834,13608
48744,164.64,390,0.43335100000000015,210,90.16139991328534,1.2752838246524334,14368
49889,153.08,400,0.420040375,220,86.37375839003745,1.2391375824809074,14944
51113,145.61,411,0.405811375,230,84.39190994519743,1.4260500073432922,15552
51997,137.43,419,0.39553487500000006,240,80.2849610433287,1.2119793221354485,15992
53029,131.39,428,0.38353787500000014,250,77.25072553903097,1.764488622546196,16512
54100,126.39,438,0.37108750000000024,260,72.8583482218875,1.9111233949661255,17048
55334,123.92,449,0.35674225000000015,270,72.25873870436405,1.7812667042016983,17664
56359,121.06,458,0.34482662500000005,280,72.02923378120079,1.8512080982327461,18176
57448,114.76,468,0.3321670000000003,290,68.29335216243788,1.7799499332904816,18720
58650,113.3,479,0.31819375000000005,300,66.36050370551692,2.272844210267067,19320
59442,105.98,486,0.3089867500000001,310,61.7445982534588,1.3040191382169724,19720
60334,103.45,494,0.29861725000000006,320,60.313497123875365,1.752841167151928,20160
61169,99.56,502,0.28891037500000016,330,57.17350577649957,2.3388712257146835,20584
61988,98.91,509,0.2793895000000002,340,56.61879855494918,2.137391373515129,20992
62967,98.38,519,0.2680086250000002,350,56.012893351235924,2.2194608747959137,21480
63816,96.16,526,0.258139,360,55.15471538416862,2.4773718416690826,21904
64626,91.92,534,0.24872275000000021,370,52.64362476006015,2.4568291157484055,22312
65678,92.19,544,0.2364932500000002,380,53.142101462253194,2.1879869550466537,22832
67040,94.92,556,0.2206600000000003,390,57.21422320425823,2.317770227789879,23512
68551,98.01,570,0.2030946250000003,400,61.81908937377309,2.4397124350070953,24272
69994,104.52,583,0.18631975000000012,410,68.61815985775392,2.6817151606082916,24992
71862,114.28,600,0.16460425,420,78.07386392779671,2.416604310274124,25928
74063,127.94,620,0.13901762500000026,430,90.8235594378705,2.262230232357979,27024
76621,145.33,644,0.10928087500000006,440,107.37262328423459,2.651528000831604,28304
79107,160.4,667,0.08038112500000016,450,122.59760275145076,2.1115687042474747,29552
82071,181.55,694,0.07,460,142.50692599956017,2.02451229095459,31032
85071,203.45,722,0.07,470,162.5997776535544,2.0332665890455246,32528
88071,222.93,750,0.07,480,181.07795502426754,2.3229929506778717,34032
91071,239.31,778,0.07,490,195.4941507705536,2.0881110578775406,35528
94071,254.2,806,0.07,500,209.10209796720986,2.4083512723445892,37032
97071,269.77,834,0.07,510,223.2365419854237,2.1686729788780212,38528
100071,281.09,862,0.07,520,233.27523772728233,2.431592494249344,40032
103071,289.08,889,0.07,530,240.74624804703987,1.6427554041147232,41528
106071,293.5,917,0.07,540,245.74698442925498,1.8531723618507385,43032
108954,297.47,943,0.07,550,248.7837911022942,2.040000669658184,44472
111954,297.83,971,0.07,560,249.48862597348025,1.5126959905028343,45976
114954,297.83,998,0.07,570,248.59510853708946,1.4833620861172676,47472
117822,296.51,1024,0.07,580,247.69024545493113,1.4673294201493263,48904
120822,296.51,1051,0.07,590,248.4334462326661,1.7309576123952866,50408
123822,296.51,1078,0.07,600,248.56036882993257,1.6234464645385742,51904
126822,296.51,1106,0.07,610,248.6366436714213,1.5093033239245415,53408
129822,296.51,1134,0.07,620,248.3440909444494,1.669539712369442,54904
132822,296.51,1161,0.07,630,248.59310664994865,2.1891609504818916,56408
135822,296.51,1189,0.07,640,247.29236978986424,2.2474851459264755,57904
138822,297.68,1216,0.07,650,248.6235353374295,0.901997659355402,59408
141822,297.68,1243,0.07,660,247.38016112569272,2.155844122171402,60904
144822,297.68,1271,0.07,670,248.14293930336646,1.1346530616283417,62408
147667,297.45,1297,0.07,680,248.215109920978,0.4589744620025158,63832
150667,297.45,1324,0.07,690,246.26933019500558,0.9804198518395424,65328
