rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/loss
0.9302499999999999,13,-21.729885598589743,3000,299.0,10,,
0.8643362500000003,26,-18.716933623255816,5835,290.75,20,,
0.7945862500000002,41,-19.112830933235838,8835,293.5,30,,
0.7248362500000001,59,-18.989586264572825,11835,294.875,40,912,0.009521498868707567
0.6550862500000001,79,-18.786262684163034,14835,295.7,50,2416,0.00024877114992705174
0.5897770000000002,99,-18.53185181222793,17644,293.06666666666666,60,3816,0.00038086272070358973
0.5200270000000002,120,-18.714705159350515,20644,293.9142857142857,70,5320,0.0004753950852318667
0.45027700000000004,141,-19.03820301151426,23644,294.55,80,6816,0.0005337152651918586
0.38208475,162,-19.17106037658412,26577,294.3,90,8288,0.0008491473199683242
0.3123347499999998,185,-19.285671710053094,29577,294.77,100,9784,0.000809183438832406
0.24258475000000024,207,-19.10198191907002,32577,294.77,110,11288,0.0008328219046234153
0.17283475000000037,230,-19.586156764119934,35577,296.42,120,12784,0.0007418364402838051
0.10396824999999987,253,-19.40378417962979,38539,296.04,130,14264,0.0010959775536321104
0.07,276,-19.35446280203656,41452,295.17,140,15720,0.001464101100282278
0.07,300,-19.707828205027187,44452,295.17,150,17224,0.0012133074487792328
0.07,324,-19.782743591842472,47452,297.08,160,18720,0.0013093663001200184
0.07,347,-19.84607522376748,50452,297.08,170,20224,0.001156424346845597
0.07,369,-19.148556072288105,53168,294.24,180,21576,0.0013403010161709972
0.07,392,-19.05896390730642,56168,294.91,190,23080,0.0019795263069681823
0.07,416,-18.902681573575336,59168,294.91,200,24576,0.0017707795486785471
0.07,440,-18.91138878234706,62168,294.91,210,26080,0.0016734937453293242
0.07,464,-19.01875864771432,65168,294.91,220,27576,0.0016778739227447659
0.07,488,-19.313435142082778,68168,295.29,230,29080,0.0018355265929130837
0.07,512,-19.42952391547612,71168,296.16,240,30576,0.0019767157646128908
0.07,536,-19.18636520310403,74148,295.96,250,32072,0.0016919338522711769
0.07,559,-19.174665165197005,77148,295.96,260,33568,0.0016077822510851547
0.07,583,-19.002622704857234,80148,295.96,270,35072,0.0019625921413535252
0.07,606,-19.295649026406114,83125,298.57,280,36560,0.0018753025433397852
0.07,630,-19.236514906270088,86125,298.57,290,38056,0.001877991046058014
0.07,653,-19.269171910840793,88978,297.1,300,39488,0.0025641018510214053
0.07,676,-19.452848443736425,91978,297.1,310,40984,0.003974491955887061
0.07,700,-19.111905662620096,94925,296.57,320,42456,0.002030047442531213
0.07,723,-18.985012895586138,97925,296.57,330,43960,0.002933597093942808
0.07,747,-19.088078589962535,100925,296.57,340,45456,0.0018466852634446695
0.07,771,-19.09054165890439,103925,296.77,350,46960,0.003005318809300661
0.07,795,-19.2305163314917,106925,296.77,360,48456,0.002193685359088704
0.07,818,-19.435424305735463,109925,296.77,370,49960,0.0012826865713577718
0.07,842,-19.593232564215192,112925,297.0,380,51456,0.0022274532020674087
0.07,866,-19.53491587941824,115925,297.0,390,52960,0.0010504283127374947
0.07,889,-19.601574117222768,118925,298.47,400,54456,0.0009405744058312848
0.07,913,-19.151784472135127,121925,298.47,410,55960,0.0010731895818025805
0.07,937,-19.22286895896044,124925,299.0,420,57456,0.0013689957777387463
0.07,960,-19.321750992637302,127925,299.0,430,58960,0.0010057288745883852
0.07,986,-19.537120672618354,130925,299.0,440,60456,0.0009200600397889502
0.07,1010,-19.664354783214147,133925,299.0,450,61960,0.0012138998281443492
0.07,1034,-19.508782444012756,136925,299.0,460,63456,0.0009582523889548611
0.07,1058,-19.746552782171406,139925,299.0,470,64960,0.0007467916038876865
0.07,1083,-19.974548095631135,142925,299.0,480,66456,0.0010639391039148904
0.07,1107,-20.311440307352044,145925,299.0,490,67960,0.0008208520084735937
0.07,1132,-20.479982759930007,148925,299.0,500,69456,0.0014015445776749402
0.07,1156,-20.403498855960486,151925,299.0,510,70960,0.0008315281447721645
0.07,1180,-20.680796097672463,154925,299.0,520,72456,0.0007357105241680983
0.07,1204,-20.79163994420378,157925,299.0,530,73960,0.0006415047682821751
0.07,1229,-20.34383098126973,160923,298.98,540,75456,0.0007478566039935686
0.07,1253,-20.27227516190593,163923,298.98,550,76960,0.0006034627731423825
0.07,1275,-20.088401224924212,166661,296.36,560,78328,0.0010997586941812187
0.07,1299,-19.764607241997457,169661,296.36,570,79824,0.0008738777360122185
0.07,1324,-19.785457869536238,172661,296.36,580,81328,0.0006839465640950948
0.07,1348,-19.487169478761487,175661,296.36,590,82824,0.000936213258682983
0.07,1372,-19.240743562054952,178661,296.36,600,84328,0.0008068084134720266
0.07,1396,-19.465991375916374,181661,296.36,610,85824,0.001086180353013333
0.07,1420,-19.137559233285984,184661,296.36,620,87328,0.0010256623463646974
0.07,1444,-18.742877070682827,187661,296.36,630,88824,0.0012832118518417701
0.07,1468,-18.98626100814589,190661,296.38,640,90328,0.0009812403877731413
0.07,1491,-18.698558335328634,193661,296.38,650,91824,0.0011710562503139954
0.07,1515,-19.112291252936267,196661,299.0,660,93328,0.0014109871844993904
0.07,1539,-19.133009396301464,199661,299.0,670,94824,0.0017189235368277878
