rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9725649999999999,1180,10,1,117.0,-5.681905441843334,,
0.9422470000000001,2484,20,2,123.2,-6.480901758978351,,
0.9388292499999998,2631,30,3,86.7,-4.4585424813044225,,
0.9129287500000001,3745,40,4,92.625,-4.9146400626397675,,
0.8827037499999998,5045,50,6,99.9,-5.397660935337215,,
0.8547805000000002,6246,60,8,103.1,-5.7615750605902285,,
0.8295077500000003,7333,70,10,103.75714285714285,-5.771243850538194,,
0.8062577500000002,8333,80,12,103.1625,-5.743348596445253,,
0.7775207499999999,9569,90,14,105.32222222222222,-5.882568264880202,,
0.7482955,10826,100,20,107.26,-6.003287717477328,408,0.056600824940687744
0.713467,12324,110,31,110.44,-6.237387985020868,1160,0.08437532198513509
0.6782199999999998,13840,120,41,112.56,-6.287760398204917,1912,0.02870000436087139
0.6430427500000002,15353,130,52,126.22,-7.0154697736267915,2672,0.0383100115286652
0.6298832500000002,15919,140,56,120.74,-6.662502291736482,2952,0.17960230020980816
0.60528475,16977,150,64,118.32,-6.406418878946455,3488,0.058037904105731286
0.5874055000000001,17746,160,69,114.0,-5.985928107634222,3872,0.07667766192753334
0.5455090000000002,19548,170,82,121.15,-6.263134000593635,4768,0.08590168226510286
0.5176787500000003,20745,180,91,123.12,-6.216356190196692,5368,0.05750552378594875
0.4964979999999999,21656,190,98,119.87,-5.89074564050069,5824,0.059499168884940445
0.46969075000000027,22809,200,107,118.83,-5.669790235450908,6400,0.012949341296916828
0.4507420000000001,23624,210,113,112.0,-5.209945123788279,6808,0.08893557888222858
0.41714574999999987,25069,220,124,111.29,-5.062905753760832,7528,0.07947320080711506
0.37624899999999994,26828,230,137,113.75,-5.079434145653413,8408,0.07995031867176294
0.3497672500000004,27967,240,146,119.48,-5.342033201339373,8976,0.06103859032737091
0.32100699999999993,29204,250,155,121.27,-5.359646864104667,9600,0.050955417624209076
0.2926652500000001,30423,260,165,125.77,-5.504823200481031,10208,0.061355326673947275
0.27160074999999995,31329,270,172,116.81,-5.021484671860885,10664,0.09280686208512634
0.2498155000000002,32266,280,179,114.21,-4.910050246845386,11128,0.06997875624801964
0.22363600000000006,33392,290,188,116.36,-5.023586949668071,11688,0.08731634315336123
0.19617774999999993,34573,300,197,116.64,-5.027290438847366,12280,0.10942915972555056
0.17869374999999987,35325,310,203,116.01,-4.992747783467311,12656,0.061818299524020404
0.15990775000000024,36133,320,209,109.64,-4.727275231951958,13064,0.06318308401387185
0.12631150000000002,37578,330,221,106.5,-4.561789488275284,13784,0.07247762801125646
0.08957649999999995,39158,340,233,110.91,-4.694692772015662,14576,0.09243611886631697
0.07,40053,350,240,107.49,-4.590643482700386,15024,0.07343812671024352
0.07,41611,360,253,110.88,-4.744473098659216,15800,0.08961807820014656
0.07,42421,370,260,109.92,-4.7083403906809504,16208,0.08401959692128003
0.07,43829,380,271,114.63,-4.911778714277485,16912,0.05392599361948669
0.07,45452,390,284,119.6,-5.062440656798009,17720,0.04539836186449975
0.07,47150,400,297,124.77,-5.247163195939965,18568,0.05211958667496219
0.07,49001,410,311,135.76,-5.774239172879124,19496,0.07298974972218275
0.07,50413,420,321,141.8,-5.993222861916123,20200,0.06216363707790151
0.07,52069,430,334,143.91,-6.1316569734874475,21032,0.06189934170106426
0.07,53056,440,341,137.98,-5.876812194990091,21520,0.04320494283456355
0.07,54373,450,351,142.2,-5.99483718903442,22184,0.08829859376419336
0.07,55707,460,361,139.96,-5.9521674125295485,22848,0.06326562038157135
0.07,56643,470,369,141.22,-6.0141083870218335,23320,0.05448547482956201
0.07,57345,480,374,134.16,-5.74622178888083,23672,0.11480452405521646
0.07,58263,490,381,127.11,-5.471944886807077,24128,0.03381049953168258
0.07,58821,500,385,115.71,-5.038220134024382,24408,0.08320683386409655
0.07,59505,510,390,104.04,-4.499427247615086,24752,0.07035704789450392
0.07,60147,520,395,96.34,-4.1520801163977925,25072,0.060002740821801126
0.07,61202,530,404,90.33,-3.845629177578011,25600,0.08122511938563548
0.07,61669,540,408,85.13,-3.6032689519912076,25832,0.10874522422091104
0.07,62641,550,415,81.68,-3.4802339101460915,26320,0.07741800253279507
0.07,62964,560,418,71.57,-3.0309728582625883,26480,0.17530956596601754
0.07,63385,570,421,66.42,-2.7947838081143193,26688,0.06977078501950018
0.07,64388,580,429,69.43,-2.871547291211867,27192,0.11155826854519546
0.07,65261,590,436,68.98,-2.850267379222048,27624,0.060579072567634284
0.07,66389,600,445,74.68,-3.000820570559889,28192,0.15850250702351332
0.07,67777,610,455,81.72,-3.2521214488959025,28888,0.05162750987801701
0.07,69003,620,465,87.56,-3.5278932252574657,29496,0.024692954728379846
0.07,69944,630,473,86.42,-3.469487191303304,29968,0.10971187610994093
0.07,70852,640,480,90.83,-3.6786550628412846,30424,0.07182039966573939
0.07,71741,650,487,90.0,-3.6404933730300026,30864,0.11724898312240839
0.07,72605,660,493,95.41,-3.839886080930537,31296,0.061023816058877856
0.07,73405,670,500,99.2,-3.9441851426308228,31696,0.07125895813805982
0.07,74352,680,507,98.64,-3.8873156485071947,32168,0.10814979509450495
0.07,74852,690,511,94.91,-3.7349899997856197,32424,0.1063812407955993
0.07,75969,700,520,94.8,-3.7117088188355383,32984,0.09962382036610506
0.07,77145,710,529,92.68,-3.6076494471452283,33568,0.09994609997374937
0.07,78431,720,540,93.28,-3.5841911682756296,34208,0.1697597522288561
0.07,79247,730,546,92.03,-3.5170270308459894,34616,0.0791924376389943
0.07,80528,740,557,95.76,-3.5923968461299336,35256,0.06949512875871733
0.07,81478,750,564,96.37,-3.6403264221360105,35736,0.08939506864408031
0.07,82621,760,572,99.16,-3.769529814391494,36304,0.023136551782954484
0.07,83682,770,580,101.77,-3.927919978701364,36840,0.042908737348625436
0.07,84845,780,590,103.93,-4.015880204707081,37416,0.12252293818164617
0.07,86253,790,601,113.01,-4.372500538972755,38120,0.11877111258218065
0.07,87624,800,612,115.55,-4.550858509937631,38808,0.07929085585055873
0.07,88431,810,618,111.86,-4.455382703233566,39208,0.09722176389186643
0.07,89669,820,628,111.38,-4.484206095629823,39832,0.13478896967717446
0.07,90739,830,637,113.92,-4.531861654840965,40368,0.11900443548802286
0.07,91608,840,644,109.8,-4.457891816540216,40800,0.09666257255594246
0.07,92231,850,649,106.53,-4.292396018025044,41112,0.11684349778806791
0.07,93507,860,659,107.86,-4.302285230816216,41752,0.0975319130520802
0.07,95151,870,672,113.69,-4.44809933829245,42568,0.07752526891999878
0.07,96174,880,680,112.29,-4.390674873260465,43080,0.10658595926361158
0.07,97130,890,687,107.77,-4.192978399695833,43560,0.07880179220228456
0.07,98548,900,698,108.24,-4.183902438490495,44272,0.12544427759712562
0.07,99716,910,707,111.85,-4.2540303917320905,44856,0.08872743911342695
0.07,100684,920,714,109.15,-4.052253881243779,45336,0.0676695597358048
0.07,102352,930,727,115.13,-4.389783160148005,46168,0.09649516578065231
0.07,104126,940,741,124.18,-4.708066607469908,47056,0.11345688629080541
0.07,105099,950,748,127.68,-4.877176741227709,47544,0.051372491812799126
0.07,105997,960,755,123.9,-4.741771804073469,47992,0.06130761749227531
0.07,107489,970,767,122.38,-4.750004845042601,48744,0.12663003895431757
0.07,108540,980,775,122.66,-4.785712675346627,49264,0.0707266969839111
0.07,110341,990,788,131.11,-5.193035024460055,50168,0.059833399136550725
0.07,111625,1000,798,129.77,-5.146755878419331,50808,0.05932869901880622
0.07,113333,1010,812,135.17,-5.464850477802115,51664,0.051825587172061205
0.07,114670,1020,824,138.86,-5.645272069114958,52328,0.1069818135292735
0.07,116619,1030,840,141.67,-5.689041376320922,53304,0.08940770514891483
0.07,118595,1040,857,143.69,-5.695125762953512,54296,0.07856224820716307
0.07,119705,1050,866,145.06,-5.714598362838442,54848,0.10654227680061013
0.07,121274,1060,879,151.77,-5.898292594199172,55632,0.14415859928703867
0.07,122189,1070,887,146.0,-5.6820474165390955,56088,0.08021241705864668
0.07,123999,1080,901,153.59,-5.886252736652735,56992,0.06023552600527182
0.07,126085,1090,918,156.44,-5.897713077419362,58040,0.059143788064830005
0.07,127453,1100,930,157.28,-5.879914429975873,58720,0.058362901327200234
0.07,128824,1110,941,153.91,-5.541853186882228,59408,0.07886173855513334
0.07,130584,1120,956,158.14,-5.635752744731061,60288,0.059700820536818355
0.07,131836,1130,966,151.17,-5.372830351551349,60912,0.06883578127599321
0.07,133596,1140,980,149.01,-5.193244151273931,61792,0.03160205305903219
0.07,135064,1150,992,152.59,-5.244506032069265,62528,0.0686908463248983
0.07,135979,1160,1000,146.05,-5.056311602073231,62984,0.08846733512473293
0.07,137345,1170,1011,150.56,-5.1397683119940565,63672,0.06621102963981684
0.07,138590,1180,1021,144.91,-4.9403563069594245,64288,0.12551812740275636
0.07,139745,1190,1031,135.6,-4.591151749683238,64872,0.0587154513632413
0.07,141075,1200,1042,135.22,-4.5767182292626885,65536,0.07575024990364909
0.07,142508,1210,1054,135.84,-4.793322175349082,66248,0.05092725268332288
0.07,143371,1220,1061,126.87,-4.483405793372005,66680,0.08945247926749289
0.07,144500,1230,1070,125.64,-4.400258562479732,67248,0.09095400539808907
0.07,145508,1240,1079,118.12,-4.250831450088605,67752,0.09769966712337919
0.07,146934,1250,1090,117.7,-4.279480656305668,68464,0.07711732137249783
0.07,148219,1260,1100,121.4,-4.363543170115336,69104,0.05081002358929254
