time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
10,0,65.4,664,0.984562,-3.7903028870152333,,
20,1,67.25,1365,0.9682637500000002,-3.9349183678857473,,
30,2,69.46666666666667,2114,0.9508495000000001,-4.130069211495953,,
40,2,68.65,2786,0.9352255,-4.107330226367952,,
50,3,66.24,3362,0.9218335000000001,-3.9234496516068424,,
60,4,70.96666666666667,4318,0.8996065,-4.2111963764961695,,
70,5,73.28571428571429,5200,0.8790999999999999,-4.275020700552371,,
80,7,75.4375,6115,0.8578262499999999,-4.476754925399768,,
90,8,75.24444444444444,6862,0.8404585000000002,-4.47639404285238,,
100,9,75.07,7607,0.8231372499999998,-4.45287350940346,,
110,10,77.32,8496,0.8024680000000002,-4.662602971368909,,
120,11,77.36,9201,0.7860767500000002,-4.72253018681171,,
130,13,78.64,10078,0.7656864999999998,-4.808157603082897,32,0.029669891329831444
140,17,80.43,10929,0.7459007499999998,-4.890122442860223,464,0.046620665498267044
150,20,81.44,11606,0.7301605,-4.866692433577807,800,0.06479857253361843
160,23,77.71,12189,0.7166057499999998,-4.550244320307602,1088,0.037117597467840824
170,25,74.15,12715,0.7043762499999998,-4.312812965881981,1352,0.046099700946797384
180,28,71.16,13331,0.69005425,-3.979102501678915,1664,0.06364064633089583
190,30,67.49,13711,0.6812192499999998,-3.6786749969900554,1848,0.05444246036859113
200,32,63.71,14078,0.6726865000000002,-3.3723277208313505,2032,0.03638551362018916
210,34,58.1,14406,0.6650604999999998,-2.897998024078457,2200,0.09945671607783879
220,36,55.33,14834,0.6551095000000002,-2.591321780293883,2416,0.053832895078812726
230,38,50.23,15201,0.6465767500000001,-2.187988324089494,2600,0.054085762254544534
240,40,45.97,15626,0.6366954999999999,-1.865678256130655,2808,0.045371753702056594
250,41,42.09,15915,0.6299762500000002,-1.6765408431618858,2952,0.03596301427023718
260,43,40.18,16307,0.6208622499999998,-1.582480233890614,3152,0.053021289670141414
270,45,38.42,16657,0.6127247499999998,-1.5006396954045351,3328,0.03547053759393748
280,48,36.78,17109,0.60221575,-1.4005212448043256,3552,0.07012191758985864
290,49,36.57,17468,0.5938690000000002,-1.3924145831893897,3728,0.07030877609940944
300,51,35.73,17751,0.58728925,-1.3719794400938732,3872,0.05315537587739527
310,53,36.33,18139,0.5782682500000002,-1.421257820210817,4064,0.06943382388271857
320,55,36.29,18563,0.5684102500000001,-1.4254095202354167,4280,0.09425341921451036
330,57,36.15,18916,0.560203,-1.4513282277149464,4456,0.11820615486067254
340,59,35.15,19241,0.5526467500000001,-1.4050688906695818,4616,0.04388519682106562
350,61,35.67,19582,0.5447185000000003,-1.4196890160984537,4784,0.09832748588814866
360,62,34.37,19844,0.5386270000000002,-1.3687654761511348,4920,0.09891302301548421
370,63,34.02,20159,0.5313032500000002,-1.352530573870394,5072,0.09684331342577934
380,64,31.3,20339,0.5271182500000001,-1.2676410341701345,5168,0.11391005385667086
390,66,30.26,20594,0.5211895,-1.2251720941654014,5296,0.11255386052653193
400,68,30.77,20928,0.5134240000000003,-1.270926508267933,5456,0.1370269237086177
410,69,30.02,21241,0.5061467500000001,-1.22011332126402,5616,0.08846514555625618
420,71,29.01,21564,0.498637,-1.1840746883045257,5776,0.18060144456103444
430,72,27.98,21814,0.4928245,-1.112405895424528,5904,0.131348379625706
440,74,26.91,22032,0.48775599999999997,-1.0663829397593714,6008,0.1134476843290031
450,75,26.01,22283,0.48192024999999994,-1.0382401698126313,6136,0.12465730449184775
460,77,26.76,22620,0.4740850000000002,-1.055689106882775,6304,0.1263826586655341
470,78,25.81,22840,0.4689700000000002,-1.0175902376679729,6416,0.15227744728326797
480,79,26.46,23085,0.46327375000000004,-1.0252042601091624,6536,0.15810574311763048
490,80,25.85,23279,0.45876324999999996,-0.9995683122716106,6632,0.11822361266240478
500,82,25.21,23549,0.45248575000000013,-0.9511417488528906,6768,0.13440644380170852
510,83,24.09,23750,0.44781249999999995,-0.9146246435896154,6872,0.1131924536311999
520,84,23.13,23977,0.44253475,-0.8751422569119031,6984,0.14040862827096134
530,85,22.68,24182,0.4377685000000002,-0.8643185530963075,7088,0.13014584314078093
