time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
300,54,40.21,18464,0.5707120000000003,-1.602603168630438,4224,0.11269236441876274
310,56,40.24,18859,0.5615282500000001,-1.604595948813546,4424,0.1032254671008559
320,58,39.3,19236,0.5527629999999999,-1.5718085211156063,4616,0.05174950724176597
330,60,36.85,19479,0.54711325,-1.454157604947258,4736,0.11778505466645584
340,61,34.52,19802,0.5396034999999999,-1.312319149425544,4896,0.06854307124740444
350,63,32.29,20048,0.533884,-1.2285052287488891,5016,0.10072376986499876
360,64,32.38,20339,0.5271182500000001,-1.2365052861043109,5168,0.10127750894753262
370,65,30.99,20549,0.5222357500000001,-1.1645639798897953,5272,0.10734314072760753
380,66,29.88,20791,0.5166092499999999,-1.1213117638931216,5392,0.14790849201381207
390,68,28.74,21149,0.5082857500000002,-1.0563985075535094,5568,0.14608497731387615
400,71,30.76,21640,0.49687000000000026,-1.1330101321541723,5816,0.08922847354551777
410,72,29.13,21872,0.491476,-1.0746515112607848,5928,0.1358214497740846
420,73,28.55,22191,0.48405924999999994,-1.0289971573169907,6088,0.14368800166994333
430,75,29.21,22500,0.4768749999999998,-1.0446797978468718,6248,0.17261232054443099
440,76,28.11,22713,0.47192274999999995,-0.9910993206451972,6352,0.08764315623557195
450,78,28.79,23027,0.4646222500000001,-1.0106323686547969,6512,0.09337804227834567
460,80,29.18,23357,0.45694974999999993,-1.0333268843884034,6672,0.1076992618618533
470,81,29.93,23642,0.4503234999999999,-1.083834973341756,6816,0.09942285338183865
480,82,30.01,23892,0.4445110000000001,-1.091916608415159,6944,0.11281997244805098
490,83,28.14,24063,0.44053525000000027,-1.0103145968233733,7024,0.1632901318371296
500,85,26.32,24372,0.43335100000000015,-0.9466480615579576,7184,0.10400236293207854
510,86,26.49,24621,0.42756174999999996,-0.9711727464987776,7304,0.11985458061099052
520,87,25.56,24847,0.42230725000000013,-0.9557188260959386,7416,0.14462025125976652
530,89,25.19,25119,0.41598325,-0.9480723331815136,7552,0.12479830626398325
540,90,25.94,25407,0.40928725,-0.9736109425943842,7696,0.11495458334684372
550,92,25.92,25719,0.40203325,-0.9882842448508856,7856,0.1269984677201137
560,93,24.76,25933,0.39705775,-0.9442276691662315,7960,0.1434119613841176
570,95,24.73,26215,0.3905012499999998,-0.9385419493484018,8104,0.12570093711838126
580,96,24.84,26476,0.38443300000000036,-0.9320296169534571,8232,0.13611498195677996
590,98,25.98,26761,0.3778067500000003,-0.9817002717152693,8376,0.12298353228834458
600,98,24.31,26903,0.37450525000000034,-0.9130077123702849,8448,0.17780398903414607
610,100,24.55,27176,0.3681580000000001,-0.9070439928629976,8584,0.09947063180152327
620,101,24.24,27371,0.3636242500000003,-0.8795169223326699,8680,0.13835061743156984
630,102,23.6,27579,0.35878825000000014,-0.8631461308696668,8784,0.09985776792746037
640,104,23.59,27866,0.35211550000000036,-0.8784371110209852,8928,0.11554404441267252
650,105,22.26,28045,0.34795374999999984,-0.815079663515097,9016,0.10849741753190756
660,106,22.17,28250,0.3431875000000002,-0.8115933344865169,9120,0.15007314301328734
670,107,21.79,28494,0.33751450000000016,-0.7881159954930357,9240,0.1597752356901765
680,108,20.36,28612,0.33477100000000026,-0.7359221563101377,9304,0.12102286191657186
690,109,19.46,28807,0.33023725000000004,-0.6967026607271396,9400,0.10599512839689851
700,110,20.27,29030,0.3250525000000001,-0.7350614548159371,9512,0.09710197430104017
710,112,20.34,29310,0.3185425000000003,-0.7413373977815527,9648,0.10899468028219417
720,113,20.05,29476,0.3146829999999997,-0.7275265992271305,9736,0.1427951087243855
730,114,20.06,29685,0.30982374999999995,-0.7162923666067539,9840,0.18854610994458199
740,115,19.38,29904,0.3047320000000002,-0.6830107232896065,9944,0.11510487925261259
750,116,19.24,30069,0.30089575000000035,-0.6911141272418067,10032,0.1227344237267971
760,117,18.64,30214,0.29752449999999986,-0.6608302955380178,10104,0.17606468126177788
770,118,17.68,30362,0.29408350000000016,-0.6225195127636657,10176,0.13067072164267302
780,119,19.01,30613,0.28824775000000014,-0.6766688718418036,10304,0.12041575508192182
790,120,19.47,30854,0.28264449999999997,-0.6951589292559042,10424,0.15748407365754247
800,122,19.6,31090,0.2771575000000003,-0.6971081762970585,10544,0.12171663006301969
810,123,19.15,31325,0.27169375000000007,-0.6604991298847357,10656,0.12426640139892697
820,124,19.18,31494,0.26776450000000007,-0.669102127254044,10744,0.11493588984012604
830,125,19.13,31698,0.2630214999999999,-0.6678186079994444,10848,0.13994822930544615
840,126,18.4,31844,0.25962699999999994,-0.6389155622867445,10920,0.0801641540019773
850,127,18.38,32007,0.2558372499999999,-0.6363926863521655,11000,0.06876699643908069
860,128,18.53,32167,0.25211724999999974,-0.6444904562174174,11080,0.15361284464597702
870,129,18.57,32319,0.24858325000000037,-0.6495948056988965,11152,0.09909682674333453
880,129,17.66,32479,0.24486324999999975,-0.6198025277918241,11232,0.133902081171982
890,130,16.62,32616,0.24167800000000006,-0.5798142944684567,11304,0.06896090495865792
900,131,16.06,32796,0.23749299999999995,-0.554983974303402,11392,0.11765903234481812
910,132,15.3,32955,0.23379625000000015,-0.5442210835009219,11472,0.13717300165444613
920,133,15.09,33103,0.23035525000000023,-0.5343268776334856,11544,0.12282842816784978
930,134,14.72,33270,0.22647250000000008,-0.5192820975812387,11632,0.1459387205541134
940,135,14.83,33427,0.2228222499999999,-0.5177232435961114,11712,0.11629546468611807
950,136,14.7,33577,0.2193347499999998,-0.5152877339283267,11784,0.12740445975214243
960,136,14.53,33720,0.21601000000000026,-0.4995705289201666,11856,0.10977812577039003
