rollout/exploration_rate,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9803072500000001,847,10,0,83.7,-3.810393830561762,,
0.9540115000000002,1978,20,2,97.9,-4.812882501531537,,
0.9444790000000003,2388,30,2,78.6,-3.7983925444051976,,
0.9122312500000002,3775,40,4,93.375,-4.802606901216826,,
0.8905854999999998,4706,50,6,93.12,-4.892954907618536,,
0.8779375,5250,60,6,86.5,-4.479076899650029,,
0.8514790000000001,6388,70,8,90.25714285714285,-4.723936880013616,,
0.8257180000000002,7496,80,10,92.7,-4.963285858048884,,
0.8067925000000001,8310,90,12,91.33333333333333,-4.950882627576806,,
0.7700575000000001,9890,100,14,97.9,-5.419074909611014,,
0.7546427500000003,10553,110,18,96.06,-5.3406096363489635,272,0.08375164786593814
0.7303697500000003,11597,120,25,95.19,-5.269884117959366,792,0.11150045213435078
0.7063524999999999,12630,130,32,101.42,-5.696595619376829,1312,0.1483365620006225
0.66485125,14415,140,45,105.4,-5.961964955124569,2200,0.13212887226836756
0.624187,16164,150,57,113.58,-6.295285892838248,3080,0.12093741638818756
0.5969380000000002,17336,160,65,119.86,-6.603875424847445,3664,0.047214575664838776
0.5643414999999998,18738,170,76,122.5,-6.647939341687703,4368,0.10278190014651045
0.5313730000000001,20156,180,86,125.6,-6.627686031152159,5072,0.09552564128534868
0.5090065000000003,21118,190,93,127.08,-6.538937562437785,5552,0.07652562484145164
0.4792930000000002,22396,200,102,124.06,-6.083282535443841,6192,0.05903714499436319
0.4568102500000001,23363,210,109,127.1,-6.172849087340848,6680,0.09580952755641192
0.42598075,24689,220,120,129.92,-6.320721027715234,7344,0.07307038584258407
0.3878972500000003,26327,230,132,135.97,-6.361783467388664,8160,0.0882643983932212
0.3591835000000001,27562,240,141,130.47,-5.8571863560946245,8776,0.10453494917601347
0.3312137500000002,28765,250,150,125.01,-5.539425590294022,9376,0.06048038019798696
0.3027092499999997,29991,260,159,125.55,-5.53733006944202,9992,0.05203858495224267
0.27994750000000035,30970,270,167,121.32,-5.366687892097483,10480,0.04503582522738725
0.24988525000000006,32263,280,177,120.07,-5.305562598509589,11128,0.1310360173229128
0.23356375000000007,32965,290,183,117.47,-5.235188000261704,11480,0.11083275196142495
0.20171125,34335,300,193,118.39,-5.357468310429377,12160,0.06418963556643575
0.18464575000000027,35069,310,199,116.06,-5.2807283866765315,12528,0.08251983264926821
0.15967525000000027,36143,320,207,113.54,-5.071951659774919,13064,0.07885324739618227
0.13712275000000018,37113,330,215,106.86,-4.870144485866442,13552,0.07230911450460553
0.12066175000000023,37821,340,220,101.59,-4.620164635282112,13904,0.08999875944573432
0.09631900000000027,38868,350,228,100.03,-4.487311218724828,14432,0.10640311939641833
0.07237150000000037,39898,360,236,98.07,-4.412527976932898,14944,0.03631117078475654
0.07,40671,370,241,96.01,-4.2859763869327425,15328,0.10472847544588149
0.07,41404,380,247,90.41,-4.157538325147345,15696,0.07031567709054798
0.07,43013,390,260,99.48,-4.575300568297431,16504,0.05304746003821492
0.07,44464,400,271,100.29,-4.59414668534901,17224,0.07456533540971577
0.07,46089,410,283,109.2,-4.996964722846387,18040,0.10699961637146771
0.07,47739,420,295,114.96,-5.245487935598168,18864,0.07194380753207952
0.07,48223,430,299,110.1,-5.006881319734214,19104,0.07875661051366478
0.07,49740,440,311,118.19,-5.3283696174708055,19864,0.12557825399562716
0.07,51301,450,324,123.33,-5.544585060706831,20648,0.061805726611055434
0.07,52757,460,335,127.59,-5.708002874323374,21376,0.07153135037515312
0.07,54340,470,347,135.69,-6.001920340710024,22168,0.06575674330815673
0.07,55138,480,354,136.34,-5.86889526253479,22568,0.052531416178680956
0.07,56292,490,363,131.79,-5.626207731630781,23144,0.06213371304329485
0.07,57272,500,371,127.08,-5.4679766046662985,23632,0.10359187237918377
0.07,58559,510,380,123.7,-5.32453429520255,24272,0.04323603899683803
0.07,59836,520,390,119.97,-5.163687160706753,24912,0.08691837312653661
0.07,60455,530,395,121.32,-5.214942818423133,25224,0.09825762209948152
0.07,61309,540,401,114.69,-4.99609749192052,25648,0.13318442227318883
0.07,62216,550,408,108.15,-4.742816241574887,26104,0.07684093719581142
0.07,62915,560,413,100.58,-4.390393746818961,26456,0.03847306210082024
0.07,63759,570,420,93.19,-4.092454865628419,26872,0.09482466406188905
0.07,64745,580,428,95.07,-4.245352853567489,27368,0.12154148507397622
0.07,65537,590,434,91.45,-4.066435479520793,27768,0.07145251904148608
0.07,66062,600,438,86.9,-3.7828984821321443,28024,0.10980687849223614
0.07,66955,610,444,82.96,-3.5914155357121444,28472,0.06858200673013926
0.07,68009,620,452,80.73,-3.522308590646174,29000,0.11484156944788992
0.07,68532,630,457,79.77,-3.4842534424607714,29264,0.09620920201996341
0.07,69283,640,462,78.74,-3.37099188901742,29640,0.1270579977426678
0.07,69899,650,467,75.83,-3.2408508292954474,29944,0.06608728395076469
0.07,71231,660,478,82.16,-3.4936122109074392,30608,0.08134168887045234
0.07,72207,670,486,83.48,-3.518995480447026,31096,0.06975484493887052
0.07,73102,680,493,82.57,-3.3635563089537266,31544,0.06524144008290023
0.07,73975,690,500,83.38,-3.3778019318330883,31984,0.06101992796175182
0.07,75572,700,513,94.1,-3.8936591318082954,32784,0.08776228898204863
