rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
-12.581331604948964,0.07,648,228.8,0.028016540613407415,2298,10,9
-9.14726623538575,0.07,1384,187.25,0.009520370551399537,3765,20,16
-6.537405799393804,0.07,1608,139.33333333333334,0.01917108225825359,4210,30,19
-5.1854858066213945,0.07,1784,113.225,0.074736028434927,4569,40,21
-4.551610392549033,0.07,2136,104.3,0.12972837793131475,5265,50,25
-3.9642539216288992,0.07,2344,93.81666666666666,0.12961460368387634,5689,60,28
-3.513465070882409,0.07,2456,83.47142857142858,0.046495693233737256,5913,70,29
-3.1972535455502853,0.07,2632,77.225,0.0833266098088643,6258,80,31
-2.923003935340103,0.07,2768,71.55555555555556,0.11078918934072135,6530,90,33
-2.682414356864378,0.07,2840,65.74,0.15585507052310277,6674,100,34
-1.5446168376193248,0.07,3072,47.52,0.14652421850769315,7150,110,37
-1.0696627040596358,0.07,3248,36.24,0.10963053921659593,7489,120,39
-1.012632639423498,0.07,3336,33.59,0.1545801628381014,7669,130,40
-0.985190913454679,0.07,3496,33.29,0.12662738654762506,7998,140,42
-0.8817772933959706,0.07,3672,29.76,0.11777063478075434,8341,150,44
-0.8106613836164195,0.07,3720,26.5,0.1787249362532748,8439,160,45
-0.8603540126661615,0.07,3856,27.05,0.21433501970022917,8718,170,46
-0.8516436683173907,0.07,3992,26.34,0.18767179735004902,8992,180,48
-0.8764530478460552,0.07,4120,26.11,0.1689995126798749,9241,190,50
-0.9030822491358547,0.07,4248,27.26,0.15996239030209836,9500,200,51
-0.8546273670356492,0.07,4344,24.32,0.19297651760280132,9682,210,52
-0.8261260843632711,0.07,4432,22.8,0.16695388915832154,9869,220,54
