time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/loss,train/n_updates
1600,82.85,1144,154843,0.07,2.5131664043156148,0.11979544465430081,72416
1610,76.16,1149,155531,0.07,2.373238730979028,0.1317004528536927,72760
1620,76.23,1155,156215,0.07,2.432729833292825,0.07352737605106086,73104
1630,72.78,1161,157034,0.07,2.3715942225737914,0.1428598446509568,73512
1640,69.66,1166,157668,0.07,2.3224827137222768,0.0898808955680579,73832
1650,68.81,1173,158601,0.07,2.327070011145812,0.13312853130628355,74296
1660,63.56,1177,159097,0.07,2.2048086292517057,0.15983461905852892,74544
1670,62.41,1181,159615,0.07,2.173232325184418,0.10315003123832867,74800
1680,62.85,1185,160195,0.07,2.2226490716809164,0.13211964834772516,75096
1690,64.64,1191,160917,0.07,2.3024757598666596,0.23391394224017859,75456
1700,63.48,1194,161291,0.07,2.250357087531827,0.101833497377811,75640
1710,60.29,1197,161660,0.07,2.157091078057573,0.11627286706061568,75824
1720,57.92,1201,162107,0.07,2.0229010311794062,0.14967385964700952,76048
1730,58.04,1208,162938,0.07,2.0283141591604914,0.14883814562927,76464
1740,56.9,1212,163458,0.07,1.9666901345902414,0.129626643989468,76728
1750,52.24,1216,163925,0.07,1.820853853141705,0.18833696423098445,76960
1760,51.49,1219,164346,0.07,1.7869707382865985,0.13218633137876168,77168
1770,54.58,1226,165173,0.07,1.9821773297184975,0.1450071374711115,77584
1780,54.51,1230,165746,0.07,1.9839846136932653,0.11645309990854003,77872
1790,52.06,1234,166223,0.07,1.9337926170049915,0.11598046775907278,78104
1800,56.38,1241,167029,0.07,2.080113304594541,0.0740785092493752,78512
1810,58.08,1245,167568,0.07,2.1161620525391722,0.11626455921214074,78776
1820,59.5,1250,168157,0.07,2.171246103378332,0.05941084600635804,79072
1830,57.31,1255,168769,0.07,2.081120924621705,0.07230379554675892,79384
1840,58.99,1260,169457,0.07,2.1508630743505703,0.10444669784919824,79728
1850,57.22,1263,169747,0.07,2.0736329590482696,0.11663602440967225,79872
1860,60.78,1269,170524,0.07,2.205418179057604,0.18873564148088917,80256
1870,59.69,1275,171242,0.07,2.0783453180355194,0.20343945268541574,80616
1880,61.03,1281,171949,0.07,2.112071255036207,0.05976871232269332,80968
1890,60.8,1285,172403,0.07,2.0776541345118016,0.1186149439890869,81200
1900,62.35,1293,173364,0.07,2.1529889964954627,0.11818603944266215,81680
1910,63.84,1299,174052,0.07,2.2439100384170794,0.17412840848555788,82024
1920,66.15,1305,174872,0.07,2.2929049845867957,0.1745031592727173,82432
1930,68.99,1312,175768,0.07,2.4599362765041812,0.061101415019948035,82880
1940,69.21,1317,176478,0.07,2.494520664170793,0.11593605601228774,83232
1950,73.9,1323,177237,0.07,2.6864801755352046,0.15905650582863018,83616
1960,70.48,1327,177672,0.07,2.582628291765337,0.12880970336846076,83832
1970,69.82,1332,178324,0.07,2.5580380992762928,0.21341803652467206,84160
1980,70.1,1338,179059,0.07,2.6235401709423978,0.05927580033312552,84528
1990,73.84,1344,179887,0.07,2.8317097060508147,0.11627777988906018,84936
2000,72.08,1351,180672,0.07,2.816513942701215,0.21650678585865535,85328
2010,73.45,1357,181497,0.07,2.8612090674687476,0.08769771257357206,85744
2020,72.54,1363,182226,0.07,2.8942074385868777,0.14309675591357518,86112
2030,71.35,1369,183003,0.07,2.8598415507833312,0.11603457081946544,86496
2040,70.22,1374,183600,0.07,2.834335122896475,0.1885878763278015,86792
2050,71.38,1381,184475,0.07,2.934101180586328,0.21380416012834758,87232
2060,76.15,1388,185387,0.07,3.1402868741279617,0.1292079605627805,87688
2070,79.52,1396,186376,0.07,3.3198946605263258,0.17242341706878506,88184
