time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
1,88.2,10,892,0.9792609999999999,4.1393050456766165,,
1,72.95,20,1479,0.9656132499999999,3.1715940316347595,,
3,76.93333333333334,30,2338,0.9456415000000001,3.326330514160341,,
4,78.4,40,3176,0.926158,3.3819052366481896,,
5,76.4,50,3870,0.9100225000000001,3.4184026653718433,,
6,79.46666666666667,60,4828,0.8877489999999998,3.669100199494634,,
8,83.3,70,5901,0.86280175,4.042619674802637,,
10,85.75,80,6940,0.8386450000000003,4.1355960752852585,,
12,84.53333333333333,90,7698,0.8210214999999998,4.106917569428624,,
15,91.18,100,9218,0.7856815000000001,4.555084402013642,,
21,96.82,110,10674,0.7518294999999999,5.062457357861824,336,0.03777989488480671
31,106.53,120,12232,0.7156060000000001,5.625369926156203,1112,0.08543591746456514
39,108.45,130,13283,0.6911702500000001,5.76847375719113,1640,0.07648826366130379
48,113.1,140,14586,0.6608755000000004,6.008517411648691,2288,0.10600891434660298
58,119.8,150,15950,0.6291625000000001,6.33918985165667,2968,0.06824149260501144
68,123.3,160,17258,0.5987515000000001,6.40162887769929,3624,0.04023529425467132
73,119.74,170,17975,0.5820812499999999,6.0664131175940295,3984,0.06948383679991821
81,120.37,180,19077,0.5564597499999998,6.050649404556295,4536,0.09049169419449754
87,122.06,190,20004,0.534907,6.056554123020209,5000,0.12176231834746432
93,114.63,200,20781,0.51684175,5.510933581772791,5384,0.0524671239691088
96,104.06,210,21180,0.507565,4.7324245148696145,5584,0.13499105960363522
102,95.92,220,21924,0.4902669999999998,4.263432951966815,5960,0.053000397092546336
110,96.68,230,23051,0.46406425000000007,4.240701212484669,6520,0.1473609009408392
118,93.99,240,24085,0.44002375000000005,4.0756684700158265,7040,0.07683781359810382
122,85.47,250,24597,0.42811975,3.593337078502718,7296,0.06534565219772048
127,78.44,260,25202,0.4140535000000003,3.273328837912546,7600,0.10257744244881906
131,76.68,270,25743,0.40147524999999995,3.1885593606570115,7864,0.1529926098883152
135,70.47,280,26224,0.390292,2.8982578228050273,8104,0.17645809706300497
138,65.18,290,26622,0.38103849999999984,2.6532389660153903,8304,0.12339471385348588
142,62.56,300,27137,0.36906474999999983,2.54659316354447,8568,0.08137885486939922
148,66.25,310,27905,0.35120875000000007,2.692360809621329,8952,0.1241140819620341
152,64.01,320,28425,0.3391187499999998,2.567342276486705,9208,0.1725783181609586
155,56.43,330,28794,0.33053950000000043,2.214750516666668,9392,0.1040219419519417
160,52.47,340,29432,0.31570600000000026,2.0258824398613866,9712,0.09531486826017499
163,52.02,350,29899,0.3048482500000004,1.9913363957455854,9944,0.10600843909196556
169,53.23,360,30625,0.2879687500000002,1.995645461879236,10312,0.08583830192219466
