time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss
3000,0.965125,10,-134.4802698348416,299.0,21,,
6000,0.9302499999999999,20,-143.90933761726694,299.0,43,,
9000,0.8953749999999999,30,-147.07531732222662,299.0,65,,
12000,0.8604999999999999,40,-159.38241535592752,299.0,88,,
15000,0.8256250000000002,50,-173.29055225491595,299.0,110,,
18000,0.7907500000000001,60,-172.78426469968366,299.0,133,,
21000,0.7558750000000001,70,-172.50848328282692,299.0,157,496,0.015289272996596992
23726,0.72418525,80,-162.12364491266865,295.575,183,1856,0.014178644516505301
26492,0.6920305,90,-156.57506284271983,293.35555555555555,209,3240,0.044320391956716776
29492,0.6571555,100,-153.91841450955928,293.92,237,4744,0.03465442988090217
32492,0.6222805,110,-150.23585665620655,293.92,265,6240,0.049483383540064096
35492,0.5874055000000001,120,-145.46651026266053,293.92,293,7744,0.055175941437482834
38492,0.5525305000000001,130,-144.2513883993927,293.92,322,9240,0.07397081842646003
41194,0.5211197500000001,140,-132.32188843304021,290.94,348,10592,0.06771336682140827
44194,0.48624475,150,-122.67758844902127,290.94,376,12096,0.08270576503127813
47194,0.45136975,160,-114.47613042716435,290.94,405,13592,0.1017180634662509
50194,0.41649475,170,-105.93999156968239,290.94,434,15096,0.11522262450307608
53194,0.38161975000000004,180,-105.34927786844867,293.68,463,16592,0.13564302027225494
56194,0.34674475000000027,190,-104.62187212549155,296.02,492,18096,0.14021774847060442
58981,0.3143458750000001,200,-99.25691218030107,293.89,520,19488,0.18403206393122673
61749,0.28216787499999996,210,-98.21480986603841,291.57,547,20872,0.18682190962135792
64355,0.25187312500000025,220,-97.36228019350088,287.63,573,22176,0.21264090575277805
67133,0.21957887500000006,230,-91.64569613902181,285.41,600,23560,0.22450432553887367
69492,0.19215550000000015,240,-93.4958563195177,281.98,624,24744,0.2611261010169983
71808,0.16523200000000005,250,-87.75009595052221,275.14,648,25896,0.29223376512527466
73946,0.1403777500000002,260,-85.26698654769658,266.52,669,26968,0.28983963280916214
76205,0.11411687500000012,270,-86.00236309513365,259.11,693,28096,0.31801769509911537
77806,0.09550525000000021,280,-83.37816668459834,245.12,709,28896,0.3712635114789009
79304,0.07809100000000013,290,-77.69044931048327,230.1,723,29648,0.3498067408800125
81056,0.07,300,-75.5855093818539,219.75,741,30520,0.39329903945326805
83526,0.07,310,-76.06648524794838,216.77,765,31760,0.40470894798636436
85224,0.07,320,-72.46552726508435,207.69,781,32608,0.4159330911934376
86834,0.07,330,-70.30517562258018,196.01,797,33416,0.46642909944057465
88973,0.07,340,-66.43142086797407,193.81,817,34480,0.41430700570344925
90725,0.07,350,-65.40564472645647,188.17,834,35360,0.49199625104665756
92235,0.07,360,-63.248316380816284,181.89,849,36112,0.49676042050123215
93539,0.07,370,-57.429502812241054,172.34,862,36768,0.5093566253781319
95127,0.07,380,-56.72966090926412,172.21,878,37560,0.542193453758955
96994,0.07,390,-58.43506174713352,175.9,898,38496,0.5328726433217525
98812,0.07,400,-58.92723208984043,176.56,916,39400,0.5818245708942413
100465,0.07,410,-55.94150415193498,168.39,933,40232,0.6560025662183762
101838,0.07,420,-54.359951923529,165.14,946,40912,0.7353702709078789
103048,0.07,430,-52.27777950387663,161.14,958,41520,0.581818412989378
104681,0.07,440,-51.74661157640247,156.08,975,42336,0.6396933421492577
106092,0.07,450,-49.597490229497645,152.67,989,43040,0.6882435232400894
107157,0.07,460,-48.88935989239033,148.22,1000,43576,0.6229640915989876
108747,0.07,470,-50.21591816781223,151.08,1015,44368,0.7958591505885124
110518,0.07,480,-50.845853634226756,152.91,1032,45256,0.6822046041488647
111543,0.07,490,-47.20151675084743,144.49,1043,45768,0.7234430015087128
112746,0.07,500,-44.34496556642069,138.34,1054,46368,0.7084680497646332
113679,0.07,510,-40.81704340266695,131.14,1064,46832,0.7226161062717438
114799,0.07,520,-39.775744715416835,128.61,1075,47392,0.7408023476600647
115986,0.07,530,-39.59119899192138,128.38,1087,47992,0.7109403312206268
117025,0.07,540,-37.55596084318253,122.44,1098,48512,0.8512902706861496
118411,0.07,550,-37.22507164581553,122.19,1111,49200,0.8247772753238678
119633,0.07,560,-37.55135339080375,123.76,1123,49816,0.7148489356040955
120234,0.07,570,-34.48584740704202,113.87,1129,50112,0.890321671962738
121290,0.07,580,-31.760687735047473,106.72,1139,50640,0.8102516457438469
122853,0.07,590,-32.735819947506016,112.1,1154,51424,0.9932777807116508
123428,0.07,600,-30.94159593193181,105.82,1160,51712,0.8676250204443932
125106,0.07,610,-32.320840302444296,113.27,1176,52552,0.865665964782238
125744,0.07,620,-30.499285855636447,108.45,1182,52864,0.859081819653511
127011,0.07,630,-30.19438827152385,109.25,1194,53504,0.8932584822177887
127758,0.07,640,-29.423828456829213,106.33,1201,53872,0.9183322191238403
130253,0.07,650,-34.43430584652965,117.42,1228,55120,0.8194449916481972
132249,0.07,660,-36.892892467820126,125.16,1248,56120,0.9630069211125374
133814,0.07,670,-39.64653495642033,134.8,1264,56904,0.9496666863560677
135061,0.07,680,-39.898130695321385,136.71,1276,57528,1.0514915585517883
136282,0.07,690,-39.65018582463375,133.29,1288,58136,1.0613057240843773
137267,0.07,700,-40.998366945570396,137.39,1297,58632,1.0447914078831673
137874,0.07,710,-38.622425739835734,126.68,1303,58936,1.0583334416151047
139369,0.07,720,-41.857271830427436,135.25,1318,59680,0.9655763879418373
140968,0.07,730,-43.94915132158579,138.57,1334,60480,1.1241623312234879
141546,0.07,740,-43.12413174675174,136.88,1339,60768,1.123688705265522
142211,0.07,750,-35.762570426653376,118.58,1346,61104,1.2011371105909348
142961,0.07,760,-31.69359894295417,106.12,1353,61480,1.1864086389541626
143717,0.07,770,-29.727005495706962,98.03,1361,61856,1.22589972615242
144494,0.07,780,-29.080131146344552,93.33,1369,62240,1.0826801508665085
144954,0.07,790,-26.791165561899177,85.72,1373,62472,1.118052989244461
145528,0.07,800,-25.743037914812167,81.61,1379,62760,1.084891900420189
146496,0.07,810,-27.462314267747256,85.22,1388,63240,1.1353266686201096
147113,0.07,820,-24.477103335591472,76.44,1395,63552,1.1999160572886467
147907,0.07,830,-21.15073723396707,68.39,1402,63952,1.2723936587572098
148929,0.07,840,-23.421306216118587,72.83,1413,64464,1.249279111623764
149452,0.07,850,-23.39364216257575,71.41,1418,64720,1.2283874154090881
149936,0.07,860,-22.56722840877983,68.75,1422,64960,1.1668373793363571
150505,0.07,870,-21.785875725465704,66.88,1428,65248,1.2416422963142395
151237,0.07,880,-21.50923062677555,66.43,1435,65616,1.2119130343198776
152046,0.07,890,-22.148043684506316,69.92,1443,66016,1.2532122880220413
152781,0.07,900,-22.604224661207823,71.53,1451,66384,1.2558429688215256
153370,0.07,910,-20.762303161440805,67.74,1456,66680,1.279888078570366
154124,0.07,920,-21.41014894236249,69.11,1464,67056,1.2784475684165955
154552,0.07,930,-20.137715517370097,65.45,1468,67272,1.3794635236263275
