rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/exploration_rate,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
52.13,568,420,0.22193875000000018,66930,0.0,23464,0.00048789239724555955
48.19,572,430,0.21773050000000016,67292,0.0,23640,0.0004124878802258536
48.86,578,440,0.21153437500000005,67825,0.0,23912,0.00014276050268335894
49.57,583,450,0.20640775,68266,0.0,24128,0.0002633361732478079
48.92,591,460,0.19994425000000005,68822,0.0,24408,0.00030678257326144376
45.59,596,470,0.19509662500000013,69239,0.0,24616,0.00017121374264661426
47.47,601,480,0.18885399999999997,69776,0.0,24880,0.0001179907109190026
45.19,606,490,0.18419237500000007,70177,0.0,25088,0.0003007254381373059
44.49,610,500,0.17974,70560,0.0,25272,0.0002760939268000584
45.81,616,510,0.17395075000000004,71058,0.0,25528,0.0002414818201827984
43.96,620,520,0.16967275000000015,71426,0.0,25712,0.00016654398689297523
43.51,623,530,0.1659876250000002,71743,0.0,25864,6.810301556470222e-06
42.27,628,540,0.16123300000000018,72152,0.0,26072,8.688325289085697e-05
41.71,632,550,0.1567573750000002,72537,0.0,26264,0.00028463283479140955
39.26,636,560,0.1531420000000001,72848,0.0,26416,0.00011086848121522053
38.95,640,570,0.14865475000000017,73234,0.0,26616,7.010230103787762e-05
37.68,644,580,0.14388850000000009,73644,0.0,26816,9.952172638350021e-05
37.02,648,590,0.1399941250000002,73979,0.0,26984,0.00016343186774747664
37.61,653,600,0.13485587500000007,74421,0.0,27208,0.00024666686533691973
36.17,657,610,0.13074062500000028,74775,0.0,27384,5.8857698945757875e-05
36.42,661,620,0.12617200000000017,75168,0.0,27576,0.00021696538101423357
36.68,665,630,0.12218462500000016,75511,0.0,27752,0.0001540125182373231
35.91,669,640,0.11832512499999992,75843,0.0,27920,0.0003015266311194864
36.14,674,650,0.11358212500000009,76251,0.0,28120,0.00012448185702851333
37.03,678,660,0.10893212500000016,76651,0.0,28320,9.7011471211772e-05
35.94,682,670,0.10571200000000014,76928,0.0,28456,5.619887144803215e-05
35.55,686,680,0.10139912500000003,77299,0.0,28648,9.714289251405717e-05
34.77,689,690,0.0984115000000001,77556,0.0,28776,8.183660327176767e-05
33.55,693,700,0.09469149999999993,77876,0.0,28936,6.587073562513979e-05
35.2,700,710,0.08865812500000014,78395,0.0,29192,0.00012935008362546796
34.21,703,720,0.08524037499999992,78689,0.0,29344,0.00012743940226300765
33.52,707,730,0.08205512500000012,78963,0.0,29480,0.00010156894848023512
33.65,711,740,0.07804450000000007,79308,0.0,29648,5.720075262161117e-05
32.83,714,750,0.07425475000000004,79634,0.0,29816,2.7338968379808648e-05
32.23,718,760,0.07030225000000023,79974,0.0,29984,8.783384168964403e-05
32.52,722,770,0.07,80280,0.0,30136,5.679553009940719e-05
31.5,725,780,0.07,80549,0.0,30272,0.00012281583587991918
32.35,729,790,0.07,80891,0.0,30440,4.544564149000507e-05
