time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
10,0,80.3,813,0.9810977500000001,4.446489527826669,,
20,1,89.65,1813,0.95784775,4.972756433262904,,
30,2,81.16666666666667,2465,0.9426887499999999,4.46871663262136,,
40,3,83.225,3369,0.92167075,4.771241341348751,,
50,4,85.08,4304,0.8999320000000001,5.007616841894998,,
60,5,80.71666666666667,4903,0.8860052500000002,4.67881905313399,,
70,6,81.04285714285714,5743,0.8664752499999998,4.635375925459489,,
80,7,81.45,6596,0.846643,4.728510799171953,,
90,8,80.37777777777778,7324,0.829717,4.706347102232747,,
100,9,81.92,8292,0.8072109999999998,4.814379103863712,,
110,10,82.81,9194,0.7862395000000002,4.910042819357835,,
120,12,82.2,10133,0.7644077500000002,4.909679645903205,64,0.09242290817201138
130,16,82.95,10860,0.747505,5.0141983938200685,424,0.048964704663376324
140,19,81.42,11611,0.7300442500000002,4.768292161639532,800,0.038889167833985994
150,21,76.56,12060,0.7196049999999999,4.349772158216993,1024,0.04892502750590211
160,25,77.02,12705,0.7046087499999998,4.288799088021005,1352,0.019599033821577905
170,26,72.31,13074,0.6960294999999999,4.022416396310061,1536,0.038867219003805076
180,28,68.01,13497,0.68619475,3.63652399064237,1744,0.03897905195481144
190,31,65.41,13965,0.6753137499999999,3.375520348713723,1976,0.05867689454680658
200,33,60.59,14451,0.6640142500000003,2.9892998121470553,2224,0.029531921496527502
210,35,56.49,14943,0.6525752500000002,2.6625606948673743,2464,0.08780999574810266
220,37,49.92,15225,0.6460187500000001,2.2109745133703287,2608,0.0780990688217571
230,39,46.14,15574,0.6379045000000001,1.9051352444859715,2784,0.09751632677216548
240,40,41.39,15850,0.6314874999999999,1.6817067024834864,2920,0.05896840962668648
250,41,39.18,16078,0.6261865000000002,1.5751459046612637,3032,0.09729399141360773
260,43,36.68,16473,0.6170027499999999,1.470049640308438,3232,0.10763720635441132
270,45,36.4,16814,0.6090745000000002,1.424510595726553,3400,0.1084500826545991
280,47,36.17,17214,0.5997745000000001,1.418897668862014,3600,0.09752866256167181
290,48,34.9,17555,0.5918462499999998,1.3495408156840671,3776,0.11771754219080321
300,50,33.82,17933,0.58305775,1.3047832938809345,3960,0.09728974198515061
310,52,33.01,18344,0.573502,1.252020694034741,4168,0.10726070206146687
320,54,33.26,18651,0.5663642500000001,1.272302116782896,4320,0.09896176966140047
330,56,33.43,19017,0.5578547500000002,1.2661517262804098,4504,0.10768488753819838
