rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,train/loss,train/n_updates
-8.868955396334643,146919,670,0.07,727,289.35,0.00020088312703592237,68456
-8.831500992133762,149763,680,0.07,742,287.79,0.011228997056605294,69880
-8.932870421288603,152614,690,0.07,757,289.29,0.011321988878989941,71304
-8.934505974070653,155614,700,0.07,773,289.29,0.00015880551563896006,72800
-8.899754726353972,158316,710,0.07,788,286.53,0.011242800555010035,74152
-9.025186455967509,161316,720,0.07,804,286.53,0.0001605671968718525,75656
-9.066215479551,164316,730,0.07,822,286.53,0.00014188505701895338,77152
-9.064300144229883,167316,740,0.07,839,286.73,0.011281538588264084,78656
-9.169664382444594,170286,750,0.07,854,288.21,0.0001291796361329034,80136
-9.261260478677167,173286,760,0.07,870,290.67,0.0001261417583009461,81640
-9.269820455529386,176074,770,0.07,885,290.55,0.01147016020877345,83032
-9.15184311441397,178486,780,0.07,897,286.23,0.011316142177747679,84240
-9.194698571148518,181486,790,0.07,913,287.72,0.00011158101551700383,85736
-9.159448213381966,184258,800,0.07,928,285.44,0.0001118315440180595,87128
-9.223552397396666,187049,810,0.07,944,286.33,0.011531267256032152,88520
-9.209932511196323,190049,820,0.07,961,286.33,0.00011100156098109437,90024
-9.245999948207492,193049,830,0.07,977,286.33,0.022914012629371427,91520
-9.276943593330781,196049,840,0.07,994,286.33,0.011587644327846647,93024
-9.299566292996479,199049,850,0.07,1011,286.63,0.011481797461783572,94520
