rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss
-2.5907384534396845,435,0,0.9898862499999999,10,42.5,,
-2.7768039543406613,981,1,0.9771917499999998,20,48.05,,
-3.527937673870417,1913,2,0.9555227499999998,30,62.766666666666666,,
-3.3320687162328193,2405,3,0.9440837500000002,40,59.125,,
-3.3892425896901233,2920,3,0.9321100000000002,50,57.4,,
-3.263483305306457,3355,4,0.9219962500000001,60,54.916666666666664,,
-3.852809531480959,4601,6,0.8930267499999998,70,64.72857142857143,,
-3.7705150008292585,5207,7,0.8789372499999999,80,64.0875,,
-4.691483376242924,6953,10,0.8383427499999998,90,76.25555555555556,,
-4.965380277038037,8055,12,0.8127212500000003,100,79.55,,
-5.78275140880225,9656,15,0.775498,110,91.21,,
-6.0275638219012855,10649,20,0.7524107500000001,120,95.68,320,0.055614921078813495
-6.009220135058226,11447,25,0.7338572499999999,130,94.34,720,0.1024378607980907
-6.268672117746286,12289,31,0.7142807500000001,140,97.84,1144,0.1584277470865345
-6.926537336080774,13760,42,0.6800800000000002,150,107.4,1872,0.09333937930932734
-7.417303416176728,14905,50,0.6534587500000003,160,114.5,2448,0.07528308703331277
-7.288089295011003,16039,58,0.6270932499999999,170,113.38,3016,0.08621153029525885
-7.48601726250361,16951,65,0.6058892499999999,180,116.44,3472,0.08391548476356547
-6.708085437382917,17692,70,0.5886610000000001,190,106.39,3840,0.04757252990384586
-6.290100467383269,18368,75,0.5729439999999999,200,102.13,4176,0.13289829064160585
-5.739001377872919,19402,82,0.5489034999999999,210,96.46,4696,0.11487540579400957
-5.797746381550802,20489,90,0.5236307499999999,220,97.4,5240,0.13670283908140846
-5.702588513261479,21174,95,0.5077045,230,96.27,5584,0.07919566021882929
-5.691123317880513,22030,101,0.48780250000000025,240,96.41,6008,0.08875222265487537
-5.0845334967069595,22821,107,0.46941175,250,89.61,6408,0.09677464308333583
-4.733690664260656,23629,113,0.4506257500000004,260,86.24,6808,0.08959815202979371
-4.67763083971054,24848,122,0.422284,270,87.09,7416,0.10878562304424122
-4.572233566962196,25676,128,0.4030330000000003,280,86.25,7832,0.07088458869839087
-4.430353806259805,26218,132,0.39043149999999993,290,84.26,8104,0.10620352096157148
-4.624217936964045,27158,139,0.3685765000000002,300,86.9,8576,0.06900010694516823
-4.669146072425657,28268,147,0.342769,310,87.66,9128,0.07420300703961402
-4.508245935418177,29094,154,0.32356450000000003,320,85.05,9544,0.07279302040114999
-4.613810865105438,30071,161,0.30084924999999996,330,87.97,10032,0.07885076996171847
-4.510344877356473,30854,167,0.28264449999999997,340,87.24,10424,0.10349104588385671
-4.618740241314353,31893,175,0.25848775000000035,350,89.72,10944,0.16148518002592027
-4.930678752852031,33276,185,0.22633300000000023,360,95.47,11632,0.08151868137065321
-5.078958522929801,34659,195,0.19417825000000022,370,97.11,12328,0.09343201876617968
-5.42912370145891,36154,207,0.15941950000000027,380,103.78,13072,0.06646569480653852
-6.064065419869104,37977,221,0.11703475000000019,390,116.59,13984,0.15149749477859586
-6.47863659414926,39876,234,0.07288300000000014,400,126.18,14936,0.08218702470185235
-6.718563058008604,41524,247,0.07,410,131.56,15760,0.07275623502209783
-7.191266893243229,43413,262,0.07,420,142.19,16704,0.08843340713065118
-7.355797624314277,44752,272,0.07,430,145.81,17368,0.11435634701047093
-7.553948333770294,45990,282,0.07,440,150.36,17992,0.06758585094939917
-8.003889678024253,47950,297,0.07,450,159.57,18968,0.08097905071917921
-8.066341494344917,49468,308,0.07,460,160.92,19728,0.07287866924889386
-7.956432562170244,50580,317,0.07,470,158.21,20288,0.03821279248222709
-7.669266126416264,51519,324,0.07,480,152.65,20752,0.061760916432831436
-6.973421343201292,51998,328,0.07,490,139.21,20992,0.08933454984799027
-6.366691226832147,52675,333,0.07,500,126.99,21336,0.06450653402134776
-6.040895074996813,53724,342,0.07,510,121.0,21856,0.08473366871476173
-5.660772426166456,54901,351,0.07,520,113.88,22448,0.0752773538697511
-5.529515759320188,55543,357,0.07,530,106.91,22768,0.11953834642190486
-5.107829046953188,55938,360,0.07,540,98.48,22968,0.15503294114023447
-4.465883511612604,56636,365,0.07,550,85.86,23312,0.079395632725209
-4.079440686501813,57453,372,0.07,560,78.85,23720,0.055493095074780285
-3.8936469637564124,58311,379,0.07,570,76.31,24152,0.13169420673511922
-3.8154996868155338,59152,386,0.07,580,75.33,24568,0.09257921448443085
-4.193109150853282,60388,396,0.07,590,82.9,25192,0.09481595596298575
-4.412912296254629,61441,404,0.07,600,86.66,25720,0.11327645479468629
-4.620905091974027,62764,415,0.07,610,89.4,26376,0.11561782343778759
-4.556264182676856,63688,422,0.07,620,86.87,26840,0.0871359440498054
-4.461219599386046,64648,430,0.07,630,90.05,27320,0.10858497454319149
