rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss
9.655777610422852,0.9615677500000002,10,164.3,1653,1,,
9.043556072684268,0.9275529999999998,20,154.8,3116,3,,
8.739616503666173,0.8938404999999999,30,151.2,4566,5,,
7.8772243218987885,0.8728457500000002,40,135.725,5469,6,,
7.898093293355215,0.8409235000000002,50,135.84,6842,8,,
7.255901891748353,0.82457875,60,124.75,7545,9,,
6.959677436980854,0.802747,70,120.2,8484,10,,
6.840569813879219,0.7789389999999999,80,117.85,9508,11,,
6.394976363073346,0.767221,90,110.24444444444444,10012,12,,
6.012480689477778,0.75617725,100,103.87,10487,15,240,0.0955382075117086
5.58403607950703,0.7328110000000003,110,97.39,11492,20,744,0.06691343722923193
5.013924037870764,0.7171637499999999,120,89.49,12165,23,1080,0.06682911269672331
4.356191868420894,0.7079567500000001,130,78.95,12561,25,1280,0.10492598451673985
4.2165351027463265,0.6867760000000002,140,79.03,13472,30,1728,0.10519310650852276
3.559125081565248,0.6787315,150,68.76,13818,31,1904,0.11554246977902949
3.3544758063772337,0.6674087499999997,160,66.6,14305,34,2152,0.0956606894324068
3.1323154998281284,0.6491807500000001,170,65.05,15089,38,2544,0.09569252024812158
2.7836354562769805,0.63451,180,61.12,15720,41,2856,0.08658508282678667
3.09117883800697,0.6033317500000002,190,69.49,17061,48,3528,0.08650626728194766
3.168105034209075,0.5854292500000001,200,72.44,17831,52,3912,0.06844624696532264
2.9387895536769735,0.5695960000000002,210,69.2,18512,56,4248,0.06861508268048055
3.0318642806996894,0.5494150000000002,220,71.15,19380,60,4688,0.09871755295898765
3.3294349718557394,0.5248165,230,77.77,20438,66,5216,0.09053377574309707
3.3300712834915163,0.49966,240,79.48,21520,72,5752,0.1554888302925974
3.584889710307684,0.4769215000000001,250,85.8,22498,77,6248,0.12093182175885886
3.6444132632950588,0.46183224999999994,260,87.42,23147,81,6568,0.13075252890121192
3.6295693545296386,0.44513875,270,86.76,23865,85,6928,0.11243952705990523
3.7979676682857115,0.42086575000000004,280,90.89,24909,90,7448,0.12254166160710156
3.505587390858695,0.4017077499999999,290,85.72,25733,95,7864,0.11478479229845107
3.5149083392011455,0.38027124999999995,300,87.24,26655,100,8320,0.17349586985073984
3.4557357441159264,0.36490299999999987,310,87.04,27316,104,8656,0.10729980620089918
3.519022706025502,0.33849099999999976,320,89.72,28452,110,9224,0.11166996939573437
3.3560216658170123,0.32065825000000014,330,86.81,29219,115,9608,0.18273935501929373
3.1983091407444233,0.3062432500000002,340,82.19,29839,118,9912,0.14915138483047485
3.1130516137035573,0.2850392500000003,350,81.53,30751,123,10368,0.1625316038262099
3.1032922287491975,0.2686480000000002,360,82.09,31456,127,10720,0.14375766518060118
3.031105632290689,0.25569775000000006,370,80.48,32013,131,11000,0.1165596175706014
3.09509467598107,0.22556575000000034,380,83.0,33309,138,11648,0.11595160374417901
3.028113190900307,0.21117400000000008,390,80.95,33928,142,11960,0.10802523826714605
3.0861671188486453,0.18494800000000022,400,83.01,35056,148,12520,0.11774472869001329
3.2492884706605945,0.15716425000000034,410,88.35,36251,155,13120,0.15084665932226926
3.336691227101262,0.12117325000000001,420,92.47,37799,163,13896,0.06862685387022793
3.547650344791849,0.0866935000000002,430,99.63,39282,171,14640,0.10231772856786847
3.8133805200980877,0.07,440,108.35,40774,179,15384,0.14436154544819146
3.96165052328022,0.07,450,112.77,42128,186,16056,0.14858648274093866
4.205433706920727,0.07,460,120.88,43644,195,16816,0.14702853350900114
4.407795197384018,0.07,470,127.51,44864,201,17424,0.11478298937436193
4.360379825662028,0.07,480,128.34,46243,209,18120,0.15290016087237746
4.420047837149695,0.07,490,131.18,47146,214,18568,0.0713430552277714
4.2457502237215525,0.07,500,126.84,47840,217,18912,0.10473245044704527
4.254442545425897,0.07,510,128.41,49192,225,19592,0.06996653671376407
4.171790345620152,0.07,520,126.75,50574,232,20280,0.19060720317065716
3.856606803501777,0.07,530,117.73,51155,236,20576,0.10672582930419594
3.957897502839517,0.07,540,122.45,53119,247,21552,0.15259570279158652
3.855059557002301,0.07,550,120.54,54282,253,22136,0.10701542999595404
3.869089168009803,0.07,560,121.65,55909,262,22952,0.15569383255206048
3.9063305318310766,0.07,570,124.66,57430,270,23712,0.1536392318084836
4.014227292720556,0.07,580,128.91,59234,281,24616,0.1330356460530311
4.089154743171929,0.07,590,131.93,60439,287,25216,0.08603996009333059
4.442951182373564,0.07,600,144.21,62361,298,26176,0.07246280205436051
4.339131696096397,0.07,610,140.86,63378,304,26688,0.13609652209561318
4.338047763683669,0.07,620,140.96,64770,312,27384,0.08377765014301986
4.712990467827608,0.07,630,153.57,66612,322,28304,0.08525309059768915
4.659102206477147,0.07,640,152.53,68472,332,29232,0.08402385358931497
4.720385967107763,0.07,650,154.78,69860,340,29928,0.1597734505776316
4.6803256629837815,0.07,660,154.67,71476,349,30736,0.13297750893980265
4.797577230512755,0.07,670,159.45,73475,360,31736,0.0714715602225624
4.47275191576975,0.07,680,149.02,74236,364,32112,0.08387583517469466
4.596877908839284,0.07,690,154.3,75969,374,32984,0.058969789068214595
4.486690560638634,0.07,700,152.41,77702,384,33848,0.0454067392856814
4.607554465901554,0.07,710,158.2,79298,393,34648,0.09439324715640396
4.6546790227343955,0.07,720,161.55,81025,403,35512,0.14475155610125512
4.662587641830661,0.07,730,163.54,83066,415,36528,0.09744422533549368
4.661514170384173,0.07,740,165.72,85144,428,37568,0.01834485837025568
