rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
17.64095433364427,0.07,744,248.1,0.028628360319999047,2491,10,10
12.563502540247175,0.07,1584,207.3,0.01906445130589418,4166,20,20
9.693840196880611,0.07,2144,175.23333333333332,0.04749825603721547,5287,30,28
7.868313282116629,0.07,2624,155.05,0.0859851292843814,6242,40,33
6.484313096709818,0.07,2760,129.36,0.05725591591181001,6518,50,35
5.822657317580972,0.07,3016,116.21666666666667,0.04800405407877406,7033,60,38
5.145753405622825,0.07,3152,103.27142857142857,0.06699288505478762,7299,70,40
4.599860848343355,0.07,3264,93.0875,0.12370769091648981,7527,80,41
4.177253541631569,0.07,3376,85.21111111111111,0.08588908668025397,7759,90,43
3.8654031587506923,0.07,3584,80.7,0.11432420213532168,8170,100,45
2.222071867962539,0.07,3744,58.98,0.0762451046903152,8489,110,47
1.5582090584986787,0.07,3880,45.0,0.13322044973028824,8766,120,49
1.2393924324312766,0.07,4000,36.13,0.0855400839500362,9000,130,51
1.12232097570926,0.07,4168,29.93,0.14207789453212172,9335,140,53
1.1107960118234308,0.07,4280,29.48,0.14239826762059238,9566,150,54
0.9552363359122329,0.07,4416,26.98,0.15153741464018822,9831,160,56
