rollout/ep_rew_mean,rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss
-5.192037911656829,0.07,490,176.03,61863,285,25928,0.04872674570651725
-4.9779903968985675,0.07,500,170.47,63463,293,26728,0.0607954734005034
-4.798718030286405,0.07,510,165.59,64793,300,27392,0.030424775497522205
-4.93949476465362,0.07,520,172.07,66512,309,28248,0.05466052549309097
-5.010394723205324,0.07,530,175.78,68239,318,29112,0.02257931011263281
-4.642527547488712,0.07,540,163.93,69295,324,29640,0.04329512076219544
-4.532476825427602,0.07,550,160.88,70499,330,30248,0.03069892106577754
-4.562543768251538,0.07,560,162.55,72292,339,31144,0.04805990168824792
-4.4240520501741285,0.07,570,158.0,73731,347,31864,0.07313447474734858
-4.221254004588442,0.07,580,150.93,75300,355,32648,0.029285829921718687
-4.156350193755114,0.07,590,148.67,76830,363,33408,0.04350891866488382
-4.099741143939003,0.07,600,146.92,78255,370,34120,0.024277048010844737
-3.9321839672035,0.07,610,140.39,78932,374,34464,0.07665948933572508
-3.823838483401862,0.07,620,137.05,80317,381,35152,0.04434076318284497
-3.7001737501322953,0.07,630,133.28,81667,388,35832,0.056485256645828485
-3.838371901632283,0.07,640,139.15,83310,397,36648,0.07752945984248072
-3.727041414394762,0.07,650,135.19,84118,401,37056,0.030351602006703615
-3.611869573715605,0.07,660,132.75,85667,409,37832,0.030045286286622286
-3.5788714714552357,0.07,670,132.51,87082,417,38536,0.030420222115935758
-3.3774609079702076,0.07,680,125.7,87970,421,38984,0.044710052374284714
-3.1496180648394017,0.07,690,117.56,88686,425,39336,0.046547674806788564
-3.105701025465243,0.07,700,116.66,90021,432,40008,0.05212645625579171
-3.1906493989049256,0.07,710,121.18,91150,438,40568,0.04639692779164761
-3.1370482228370933,0.07,720,119.56,92373,444,41184,0.0384008385008201
-3.1069494308174526,0.07,730,118.91,93658,451,41824,0.030971992324339226
-2.9320372651144946,0.07,740,112.76,94686,457,42336,0.04016454450902529
-2.930852249168457,0.07,750,113.17,95535,461,42760,0.07339130053878762
-2.870100849231989,0.07,760,110.68,96835,468,43416,0.07255407547927462
-2.8176541438535296,0.07,770,108.76,98058,474,44024,0.045046980754705146
-2.883324157238199,0.07,780,111.65,99235,480,44616,0.031689842959167436
-2.943450794754492,0.07,790,114.75,100261,486,45128,0.05947551678400487
-3.0373102599153885,0.07,800,118.53,101974,495,45984,0.0603109240764752
-3.0512642488868265,0.07,810,119.14,103164,501,46576,0.04554085084237158
-2.952528744651798,0.07,820,115.76,104049,506,47024,0.011384711251594126
-2.8592365405849525,0.07,830,111.73,104931,510,47464,0.050956419319845736
-2.9267122981929945,0.07,840,114.77,106263,517,48128,0.052801793717662804
-2.8578487914759596,0.07,850,112.51,106886,520,48440,0.06987337250029668
-2.7341704245077385,0.07,860,107.85,107720,525,48856,0.08264526695711538
