time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/exploration_rate,train/n_updates,train/loss
33432,42.27,450,1.9060531125478324,139,0.22270600000000018,11712,0.16979280393570662
33788,42.14,460,1.895169515431909,141,0.2144290000000001,11888,0.2092338716611266
34352,42.99,470,1.910222423412639,144,0.20131599999999994,12168,0.14716878021135926
34828,42.88,480,1.8837691609663667,147,0.19024900000000022,12408,0.24408595636487007
35442,43.93,490,1.9131035786529467,150,0.17597350000000023,12720,0.23671198496595025
36147,48.1,500,2.081285327221081,155,0.15958225000000015,13072,0.25658963806927204
36678,48.71,510,2.1132753346460786,158,0.14723650000000033,13336,0.22220127657055855
37278,50.64,520,2.19750294216537,161,0.13328649999999986,13632,0.18548172735609114
37805,51.53,530,2.2240878381741838,164,0.12103375000000016,13896,0.174755176063627
38341,52.44,540,2.2476858361530514,167,0.10857175000000008,14168,0.1802129251882434
38885,53.53,550,2.259984466753387,170,0.09592375000000031,14440,0.12819902040064335
39434,55.46,560,2.2945542044990574,174,0.08315949999999972,14712,0.19598537683486938
39921,54.69,570,2.2419503290891174,177,0.07183675,14960,0.1797665695194155
40387,54.59,580,2.2320202908460187,179,0.07,15192,0.15030525578185916
41007,54.65,590,2.1851119174014726,183,0.07,15496,0.19780192989856005
41666,54.19,600,2.118646329493307,187,0.07,15832,0.22417241288349032
42062,52.84,610,2.0329745354229662,189,0.07,16024,0.17622502893209457
42751,53.73,620,2.009510774959877,193,0.07,16368,0.29944296926259995
43254,53.49,630,1.957307927769763,196,0.07,16624,0.2633276488631964
43538,50.97,640,1.849757973486988,197,0.07,16768,0.16428462718613446
43941,49.56,650,1.770499781070833,199,0.07,16968,0.2301884675398469
44200,46.66,660,1.6683974105905417,200,0.07,17096,0.18165143206715584
44573,45.52,670,1.6177826038866379,203,0.07,17280,0.265167816542089
44874,43.87,680,1.5264835075059302,205,0.07,17432,0.23550772294402122
45368,42.61,690,1.459141863644271,207,0.07,17680,0.18677335791289806
45811,40.45,700,1.3629171899704111,210,0.07,17904,0.17678637290373445
46078,39.16,710,1.3125053493673646,211,0.07,18032,0.20657373266294599
46346,34.95,720,1.1826541430203412,213,0.07,18168,0.2390158656053245
46577,32.23,730,1.109073657400657,214,0.07,18288,0.24582144292071462
46838,32.0,740,1.1028400874991613,216,0.07,18416,0.2115587256848812
47077,30.36,750,1.0453003644069478,217,0.07,18536,0.28166140243411064
47459,31.59,760,1.0764641479468446,220,0.07,18728,0.228757013566792
47856,31.83,770,1.0710178199914449,222,0.07,18920,0.2793976874090731
48072,30.98,780,1.0543823829365662,223,0.07,19032,0.2525083124637604
48497,30.29,790,1.0313452493672808,226,0.07,19248,0.265623239800334
48879,29.68,800,1.025387425796394,228,0.07,19432,0.20383433671668172
49163,29.85,810,1.0239924218284226,230,0.07,19576,0.2536416882649064
49681,32.35,820,1.099076775930739,233,0.07,19840,0.24441182054579258
50044,33.67,830,1.1306331377543175,235,0.07,20016,0.3097426537424326
50420,34.82,840,1.1502326606576543,237,0.07,20208,0.24636781960725784
50810,36.33,850,1.1920797775062892,240,0.07,20400,0.20214963564649224
51234,36.75,860,1.2156323568702667,242,0.07,20616,0.32614805549383163
51572,36.16,870,1.1825263105792316,244,0.07,20784,0.27640876546502113
51855,36.83,880,1.2137144196827157,246,0.07,20920,0.24958228692412376
52205,36.08,890,1.1978096618204683,248,0.07,21096,0.2072450676932931
52608,36.29,900,1.1880945671565462,250,0.07,21296,0.2994004967622459
53253,39.9,910,1.2959346892483745,254,0.07,21624,0.19532505748793483
53662,38.81,920,1.267277770477236,256,0.07,21824,0.26689392048865557
54133,39.89,930,1.2886803800593425,259,0.07,22064,0.20886259945109487
54513,39.93,940,1.283985589313846,261,0.07,22256,0.26292219664901495
54806,38.96,950,1.262709402340001,262,0.07,22400,0.235415481030941
