rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/loss,train/n_updates
0.9721,10,43,299.0,3000,-2.9899999999999802,,
0.9441999999999999,20,86,299.0,6000,-2.9899999999999802,,
0.9162999999999999,30,129,299.0,9000,-2.9899999999999802,,
0.8883999999999999,40,176,299.0,12000,-2.9899999999999802,2.2198696427722098e-06,992
0.8605,50,225,299.0,15000,-2.9899999999999802,7.740333813899269e-07,2496
0.8326,60,273,299.0,18000,-2.9899999999999802,3.286877223729334e-07,3992
0.8047000000000001,70,321,299.0,21000,-2.9899999999999802,3.3358450934883876e-07,5496
0.7768,80,370,299.0,24000,-2.9899999999999802,3.342117196325489e-07,6992
0.7489,90,419,299.0,27000,-2.9899999999999793,4.118602063840626e-07,8496
0.721,100,468,299.0,30000,-2.989999999999979,5.669864542312553e-07,9992
0.6930999999999999,110,517,299.0,33000,-2.989999999999979,6.925562061610435e-07,11496
0.6652000000000001,120,566,299.0,36000,-2.989999999999979,6.825447691483078e-07,12992
0.6373,130,616,299.0,39000,-2.989999999999979,9.609534288301802e-07,14496
0.6094000000000002,140,665,299.0,42000,-2.989999999999979,7.497807601453133e-07,15992
0.5815000000000001,150,715,299.0,45000,-2.989999999999979,1.1061183187166534e-06,17496
0.5536000000000001,160,765,299.0,48000,-2.989999999999979,7.965647128571618e-07,18992
0.5257000000000001,170,815,299.0,51000,-2.989999999999979,8.048440207630847e-07,20496
0.4978,180,865,299.0,54000,-2.989999999999979,7.456908122094319e-07,21992
0.4699000000000002,190,916,299.0,57000,-2.989999999999979,1.7963002321152999e-06,23496
0.44199999999999995,200,966,299.0,60000,-2.989999999999979,1.0527331681942087e-06,24992
0.41410000000000013,210,1016,299.0,63000,-2.989999999999979,9.740861557361313e-07,26496
0.3861999999999999,220,1067,299.0,66000,-2.989999999999979,6.781438806058304e-07,27992
0.35830000000000006,230,1118,299.0,69000,-2.989999999999979,1.7783489738576463e-06,29496
0.3304,240,1168,299.0,72000,-2.989999999999979,1.0639039302873243e-06,30992
0.3025,250,1220,299.0,75000,-2.989999999999979,7.603929716992752e-07,32496
0.27460000000000007,260,1270,299.0,78000,-2.989999999999979,8.094028416394394e-07,33992
0.24670000000000003,270,1322,299.0,81000,-2.989999999999979,8.394319337412526e-07,35496
0.21880000000000022,280,1373,299.0,84000,-2.989999999999979,1.0853153042944541e-06,36992
0.19089999999999996,290,1424,299.0,87000,-2.989999999999979,8.064282397413081e-07,38496
0.16300000000000014,300,1476,299.0,90000,-2.989999999999979,8.601689138743041e-07,39992
0.1350999999999999,310,1527,299.0,93000,-2.989999999999979,7.668266519544886e-07,41496
0.10720000000000007,320,1579,299.0,96000,-2.989999999999979,8.421447290629658e-07,42992
0.07930000000000004,330,1631,299.0,99000,-2.989999999999979,7.28550190842725e-07,44496
0.07,340,1683,299.0,102000,-2.989999999999979,6.855806660155395e-07,45992
0.07,350,1735,299.0,105000,-2.989999999999979,6.159866750010679e-07,47496
0.07,360,1788,299.0,108000,-2.989999999999979,5.019004376549674e-07,48992
0.07,370,1840,299.0,111000,-2.989999999999979,4.930521733115256e-07,50496
0.07,380,1893,299.0,114000,-2.989999999999979,5.966142282431974e-07,51992
0.07,390,1945,299.0,117000,-2.989999999999979,1.0418906057907407e-06,53496
0.07,400,1997,299.0,120000,-2.989999999999979,5.935460762884759e-07,54992
0.07,410,2049,299.0,123000,-2.989999999999979,5.771747737526312e-07,56496
0.07,420,2101,299.0,126000,-2.989999999999979,5.265223990136292e-07,57992
0.07,430,2153,299.0,129000,-2.989999999999979,4.823388231045556e-07,59496
0.07,440,2206,299.0,132000,-2.989999999999979,6.128528688975621e-07,60992
0.07,450,2258,299.0,135000,-2.989999999999979,4.3937127003346177e-07,62496
0.07,460,2310,299.0,138000,-2.989999999999979,5.518037013985122e-07,63992
0.07,470,2362,299.0,141000,-2.989999999999979,4.3003836225352643e-07,65496
0.07,480,2414,299.0,144000,-2.989999999999979,5.031354781692698e-07,66992
0.07,490,2467,299.0,147000,-2.989999999999979,4.7389320201318696e-07,68496
0.07,500,2519,299.0,150000,-2.989999999999979,6.44402852856274e-07,69992
0.07,510,2571,299.0,153000,-2.989999999999979,6.73317629207304e-07,71496
0.07,520,2624,299.0,156000,-2.989999999999979,5.347922886755896e-07,72992
0.07,530,2676,299.0,159000,-2.989999999999979,5.956456163858093e-07,74496
0.07,540,2728,299.0,162000,-2.989999999999979,5.048043796307411e-07,75992
0.07,550,2780,299.0,165000,-2.989999999999979,6.242511538800954e-07,77496
0.07,560,2833,299.0,168000,-2.989999999999979,4.930743102704582e-07,78992
0.07,570,2885,299.0,171000,-2.989999999999979,4.176323038507235e-07,80496
0.07,580,2937,299.0,174000,-2.989999999999979,5.028775760251847e-07,81992
0.07,590,2990,299.0,177000,-2.989999999999979,6.612545178086293e-07,83496
0.07,600,3042,299.0,180000,-2.989999999999979,5.283289823410087e-07,84992
0.07,610,3094,299.0,183000,-2.989999999999979,5.685618660322689e-07,86496
0.07,620,3146,299.0,186000,-2.989999999999979,4.781592508606991e-07,87992
0.07,630,3198,299.0,189000,-2.989999999999979,5.289943310060607e-07,89496
0.07,640,3250,299.0,192000,-2.989999999999979,5.524797650480195e-07,90992
0.07,650,3302,299.0,195000,-2.989999999999979,6.215531911379912e-07,92496
0.07,660,3355,299.0,198000,-2.989999999999979,6.251700170878394e-07,93992
