rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates
103.23,-10.322999999999995,320,0.26676475000000033,184,31537,0.10370158468140289,10768
101.37,-10.136999999999993,330,0.24179425000000032,193,32611,0.12576139403972775,11304
102.29,-10.228999999999994,340,0.22419400000000023,199,33368,0.09204981738002971,11680
102.24,-10.223999999999995,350,0.1985492499999999,208,34471,0.10129510800470598,12232
102.06,-10.205999999999996,360,0.17646174999999986,216,35421,0.13709745649248362,12704
98.86,-9.886,370,0.15904750000000034,222,36170,0.12894393503665924,13080
103.51,-10.350999999999997,380,0.1268229999999998,234,37556,0.19301910343347117,13776
103.81,-10.380999999999997,390,0.09794650000000016,244,38798,0.09513398050330579,14392
103.67,-10.366999999999997,400,0.07295275000000001,254,39873,0.12049459607806057,14936
105.36,-10.536000000000003,410,0.07,263,40991,0.07428095140494406,15488
98.21,-9.821000000000002,420,0.07,267,41458,0.12049209850374609,15728
97.0,-9.7,430,0.07,275,42411,0.1303174420609139,16200
94.53,-9.453000000000001,440,0.07,280,42921,0.051195715146604925,16456
96.11,-9.611000000000004,450,0.07,291,44182,0.18335099122487009,17088
96.31,-9.631000000000004,460,0.07,299,45152,0.12449518131325021,17568
100.53,-10.053000000000003,470,0.07,308,46323,0.15728839806979522,18160
92.52,-9.252000000000002,480,0.07,313,46908,0.14689404552336782,18448
86.34,-8.634000000000002,490,0.07,319,47532,0.08702125929994509,18760
83.18,-8.318000000000001,500,0.07,325,48291,0.14646874641766772,19144
84.46,-8.446,510,0.07,336,49537,0.07465391489677131,19768
87.48,-8.748000000000001,520,0.07,343,50306,0.13793688674923033,20152
88.22,-8.822000000000003,530,0.07,352,51333,0.13657469785539433,20664
93.1,-9.310000000000002,540,0.07,360,52331,0.1342741900589317,21160
88.29,-8.828999999999999,550,0.07,367,53111,0.07424242596607655,21552
90.36,-9.036,560,0.07,377,54288,0.13539114367449656,22136
85.96,-8.596,570,0.07,383,55019,0.08864643407287076,22504
84.87,-8.487,580,0.07,387,55495,0.15379981556907296,22744
88.3,-8.829999999999998,590,0.07,395,56462,0.11524626414757222,23224
88.09,-8.809,600,0.07,401,57200,0.16330097243189812,23592
81.53,-8.152999999999997,610,0.07,406,57790,0.10312708420678973,23888
78.85,-7.884999999999996,620,0.07,411,58291,0.12625951186055318,24144
73.53,-7.352999999999996,630,0.07,415,58786,0.14635730162262917,24392
69.24,-6.923999999999996,640,0.07,420,59355,0.12858392833732069,24672
69.3,-6.929999999999994,650,0.07,426,60141,0.1273341549676843,25064
65.79,-6.578999999999996,660,0.07,434,60967,0.126505128107965,25480
63.81,-6.380999999999997,670,0.07,438,61500,0.12444289098493755,25744
65.71,-6.570999999999995,680,0.07,444,62166,0.11582749371882528,26080
66.4,-6.639999999999997,690,0.07,453,63202,0.15222587710013613,26600
67.48,-6.747999999999999,700,0.07,460,64048,0.07000137466820888,27016
70.57,-7.057000000000001,710,0.07,468,64947,0.16451667115325108,27472
78.07,-7.807000000000004,720,0.07,479,66198,0.1426202764851041,28096
79.44,-7.944000000000002,730,0.07,485,66830,0.15390413196291775,28408
79.42,-7.942000000000003,740,0.07,490,67397,0.17053111229324713,28696
80.15,-8.015000000000008,750,0.07,497,68256,0.13021278684027493,29120
83.01,-8.301000000000004,760,0.07,507,69368,0.11815180408302695,29680
92.13,-9.213000000000005,770,0.07,519,70813,0.19511518499348313,30400
95.65,-9.565000000000005,780,0.07,528,71831,0.13032964890589938,30912
92.44,-9.244000000000005,790,0.07,534,72546,0.11032479960704222,31272
92.55,-9.255000000000004,800,0.07,541,73403,0.09438807237893343,31696
96.39,-9.639000000000008,810,0.07,552,74686,0.18824751675128937,32336
97.69,-9.769000000000007,820,0.07,564,76067,0.1076444347272627,33032
100.41,-10.041000000000007,830,0.07,572,76971,0.16764854901703075,33480
105.97,-10.59700000000001,840,0.07,582,78094,0.1552347932010889,34040
109.62,-10.962000000000012,850,0.07,592,79318,0.1291797510930337,34656
104.31,-10.43100000000001,860,0.07,597,79899,0.12175532220862806,34944
98.03,-9.803000000000011,870,0.07,605,80716,0.1211323500610888,35352
99.12,-9.912000000000011,880,0.07,614,81843,0.11951206607045606,35920
104.51,-10.451000000000011,890,0.07,625,83097,0.17074025329202414,36544
106.6,-10.66000000000001,900,0.07,634,84163,0.12276489712530747,37080
101.8,-10.180000000000009,910,0.07,641,84966,0.18642858148086816,37480
101.29,-10.129000000000005,920,0.07,651,86296,0.10741063579916954,38144
103.63,-10.363000000000008,930,0.07,660,87434,0.17453214689157903,38712
103.05,-10.305000000000005,940,0.07,670,88499,0.11238893045810983,39248
104.18,-10.418000000000006,950,0.07,681,89836,0.12324112077476457,39912
107.27,-10.727000000000007,960,0.07,688,90726,0.11422713514184579,40360
110.11,-11.01100000000001,970,0.07,697,91827,0.16766919038491324,40912
107.67,-10.767000000000007,980,0.07,705,92710,0.12060850957641378,41352
103.47,-10.34700000000001,990,0.07,712,93544,0.08061189105501398,41768
105.15,-10.51500000000001,1000,0.07,723,94778,0.1735064783715643,42384
107.93,-10.793000000000008,1010,0.07,731,95859,0.1480441396124661,42928
107.14,-10.714000000000013,1020,0.07,742,97110,0.13721431826706976,43552
108.04,-10.804000000000007,1030,0.07,753,98338,0.1918184621608816,44168
101.67,-10.167000000000007,1040,0.07,756,98766,0.09596745256567374,44376
93.64,-9.364000000000003,1050,0.07,761,99300,0.1491268863901496,44648
94.81,-9.481000000000005,1060,0.07,770,100307,0.13998990645632148,45152
89.39,-8.939000000000002,1070,0.07,775,100866,0.14945931802503765,45432
89.2,-8.920000000000002,1080,0.07,783,101730,0.11432787933154032,45864
87.37,-8.737000000000002,1090,0.07,788,102381,0.1390478954417631,46184
85.42,-8.542000000000003,1100,0.07,797,103420,0.14225014089606702,46704
82.12,-8.212000000000002,1110,0.07,803,104171,0.19491646997630596,47080
78.51,-7.851000000000002,1120,0.07,811,105061,0.10409994184738025,47528
72.23,-7.223000000000001,1130,0.07,816,105661,0.19083707814570516,47824
75.34,-7.534,1140,0.07,822,106400,0.11236692109378055,48192
77.8,-7.780000000000001,1150,0.07,829,107180,0.2128303423523903,48584
78.94,-7.894000000000002,1160,0.07,839,108301,0.22287111764308065,49144
77.08,-7.708000000000002,1170,0.07,842,108674,0.1465780273429118,49336
76.86,-7.686,1180,0.07,849,109516,0.10561163816601038,49752
80.45,-8.044999999999998,1190,0.07,858,110526,0.10583820700412616,50256
77.85,-7.7849999999999975,1200,0.07,865,111305,0.14819057669956237,50648
79.3,-7.93,1210,0.07,873,112201,0.10151565200067125,51096
76.96,-7.695999999999998,1220,0.07,879,112857,0.11205441900528967,51424
81.68,-8.168,1230,0.07,888,113929,0.08360237145097926,51960
84.65,-8.465000000000002,1240,0.07,897,114965,0.2212419641437009,52480
90.08,-9.008000000000004,1250,0.07,907,116288,0.191568024456501,53136
84.4,-8.440000000000001,1260,0.07,912,116841,0.2320418106392026,53416
88.52,-8.851999999999999,1270,0.07,920,117626,0.12689881667029113,53808
90.03,-9.003,1280,0.07,928,118619,0.1391722178668715,54304
84.97,-8.497,1290,0.07,933,119123,0.20998584770131856,54560
84.21,-8.421,1300,0.07,939,119826,0.1293134883744642,54912
81.57,-8.157,1310,0.07,944,120458,0.07680478802649304,55224
80.76,-8.075999999999999,1320,0.07,949,121033,0.17610325443092734,55512
75.89,-7.588999999999998,1330,0.07,954,121618,0.1353426534915343,55808
75.1,-7.509999999999996,1340,0.07,962,122575,0.08770271117100492,56280
71.21,-7.120999999999996,1350,0.07,970,123509,0.18255347246304154,56752
74.51,-7.450999999999996,1360,0.07,977,124392,0.16960603091865778,57192
72.6,-7.259999999999995,1370,0.07,982,124986,0.22866695982520469,57488
68.56,-6.855999999999995,1380,0.07,987,125575,0.11971707502380013,57784
74.63,-7.462999999999994,1390,0.07,996,126686,0.16729124879930168,58336
75.16,-7.515999999999995,1400,0.07,1003,127442,0.16136429912876338,58720
77.87,-7.7869999999999955,1410,0.07,1011,128345,0.15208961820462719,59168
78.49,-7.848999999999994,1420,0.07,1016,128982,0.1890125806676224,59488
80.17,-8.016999999999994,1430,0.07,1023,129735,0.17754315049387515,59864
77.91,-7.790999999999992,1440,0.07,1029,130466,0.16618549905251712,60232
73.2,-7.3199999999999905,1450,0.07,1033,130929,0.19811894313897938,60464
