rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates
0.9903744999999999,10,0,2.318966706206499,414,40.4,,
0.9838179999999999,20,0,1.8685134964068126,696,33.8,,
0.9664037499999998,30,1,2.7276916636565938,1445,47.166666666666664,,
0.9552670000000002,40,2,2.7250728729946596,1924,47.1,,
0.9459670000000002,50,2,2.590115383998774,2324,45.48,,
0.9334352500000002,60,3,2.657197254393017,2863,46.71666666666667,,
0.9138587499999999,70,4,3.040635167013436,3705,51.92857142857143,,
0.9042565,80,4,2.9334801280109883,4118,50.475,,
0.8738455,90,6,3.467595813296136,5426,59.28888888888889,,
0.86391775,100,6,3.3529944879069897,5853,57.53,,
0.85136275,110,7,3.429784765485416,6393,58.79,,
0.8356225,120,8,3.653638838399416,7070,62.74,,
0.8252762499999999,130,9,3.464619459598438,7515,59.7,,
0.8129305000000001,140,10,3.466292383108284,8046,60.22,,
0.8008404999999998,150,10,3.549751671857517,8566,61.42,,
0.7944467499999999,160,11,3.3996357684753487,8841,58.78,,
0.7816592500000001,170,12,3.193118088418816,9391,55.86,,
0.7736845000000001,180,12,3.1354511211410396,9734,55.16,,
0.7570840000000003,190,15,2.810257391630043,10448,49.22,0.14113863599050092,216
0.7302302499999999,200,20,3.2993205508490626,11603,56.5,0.11311039180873195,800
0.7103980000000001,210,25,3.4148893821213737,12456,59.63,0.10386941979231779,1224
0.69400675,220,28,3.4504674852903836,13161,59.91,0.14175533317029476,1576
0.6611777500000002,230,35,3.9990779161346284,14573,69.58,0.18360514406231232,2280
0.6434845,240,39,4.107535740069523,15334,71.88,0.16485328413546085,2664
0.6259772499999998,250,43,4.190182403749793,16087,74.21,0.15702418168075383,3040
0.6125619999999998,260,46,4.32933606728904,16664,77.23,0.11058390032849275,3328
0.5843365000000003,270,53,4.694899316033384,17878,83.87,0.19270603521727026,3936
0.5562505,280,59,5.19663496007631,19086,92.52,0.13547096657566726,4536
0.5367437500000002,290,63,5.206480873611005,19925,93.77,0.09778487449511886,4960
0.5157025000000002,300,68,5.019877795547103,20830,91.27,0.1732851981651038,5408
0.4770377499999999,310,77,5.559214671557719,22493,99.37,0.19993335590697825,6240
0.44916100000000003,320,84,5.844024667231405,23692,104.31,0.12468936460209079,6840
