rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.9510820000000001,10,2104,209.4,10.824630917262985,2,,
0.90511675,20,4081,203.05,10.5167525992663,4,,
0.8502235000000002,30,6442,213.73333333333332,12.054593419683737,7,,
0.7980039999999998,40,8688,216.2,12.228847095261731,10,,
0.7454822500000001,50,10947,217.94,12.311375286881978,17,472,0.01923709142829466
0.6964945000000003,60,13054,216.56666666666666,12.044635959223744,27,1520,6.157433062980999e-05
0.6462745000000002,70,15214,216.34285714285716,11.490474631814703,37,2600,0.009818429818551522
0.6116087500000003,80,16705,207.8125,10.795231028467077,45,3352,0.009905693916152813
0.5609237500000002,90,18885,208.83333333333334,10.510206247963634,56,4440,0.03936324445749051
0.52000375,100,20645,205.45,10.126566016354845,65,5320,0.049721640010830015
0.47206225000000035,110,22707,205.03,9.75849042060819,76,6352,0.030157522116496693
0.4413257500000003,120,24029,198.48,9.22602644820005,83,7008,0.031193811984849162
0.39984775000000017,130,25813,192.71,8.375316682073013,92,7904,0.041604825702961534
0.3585557500000002,140,27589,188.01,7.713986567652585,102,8792,0.02127461768395733
0.31196275000000007,150,29593,185.46,7.1356818590893765,113,9792,0.01184070369345136
0.27915700000000043,160,31004,178.5,6.551922354446109,120,10496,0.05319403804605827
0.24221274999999998,170,32593,172.79,6.290127961650716,129,11296,0.03285659523680806
0.19192299999999995,180,34756,179.51,6.457704949151454,141,12376,0.04342053396976553
0.14616700000000005,190,36724,177.39,6.297973488521623,151,13360,0.01329383288975805
0.10545625000000025,200,38475,177.3,6.205251783952743,159,14232,0.013469292083755136
0.07,210,40689,178.82,6.242975830419031,171,15344,0.046397556841839105
0.07,220,42563,184.34,6.383721845602151,180,16280,0.045234412886202335
0.07,230,44347,184.34,6.316411635290852,190,17168,0.014407269423827529
0.07,240,46443,187.54,6.408769515397356,200,18216,0.036778599343961105
0.07,250,49137,194.44,6.576524405000766,215,19568,0.047540928644593805
0.07,260,51864,207.6,6.988200346569506,229,20928,0.07210793439298868
0.07,270,54514,218.21,7.278356258946352,243,22256,0.016166960878763348
0.07,280,57043,221.87,7.374307121164541,256,23520,0.05149712081765756
0.07,290,59375,225.51,7.461924111381171,268,24680,0.02860546950250864
0.07,300,61033,224.58,7.398945314859342,276,25512,0.03988608147483319
0.07,310,62405,216.16,7.080764984636309,283,26200,0.0282541083288379
0.07,320,63711,210.48,6.8843649211833755,290,26848,0.04137570460443385
0.07,330,65105,206.58,6.736753434393425,297,27552,0.051989594707265496
0.07,340,66268,197.25,6.4058261794963975,303,28128,0.016125181486131623
0.07,350,67531,182.94,5.947965404911152,309,28760,0.052501546480925754
0.07,360,68241,162.77,5.288357281170676,313,29120,0.0044014163431711495
0.07,370,69477,148.63,4.804092845847794,320,29736,0.041155641491059214
