rollout/ep_rew_mean,rollout/exploration_rate,train/n_updates,rollout/ep_len_mean,train/loss,time/total_timesteps,time/episodes,time/time_elapsed
10.378954004636906,0.16439500000000018,400,178.7,0.046990436060696084,1797,10,6
10.041067873484234,0.07,1440,192.75,0.019105946716081235,3875,20,19
8.138120844818737,0.07,1952,162.63333333333333,0.019453051696473267,4909,30,25
6.417641214284387,0.07,2128,130.375,0.0381767122016754,5255,40,27
5.378864912321952,0.07,2312,111.38,0.047559757716953754,5619,50,30
4.653064524689373,0.07,2456,97.58333333333333,0.05748971997309127,5915,60,31
4.171900679801424,0.07,2632,88.5,0.0574622487401939,6265,70,33
3.7781477268349226,0.07,2792,81.275,0.1324022173139383,6582,80,35
3.4771794458873084,0.07,2928,75.2,0.12345071844174527,6858,90,37
3.304452282203595,0.07,3136,71.78,0.038809198042145,7278,100,40
2.4049030719934423,0.07,3288,56.87,0.11369124398333952,7584,110,42
1.5421588023872197,0.07,3448,39.25,0.11302348700701259,7900,120,43
1.2642319278198686,0.07,3616,32.19,0.1589003630215302,8228,130,46
1.2388587583741693,0.07,3760,31.7,0.12198341451585293,8525,140,47
1.2189503202998895,0.07,3904,30.82,0.13087214715778828,8801,150,49
1.2627935048994139,0.07,4072,31.22,0.20289218053221703,9137,160,51
1.235289252644864,0.07,4208,30.47,0.138851370109478,9412,170,53
1.2653143355593581,0.07,4384,30.89,0.10298084700480103,9771,180,56
