time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/n_updates
61508,2240,0.07,0.6636248744580823,17.7,312,0.2566234953701496,25752
61685,2250,0.07,0.6666606855224103,17.9,313,0.22869122214615345,25840
61864,2260,0.07,0.6587436533608348,17.61,314,0.24155347794294357,25928
62049,2270,0.07,0.6450360744132422,17.56,315,0.20766068622469902,26024
62239,2280,0.07,0.653709708023162,17.84,316,0.21834742091596127,26112
62373,2290,0.07,0.6166446602748408,17.14,317,0.22851823829114437,26184
62519,2300,0.07,0.5862357402802904,16.66,317,0.2183787114918232,26256
62661,2310,0.07,0.5784829014721191,16.38,318,0.2489422932267189,26328
62867,2320,0.07,0.5691276626630709,16.43,320,0.2216755859553814,26432
63075,2330,0.07,0.5832249213614759,16.87,321,0.22052767127752304,26536
63238,2340,0.07,0.5699564691100443,16.3,322,0.2110185343772173,26616
63408,2350,0.07,0.5687537231460462,16.23,323,0.23513625003397465,26696
63560,2360,0.07,0.5452238831587337,15.96,323,0.2421298660337925,26776
63734,2370,0.07,0.5488468623827796,15.85,324,0.213042464107275,26864
63916,2380,0.07,0.5569796781719526,15.77,325,0.22695690020918846,26952
64094,2390,0.07,0.5851974361813135,16.21,326,0.18475782871246338,27040
64284,2400,0.07,0.6107794005558801,16.65,328,0.19081823714077473,27136
64409,2410,0.07,0.6052555656130546,16.48,328,0.20850390940904617,27200
64552,2420,0.07,0.5821265031331581,15.85,329,0.19047474302351475,27272
64735,2430,0.07,0.5836830540796912,15.6,330,0.2157816607505083,27360
64962,2440,0.07,0.609657383245427,16.24,332,0.19893890246748924,27480
65138,2450,0.07,0.6134771206981977,16.3,333,0.19686448387801647,27568
65310,2460,0.07,0.6264392916207104,16.5,334,0.20604844391345978,27648
65449,2470,0.07,0.6089632721606635,16.15,334,0.21284443512558937,27720
65603,2480,0.07,0.5938465720013651,15.87,335,0.17928321659564972,27800
65750,2490,0.07,0.5830047019504372,15.56,336,0.19460292160511017,27872
65928,2500,0.07,0.5734681908030551,15.44,337,0.2016203086823225,27960
66068,2510,0.07,0.5795787939238713,15.59,338,0.1802787184715271,28032
66221,2520,0.07,0.5950990843421351,15.69,339,0.18976087495684624,28104
66394,2530,0.07,0.5846391667450629,15.59,340,0.21696503087878227,28192
66568,2540,0.07,0.5601410737491821,15.06,341,0.20726087130606174,28280
66715,2550,0.07,0.5550612992170592,14.77,342,0.18219740316271782,28352
66876,2560,0.07,0.5437165053490229,14.66,343,0.19377442076802254,28432
67036,2570,0.07,0.555258514084057,14.87,344,0.19914454594254494,28512
67190,2580,0.07,0.5651434698516121,14.87,345,0.18314666487276554,28592
67392,2590,0.07,0.5891768973777954,15.42,346,0.19335038028657436,28688
67548,2600,0.07,0.5766230694945848,15.2,347,0.17724677920341492,28768
67732,2610,0.07,0.5902567851540719,15.64,348,0.17643367499113083,28864
67873,2620,0.07,0.5768343021258884,15.52,349,0.1912675593048334,28936
