time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
10,-19.259963223895063,19,3000,299.0,0.9302499999999999,,
20,-20.580391290596747,37,5928,295.4,0.862174,,
30,-21.036884445555806,56,8928,296.6,0.792424,,
40,-21.20526461391529,78,11928,297.2,0.7226739999999999,960,0.00020519581448752433
50,-20.611270736812443,102,14928,297.56,0.6529239999999998,2456,0.00038355320793925785
60,-20.020298445236556,125,17928,297.8,0.5831740000000003,3960,0.0003735694826900726
70,-19.312270275210466,145,20523,292.1857142857143,0.52284025,5256,0.010605051731545245
80,-19.021664000500806,166,23274,289.925,0.4588795000000002,6632,0.0007591383509861771
90,-18.737851419160716,188,26274,290.93333333333334,0.38912950000000013,8136,0.0010486290411790833
100,-18.384878968395572,211,29238,291.38,0.3202164999999998,9616,0.0008927604867494665
110,-17.79011974344542,230,31856,287.56,0.25934800000000025,10920,0.0012515230373537634
120,-17.077377216653144,252,34781,287.53,0.1913417500000002,12384,0.0010285405442118645
130,-16.14357106725021,273,37684,286.56,0.12384699999999993,13840,0.011996939771051984
140,-15.19863029263065,291,40105,280.77,0.07,15048,0.012323843038757332
150,-14.61041109576371,311,42753,277.25,0.07,16376,0.014249804364226293
160,-14.205444385307826,331,45503,274.75,0.07,17744,0.0023393515875795856
170,-13.751551002820307,350,48067,274.44,0.07,19032,0.013214974838774651
180,-13.219551603670002,370,50795,274.21,0.07,20392,0.0031539666088065132
190,-12.939341899287173,391,53652,272.78,0.07,21824,0.011629944645392243
200,-12.573178808358643,409,56042,267.04,0.07,23016,0.0021682544465875253
210,-12.209511870405693,425,58308,263.52,0.07,24152,0.0131036429447704
220,-11.747083150494868,444,60950,260.69,0.07,25472,0.0011477036023279652
230,-11.83159477045393,463,63410,256.26,0.07,26704,0.004321339423768222
240,-11.757223668967066,479,65649,254.44,0.07,27824,0.0033044777701434214
250,-11.526153205987805,497,68052,251.99,0.07,29024,0.015201974048977718
260,-11.528171155808986,516,70693,250.9,0.07,30344,0.012616615123988595
270,-11.494228533771176,532,72889,247.22,0.07,31440,0.006080896215280518
280,-11.62864038233387,554,75814,249.19,0.07,32904,0.020747943148307968
290,-11.244506223121085,571,78141,243.89,0.07,34064,0.01564193967351457
300,-11.215573017925264,587,80306,241.64,0.07,35152,0.003894914494594559
310,-11.502642652929993,605,82674,242.66,0.07,36336,0.027164571423782036
320,-11.807728090767066,624,85342,242.92,0.07,37664,0.013788233933155425
330,-11.812034481867128,644,88015,245.05,0.07,39000,0.017324170083156787
340,-11.790725134321615,661,90339,245.9,0.07,40168,0.04218847163429018
350,-12.081092982395178,681,92995,248.43,0.07,41496,0.010806110120029189
360,-12.158481002827477,702,95884,250.91,0.07,42936,0.02538207884208532
370,-12.31263563781223,722,98478,254.89,0.07,44232,0.051769461621006485
380,-12.341518886774045,742,101314,254.0,0.07,45656,0.011275998258497566
390,-12.354457058565233,760,103753,255.12,0.07,46872,0.02180063317064196
400,-13.040635515408816,781,106562,261.56,0.07,48280,0.008017691565328278
410,-13.178950483929723,802,109297,265.23,0.07,49648,0.017962598329177126
420,-13.279852257113989,823,112228,267.86,0.07,51112,0.010976223660691176
430,-13.139638536808288,842,114757,266.42,0.07,52376,0.0156134479038883
440,-13.072878918198136,859,117078,266.39,0.07,53536,0.032791957521112636
450,-13.195797250776089,879,119743,266.48,0.07,54864,0.027236487600021064
460,-13.10292823536683,897,122117,261.33,0.07,56056,0.017403063415258657
470,-13.518416157669304,919,125117,265.39,0.07,57552,0.0043492731638252735
480,-13.331153138846615,935,127370,259.56,0.07,58680,0.019074107738560997
490,-13.306967847934875,951,129450,255.97,0.07,59720,0.01877282914938405
500,-12.872831952015295,972,132294,256.32,0.07,61144,0.011746024945750833
