rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.3865255000000001,280,99.77,132,26386,4.2902498043466855,8192,0.1764349052682519
0.36190374999999997,290,98.99,140,27445,4.257674926071902,8720,0.1362453912734054
0.34348975000000004,300,99.54,146,28237,4.271670014698154,9112,0.08395227394066751
0.32389000000000023,310,97.88,152,29080,4.218799207033239,9536,0.11883952305652201
0.3088240000000002,320,97.28,157,29728,4.233879700906175,9856,0.03766544471727684
0.28452774999999997,330,94.71,165,30773,4.19427482492443,10384,0.13311187212821096
0.2621147500000003,340,92.31,173,31737,4.0600004272453925,10864,0.1453544400865212
0.2484902499999998,350,91.57,177,32323,4.0012491175280545,11160,0.08674945196253248
0.2300065,360,87.94,183,33118,3.854426002934912,11552,0.11099829187151045
0.21147624999999992,370,83.78,190,33915,3.6653806234291877,11952,0.07795782340690494
0.18708700000000023,380,84.78,198,34964,3.7045562364585845,12480,0.12462776788743213
0.17378799999999983,390,79.91,202,35536,3.4865136386141655,12760,0.0662319203838706
0.15325825000000004,400,80.82,209,36419,3.5074990450621204,13208,0.14947017468512058
0.13165900000000008,410,81.68,217,37348,3.5007335891125786,13672,0.12006613495759666
0.10636299999999999,420,86.08,225,38436,3.687047562044082,14216,0.10778494086116552
0.07809100000000013,430,87.79,235,39652,3.7542371801455285,14824,0.1286725479294546
0.07,440,92.01,246,41038,4.001822234867032,15512,0.1219833847717382
0.07,450,103.13,260,42736,4.490413886148107,16360,0.14404061128152534
0.07,460,107.33,270,43951,4.699156514836578,16968,0.17860058217775077
0.07,470,117.27,285,45742,5.137508218928129,17864,0.14975111512467265
0.07,480,122.43,297,47307,5.382369681430604,18648,0.1396027189330198
0.07,490,130.23,308,48659,5.7257117230613765,19328,0.12506531435064971
0.07,500,139.87,323,50506,6.167737181059636,20248,0.09428172843763605
0.07,510,146.44,336,52092,6.45677117578236,21040,0.06101870606653392
0.07,520,151.37,349,53673,6.650667060902897,21832,0.14877331140451133
0.07,530,153.35,360,55087,6.708935407367789,22536,0.07582437142264098
0.07,540,156.24,374,56762,6.81097412162622,23376,0.10537488135742024
0.07,550,153.64,385,58200,6.686236859396619,24096,0.09156321344198659
0.07,560,152.13,394,59264,6.606493280378795,24624,0.10767855250742286
0.07,570,154.52,411,61294,6.628994927782954,25640,0.134290860791225
0.07,580,150.69,420,62476,6.406853802503768,26232,0.1503283231286332
0.07,590,156.98,436,64457,6.367822164000435,27224,0.2113136308034882
0.07,600,157.87,452,66393,6.121460037931506,28192,0.16718185658100992
0.07,610,163.22,469,68514,6.065240985664969,29256,0.09204704506555572
0.07,620,164.05,483,70178,5.848492657774914,30088,0.06436396046774462
0.07,630,162.75,493,71462,5.624776762893025,30728,0.14151836035307497
0.07,640,162.53,507,73115,5.354143035340474,31552,0.1263833487755619
0.07,650,164.03,520,74703,5.218014632991808,32344,0.15477624052437022
0.07,660,168.62,532,76226,5.207093603641276,33112,0.10982339762267657
0.07,670,161.07,543,77501,4.74423110639902,33744,0.11253774538636208
0.07,680,155.89,548,78165,4.510104348049365,34080,0.09549685509409755
0.07,690,144.45,555,79002,4.214702745846221,34496,0.06544656044570729
0.07,700,136.89,565,80182,3.962009563075614,35088,0.1241833587992005
0.07,710,126.57,573,81271,3.652298106200417,35632,0.12473225936992094
0.07,720,118.31,580,82109,3.4050178873984196,36048,0.09143867949023843
0.07,730,114.49,587,83011,3.266360405148599,36504,0.1562371184118092
0.07,740,106.57,595,83872,3.03989204805747,36928,0.09926334727788344
0.07,750,104.53,606,85256,2.9809706223931345,37624,0.18638564448338002
0.07,760,99.88,614,86314,2.8249119139459595,38152,0.12479961622739211
0.07,770,103.85,626,87986,3.0249060538590213,38992,0.06754808168625459
0.07,780,114.55,640,89720,3.406038398267464,39856,0.11258333682781085
0.07,790,125.6,656,91662,3.786468793416908,40824,0.13772585720289499
0.07,800,128.54,667,93136,3.948290078380182,41560,0.11060438328422606
0.07,810,135.98,681,94969,4.17892474721801,42480,0.10800953081343323
0.07,820,144.39,694,96648,4.432307364232233,43320,0.11278374411631376
0.07,830,150.9,706,98201,4.679761537449105,44096,0.1422925204387866
0.07,840,154.64,716,99436,4.833347566912854,44712,0.15918483427958563
0.07,850,162.39,732,101595,5.189436948937118,45792,0.09931489417795092
0.07,860,179.33,752,104347,5.854116206672846,47168,0.1113760593580082
0.07,870,189.66,772,107052,6.159619287440627,48520,0.19068544852780178
0.07,880,198.44,792,109664,6.468539591162474,49824,0.12559960572980344
0.07,890,198.09,806,111571,6.42101772946112,50784,0.10899077571230009
0.07,900,203.11,820,113547,6.553301075321275,51768,0.061765236023347825
0.07,910,200.58,832,115127,6.4716037906984765,52560,0.11022564512677491
0.07,920,196.14,842,116362,6.36516762946874,53176,0.07858975729322992
0.07,930,201.05,859,118406,6.424001140897105,54200,0.10766696726204827
