rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/loss
0.9507332499999999,10,2,2119,210.9,12.57975043265435,,
0.9171370000000002,20,3,3564,177.2,10.34743803904061,,
0.8756590000000001,30,5,5348,177.26666666666668,10.591793205267217,,
0.8252995000000001,40,8,7514,186.85,10.721633725897032,,
0.7915404999999999,50,11,8966,178.32,10.19109796166799,,
0.7573862500000001,60,14,10435,172.91666666666666,9.956445274185977,216,0.06569857437716564
0.7151874999999999,70,23,12250,174.0,10.00938355958929,1120,0.028180041177620296
0.6924722499999998,80,28,13227,164.3375,9.213892011790264,1608,0.02851773438123928
0.66373525,90,34,14463,159.7,8.839106038310689,2224,0.04725126556331816
0.6341147500000001,100,40,15737,156.37,8.388686746602962,2864,0.056767273643345106
0.6091675000000003,110,45,16810,145.91,7.554728478023162,3400,0.020206620145472698
0.5826159999999998,120,51,17952,142.88,7.25704713985839,3968,0.04754340643557953
0.5627837499999999,130,55,18805,133.57,6.48670360566981,4400,0.04794624715577811
0.5335352499999999,140,62,20063,124.49,5.888048967972571,5024,0.057150237014866434
0.4916387500000001,150,71,21865,127.99,5.773192173790652,5928,0.02057676191907376
0.4598792500000001,160,78,23231,126.96,5.414517562052608,6608,0.039270590015803464
0.42530650000000014,170,86,24718,123.68,4.940279379308747,7352,0.1160364169627428
0.4057299999999999,180,90,25560,122.33,4.886861208782861,7776,0.06832912648678757
0.38880400000000004,190,94,26288,117.25,4.564003715919945,8136,0.03994604613399133
0.37248249999999994,200,98,26990,111.53,4.383069323809792,8488,0.08843806138611399
0.35623074999999993,210,102,27689,107.79,4.199698607410797,8840,0.060710627265507355
0.32688925000000024,220,109,28951,108.99,4.084884146396076,9472,0.06205280977883376
0.30921925000000017,230,113,29711,108.06,4.006571804057958,9848,0.09167530504055321
0.2875734999999997,240,118,30642,104.79,3.8323352592338527,10320,0.05350200639804825
0.2658115000000002,250,123,31578,96.13,3.4594173330291302,10784,0.08194319467293099
0.23998074999999974,260,129,32689,93.58,3.313905561396969,11344,0.04518523835577071
0.22310125000000025,270,133,33415,85.97,2.99700856409463,11704,0.1016950614284724
0.20933725000000036,280,136,34007,83.47,2.880690673292442,12000,0.10285789391491562
0.18257650000000014,290,142,35158,87.7,2.9915619316922415,12576,0.12108175945468247
0.15837325000000002,300,148,36199,91.09,3.0518623494480455,13096,0.08390698372386396
0.11968525000000008,310,156,37863,100.74,3.3031329564933736,13928,0.06781378167215735
0.10489825000000019,320,160,38499,94.48,3.1294933752738467,14248,0.037709962227381766
0.0766030000000002,330,166,39716,99.05,3.233003696216029,14856,0.09914666542317718
0.07,340,175,41489,107.47,3.4247736230206556,15744,0.03994514950318262
0.07,350,180,42454,107.76,3.398064726069726,16224,0.11137965321540833
0.07,360,186,43610,108.21,3.336565566608209,16800,0.09717310918495059
0.07,370,189,44328,108.13,3.3100555425509866,17160,0.06198876770213246
0.07,380,194,45128,110.21,3.3537667103483755,17560,0.12596259452402592
0.07,390,198,46053,107.95,3.2578124308123075,18024,0.09119380975607783
0.07,400,201,46589,102.9,3.122871665735647,18288,0.07944750221213326
0.07,410,208,47898,99.35,3.0047359499050983,18944,0.04262334562372416
0.07,420,215,49234,106.35,3.1687364487153054,19616,0.12532570911571383
0.07,430,222,50590,107.74,3.2159183729931082,20288,0.0660832425346598
0.07,440,229,52003,104.14,3.103571606288241,21000,0.04380566126201302
