rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,train/n_updates,train/loss
267.69,370,1191,-12.014603963338239,0.07,101746,45872,0.010169796194531955
260.37,380,1208,-11.98663882728555,0.07,103989,46992,0.002877970357076265
256.08,390,1227,-11.725897319238566,0.07,106560,48272,0.010591182370262686
252.53,400,1245,-11.30695228804034,0.07,108909,49448,0.008061405846092384
254.87,410,1267,-11.621478754037923,0.07,111883,50936,0.0020937666995450854
253.06,420,1287,-11.526864555348261,0.07,114600,52296,0.014351683945278637
249.43,430,1305,-11.299421858714219,0.07,117093,53544,0.0010586008393147495
255.4,440,1326,-11.68169316620765,0.07,120072,55032,0.003271582769230008
257.44,450,1347,-12.036636053239341,0.07,122943,56464,0.005044178709795233
263.66,460,1368,-12.736686387320397,0.07,125943,57968,0.004696824136772193
266.88,470,1387,-13.127218281817958,0.07,128534,59264,0.021178321840125136
274.45,480,1408,-13.500483577319477,0.07,131534,60760,0.016654576458677184
270.34,490,1424,-13.385498112642686,0.07,133694,61840,0.017638492143305484
274.64,500,1444,-13.716338784673571,0.07,136473,63232,0.01201673291507177
270.36,510,1462,-13.449100963244797,0.07,139019,64504,0.008486570746754296
269.95,520,1481,-13.289601144756507,0.07,141695,65840,0.0056151081080315635
273.73,530,1502,-13.570513394733831,0.07,144566,67280,0.011018605277058668
266.57,540,1518,-13.034641808915778,0.07,146829,68408,0.02216528837743681
260.69,550,1534,-12.791591139072061,0.07,149112,69552,0.03657737323374022
260.69,560,1556,-12.78322092535101,0.07,152112,71048,0.03882159538261476
255.97,570,1571,-12.544858142337903,0.07,154231,72112,0.01921554159343941
255.34,580,1592,-12.411868929226648,0.07,157168,73576,0.016201744889258407
258.38,590,1609,-12.475260639136529,0.07,159632,74808,0.031721973173262086
256.34,600,1628,-12.394016588108604,0.07,162207,76096,0.017159644907223992
259.66,610,1649,-12.603325325606153,0.07,165085,77536,0.0341366016145912
258.76,620,1668,-12.826839448157232,0.07,167671,78832,0.04898578324355185
252.34,630,1684,-12.57328691431784,0.07,169900,79944,0.01247927707299823
259.71,640,1705,-12.99940109680647,0.07,172900,81448,0.020421480818185955
258.16,650,1721,-12.826067475943772,0.07,175028,82512,0.027688860398484394
245.1,660,1735,-12.03294330612556,0.07,176722,83360,0.0270461968757445
245.79,670,1751,-11.7768315795487,0.07,178910,84448,0.021684531879145652
240.67,680,1769,-11.44116654291645,0.07,181335,85664,0.004824174284294713
242.73,690,1789,-11.626385152592903,0.07,184005,87000,0.0197576731297886
243.26,700,1809,-11.608165779024256,0.07,186633,88312,0.026102293879375793
238.31,710,1826,-11.311501949485441,0.07,189016,89504,0.0349214901580126
234.27,720,1843,-11.012070763743946,0.07,191198,90592,0.02844702142465394
235.79,730,1860,-11.2063071243055,0.07,193579,91784,0.025026228970091324
232.04,740,1880,-11.102861454624717,0.07,196204,93096,0.014807955318246968
236.66,750,1899,-11.39469543427045,0.07,198794,94392,0.017591727169929072
