time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
2,85.2,10,862,0.9799584999999998,-4.91523965784914,,
2,65.5,20,1330,0.9690774999999998,-3.530060882498519,,
3,69.73333333333333,30,2122,0.9506635,-3.818824392832238,,
5,81.45,40,3298,0.9233215,-4.766241189707384,,
6,76.9,50,3895,0.90944125,-4.567330510157068,,
7,79.81666666666666,60,4849,0.8872607500000002,-4.803853811910187,,
8,70.55714285714286,70,5009,0.8835407500000001,-4.209618353223107,,
9,67.6875,80,5495,0.8722412499999999,-4.101251609855635,,
11,73.53333333333333,90,6708,0.844039,-4.448611512520965,,
12,72.52,100,7352,0.829066,-4.460865129157615,,
13,68.64,110,7826,0.8180455,-4.267115768534593,,
14,69.13,120,8343,0.8060252500000002,-4.40803168859264,,
16,70.05,130,9227,0.7854722499999999,-4.554123543980419,,
17,63.46,140,9744,0.773452,-3.9982431535546747,,
20,63.37,150,10332,0.7597809999999998,-4.10924123831674,160,0.11105304970988072
29,67.31,160,11680,0.72844,-4.4642460493197635,832,0.12977515999227762
39,78.87,170,12996,0.6978429999999999,-5.423964161003669,1496,0.10199232935337932
50,88.55,180,14450,0.6640374999999998,-6.003581249233697,2224,0.15018705681723077
58,88.0,190,15608,0.6371140000000001,-5.984415529277666,2800,0.1512853591120802
65,91.17,200,16569,0.6147707499999997,-6.1216064105288,3280,0.14944664854556322
72,95.89,210,17515,0.5927762500000002,-6.256893088173024,3752,0.09548597085813526
79,100.14,220,18457,0.5708747500000003,-6.380084197831562,4224,0.14965569227933884
87,101.93,230,19520,0.54616,-6.3381562889189835,4752,0.10512746666790918
93,104.17,240,20261,0.5289317500000001,-6.556492108693892,5128,0.06866836390690878
96,102.85,250,20717,0.5183297499999999,-6.2748347117647265,5352,0.15073211799608544
100,94.63,260,21243,0.5061002500000003,-5.601815444581582,5616,0.09595655932207592
106,88.68,270,21964,0.4893369999999999,-4.9641515087395,5976,0.11678876576479524
112,82.32,280,22782,0.4703185000000003,-4.465593603875383,6384,0.13191376673057675
