rollout/exploration_rate,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9877704999999999,0,51.6,10,526,2.2365619641805035,,
0.9800515,1,41.9,20,858,1.8480652237190907,,
0.9568247500000001,2,60.9,30,1857,3.1156892162761256,,
0.9355742500000003,3,68.275,40,2771,3.5048506461612603,,
0.9088367500000001,5,77.42,50,3921,3.750593265979993,,
0.8967700000000001,5,73.0,60,4440,3.496718863047635,,
0.8814715,6,71.82857142857142,70,5098,3.3562525341705203,,
0.8570124999999997,8,75.875,80,6150,3.6705065361227867,,
0.8272060000000001,10,81.57777777777778,90,7432,4.045963870035602,,
0.7897037500000003,13,89.45,100,9045,4.508655545703773,,
0.76161775,17,96.27,110,10253,4.944059830549442,120,0.06986719658016227
0.7445290000000001,22,100.3,120,10988,5.164915135564392,488,0.12453569297940703
0.7356475000000002,25,94.13,130,11370,4.793619517756561,680,0.17206123426512931
0.71283925,32,94.8,140,12351,4.96834056079933,1168,0.13497565500438213
0.6820562500000003,41,96.54,150,13675,5.3356278822388,1832,0.07820839100895682
0.6652697500000002,46,98.57,160,14397,5.42908785147836,2192,0.09776198743929854
0.6460187500000001,52,100.27,170,15225,5.523887694560949,2608,0.11848161558009451
0.6332545,56,95.24,180,15774,5.19712526712768,2880,0.09900934772304026
0.6211412500000002,60,87.63,190,16295,4.707241419831115,3144,0.0998959604112315
0.6031922500000004,66,79.22,200,17067,4.193528491229202,3528,0.1793286773681757
0.5864057499999998,72,74.36,210,17789,3.8540112887584352,3888,0.06001475548691815
0.5744087500000001,76,72.17,220,18305,3.6942819909226516,4152,0.09034758626512485
0.5569015000000002,81,75.88,230,19058,3.820794982370996,4528,0.13119021896272898
0.5473690000000002,84,70.17,240,19468,3.349913028850644,4728,0.1826978037133813
0.5368367500000003,88,61.46,250,19921,2.694645781251666,4960,0.13273626743466593
0.5243979999999999,92,59.59,260,20456,2.5766049001831846,5224,0.1518437587947119
0.51047125,96,57.3,270,21055,2.4441069109932765,5520,0.09415319151594304
0.49989249999999985,100,56.36,280,21510,2.348767740698907,5752,0.09295557999575976
0.4910110000000001,103,54.97,290,21892,2.2617186257038817,5944,0.11403040459845215
0.48178075,106,51.22,300,22289,2.0562876903601834,6144,0.1337808849348221
0.4710392499999998,109,48.62,310,22751,1.9245128772772717,6368,0.17499069217592478
0.4592050000000003,113,48.55,320,23260,1.912670350686975,6624,0.15667528059566393
0.45260199999999984,116,43.86,330,23544,1.6967920388980584,6768,0.13602262426866218
0.4429997499999999,119,43.89,340,23957,1.6701582972182214,6976,0.11559001164278015
0.4333277500000001,122,43.52,350,24373,1.6407156675319785,7184,0.12751971912803128
0.42344649999999984,125,42.42,360,24798,1.587830209933832,7392,0.12696099540335126
0.4154019999999998,128,39.89,370,25144,1.507366437889978,7568,0.1671673375822138
0.4034282499999998,132,40.49,380,25659,1.5576370685105818,7824,0.11823801230639219
0.39247750000000037,136,41.38,390,26130,1.6041276303745005,8064,0.17130103104864247
0.38020149999999997,140,42.69,400,26658,1.6540983612187667,8328,0.1522052846266888
0.37076200000000015,143,42.13,410,27064,1.6117019666608998,8528,0.14222618518397212
0.3604622500000003,146,41.47,420,27507,1.5719005233842998,8752,0.19354243483394384
0.35167375,149,42.41,430,27885,1.6058517260545846,8936,0.1656605675816536
0.3428155000000004,152,42.09,440,28266,1.6052245912392988,9128,0.13447705411817878
0.3335155000000003,155,41.93,450,28666,1.6103040808540923,9328,0.12370904569979757
0.3275635,157,40.24,460,28922,1.54979753520125,9456,0.12603640696033835
0.3216580000000001,159,39.32,470,29176,1.513984455293104,9584,0.16841189586557448
0.3107072500000001,163,38.88,480,29647,1.490397748676896,9816,0.13407330447807908
0.30229075000000016,165,37.79,490,30009,1.4659338674567126,10000,0.22672668285667896
0.2921537499999999,169,36.87,500,30445,1.448121845631051,10216,0.10640992713160813
0.2856670000000001,171,35.6,510,30724,1.41440131225403,10360,0.1712764147669077
0.27808750000000004,174,34.43,520,31050,1.3831344132783019,10520,0.2796393114840612
0.26592775,178,35.88,530,31573,1.462609841105044,10784,0.20401556696742773
0.2586272500000002,180,35.21,540,31887,1.4410369120877753,10936,0.23901377292349935
0.2477695000000002,184,35.88,550,32354,1.4591907910841113,11176,0.18801059946417809
0.24225925000000026,186,35.69,560,32591,1.4617018480077109,11288,0.1977378223091364
0.23330799999999996,189,37.0,570,32976,1.5245879733360486,11480,0.18784136627800763
0.22819299999999998,191,34.49,580,33196,1.4205018419716537,11592,0.11197050765622407
0.22186899999999998,193,33.59,590,33468,1.3726435939572244,11728,0.2556026945821941
0.21394075000000012,196,32.64,600,33809,1.312600268583849,11904,0.22508369851857424
0.2095465000000002,197,31.74,610,33998,1.2651436210579154,11992,0.17527753906324506
0.20259475000000016,200,31.47,620,34297,1.2559539894689378,12144,0.2607607892714441
0.19282975000000024,204,30.44,630,34717,1.1896483120353296,12352,0.2485837205313146
0.1855524999999999,206,30.43,640,35030,1.1923205000271835,12512,0.24944825563579798
0.17939125000000045,208,28.41,650,35295,1.1074676381123332,12640,0.17054193443618715
0.17150950000000043,212,29.43,660,35634,1.148793030906685,12816,0.2760904827155173
0.1643485,214,28.66,670,35942,1.1088905416718697,12968,0.24590313038788736
0.15869875,216,28.89,680,36185,1.1103249099162678,13088,0.2864176034927368
0.15281650000000024,218,28.7,690,36438,1.1057840376413506,13216,0.15208141435869038
0.14809674999999978,220,27.32,700,36641,1.0575002999901897,13320,0.2954856127034873
