rollout/exploration_rate,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/n_updates,train/loss
0.9687985,10,133.2,1,1342,6.807824446089309,,
0.9238562499999998,20,162.75,4,3275,8.589242950387275,,
0.8903529999999998,30,156.2,6,4716,8.273696717912815,,
0.8600815000000003,40,149.45,8,6018,7.804771990683797,,
0.84057475,50,136.14,9,6857,7.035203990698076,,
0.8149997500000002,60,131.61666666666667,11,7957,6.800989283006994,,
0.7828682499999998,70,132.4142857142857,14,9339,6.938209698822941,,
0.7458077500000002,80,135.6625,21,10933,7.155543005406298,464,0.07634751406658324
0.7102119999999998,90,137.48888888888888,31,12464,7.26207440139672,1224,0.03843262168447836
0.68233525,100,135.63,40,13663,7.139354217697754,1824,0.04828428147811792
0.6432287499999998,110,139.03,51,15345,7.255305145406373,2672,0.05917178278104984
0.6210714999999998,120,129.23,58,16298,6.622637087331547,3144,0.09948671726306202
0.5981935,130,124.66,65,17282,6.295513498471654,3640,0.06989842053735629
0.56524825,140,125.81,75,18699,6.312410899743797,4344,0.07121305081818718
0.5394872500000001,150,128.5,83,19807,6.413450141114911,4896,0.031451634829863906
0.5206082499999998,160,125.62,89,20619,6.194554927746581,5304,0.08237748486862984
0.5084485000000002,170,117.03,92,21142,5.638343478440408,5568,0.05286956927739084
0.49447525000000003,180,107.1,97,21743,5.026413150141044,5864,0.10457215305359568
0.46320400000000017,190,105.24,107,23088,4.786740299792479,6536,0.06534165136690717
0.4390240000000002,200,103.65,114,24128,4.659007552852029,7056,0.1587358059186954
0.4196102500000001,210,95.18,120,24963,4.218939186776594,7480,0.024821659637382254
0.3979877500000003,220,94.95,127,25893,4.19686660226684,7944,0.04634030754095875
0.3809687500000003,230,92.43,133,26625,4.087847728176574,8312,0.03585704436409287
0.35916025000000007,240,87.64,139,27563,3.837123992818275,8776,0.1335090262000449
0.3378167500000001,250,85.74,146,28481,3.7042357734989166,9240,0.10061080567538738
0.32433175000000003,260,83.42,151,29061,3.6216064185318286,9528,0.0805481119605247
0.3050109999999999,270,86.5,157,29892,3.7622877270654955,9944,0.08012086900998838
0.28603900000000004,280,88.65,164,30708,3.876566430265798,10352,0.09500308381393552
0.26825275000000026,290,82.85,170,31473,3.612999648486735,10736,0.1522209026152268
0.2510244999999999,300,79.86,176,32214,3.4874372380108123,11104,0.09580919201835059
0.23716749999999998,310,77.47,180,32810,3.37523640356017,11400,0.12439056183211505
0.2239847500000003,320,73.84,185,33377,3.208764763679473,11688,0.06360911967931315
0.20636125000000005,330,74.1,191,34135,3.1962911518223494,12064,0.05041548074223101
0.19192299999999995,340,70.93,196,34756,3.0276445471255835,12376,0.08847511024214327
0.17346250000000019,350,69.69,202,35550,2.983766592371852,12768,0.08812342415330932
0.15951250000000028,360,69.89,207,36150,2.9616559811395784,13072,0.11655830522067845
0.1438419999999998,370,68.32,212,36824,2.873378759557389,13408,0.1629398399963975
0.11477949999999981,380,72.66,222,38074,3.029109653954173,14032,0.14584236039081588
0.08953000000000033,390,75.87,231,39160,3.196070584633314,14576,0.1057111305417493
0.07,400,91.51,250,41465,3.895437212605409,15728,0.09590606763958931
0.07,410,96.04,258,42514,4.0773152141806435,16256,0.12413451611064374
0.07,420,112.8,276,44757,4.824926196215338,17376,0.12317558517679572
0.07,430,122.46,290,46481,5.222572995358674,18240,0.1347048592288047
0.07,440,132.8,302,48136,5.660477231392778,19064,0.10257536917924881
0.07,450,135.0,310,49150,5.731518020217882,19568,0.15523393731564283
0.07,460,135.7,315,49820,5.763836735203228,19904,0.13529480749275535
0.07,470,140.72,324,50996,5.924666886007152,20496,0.06356000527739525
0.07,480,133.75,328,51549,5.61805085827179,20768,0.07723774015903473
0.07,490,128.56,333,52116,5.344675662740904,21056,0.1483225483680144
0.07,500,111.04,337,52669,4.516730858236931,21328,0.147659708163701
0.07,510,106.72,342,53286,4.331642279729381,21640,0.17691736004780978
0.07,520,92.7,348,54127,3.6971899106884103,22056,0.13802284747362137
0.07,530,82.79,354,54860,3.2597310791080787,22424,0.14989244379103184
0.07,540,78.34,363,56070,3.072430708936906,23032,0.1283633023267612
0.07,550,86.91,378,57941,3.4300445743185644,23968,0.08185298775788397
0.07,560,95.61,390,59481,3.7624739131413536,24736,0.14280962757766247
0.07,570,99.59,401,61055,3.973872924323035,25520,0.21992304688319564
0.07,580,105.0,409,62149,4.21303863955593,26072,0.1739973311778158
0.07,590,109.97,417,63213,4.445807022635883,26600,0.11323020944837481
0.07,600,116.19,426,64388,4.713126232509123,27192,0.11107836541486904
0.07,610,117.61,432,65147,4.770366037707702,27568,0.07925873680505902
