rollout/exploration_rate,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/loss
0.9518725000000001,10,2070,206.0,-13.070635741193223,2,,
0.904489,20,4108,204.4,-12.82201710715126,4,,
0.8541062499999998,30,6275,208.16666666666666,-12.874446997351955,7,,
0.8084432500000001,40,8239,204.975,-12.57725131943431,9,,
0.7552239999999999,50,10528,209.56,-13.091291529978442,14,256,0.01875938641023822
0.7021442500000001,60,12811,212.51666666666668,-13.049153492603228,26,1400,0.036548913978549535
0.6532262499999998,70,14915,212.07142857142858,-12.385263440464527,36,2456,0.01805853855512396
0.6310922499999998,80,15867,197.3375,-11.331062615418109,41,2928,0.0363563426399196
0.5966589999999998,90,17348,191.75555555555556,-10.714666277654958,47,3672,0.03667790215331479
0.5531350000000002,100,19220,191.2,-10.417848890757517,56,4608,0.009201753258821554
0.526165,110,20380,182.1,-9.539859130109505,62,5184,0.03612755035283044
0.47954874999999986,120,22385,181.77,-9.089226410226532,73,6192,0.05263242847286165
0.4318862499999999,130,24435,180.6,-8.62416984324584,84,7216,0.0180393252230715
0.3940817500000001,140,26061,177.22,-8.102180391718608,92,8024,0.00935115355241578
0.35471949999999985,150,27754,171.26,-7.200151447178363,101,8872,0.009467814932577312
0.31868200000000013,160,29304,163.93,-6.454563213981779,110,9648,0.033795813549659215
0.28736425,170,30651,156.36,-6.114010521347016,117,10320,0.04366287084121723
0.24458425000000006,180,32491,165.24,-6.339651437127217,127,11240,0.0349381779669784
0.20087425000000014,190,34371,169.23,-6.387481084869731,137,12184,0.01727876634686254
0.15616450000000004,200,36294,169.74,-6.2376534010067655,147,13144,0.04583888628985733
0.1320309999999999,210,37332,168.52,-6.158563735485155,153,13664,0.04197824202128686
0.10168975000000036,220,38637,161.52,-5.794858732019404,159,14312,0.01895866377162747
0.07,230,40997,164.62,-5.735477254293809,171,15496,0.026523684413405135
0.07,240,43316,171.55,-5.917957164373976,183,16656,0.026488632196560502
0.07,250,44975,171.21,-5.8134144338236124,192,17480,0.02494723690324463
0.07,260,46678,172.74,-5.7948049916924935,201,18336,0.01256599003681913
0.07,270,48209,174.58,-5.749795282546678,209,19104,0.030915792915038764
0.07,280,50495,179.04,-5.779799251764123,221,20240,0.012961628322955221
0.07,290,52769,182.98,-5.823669218277563,232,21384,0.032046133652329445
0.07,300,53997,176.03,-5.600752677071463,239,21992,0.031593855237588286
0.07,310,56080,186.48,-5.834775517821661,249,23032,0.005272705253446475
0.07,320,57776,190.39,-5.87176954351958,258,23880,0.030036073294468224
0.07,330,59700,186.03,-5.658791563282351,268,24848,0.03199762926669791
0.07,340,62104,186.88,-5.574127890735059,280,26048,0.03279630246106535
0.07,350,63826,187.51,-5.546741344501664,289,26912,0.017223575414391235
0.07,360,65832,190.54,-5.657616557539415,300,27912,0.019977379823103547
0.07,370,67822,195.13,-5.775946857124767,310,28904,0.031580240465700626
0.07,380,70008,194.13,-5.820671917183627,321,30000,0.04468150291359052
0.07,390,71758,188.89,-5.684396223272419,330,30872,0.024375216948101297
0.07,400,72847,187.5,-5.59797752502895,336,31416,0.029905341420089826
0.07,410,74164,179.84,-5.410389950446629,343,32080,0.012485536251915619
0.07,420,75518,176.42,-5.3387693183495735,351,32752,0.05063262928160839
0.07,430,77507,177.07,-5.3527073682744675,362,33752,0.025006280455272645
0.07,440,79131,169.27,-5.082024210926012,371,34560,0.007447409967426211
0.07,450,80755,168.29,-5.0633728119060954,380,35376,0.03307961774407886
0.07,460,82378,164.46,-4.9063434895558755,388,36184,0.031254609988536686
0.07,470,83675,157.53,-4.702907698119817,395,36832,0.030353545444086194
0.07,480,85242,151.34,-4.440712198582205,404,37616,0.029528720333473757
0.07,490,86515,146.57,-4.278441005908634,410,38256,0.015251832490321249
0.07,500,87834,148.87,-4.332906496625719,417,38912,0.015152826788835227
0.07,510,89340,150.76,-4.37499429287249,425,39664,0.018421445623971522
0.07,520,91103,154.85,-4.469223330930708,435,40544,0.04130076803267002
0.07,530,92455,148.48,-4.271373776801625,442,41224,0.04155834892299026
0.07,540,93808,145.77,-4.209488927224441,450,41896,0.04733873764052987
0.07,550,95536,146.81,-4.217373920512282,461,42760,0.022731515491614118
0.07,560,96787,143.09,-4.067551978972781,468,43392,0.03176541771972552
0.07,570,98696,149.21,-4.233601042870514,479,44344,0.027616316569037735
0.07,580,100643,153.01,-4.323318911926654,490,45320,0.046828533872030675
0.07,590,102352,157.37,-4.386181659969138,499,46168,0.023974585928954184
0.07,600,103551,156.17,-4.330035021822124,505,46768,0.026584527804516256
0.07,610,104809,153.69,-4.210062314990837,512,47400,0.020826916384976357
0.07,620,107060,158.57,-4.242745469738187,524,48528,0.020168085233308375
0.07,630,108700,161.45,-4.286379602852365,532,49344,0.01805237791268155
0.07,640,110507,165.99,-4.316976124573586,542,50248,0.05274494440527633
0.07,650,111838,162.02,-4.174922344965565,549,50912,0.03437129280064255
