rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,train/loss,train/n_updates
112.4,-11.240000000000032,10,1,1134,0.9736345000000002,,
101.8,-10.180000000000026,20,2,2056,0.9521980000000002,,
79.66666666666667,-7.966666666666683,30,2,2420,0.943735,,
70.675,-7.067500000000012,40,3,2867,0.93334225,,
82.1,-8.210000000000019,50,5,4155,0.9033962500000001,,
75.5,-7.550000000000014,60,6,4590,0.8932824999999999,,
69.8,-6.980000000000012,70,6,4956,0.8847729999999999,,
73.8125,-7.381250000000013,80,8,5985,0.8608487500000002,,
69.31111111111112,-6.931111111111122,90,8,6328,0.852874,,
69.96,-6.996000000000012,100,10,7096,0.8350180000000003,,
65.05,-6.505000000000008,110,11,7739,0.8200682499999998,,
66.9,-6.690000000000007,120,13,8846,0.7943305,,
70.32,-7.032000000000007,130,14,9552,0.7779159999999999,,
78.38,-7.838000000000013,140,20,10805,0.7487837500000001,0.07800415347446688,400
80.36,-8.036000000000012,150,31,12291,0.7142342499999998,0.12412808801309438,1144
88.18,-8.818000000000016,160,39,13508,0.6859389999999999,0.13591921795159578,1752
99.89,-9.989000000000024,170,51,15045,0.6502037500000001,0.1184286314601195,2520
103.91,-10.391000000000021,180,61,16476,0.616933,0.05042124163446715,3232
113.65,-11.365000000000027,190,71,17793,0.5863127500000003,0.08122646600895678,3896
119.34,-11.934000000000024,200,81,19130,0.5552275,0.1533441310748458,4560
126.39,-12.639000000000028,210,91,20478,0.5238865000000001,0.0840778274796321,5232
127.92,-12.792000000000028,220,101,21738,0.4945915000000003,0.07416483356792014,5864
132.97,-13.297000000000027,230,110,22949,0.46643575000000015,0.10553349577821791,6472
136.2,-13.620000000000026,240,122,24525,0.4297937500000001,0.08656456816970604,7256
132.07,-13.207000000000019,250,131,25598,0.4048464999999999,0.15226905862800777,7792
132.47,-13.24700000000002,260,140,26855,0.3756212499999999,0.06646341065061279,8424
126.99,-12.699000000000014,270,148,27844,0.352627,0.08804908218735363,8920
124.29,-12.429000000000014,280,157,29005,0.3256337500000003,0.1352143516705837,9496
118.44,-11.844000000000005,290,163,29737,0.30861475000000027,0.0908584654389415,9864
112.11,-11.211000000000006,300,168,30441,0.2922467499999999,0.19999296189052984,10216
105.22,-10.522000000000002,310,174,31100,0.2769250000000002,0.1153466077230405,10544
98.03,-9.803000000000004,320,178,31641,0.26434674999999985,0.12570083397440612,10816
90.97,-9.097000000000005,330,182,32146,0.2526054999999999,0.17266558908158913,11072
84.44,-8.443999999999999,340,190,33069,0.23114575000000026,0.05822249929769896,11528
83.33,-8.333,350,197,34031,0.20877924999999986,0.08278081056778319,12008
85.52,-8.551999999999998,360,209,35507,0.17446225000000004,0.09511635056696832,12752
81.36,-8.135999999999997,370,214,36080,0.16114000000000006,0.08334181818645447,13032
78.98,-7.897999999999995,380,222,37003,0.13968024999999995,0.09529448140528984,13496
79.68,-7.967999999999997,390,228,37805,0.12103375000000016,0.061128517758334056,13896
84.95,-8.495,400,238,39036,0.09241300000000008,0.09706865210318938,14512
89.06,-8.906,410,246,40106,0.07,0.0736249306355603,15048
93.23,-9.323000000000002,420,254,41064,0.07,0.08698958187596872,15528
102.18,-10.218000000000005,430,265,42464,0.07,0.08545143197989091,16224
108.81,-10.881000000000007,440,278,44050,0.07,0.08716135981376283,17024
111.29,-11.129000000000008,450,288,45260,0.07,0.15716405666898936,17624
104.8,-10.480000000000008,460,295,46087,0.07,0.18613770190859213,18040
110.45,-11.045000000000005,470,304,47225,0.07,0.09034418009105138,18608
116.93,-11.693000000000014,480,317,48796,0.07,0.15967061277478933,19392
121.3,-12.130000000000011,490,327,50035,0.07,0.05422611293033697,20016
121.9,-12.190000000000014,500,337,51326,0.07,0.0882297185016796,20656
121.3,-12.130000000000013,510,345,52336,0.07,0.08808535581920296,21160
126.46,-12.646000000000013,520,357,53810,0.07,0.1631879322230816,21904
119.18,-11.918000000000012,530,363,54482,0.07,0.10453828301979229,22240
120.06,-12.006000000000014,540,376,56156,0.07,0.09449007752118632,23072
115.85,-11.58500000000001,550,383,56945,0.07,0.15582043922040612,23472
113.54,-11.354000000000008,560,388,57541,0.07,0.1314026945619844,23768
107.87,-10.787000000000011,570,392,58112,0.07,0.09211467392742634,24048
103.39,-10.339000000000006,580,401,59235,0.07,0.1541221429943107,24616
98.44,-9.844000000000005,590,407,59979,0.07,0.082511177577544,24984
92.82,-9.282000000000004,600,413,60708,0.07,0.056245372514240444,25352
91.37,-9.137000000000004,610,420,61573,0.07,0.1174270294723101,25784
87.75,-8.775000000000002,620,429,62685,0.07,0.1441939517389983,26336
89.81,-8.981000000000005,630,435,63563,0.07,0.07165784877724946,26776
79.38,-7.937999999999997,640,440,64194,0.07,0.11868082598084584,27096
79.9,-7.989999999999998,650,447,65035,0.07,0.10523292713332921,27512
80.97,-8.097,660,453,65738,0.07,0.10511879867408425,27864
83.9,-8.389999999999999,670,460,66602,0.07,0.11549387197010219,28296
82.36,-8.235999999999995,680,468,67571,0.07,0.18181767303030938,28784
81.26,-8.126,690,473,68205,0.07,0.09114158240845427,29096
82.27,-8.226999999999997,700,480,69035,0.07,0.22148260567337275,29512
83.28,-8.328000000000003,710,488,70001,0.07,0.13269752933410928,30000
80.17,-8.017000000000003,720,494,70802,0.07,0.10811010224279016,30400
80.97,-8.097000000000003,730,502,71760,0.07,0.08431426499737427,30872
80.65,-8.065000000000003,740,506,72359,0.07,0.14603196538519114,31176
79.23,-7.923000000000006,750,512,73058,0.07,0.0842203632928431,31528
84.76,-8.47600000000001,760,523,74314,0.07,0.0848945859761443,32152
88.14,-8.814000000000009,770,533,75516,0.07,0.1864161156117916,32752
84.49,-8.44900000000001,780,538,76120,0.07,0.16349013795843348,33056
83.89,-8.389000000000008,790,542,76694,0.07,0.15144911810057238,33344
85.08,-8.508000000000013,800,550,77643,0.07,0.13269450038205832,33816
81.21,-8.121000000000011,810,555,78222,0.07,0.09444408398121595,34104
79.53,-7.95300000000001,820,561,78855,0.07,0.1092668449273333,34424
79.57,-7.957000000000009,830,568,79817,0.07,0.1523251838516444,34904
78.47,-7.847000000000006,840,572,80306,0.07,0.17026160657405853,35152
77.03,-7.703000000000007,850,577,80861,0.07,0.05813222873257473,35424
70.64,-7.064000000000004,860,582,81478,0.07,0.22890451457351446,35736
66.27,-6.627000000000002,870,588,82243,0.07,0.07534946652594954,36120
68.55,-6.855000000000002,880,594,83075,0.07,0.1588890115963295,36536
71.92,-7.191999999999999,890,601,83986,0.07,0.15102034789742902,36992
67.06,-6.705999999999998,900,605,84449,0.07,0.16419139422941953,37224
68.51,-6.8509999999999955,910,611,85173,0.07,0.160482965700794,37584
71.62,-7.1619999999999955,920,618,86117,0.07,0.0864994814619422,38056
70.6,-7.059999999999994,930,625,86977,0.07,0.1842704289010726,38488
73.61,-7.360999999999994,940,631,87767,0.07,0.10953042103210464,38880
76.75,-7.674999999999994,950,638,88636,0.07,0.08284261613152921,39312
75.88,-7.587999999999995,960,643,89166,0.07,0.1504288329742849,39576
76.59,-7.6589999999999945,970,649,90002,0.07,0.1522122947499156,40000
74.67,-7.466999999999993,980,654,90642,0.07,0.09844509745016694,40320
71.44,-7.143999999999992,990,659,91230,0.07,0.1442768190172501,40608
76.3,-7.629999999999995,1000,667,92179,0.07,0.12527295178733766,41088
80.18,-8.017999999999995,1010,676,93291,0.07,0.10140380111988634,41640
76.48,-7.647999999999996,1020,680,93865,0.07,0.045518627972342074,41928
73.97,-7.396999999999996,1030,685,94474,0.07,0.21141711808741093,42232
73.38,-7.337999999999995,1040,692,95205,0.07,0.09703263908158988,42600
76.63,-7.662999999999996,1050,701,96399,0.07,0.18777865602169186,43192
82.0,-8.199999999999996,1060,710,97466,0.07,0.1308263429091312,43728
81.36,-8.135999999999997,1070,716,98238,0.07,0.10086192411836237,44112
85.79,-8.578999999999999,1080,725,99321,0.07,0.15212899731704965,44656
89.81,-8.980999999999998,1090,733,100311,0.07,0.17838708125054836,45152
87.79,-8.778999999999996,1100,739,101058,0.07,0.10722448863089085,45528
87.07,-8.706999999999994,1110,747,102098,0.07,0.20347448531538248,46048
91.88,-9.187999999999995,1120,755,103153,0.07,0.16054433380486444,46576
98.6,-9.859999999999998,1130,765,104434,0.07,0.1652151719899848,47216
103.21,-10.321,1140,775,105626,0.07,0.19292685517575592,47808
100.44,-10.043999999999999,1150,783,106543,0.07,0.1489072669064626,48264
101.54,-10.153999999999996,1160,792,107720,0.07,0.1476003830321133,48856
99.8,-9.979999999999995,1170,797,108318,0.07,0.14997856359696016,49152
103.68,-10.367999999999995,1180,808,109789,0.07,0.07523095892975107,49888
98.72,-9.871999999999995,1190,812,110283,0.07,0.17685140669345856,50136
98.14,-9.813999999999995,1200,818,110972,0.07,0.1252229397650808,50480
96.62,-9.661999999999997,1210,826,111860,0.07,0.05683882877929136,50928
93.87,-9.386999999999993,1220,832,112640,0.07,0.1321833116817288,51312
89.41,-8.940999999999994,1230,838,113475,0.07,0.14753924423712306,51736
89.2,-8.919999999999993,1240,848,114646,0.07,0.12255815471871756,52320
86.22,-8.621999999999993,1250,853,115265,0.07,0.1805257898522541,52632
81.28,-8.127999999999993,1260,859,115948,0.07,0.09441338339820504,52968
85.01,-8.500999999999996,1270,867,116919,0.07,0.10080781468423083,53456
81.26,-8.125999999999994,1280,876,118015,0.07,0.1043756294529885,54000
84.62,-8.461999999999994,1290,883,118845,0.07,0.14082263072486967,54416
85.72,-8.571999999999992,1300,890,119644,0.07,0.17754236364271492,54816
85.29,-8.528999999999993,1310,896,120489,0.07,0.1670782925793901,55240
86.68,-8.667999999999992,1320,904,121408,0.07,0.14205115288496017,55696
86.71,-8.670999999999992,1330,911,122246,0.07,0.2797025816398673,56120
81.95,-8.194999999999991,1340,917,122941,0.07,0.2274676156230271,56464
87.07,-8.706999999999992,1350,926,124072,0.07,0.08584787650033832,57032
89.42,-8.941999999999993,1360,934,124990,0.07,0.05958446784643456,57488
86.87,-8.68699999999999,1370,940,125706,0.07,0.1292117913835682,57848
83.63,-8.36299999999999,1380,946,126478,0.07,0.13792624761117622,58232
85.84,-8.583999999999993,1390,955,127529,0.07,0.14920435106614605,58760
83.45,-8.344999999999994,1400,960,128089,0.07,0.12715696159284562,59040
81.72,-8.171999999999993,1410,965,128761,0.07,0.16405611421214417,59376
81.99,-8.198999999999995,1420,973,129707,0.07,0.13785449505667202,59848
78.47,-7.846999999999993,1430,977,130193,0.07,0.1152349041076377,60096
83.12,-8.312,1440,987,131353,0.07,0.2152772294357419,60672
84.58,-8.457999999999998,1450,998,132630,0.07,0.12715754105011,61312
86.78,-8.677999999999997,1460,1007,133768,0.07,0.19143973384052515,61880
93.85,-9.384999999999998,1470,1019,135191,0.07,0.13888911227695644,62592
103.12,-10.312000000000003,1480,1033,136890,0.07,0.15802048740442842,63440
101.34,-10.134,1490,1040,137763,0.07,0.1175284277414903,63880
110.13,-11.013,1500,1051,139202,0.07,0.14997317909728736,64600
116.79,-11.679000000000006,1510,1061,140540,0.07,0.22652702685445547,65264
120.67,-12.067000000000005,1520,1071,141874,0.07,0.09839113848283887,65936
131.56,-13.156000000000008,1530,1084,143449,0.07,0.14369277388323098,66720
134.13,-13.413000000000006,1540,1095,144866,0.07,0.13667084576445632,67432
138.37,-13.83700000000001,1550,1108,146567,0.07,0.13459143170621246,68280
137.57,-13.757000000000014,1560,1117,147625,0.07,0.18741577304899693,68808
140.5,-14.050000000000018,1570,1131,149341,0.07,0.11918142158538103,69664
139.86,-13.986000000000017,1580,1144,150976,0.07,0.15549486642703414,70480
149.16,-14.916000000000027,1590,1159,152779,0.07,0.132583265658468,71384
154.75,-15.475000000000033,1600,1176,154777,0.07,0.1461638032924384,72384
154.64,-15.464000000000034,1610,1186,156104,0.07,0.1402877726359293,73048
163.21,-16.32100000000004,1620,1204,158295,0.07,0.06477884895866737,74144
163.09,-16.309000000000044,1630,1217,159858,0.07,0.12967237108387053,74928
168.76,-16.87600000000005,1640,1233,161842,0.07,0.09846370632294565,75920
175.53,-17.553000000000058,1650,1252,164220,0.07,0.10795089125167578,77104
187.58,-18.758000000000067,1660,1270,166483,0.07,0.08830780629068613,78240
187.5,-18.750000000000064,1670,1284,168191,0.07,0.11520820576697588,79088
197.76,-19.776000000000067,1680,1306,170852,0.07,0.1271752417087555,80424
199.12,-19.912000000000077,1690,1322,172791,0.07,0.173405573470518,81392
195.15,-19.515000000000065,1700,1336,174392,0.07,0.13793679629452527,82192
194.12,-19.412000000000063,1710,1346,175616,0.07,0.13042613794095814,82800
184.19,-18.419000000000054,1720,1355,176814,0.07,0.12765110557666048,83400
180.08,-18.00800000000005,1730,1364,177966,0.07,0.1294350562384352,83976
176.62,-17.66200000000005,1740,1378,179604,0.07,0.07794496137648821,84800
169.2,-16.920000000000044,1750,1391,181240,0.07,0.1543451794423163,85616
161.97,-16.19700000000004,1760,1404,182780,0.07,0.14922250696690753,86384
165.56,-16.55600000000004,1770,1421,184847,0.07,0.061048871371895075,87416
160.86,-16.086000000000034,1780,1439,187038,0.07,0.14776492142118514,88512
162.89,-16.289000000000033,1790,1456,189180,0.07,0.06978366011753678,89584
168.13,-16.81300000000004,1800,1473,191305,0.07,0.13100145268253982,90648
176.58,-17.65800000000005,1810,1489,193374,0.07,0.09134948533028364,91680
177.31,-17.731000000000055,1820,1499,194645,0.07,0.10156023106537759,92320
175.92,-17.592000000000052,1830,1507,195658,0.07,0.0971798119135201,92824
177.62,-17.76200000000005,1840,1522,197466,0.07,0.06518936797510833,93728
177.01,-17.70100000000005,1850,1534,199041,0.07,0.1797214704565704,94520
