rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/n_updates,time/episodes,train/loss,rollout/exploration_rate
299.0,44.605716968187984,27,3000,1000,10,0.03009797935374081,0.65125
267.45,49.568263487908204,48,5369,2184,20,0.1142759071663022,0.3758537499999999
236.7,61.6693531358027,66,7131,3064,30,0.21261059306561947,0.17102125000000024
229.0,80.46847053309202,86,9200,4096,40,0.24311467818915844,0.07
224.44,92.34925560599791,107,11272,5136,50,0.28817236982285976,0.07
234.83333333333334,108.59948906119216,136,14150,6576,60,0.3444431759417057,0.07
221.8,107.45902431185078,150,15596,7296,70,0.38500797376036644,0.07
220.0375,112.11734736819535,171,17683,8344,80,0.4713975116610527,0.07
215.6888888888889,114.46868444156166,189,19502,9248,90,0.5051981583237648,0.07
