time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
460,82,26.43,23590,0.4515325000000001,1.0085652380786194,6792,0.15532065369188786
470,84,27.42,23886,0.44465049999999995,1.0538312740859983,6936,0.13800839707255363
480,85,26.24,24044,0.44097700000000006,1.0062133975448233,7016,0.1103324934374541
490,86,26.07,24265,0.43583874999999994,0.9938671765818716,7128,0.09403946972452104
500,87,25.61,24459,0.43132824999999986,0.9775326525827441,7224,0.14593036379665136
510,89,26.05,24737,0.4248647499999999,1.0123640150578936,7368,0.1380332475528121
520,90,25.94,24997,0.41881975000000005,1.0095028350060964,7496,0.18315635563340038
530,91,25.34,25234,0.4133095,0.9706401335674738,7616,0.14767071325331926
540,93,23.95,25457,0.40812475000000015,0.9247242650081727,7728,0.13850112189538777
550,94,22.35,25633,0.40403275000000016,0.8588100830586096,7816,0.15515674301423132
560,95,21.32,25822,0.3996384999999998,0.8162588790535803,7904,0.20317505905404687
570,96,20.88,26074,0.39377950000000017,0.8059638446193934,8032,0.2082519456744194
580,97,21.44,26288,0.38880400000000004,0.8363556220521624,8136,0.14923496823757887
590,98,21.19,26484,0.3842470000000002,0.8307456937826347,8240,0.1835279380902648
600,99,20.69,26628,0.380899,0.8148610057112706,8312,0.15062168729491532
610,101,20.97,26934,0.37378449999999974,0.8127097212109738,8464,0.21028847992420197
620,102,21.16,27213,0.3672977500000002,0.8174883500683937,8600,0.21845787949860096
630,103,20.48,27382,0.3633685000000002,0.7791316663199784,8688,0.2766421791166067
640,104,20.39,27596,0.3583930000000002,0.7706792244867081,8792,0.23521617986261845
650,106,20.52,27785,0.35399875000000025,0.768169618602602,8888,0.18423159513622522
660,107,21.42,28064,0.34751200000000004,0.7949723900411496,9024,0.13623826997354627
670,109,21.74,28348,0.34090900000000024,0.8073469334315659,9168,0.2380555123090744
680,110,22.05,28593,0.33521275000000006,0.8032977589573733,9296,0.20944278268143535
690,112,22.86,28870,0.32877250000000025,0.8250335867050897,9432,0.17863027192652225
700,113,23.62,29090,0.32365750000000026,0.8677366764708965,9544,0.1945042982697487
710,114,22.19,29253,0.31986775000000023,0.8020542198257317,9624,0.16455884976312518
720,115,21.08,29421,0.31596174999999993,0.7628683673247494,9704,0.2323109032586217
730,116,21.08,29590,0.31203250000000005,0.7631359755666568,9792,0.20694659929722548
740,117,20.79,29775,0.30773125000000023,0.752927146657405,9880,0.22138322703540325
750,118,20.46,29931,0.3041042500000002,0.7476742294721983,9960,0.17340560723096132
760,119,20.03,30167,0.29861724999999995,0.7469981594229124,10080,0.22835609130561352
770,120,19.26,30374,0.29380450000000025,0.7025294083187532,10184,0.18732759356498718
780,121,18.13,30506,0.2907354999999999,0.6764962968577205,10248,0.1773011013865471
790,122,16.76,30646,0.28748050000000025,0.6273809373058342,10320,0.2565140435472131
800,123,16.56,30846,0.2828305000000002,0.608776807275779,10416,0.21540594566613436
810,124,16.82,31035,0.27843624999999983,0.6198981608189092,10512,0.27383519522845745
820,125,16.75,31196,0.27469299999999996,0.6170734643625922,10592,0.17376467725262046
830,125,16.49,31339,0.27136825,0.603153370521917,10664,0.24617758952081203
840,126,16.15,31490,0.2678575000000002,0.5957076945253346,10744,0.28822158090770245
850,128,16.79,31710,0.2627425000000002,0.6301418793606265,10848,0.23885506205260754
860,128,16.1,31877,0.25885975000000006,0.5961861956992555,10936,0.2121209530159831
870,130,16.06,32080,0.25414000000000014,0.584579813703345,11032,0.2047332706861198
880,130,16.08,32214,0.2510244999999999,0.5721005165368043,11104,0.2805861998349428
890,131,16.38,32384,0.24707199999999985,0.5828596425658774,11184,0.2728660888969898
900,132,16.0,32546,0.24330549999999995,0.5676001356822193,11272,0.20473285112529993
910,133,15.43,32678,0.24023649999999996,0.5374398161159615,11336,0.3090272080153227
920,134,14.9,32786,0.23772550000000003,0.5189680552199561,11392,0.21704463101923466
930,135,15.11,32950,0.2339125000000003,0.5288621668280473,11472,0.22081722132861614
940,136,15.42,33132,0.2296809999999999,0.5423000142603004,11560,0.21592945232987404
950,137,15.39,33349,0.22463575000000002,0.5345269175804528,11672,0.23632347211241722
960,138,15.42,33519,0.22068325000000044,0.5452380362892691,11752,0.22566442284733057
970,139,15.28,33708,0.21628900000000006,0.543845602532036,11848,0.2758091352880001
980,140,15.17,33831,0.21342925000000035,0.5486969630983358,11912,0.2067124666646123
990,141,15.26,34010,0.20926749999999994,0.5561873003094999,12000,0.3177081923931837
1000,142,15.19,34165,0.20566375000000015,0.5566934819888857,12080,0.2950922977179289
1010,142,15.37,34315,0.20217624999999984,0.5642381951591556,12152,0.26866369880735874
1020,144,16.35,34521,0.19738675000000006,0.6138267916154612,12256,0.2822084557265043
1030,144,16.04,34654,0.19429450000000004,0.5997747068955948,12320,0.2634354215115309
1040,145,16.07,34839,0.1899932500000001,0.5982565902790956,12416,0.25398524617776275
1050,146,15.46,34995,0.18636625000000018,0.5682424173728211,12496,0.24073168821632862
1060,147,15.5,35169,0.18232075000000003,0.5604432811962939,12584,0.27912491746246815
1070,148,15.16,35324,0.17871700000000013,0.551261558255734,12656,0.29482267424464226
1080,149,15.59,35490,0.1748575000000001,0.5742744504550137,12744,0.22301213257014751
