time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/loss
2,85.2,10,862,0.9799584999999998,3.995980629767719,,
2,65.5,20,1330,0.9690774999999998,2.915548622135713,,
3,69.73333333333333,30,2122,0.9506635,3.1037037336422575,,
5,81.45,40,3298,0.9233215,3.6697361717136494,,
6,76.9,50,3895,0.90944125,3.5800123822858456,,
7,79.81666666666666,60,4849,0.8872607500000002,3.8430701723152674,,
8,70.55714285714286,70,5009,0.8835407500000001,3.3612349921231557,,
9,67.6875,80,5495,0.8722412499999999,3.244270184290447,,
11,73.53333333333333,90,6708,0.844039,3.5868076031607714,,
12,72.52,100,7352,0.829066,3.587262512624047,,
13,68.64,110,7826,0.8180455,3.408805572444872,,
14,69.13,120,8343,0.8060252500000002,3.4984222828955445,,
16,70.05,130,9227,0.7854722499999999,3.6720547738081972,,
17,63.46,140,9744,0.773452,3.318871784003514,,
20,63.37,150,10332,0.7597809999999998,3.333869333233568,160,0.19057280849665403
29,67.31,160,11680,0.72844,3.526675978516974,832,0.10516161731175089
39,78.87,170,12996,0.6978429999999999,4.236731588793384,1496,0.12491988340116222
50,88.55,180,14450,0.6640374999999998,4.678316312916431,2224,0.15562329389285878
58,88.0,190,15608,0.6371140000000001,4.608952265338914,2800,0.09994782526337076
65,91.17,200,16569,0.6147707499999997,4.763793120386428,3280,0.12725524866255
72,95.89,210,17515,0.5927762500000002,4.931854261064591,3752,0.11917816438653972
79,100.14,220,18457,0.5708747500000003,5.039606569457842,4224,0.09009247479843907
87,101.93,230,19520,0.54616,4.94761670475738,4752,0.1207332406193018
93,104.17,240,20261,0.5289317500000001,5.0612850861259,5128,0.22345576265070122
96,102.85,250,20717,0.5183297499999999,4.8804704580288965,5352,0.17247546525322832
100,94.63,260,21243,0.5061002500000003,4.385404952517601,5616,0.0933728476811666
106,88.68,270,21964,0.4893369999999999,3.884829880533232,5976,0.13520958242588677
112,82.32,280,22782,0.4703185000000003,3.555603399203975,6384,0.1380272030364722
117,77.56,290,23464,0.45446200000000014,3.248663029466935,6728,0.106350893212948
123,75.47,300,24216,0.4369780000000002,3.0120351298408816,7104,0.09779601648915559
126,70.59,310,24674,0.42632950000000014,2.807648921908567,7336,0.11889062804402784
132,67.94,320,25351,0.41058925000000024,2.6993572660078193,7672,0.13147323942393996
136,63.45,330,25965,0.39631375000000024,2.5122621271035928,7976,0.10003937091096304
141,61.36,340,26497,0.3839447500000003,2.4356429624198297,8248,0.11144278780557215
144,61.4,350,26957,0.3732497500000004,2.446791267257421,8472,0.2087032850831747
149,62.39,360,27582,0.3587185000000003,2.4978846488928217,8784,0.11037584883160889
154,61.35,370,28199,0.3443732500000002,2.4807563953459795,9096,0.17867009693873115
158,58.45,380,28727,0.33209725000000023,2.3451861245739813,9360,0.16885024402290583
162,56.38,390,29202,0.3210535000000002,2.259245063807983,9600,0.14725408022059128
166,54.9,400,29806,0.3070105000000001,2.266235040591534,9896,0.1368711077957414
170,54.81,410,30255,0.29657124999999995,2.250289910860462,10120,0.09423044807044789
174,53.03,420,30754,0.2849695000000003,2.191380112873755,10376,0.13896046951413155
177,51.62,430,31227,0.2739722499999999,2.1278818323842206,10608,0.2518366826698184
181,51.48,440,31745,0.26192875000000004,2.1198312562508463,10872,0.1954964306205511
185,51.72,450,32229,0.2506757500000002,2.1309189876738492,11112,0.19469686353113502
190,51.06,460,32788,0.2376790000000002,2.0715978882745194,11392,0.1875682472018525
194,50.05,470,33304,0.22568200000000005,2.0546325085430994,11648,0.1668003145023249
197,48.18,480,33645,0.21775374999999975,1.9463983810617507,11816,0.16484607302118093
201,48.05,490,34107,0.20701225000000012,1.9388020261560726,12048,0.23409001884283498
204,46.58,500,34564,0.1963870000000002,1.8017860694529504,12280,0.16739757522009313
208,46.52,510,35007,0.18608724999999993,1.8052875541612332,12496,0.18852425273507833
212,46.05,520,35459,0.17557825000000027,1.7738232912944139,12728,0.17078285390743986
215,45.77,530,35904,0.16523200000000005,1.7471795302462523,12944,0.20423830184154212
218,44.43,540,36288,0.1563039999999999,1.6778004204965904,13136,0.15489068708848208
222,43.54,550,36683,0.14712025000000017,1.6232860252968462,13336,0.1483576358295977
226,42.34,560,37122,0.1369134999999999,1.5692318778331236,13560,0.1621618391945958
229,41.5,570,37554,0.1268695000000002,1.511926215755542,13776,0.20453265868127346
233,42.68,580,38013,0.11619774999999999,1.5748462291504115,14000,0.27938145864754915
237,42.96,590,38503,0.10480525000000018,1.570355660462607,14248,0.17016884963959455
240,41.8,600,38844,0.09687699999999977,1.5529748616190064,14416,0.18348115775734186
242,40.2,610,39127,0.0902972500000001,1.4760257526926444,14560,0.13833198160864413
245,40.06,620,39565,0.08011374999999998,1.4498624651804106,14776,0.1226121875224635
249,40.09,630,40013,0.07,1.4835146512177857,15000,0.17636783979833126
253,41.17,640,40505,0.07,1.5094638345128828,15248,0.1856019259430468
255,40.0,650,40783,0.07,1.457946183348164,15384,0.22604353167116642
259,40.08,660,41230,0.07,1.4736732549977518,15608,0.22644848376512527
262,38.52,670,41506,0.07,1.3976599905347866,15752,0.2189204739406705
264,37.27,680,41840,0.07,1.341720547428691,15912,0.14142236253246665
268,36.56,690,42259,0.07,1.3495188261397235,16128,0.1267215609550476
273,39.54,700,42898,0.07,1.5184228822816872,16448,0.24738214816898108
277,41.16,710,43343,0.07,1.5870858736484026,16664,0.29642152786254883
281,41.43,720,43808,0.07,1.610582581765015,16896,0.26171997794881463
